ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,772,663,9.72,4.35,34.84,34,2299.01,67.62,44,Midnight Bomber Jacket,2025-12-12,426.89,153,2.79,5.39
1765564531700,740,619,8.04,4.29,38.33,32,2485.39,77.67,49,Midnight Bomber Jacket,2025-12-12,468.06,228,2.05,5.31
1765568131700,761,667,8.17,3.95,36.43,30,2394.84,79.83,44,Midnight Bomber Jacket,2025-12-12,373.11,147,2.54,6.42
1765571731700,798,646,7.80,3.85,37.75,31,2204.02,71.10,56,Midnight Bomber Jacket,2025-12-12,378.72,147,2.58,5.82
1765575331700,864,754,10.34,4.09,40.32,35,2554.51,72.99,53,Midnight Bomber Jacket,2025-12-12,397.80,208,1.91,6.42
1765578931700,930,774,9.13,4.13,41.78,38,2600.97,68.45,61,Midnight Bomber Jacket,2025-12-12,465.05,175,2.66,5.59
1765582531700,1047,935,11.29,4.09,41.14,43,3389.08,78.82,54,Midnight Bomber Jacket,2025-12-12,454.06,187,2.43,7.46
1765586131700,1115,1046,10.06,4.72,39.86,53,4133.69,77.99,86,Midnight Bomber Jacket,2025-12-13,483.33,181,2.67,8.55
1765589731700,1250,1018,10.35,5.74,39.14,72,5714.40,79.37,109,Midnight Bomber Jacket,2025-12-13,445.26,163,2.73,12.83
1765593331700,1317,1161,12.15,4.58,40.33,60,4761.02,79.35,100,Midnight Bomber Jacket,2025-12-13,467.74,227,2.06,10.18
1765596931700,1394,1295,11.49,5.24,37.87,73,4978.37,68.20,91,Midnight Bomber Jacket,2025-12-13,427.00,193,2.21,11.66
1765600531700,1454,1204,12.80,4.78,39.01,69,5392.92,78.16,95,Midnight Bomber Jacket,2025-12-13,509.85,184,2.77,10.58
1765604131700,1508,1287,13.86,6.51,42.71,98,6802.49,69.41,175,Midnight Bomber Jacket,2025-12-13,485.28,226,2.15,14.02
1765607731700,1526,1438,12.76,5.94,38.82,91,6505.50,71.49,163,Midnight Bomber Jacket,2025-12-13,436.70,200,2.18,14.90
1765611331700,1502,1416,11.46,5.55,32.10,83,5607.16,67.56,118,Midnight Bomber Jacket,2025-12-13,453.06,179,2.53,12.38
1765614931700,1468,1269,11.86,6.22,34.18,91,6094.48,66.97,158,Midnight Bomber Jacket,2025-12-13,471.56,166,2.84,12.92
1765618531700,1409,1307,11.05,5.47,34.49,77,4976.78,64.63,143,Midnight Bomber Jacket,2025-12-13,463.33,196,2.36,10.74
1765622131700,1343,1114,13.00,5.51,37.10,74,5656.22,76.44,98,Midnight Bomber Jacket,2025-12-13,435.86,230,1.90,12.98
1765625731700,1232,1008,11.02,5.09,35.89,63,4690.77,74.46,84,Midnight Bomber Jacket,2025-12-13,397.96,174,2.29,11.79
1765629331700,1145,948,11.89,4.66,38.03,53,4189.92,79.06,84,Midnight Bomber Jacket,2025-12-13,391.91,150,2.61,10.69
1765632931700,1032,865,9.91,4.05,27.86,42,2911.47,69.32,73,Midnight Bomber Jacket,2025-12-13,437.18,205,2.13,6.66
1765636531700,922,742,10.29,4.20,30.15,39,2933.22,75.21,56,Midnight Bomber Jacket,2025-12-13,486.07,189,2.57,6.03
1765640131700,868,759,10.46,4.45,32.93,39,3086.81,79.15,55,Midnight Bomber Jacket,2025-12-13,418.30,146,2.87,7.38
1765643731700,775,712,8.29,3.91,25.70,30,2018.55,67.28,52,Midnight Bomber Jacket,2025-12-13,463.31,236,1.96,4.36
1765647331700,841,756,10.10,4.15,36.44,35,2774.63,79.28,52,Midnight Bomber Jacket,2025-12-13,447.57,171,2.62,6.20
1765650931700,806,686,9.47,4.05,27.10,33,2624.74,79.54,57,Midnight Bomber Jacket,2025-12-13,410.41,163,2.52,6.40
1765654531700,818,699,10.35,5.22,40.93,43,3206.73,74.58,67,Midnight Bomber Jacket,2025-12-13,391.74,179,2.19,8.19
1765658131700,875,753,7.97,3.73,38.94,33,2381.99,72.18,45,Midnight Bomber Jacket,2025-12-13,406.28,195,2.08,5.86
1765661731700,927,797,10.28,5.50,28.03,51,3257.47,63.87,93,Midnight Bomber Jacket,2025-12-13,399.92,138,2.90,8.15
1765665331700,1004,806,9.98,5.27,32.50,53,3954.62,74.62,74,Midnight Bomber Jacket,2025-12-13,462.96,195,2.37,8.54
1765668931700,1130,949,10.31,4.06,40.57,46,3176.00,69.04,85,Midnight Bomber Jacket,2025-12-13,378.60,205,1.85,8.39
1765672531700,1216,1082,12.32,5.09,38.27,62,3933.38,63.44,117,Midnight Bomber Jacket,2025-12-14,444.97,220,2.02,8.84
1765676131700,1362,1183,9.97,4.75,28.77,65,4351.67,66.95,86,Midnight Bomber Jacket,2025-12-14,488.89,238,2.05,8.90
1765679731700,1466,1245,11.52,6.18,37.62,91,6531.10,71.77,126,Midnight Bomber Jacket,2025-12-14,426.58,235,1.82,15.31
1765683331700,1550,1435,11.27,5.47,33.97,85,6179.57,72.70,104,Midnight Bomber Jacket,2025-12-14,511.32,238,2.15,12.09
1765686931700,1616,1393,13.78,6.24,40.96,101,6962.88,68.94,123,Midnight Bomber Jacket,2025-12-14,465.17,204,2.28,14.97
1765690531700,1663,1388,13.06,5.23,40.22,87,6651.95,76.46,136,Midnight Bomber Jacket,2025-12-14,437.93,208,2.11,15.19
1765694131700,1662,1388,13.26,5.58,35.63,93,7320.58,78.72,120,Midnight Bomber Jacket,2025-12-14,498.64,178,2.80,14.68
1765697731700,1645,1547,12.95,5.74,38.00,94,6067.32,64.55,152,Midnight Bomber Jacket,2025-12-14,413.23,194,2.13,14.68
1765701331700,1586,1452,11.35,6.02,33.94,95,6315.35,66.48,176,Midnight Bomber Jacket,2025-12-14,508.04,239,2.13,12.43
