ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,778,697,9.85,4.99,36.89,39,3010.36,77.19,47,Harbor Canvas Tote,2025-12-12,396.57,146,2.72,7.59
1765564531700,759,646,7.94,5.19,34.44,39,2943.87,75.48,53,Harbor Canvas Tote,2025-12-12,407.46,193,2.11,7.22
1765568131700,778,668,8.85,3.75,27.95,29,2535.87,87.44,52,Harbor Canvas Tote,2025-12-12,466.35,248,1.88,5.44
1765571731700,826,755,10.18,4.72,36.34,39,2957.51,75.83,64,Harbor Canvas Tote,2025-12-12,415.61,166,2.50,7.12
1765575331700,873,771,10.41,5.25,31.13,46,3987.38,86.68,72,Harbor Canvas Tote,2025-12-12,461.53,254,1.82,8.64
1765578931700,983,789,11.28,4.87,26.72,48,3707.70,77.24,90,Harbor Canvas Tote,2025-12-12,417.06,179,2.33,8.89
1765582531700,1088,957,10.53,5.67,26.75,62,5131.94,82.77,82,Harbor Canvas Tote,2025-12-12,405.96,139,2.92,12.64
1765586131700,1165,980,10.65,4.73,27.26,55,3931.38,71.48,70,Harbor Canvas Tote,2025-12-13,475.29,184,2.58,8.27
1765589731700,1273,1180,11.39,6.09,37.25,78,5769.56,73.97,128,Harbor Canvas Tote,2025-12-13,429.51,228,1.88,13.43
1765593331700,1359,1237,11.66,6.15,39.34,84,7206.62,85.79,153,Harbor Canvas Tote,2025-12-13,404.42,144,2.81,17.82
1765596931700,1464,1266,13.27,5.47,32.06,80,7115.65,88.95,133,Harbor Canvas Tote,2025-12-13,429.50,229,1.88,16.57
1765600531700,1518,1407,13.30,5.83,42.86,88,7134.07,81.07,165,Harbor Canvas Tote,2025-12-13,487.96,218,2.24,14.62
1765604131700,1578,1324,13.43,4.93,30.99,78,5848.34,74.98,114,Harbor Canvas Tote,2025-12-13,488.98,259,1.89,11.96
1765607731700,1587,1283,13.44,6.60,35.92,105,7523.22,71.65,172,Harbor Canvas Tote,2025-12-13,463.58,224,2.07,16.23
1765611331700,1562,1440,12.47,6.46,33.62,101,8091.26,80.11,153,Harbor Canvas Tote,2025-12-13,409.44,140,2.92,19.76
1765614931700,1510,1431,12.62,5.60,43.40,85,7201.25,84.72,140,Harbor Canvas Tote,2025-12-13,503.11,185,2.72,14.31
1765618531700,1463,1367,12.44,6.00,28.73,88,6297.50,71.56,156,Harbor Canvas Tote,2025-12-13,414.69,182,2.28,15.19
1765622131700,1379,1228,12.64,6.25,40.91,86,6180.83,71.87,127,Harbor Canvas Tote,2025-12-13,472.15,220,2.15,13.09
1765625731700,1275,1133,11.42,4.77,27.83,61,4831.59,79.21,90,Harbor Canvas Tote,2025-12-13,441.57,205,2.15,10.94
1765629331700,1165,1094,11.10,4.96,34.79,58,5138.42,88.59,80,Harbor Canvas Tote,2025-12-13,423.25,144,2.94,12.14
1765632931700,1065,945,10.21,4.15,34.15,44,3524.04,80.09,76,Harbor Canvas Tote,2025-12-13,373.94,144,2.60,9.42
1765636531700,966,862,11.30,5.45,30.44,53,4537.85,85.62,75,Harbor Canvas Tote,2025-12-13,471.13,161,2.93,9.63
1765640131700,876,741,10.78,4.50,29.66,39,3278.85,84.07,50,Harbor Canvas Tote,2025-12-13,425.10,213,2.00,7.71
1765643731700,808,741,8.15,4.68,27.03,38,2996.40,78.85,46,Harbor Canvas Tote,2025-12-13,442.63,228,1.94,6.77
1765647331700,837,730,8.17,4.53,36.36,38,3242.20,85.32,62,Harbor Canvas Tote,2025-12-13,378.87,162,2.34,8.56
1765650931700,840,704,8.46,4.65,29.39,39,3289.37,84.34,57,Harbor Canvas Tote,2025-12-13,448.40,221,2.03,7.34
1765654531700,837,774,9.96,3.72,40.55,31,2356.01,76.00,41,Harbor Canvas Tote,2025-12-13,429.66,208,2.07,5.48
1765658131700,888,790,8.80,4.98,40.11,44,3499.02,79.52,58,Harbor Canvas Tote,2025-12-13,445.54,169,2.64,7.85
1765661731700,954,774,9.54,4.25,39.60,41,2917.65,71.16,56,Harbor Canvas Tote,2025-12-13,363.56,177,2.05,8.03
1765665331700,1082,966,10.86,4.83,37.86,52,3706.35,71.28,81,Harbor Canvas Tote,2025-12-13,400.76,214,1.87,9.25
1765668931700,1181,997,11.08,4.56,39.59,54,4643.60,85.99,101,Harbor Canvas Tote,2025-12-13,385.39,156,2.47,12.05
1765672531700,1281,1192,11.42,4.92,30.72,63,5371.90,85.27,109,Harbor Canvas Tote,2025-12-14,494.11,212,2.33,10.87
1765676131700,1413,1228,11.76,5.99,30.70,85,7348.73,86.46,114,Harbor Canvas Tote,2025-12-14,450.79,158,2.85,16.30
1765679731700,1516,1419,10.99,5.63,39.50,85,7156.16,84.19,149,Harbor Canvas Tote,2025-12-14,413.64,224,1.85,17.30
1765683331700,1612,1393,12.20,4.67,39.73,75,5343.07,71.24,97,Harbor Canvas Tote,2025-12-14,410.66,179,2.29,13.01
1765686931700,1659,1489,13.46,5.91,40.71,98,8071.06,82.36,181,Harbor Canvas Tote,2025-12-14,486.39,185,2.63,16.59
1765690531700,1697,1489,11.72,6.43,39.73,109,9652.84,88.56,170,Harbor Canvas Tote,2025-12-14,480.53,211,2.28,20.09
1765694131700,1716,1626,11.84,6.12,32.82,105,8487.85,80.84,194,Harbor Canvas Tote,2025-12-14,429.47,178,2.41,19.76
1765697731700,1729,1553,13.42,5.02,36.51,87,6778.78,77.92,132,Harbor Canvas Tote,2025-12-14,425.88,187,2.28,15.92
1765701331700,1647,1476,14.10,6.07,30.47,100,8779.50,87.79,145,Harbor Canvas Tote,2025-12-14,498.26,241,2.07,17.62
1765704931700,1587,1280,10.82,5.81,28.60,92,6570.69,71.42,167,Harbor Canvas Tote,2025-12-14,507.59,272,1.87,12.94
1765708531700,1492,1328,12.13,5.17,32.41,77,6210.40,80.65,120,Harbor Canvas Tote,2025-12-14,505.45,205,2.47,12.29
1765712131700,1418,1136,12.57,5.87,38.38,83,7050.84,84.95,140,Harbor Canvas Tote,2025-12-14,412.00,151,2.73,17.11
1765715731700,1293,1164,11.96,4.81,40.98,62,4936.17,79.62,108,Harbor Canvas Tote,2025-12-14,392.28,182,2.16,12.58
1765719331700,1153,936,9.42,5.24,38.50,60,4461.69,74.36,107,Harbor Canvas Tote,2025-12-14,425.13,173,2.46,10.50
1765722931700,1045,948,11.20,4.61,38.28,48,3669.59,76.45,70,Harbor Canvas Tote,2025-12-14,459.37,156,2.94,7.99
1765726531700,979,826,8.40,5.55,37.69,54,3948.97,73.13,83,Harbor Canvas Tote,2025-12-14,448.72,243,1.85,8.80
1765730131700,890,762,8.82,4.28,41.15,38,3202.92,84.29,71,Harbor Canvas Tote,2025-12-14,440.18,160,2.75,7.28
1765733731700,884,779,9.78,4.25,27.42,38,2915.48,76.72,55,Harbor Canvas Tote,2025-12-14,401.18,156,2.57,7.27
1765737331700,876,800,8.58,4.66,34.06,41,3015.68,73.55,59,Harbor Canvas Tote,2025-12-14,389.68,149,2.62,7.74
1765740931700,871,785,10.21,4.35,34.08,38,2804.28,73.80,49,Harbor Canvas Tote,2025-12-14,441.81,149,2.97,6.35
1765744531700,925,809,9.91,3.83,26.50,35,2997.69,85.65,66,Harbor Canvas Tote,2025-12-14,415.46,193,2.15,7.22
1765748131700,996,832,8.14,4.61,34.32,46,3326.46,72.31,60,Harbor Canvas Tote,2025-12-14,364.52,177,2.06,9.13
1765751731700,1088,878,9.41,5.30,30.16,58,4324.84,74.57,97,Harbor Canvas Tote,2025-12-14,440.94,198,2.23,9.81
1765755331700,1210,1125,9.84,5.73,38.26,69,5914.07,85.71,87,Harbor Canvas Tote,2025-12-14,442.17,156,2.83,13.38
1765758931700,1313,1202,11.57,5.41,29.50,71,5836.12,82.20,125,Harbor Canvas Tote,2025-12-15,382.38,203,1.88,15.26
1765762531700,1418,1230,10.26,5.29,32.64,75,5799.94,77.33,117,Harbor Canvas Tote,2025-12-15,427.23,182,2.35,13.58
1765766131700,1553,1305,11.97,5.01,38.17,78,5889.00,75.50,147,Harbor Canvas Tote,2025-12-15,408.24,175,2.33,14.43
1765769731700,1629,1471,11.52,5.83,43.35,95,7446.97,78.39,174,Harbor Canvas Tote,2025-12-15,500.71,201,2.49,14.87
1765773331700,1712,1562,11.59,5.38,43.06,92,8030.64,87.29,159,Harbor Canvas Tote,2025-12-15,470.12,166,2.83,17.08
1765776931700,1764,1631,13.05,5.65,42.90,100,8449.06,84.49,122,Harbor Canvas Tote,2025-12-15,446.41,218,2.05,18.93
