ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,769,674,7.50,5.27,39.53,41,3386.26,82.59,73,Evergreen Linen Shirt,2025-12-12,419.25,147,2.85,8.08
1765564531700,734,605,9.13,5.28,27.77,39,2721.25,69.78,73,Evergreen Linen Shirt,2025-12-12,381.09,182,2.09,7.14
1765568131700,754,639,8.24,4.39,40.64,33,2568.67,77.84,55,Evergreen Linen Shirt,2025-12-12,438.32,156,2.81,5.86
1765571731700,785,683,9.54,3.93,27.19,31,2271.17,73.26,45,Evergreen Linen Shirt,2025-12-12,367.08,200,1.84,6.19
1765575331700,862,816,8.84,5.39,33.26,46,3077.77,66.91,57,Evergreen Linen Shirt,2025-12-12,443.60,204,2.17,6.94
1765578931700,945,783,10.11,4.65,27.86,44,3078.19,69.96,59,Evergreen Linen Shirt,2025-12-12,477.51,252,1.89,6.45
1765582531700,1028,952,9.11,4.76,31.36,49,3601.58,73.50,90,Evergreen Linen Shirt,2025-12-12,493.12,216,2.28,7.30
1765586131700,1163,1048,11.05,5.24,40.52,61,4444.40,72.86,88,Evergreen Linen Shirt,2025-12-13,467.62,175,2.67,9.50
1765589731700,1238,1156,12.49,5.89,32.12,73,5542.13,75.92,112,Evergreen Linen Shirt,2025-12-13,390.51,149,2.62,14.19
1765593331700,1349,1083,11.93,5.39,28.07,73,6036.61,82.69,126,Evergreen Linen Shirt,2025-12-13,414.88,198,2.10,14.55
1765596931700,1404,1231,12.22,4.75,42.73,67,5118.01,76.39,110,Evergreen Linen Shirt,2025-12-13,503.50,211,2.39,10.16
1765600531700,1484,1308,11.57,6.12,31.31,91,7451.22,81.88,154,Evergreen Linen Shirt,2025-12-13,498.41,245,2.03,14.95
1765604131700,1508,1207,11.76,5.09,33.46,77,5233.22,67.96,102,Evergreen Linen Shirt,2025-12-13,486.45,246,1.98,10.76
1765607731700,1521,1393,11.60,5.20,35.61,79,5794.01,73.34,115,Evergreen Linen Shirt,2025-12-13,465.92,198,2.35,12.44
1765611331700,1536,1396,13.57,5.59,38.40,86,6464.03,75.16,144,Evergreen Linen Shirt,2025-12-13,460.95,157,2.94,14.02
1765614931700,1475,1234,13.73,5.86,44.51,86,6128.95,71.27,151,Evergreen Linen Shirt,2025-12-13,466.64,175,2.67,13.13
1765618531700,1427,1232,11.59,5.74,31.30,82,5766.56,70.32,154,Evergreen Linen Shirt,2025-12-13,476.73,163,2.92,12.10
1765622131700,1343,1240,11.13,4.84,30.21,65,4552.99,70.05,108,Evergreen Linen Shirt,2025-12-13,452.60,248,1.82,10.06
1765625731700,1247,1116,12.14,4.39,30.18,55,3659.02,66.53,71,Evergreen Linen Shirt,2025-12-13,451.71,185,2.44,8.10
1765629331700,1131,1066,10.19,5.68,40.82,64,4303.55,67.24,92,Evergreen Linen Shirt,2025-12-13,381.21,169,2.26,11.29
1765632931700,1055,974,9.56,5.39,36.87,57,4721.64,82.84,104,Evergreen Linen Shirt,2025-12-13,448.37,167,2.68,10.53
1765636531700,932,868,10.03,4.75,28.58,44,3212.76,73.02,84,Evergreen Linen Shirt,2025-12-13,403.81,179,2.26,7.96
1765640131700,850,698,10.22,4.64,40.53,39,2720.58,69.76,56,Evergreen Linen Shirt,2025-12-13,418.23,168,2.49,6.50
1765643731700,797,682,7.96,5.22,34.36,42,2905.73,69.18,65,Evergreen Linen Shirt,2025-12-13,430.34,225,1.91,6.75
1765647331700,848,725,7.64,4.89,25.78,41,2881.07,70.27,59,Evergreen Linen Shirt,2025-12-13,420.33,206,2.04,6.85
1765650931700,832,774,7.84,5.14,30.15,43,3296.82,76.67,52,Evergreen Linen Shirt,2025-12-13,468.71,230,2.04,7.03
1765654531700,834,733,9.31,3.74,38.45,31,2022.12,65.23,38,Evergreen Linen Shirt,2025-12-13,356.52,171,2.08,5.67
1765658131700,865,705,7.77,4.84,39.10,42,2931.96,69.81,56,Evergreen Linen Shirt,2025-12-13,375.81,207,1.82,7.80
1765661731700,927,804,9.33,4.43,41.21,41,2788.94,68.02,52,Evergreen Linen Shirt,2025-12-13,362.78,139,2.61,7.69
