ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,798,677,9.70,4.94,36.68,39,3470.60,88.99,70,Juniper Throw Blanket,2025-12-12,431.60,165,2.62,8.04
1765564531700,786,678,9.03,4.49,32.29,35,3186.39,91.04,49,Juniper Throw Blanket,2025-12-12,410.97,169,2.43,7.75
1765568131700,814,668,9.98,4.30,36.69,35,2624.21,74.98,57,Juniper Throw Blanket,2025-12-12,373.18,190,1.96,7.03
1765571731700,830,726,10.19,4.32,28.89,36,3193.05,88.70,47,Juniper Throw Blanket,2025-12-12,368.94,134,2.75,8.65
1765575331700,884,743,10.26,4.04,27.06,36,3019.36,83.87,62,Juniper Throw Blanket,2025-12-12,373.35,167,2.24,8.09
1765578931700,1001,852,9.53,4.68,29.44,47,3776.03,80.34,58,Juniper Throw Blanket,2025-12-12,403.71,158,2.56,9.35
1765582531700,1102,1021,10.99,5.57,39.52,61,5441.48,89.20,87,Juniper Throw Blanket,2025-12-12,479.56,228,2.10,11.35
1765586131700,1190,997,9.49,4.43,30.19,53,4200.99,79.26,100,Juniper Throw Blanket,2025-12-13,491.49,263,1.87,8.55
1765589731700,1292,1042,10.45,4.93,33.42,64,5083.04,79.42,105,Juniper Throw Blanket,2025-12-13,392.79,212,1.85,12.94
1765593331700,1402,1209,12.79,4.81,30.18,67,5724.84,85.45,91,Juniper Throw Blanket,2025-12-13,496.92,261,1.90,11.52
1765596931700,1460,1172,13.57,5.89,42.79,86,7062.26,82.12,114,Juniper Throw Blanket,2025-12-13,441.29,194,2.27,16.00
1765600531700,1550,1272,11.76,5.24,35.53,81,6355.75,78.47,109,Juniper Throw Blanket,2025-12-13,430.19,221,1.95,14.77
1765604131700,1591,1405,12.64,6.54,37.77,104,8266.50,79.49,160,Juniper Throw Blanket,2025-12-13,420.03,144,2.92,19.68
1765607731700,1602,1330,11.56,5.50,33.45,88,7748.54,88.05,148,Juniper Throw Blanket,2025-12-13,480.39,233,2.06,16.13
1765611331700,1595,1300,11.89,5.72,44.38,91,7313.39,80.37,151,Juniper Throw Blanket,2025-12-13,468.74,213,2.20,15.60
1765614931700,1527,1283,13.73,4.93,41.86,75,6410.65,85.48,123,Juniper Throw Blanket,2025-12-13,437.29,224,1.95,14.66
1765618531700,1478,1194,10.92,5.40,33.79,80,6787.53,84.84,125,Juniper Throw Blanket,2025-12-13,421.65,197,2.14,16.10
1765622131700,1377,1134,12.93,4.88,29.27,67,5068.31,75.65,81,Juniper Throw Blanket,2025-12-13,451.76,169,2.67,11.22
1765625731700,1292,1227,11.00,5.99,33.34,77,6389.13,82.98,114,Juniper Throw Blanket,2025-12-13,505.58,233,2.17,12.64
