ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,799,661,7.60,4.95,26.11,40,3339.32,83.48,65,Nimbus Trail Backpack,2025-12-12,404.35,138,2.93,8.26
1765564531700,771,692,8.89,4.85,34.01,37,2911.34,78.68,51,Nimbus Trail Backpack,2025-12-12,470.56,179,2.63,6.19
1765568131700,797,721,9.04,4.32,34.84,34,2833.65,83.34,64,Nimbus Trail Backpack,2025-12-12,437.77,195,2.24,6.47
1765571731700,859,712,10.22,4.36,37.88,37,3264.18,88.22,49,Nimbus Trail Backpack,2025-12-12,402.40,213,1.89,8.11
1765575331700,918,817,9.82,4.21,39.76,39,3387.68,86.86,60,Nimbus Trail Backpack,2025-12-12,435.84,163,2.67,7.77
1765578931700,1011,845,11.33,4.35,27.27,44,3433.50,78.03,79,Nimbus Trail Backpack,2025-12-12,422.15,212,1.99,8.13
1765582531700,1088,875,10.11,4.97,31.24,54,4624.72,85.64,99,Nimbus Trail Backpack,2025-12-12,446.53,222,2.01,10.36
1765586131700,1203,1123,9.93,5.72,37.81,69,6154.62,89.20,83,Nimbus Trail Backpack,2025-12-13,442.35,197,2.25,13.91
1765589731700,1325,1062,12.67,5.15,35.35,68,6150.44,90.45,83,Nimbus Trail Backpack,2025-12-13,420.40,158,2.66,14.63
1765593331700,1402,1221,11.34,5.32,39.23,75,6910.16,92.14,131,Nimbus Trail Backpack,2025-12-13,419.35,164,2.56,16.48
1765596931700,1496,1372,12.51,4.66,34.01,70,5461.60,78.02,91,Nimbus Trail Backpack,2025-12-13,474.17,185,2.56,11.52
1765600531700,1546,1324,13.35,6.37,37.67,99,7750.86,78.29,176,Nimbus Trail Backpack,2025-12-13,459.90,191,2.41,16.85
1765604131700,1598,1311,11.34,5.04,30.79,81,7539.37,93.08,105,Nimbus Trail Backpack,2025-12-13,502.58,223,2.25,15.00
1765607731700,1634,1457,13.39,6.08,30.50,99,9235.17,93.28,146,Nimbus Trail Backpack,2025-12-13,446.84,230,1.94,20.67
1765611331700,1602,1509,11.33,4.78,29.07,77,6717.50,87.24,112,Nimbus Trail Backpack,2025-12-13,476.65,258,1.85,14.09
1765614931700,1579,1480,12.71,6.48,36.80,102,9592.50,94.04,137,Nimbus Trail Backpack,2025-12-13,481.10,216,2.23,19.94
1765618531700,1484,1318,10.95,6.26,36.96,93,7919.02,85.15,173,Nimbus Trail Backpack,2025-12-13,480.76,246,1.95,16.47
1765622131700,1401,1185,13.12,4.62,43.31,65,6171.80,94.95,91,Nimbus Trail Backpack,2025-12-13,423.99,221,1.92,14.56
1765625731700,1331,1140,10.67,5.78,42.10,77,7137.47,92.69,132,Nimbus Trail Backpack,2025-12-13,455.29,177,2.57,15.68
1765629331700,1225,1149,12.15,4.82,27.00,59,5350.84,90.69,74,Nimbus Trail Backpack,2025-12-13,463.09,178,2.60,11.55
1765632931700,1090,920,9.54,4.34,40.14,47,4235.92,90.13,80,Nimbus Trail Backpack,2025-12-13,380.73,140,2.72,11.13
1765636531700,1012,880,9.00,4.44,41.39,45,3597.71,79.95,75,Nimbus Trail Backpack,2025-12-13,376.00,156,2.41,9.57
1765640131700,918,812,10.63,4.49,41.10,41,3237.45,78.96,68,Nimbus Trail Backpack,2025-12-13,428.74,230,1.86,7.55
1765643731700,837,710,9.00,4.23,28.58,35,2986.08,85.32,61,Nimbus Trail Backpack,2025-12-13,426.67,143,2.98,7.00
1765647331700,867,728,7.82,4.23,33.13,37,3089.34,83.50,57,Nimbus Trail Backpack,2025-12-13,468.68,247,1.90,6.59
1765650931700,871,774,8.50,5.28,25.54,46,4212.91,91.59,78,Nimbus Trail Backpack,2025-12-13,360.48,135,2.67,11.69
1765654531700,883,742,8.43,4.36,30.85,38,3585.89,94.37,71,Nimbus Trail Backpack,2025-12-13,443.63,172,2.58,8.08
1765658131700,905,815,8.25,4.90,34.90,44,3462.55,78.69,60,Nimbus Trail Backpack,2025-12-13,393.96,176,2.24,8.79
1765661731700,1002,802,10.40,3.81,33.86,38,3352.78,88.23,65,Nimbus Trail Backpack,2025-12-13,479.70,189,2.54,6.99
1765665331700,1093,989,9.11,4.37,27.77,48,4035.72,84.08,66,Nimbus Trail Backpack,2025-12-13,481.92,177,2.72,8.37
1765668931700,1191,1040,11.77,4.57,33.27,54,5015.96,92.89,91,Nimbus Trail Backpack,2025-12-13,382.71,128,2.99,13.11
1765672531700,1304,1129,10.89,5.21,28.49,68,6101.27,89.72,89,Nimbus Trail Backpack,2025-12-14,468.89,188,2.49,13.01
1765676131700,1440,1215,12.90,5.65,37.17,81,6939.96,85.68,106,Nimbus Trail Backpack,2025-12-14,498.47,229,2.18,13.92
1765679731700,1547,1420,11.06,4.59,41.51,71,5992.12,84.40,107,Nimbus Trail Backpack,2025-12-14,459.25,184,2.50,13.05
1765683331700,1655,1363,13.58,5.55,41.67,92,8308.87,90.31,147,Nimbus Trail Backpack,2025-12-14,462.71,191,2.42,17.96
1765686931700,1692,1381,13.80,6.08,30.76,103,9761.91,94.78,139,Nimbus Trail Backpack,2025-12-14,508.39,202,2.52,19.20
1765690531700,1738,1508,11.35,5.00,39.80,87,7529.79,86.55,159,Nimbus Trail Backpack,2025-12-14,441.65,224,1.97,17.05
1765694131700,1780,1513,12.90,5.71,44.49,102,8732.40,85.61,176,Nimbus Trail Backpack,2025-12-14,441.01,191,2.31,19.80
1765697731700,1754,1406,12.28,5.10,37.06,89,7695.81,86.47,169,Nimbus Trail Backpack,2025-12-14,411.06,209,1.97,18.72
1765701331700,1715,1542,12.61,6.33,42.17,109,9020.44,82.76,178,Nimbus Trail Backpack,2025-12-14,519.56,267,1.95,17.36
1765704931700,1639,1402,12.93,5.39,39.15,88,7087.46,80.54,127,Nimbus Trail Backpack,2025-12-14,511.55,249,2.05,13.85
1765708531700,1540,1398,13.02,4.62,31.84,71,6626.25,93.33,114,Nimbus Trail Backpack,2025-12-14,457.69,204,2.24,14.48
1765712131700,1417,1271,12.57,4.39,38.50,62,5127.97,82.71,84,Nimbus Trail Backpack,2025-12-14,466.15,238,1.96,11.00
1765715731700,1314,1070,10.91,5.41,39.58,71,6122.69,86.24,134,Nimbus Trail Backpack,2025-12-14,478.28,232,2.06,12.80
1765719331700,1204,1062,10.33,5.31,35.60,64,5308.38,82.94,98,Nimbus Trail Backpack,2025-12-14,426.04,194,2.20,12.46
1765722931700,1080,917,10.87,4.35,40.36,47,3913.31,83.26,68,Nimbus Trail Backpack,2025-12-14,472.23,212,2.23,8.29
1765726531700,1004,881,8.73,4.37,34.15,44,3490.68,79.33,78,Nimbus Trail Backpack,2025-12-14,368.42,166,2.22,9.47
1765730131700,912,821,8.52,4.66,33.49,43,3522.75,81.92,63,Nimbus Trail Backpack,2025-12-14,460.22,155,2.97,7.65
1765733731700,907,774,9.75,5.06,30.45,46,4016.52,87.32,64,Nimbus Trail Backpack,2025-12-14,364.75,180,2.03,11.01
1765737331700,896,776,7.85,4.03,33.93,36,3319.46,92.21,49,Nimbus Trail Backpack,2025-12-14,461.75,248,1.86,7.19
1765740931700,881,827,9.61,3.90,39.34,34,2955.71,86.93,64,Nimbus Trail Backpack,2025-12-14,458.89,239,1.92,6.44
1765744531700,953,894,9.36,5.18,25.58,49,4402.87,89.85,82,Nimbus Trail Backpack,2025-12-14,424.22,155,2.74,10.38
1765748131700,1036,861,10.39,3.88,31.87,40,3295.29,82.38,73,Nimbus Trail Backpack,2025-12-14,460.41,256,1.80,7.16
1765751731700,1101,977,11.31,5.02,30.30,55,4581.51,83.30,80,Nimbus Trail Backpack,2025-12-14,459.16,198,2.32,9.98
1765755331700,1205,1141,11.40,5.72,29.44,69,6312.23,91.48,131,Nimbus Trail Backpack,2025-12-14,479.37,221,2.17,13.17
1765758931700,1353,1265,11.60,4.40,30.27,60,5080.78,84.68,110,Nimbus Trail Backpack,2025-12-15,424.37,170,2.50,11.97
1765762531700,1471,1232,10.65,4.81,38.37,71,6278.10,88.42,92,Nimbus Trail Backpack,2025-12-15,453.50,189,2.40,13.84
1765766131700,1580,1271,13.12,5.26,37.81,83,7591.09,91.46,147,Nimbus Trail Backpack,2025-12-15,497.92,243,2.05,15.25
1765769731700,1659,1555,10.92,5.90,39.37,98,8448.13,86.21,146,Nimbus Trail Backpack,2025-12-15,418.91,169,2.48,20.17
1765773331700,1739,1398,12.27,4.81,30.55,84,7919.12,94.28,138,Nimbus Trail Backpack,2025-12-15,462.53,210,2.20,17.12
1765776931700,1784,1522,12.27,6.33,30.19,113,10445.74,92.44,156,Nimbus Trail Backpack,2025-12-15,468.62,183,2.56,22.29
1765780531700,1819,1462,12.76,4.86,39.23,88,8077.54,91.79,147,Nimbus Trail Backpack,2025-12-15,460.93,192,2.40,17.52
1765784131700,1790,1476,13.96,6.18,42.63,111,9993.83,90.03,140,Nimbus Trail Backpack,2025-12-15,506.00,219,2.31,19.75
1765787731700,1751,1599,13.04,5.46,29.34,96,7850.95,81.78,169,Nimbus Trail Backpack,2025-12-15,509.10,179,2.84,15.42
1765791331700,1683,1517,13.73,5.46,36.93,92,7406.93,80.51,112,Nimbus Trail Backpack,2025-12-15,507.22,218,2.33,14.60
1765794931700,1590,1432,10.55,5.14,37.49,82,7136.27,87.03,108,Nimbus Trail Backpack,2025-12-15,416.14,143,2.91,17.15
1765798531700,1475,1267,11.32,5.18,29.19,76,6822.44,89.77,135,Nimbus Trail Backpack,2025-12-15,454.00,203,2.24,15.03
1765802131700,1344,1255,9.97,5.84,42.79,78,6336.71,81.24,101,Nimbus Trail Backpack,2025-12-15,414.07,155,2.67,15.30
1765805731700,1210,1102,9.84,4.11,33.77,50,4366.92,87.34,80,Nimbus Trail Backpack,2025-12-15,387.80,164,2.36,11.26
1765809331700,1128,999,10.98,4.18,41.37,47,4349.14,92.53,58,Nimbus Trail Backpack,2025-12-15,395.64,155,2.55,10.99
1765812931700,1022,882,8.74,5.49,37.63,56,4606.33,82.26,80,Nimbus Trail Backpack,2025-12-15,469.63,195,2.41,9.81
1765816531700,924,874,8.81,4.16,28.79,38,3251.41,85.56,70,Nimbus Trail Backpack,2025-12-15,411.21,189,2.18,7.91
1765820131700,832,731,8.55,4.29,35.42,36,2790.67,77.52,68,Nimbus Trail Backpack,2025-12-15,407.70,187,2.18,6.84
1765823731700,846,704,7.48,5.01,40.29,42,3719.59,88.56,60,Nimbus Trail Backpack,2025-12-15,409.55,152,2.69,9.08
1765827331700,839,696,7.48,4.60,28.67,39,3300.40,84.63,68,Nimbus Trail Backpack,2025-12-15,363.21,181,2.01,9.09
1765830931700,881,722,7.91,4.15,35.05,37,2924.08,79.03,45,Nimbus Trail Backpack,2025-12-15,422.00,154,2.74,6.93
1765834531700,961,900,8.95,4.70,27.14,45,3903.11,86.74,75,Nimbus Trail Backpack,2025-12-15,461.92,180,2.57,8.45
1765838131700,1056,870,10.27,4.95,40.69,52,4043.98,77.77,89,Nimbus Trail Backpack,2025-12-15,453.05,236,1.92,8.93
1765841731700,1160,1011,10.47,4.16,40.34,48,3918.21,81.63,87,Nimbus Trail Backpack,2025-12-15,480.84,264,1.82,8.15
1765845331700,1266,1141,9.94,5.33,32.16,68,5678.25,83.50,118,Nimbus Trail Backpack,2025-12-16,486.11,262,1.86,11.68
1765848931700,1372,1164,12.10,4.70,38.30,64,5842.32,91.29,99,Nimbus Trail Backpack,2025-12-16,468.75,183,2.56,12.46
1765852531700,1501,1249,11.81,5.50,28.18,83,7375.91,88.87,138,Nimbus Trail Backpack,2025-12-16,400.18,197,2.03,18.43
1765856131700,1566,1291,11.89,5.68,31.49,89,7740.03,86.97,115,Nimbus Trail Backpack,2025-12-16,426.89,199,2.15,18.13
1765859731700,1653,1504,13.08,4.99,43.81,83,6571.49,79.17,145,Nimbus Trail Backpack,2025-12-16,472.59,239,1.98,13.91
1765863331700,1685,1402,13.30,6.21,36.00,105,9967.65,94.93,151,Nimbus Trail Backpack,2025-12-16,450.51,246,1.83,22.13
1765866931700,1712,1555,11.92,5.07,42.08,87,6887.36,79.17,118,Nimbus Trail Backpack,2025-12-16,523.26,269,1.95,13.16
1765870531700,1668,1417,12.81,5.72,29.69,95,7401.02,77.91,148,Nimbus Trail Backpack,2025-12-16,408.27,183,2.23,18.13
1765874131700,1650,1450,13.00,5.40,41.51,89,7716.46,86.70,125,Nimbus Trail Backpack,2025-12-16,420.99,204,2.06,18.33
1765877731700,1569,1448,12.79,5.82,44.00,91,7166.65,78.75,130,Nimbus Trail Backpack,2025-12-16,513.38,172,2.98,13.96
1765881331700,1503,1246,11.05,5.97,31.49,90,7503.19,83.37,109,Nimbus Trail Backpack,2025-12-16,413.12,227,1.82,18.16
1765884931700,1396,1245,12.92,4.92,33.99,69,5910.12,85.65,96,Nimbus Trail Backpack,2025-12-16,494.98,233,2.12,11.94
1765888531700,1274,1153,10.36,4.54,40.38,58,5324.59,91.80,72,Nimbus Trail Backpack,2025-12-16,491.89,208,2.36,10.82
1765892131700,1155,1072,8.91,5.21,28.23,60,4837.94,80.63,78,Nimbus Trail Backpack,2025-12-16,419.43,159,2.64,11.53
1765895731700,1035,901,11.17,4.58,27.33,47,3710.71,78.95,69,Nimbus Trail Backpack,2025-12-16,368.72,172,2.14,10.06
