ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,792,676,8.66,4.37,27.93,35,2396.32,68.47,46,Caldera Runner Sneaker,2025-12-12,414.50,226,1.83,5.78
1765564531700,772,685,8.84,3.92,40.15,30,2490.80,83.03,42,Caldera Runner Sneaker,2025-12-12,467.53,188,2.49,5.33
1765568131700,786,675,7.51,3.83,38.50,30,2209.20,73.64,46,Caldera Runner Sneaker,2025-12-12,413.02,199,2.08,5.35
1765571731700,833,789,10.03,5.30,29.36,44,3121.56,70.94,59,Caldera Runner Sneaker,2025-12-12,359.36,147,2.44,8.69
1765575331700,865,746,8.51,5.24,29.12,45,3278.00,72.84,63,Caldera Runner Sneaker,2025-12-12,424.07,216,1.96,7.73
1765578931700,959,828,8.77,4.44,37.74,43,3003.71,69.85,80,Caldera Runner Sneaker,2025-12-12,395.98,156,2.54,7.59
1765582531700,1069,958,9.22,4.94,28.20,53,3712.06,70.04,78,Caldera Runner Sneaker,2025-12-12,462.67,252,1.84,8.02
1765586131700,1140,1045,10.50,4.85,39.43,55,3903.84,70.98,101,Caldera Runner Sneaker,2025-12-13,433.74,181,2.40,9.00
1765589731700,1259,1148,10.08,6.13,39.73,77,5585.73,72.54,95,Caldera Runner Sneaker,2025-12-13,407.63,160,2.55,13.70
1765593331700,1347,1231,12.58,4.66,31.01,63,4608.50,73.15,85,Caldera Runner Sneaker,2025-12-13,422.98,147,2.88,10.90
1765596931700,1462,1358,13.73,5.76,32.03,84,7010.41,83.46,118,Caldera Runner Sneaker,2025-12-13,494.00,248,1.99,14.19
1765600531700,1510,1341,11.21,5.34,39.04,81,6759.38,83.45,147,Caldera Runner Sneaker,2025-12-13,427.50,148,2.89,15.81
1765604131700,1554,1476,14.09,5.00,43.32,78,6328.54,81.14,128,Caldera Runner Sneaker,2025-12-13,448.79,205,2.19,14.10
1765607731700,1551,1427,13.96,6.14,29.57,95,6669.76,70.21,123,Caldera Runner Sneaker,2025-12-13,489.85,261,1.88,13.62
1765611331700,1550,1251,12.23,6.53,33.22,101,8615.38,85.30,189,Caldera Runner Sneaker,2025-12-13,440.31,165,2.67,19.57
1765614931700,1516,1232,14.11,5.25,38.99,80,6699.88,83.75,146,Caldera Runner Sneaker,2025-12-13,492.36,258,1.91,13.61
1765618531700,1456,1288,13.34,5.25,42.62,76,5850.95,76.99,113,Caldera Runner Sneaker,2025-12-13,516.96,229,2.26,11.32
1765622131700,1358,1242,11.29,5.49,28.48,75,6296.84,83.96,99,Caldera Runner Sneaker,2025-12-13,495.74,243,2.04,12.70
1765625731700,1258,1016,12.53,4.64,42.50,58,4124.14,71.11,94,Caldera Runner Sneaker,2025-12-13,477.94,259,1.85,8.63
1765629331700,1155,998,12.22,4.52,41.23,52,3650.46,70.20,82,Caldera Runner Sneaker,2025-12-13,432.37,157,2.75,8.44
1765632931700,1054,935,9.49,4.18,31.36,44,3363.55,76.44,80,Caldera Runner Sneaker,2025-12-13,458.75,252,1.82,7.33
1765636531700,955,841,10.41,5.36,40.48,51,4093.10,80.26,62,Caldera Runner Sneaker,2025-12-13,368.51,128,2.88,11.11
1765640131700,892,727,8.81,5.55,37.67,49,4199.91,85.71,91,Caldera Runner Sneaker,2025-12-13,439.12,191,2.30,9.56
1765643731700,798,639,8.07,4.30,40.77,34,2608.56,76.72,50,Caldera Runner Sneaker,2025-12-13,384.98,164,2.35,6.78
1765647331700,829,749,10.25,5.09,39.33,42,3408.99,81.17,70,Caldera Runner Sneaker,2025-12-13,468.96,226,2.08,7.27
1765650931700,811,712,9.77,4.56,26.69,37,2940.00,79.46,59,Caldera Runner Sneaker,2025-12-13,415.42,142,2.93,7.08
1765654531700,847,782,8.52,4.70,40.96,40,3379.42,84.49,51,Caldera Runner Sneaker,2025-12-13,468.84,238,1.97,7.21
1765658131700,878,791,10.07,5.23,27.13,46,3317.85,72.13,69,Caldera Runner Sneaker,2025-12-13,408.29,141,2.90,8.13
1765661731700,972,815,9.19,3.95,40.81,38,3214.15,84.58,61,Caldera Runner Sneaker,2025-12-13,471.39,162,2.91,6.82
1765665331700,1037,936,10.00,5.25,31.96,54,3954.26,73.23,96,Caldera Runner Sneaker,2025-12-13,371.66,141,2.64,10.64
1765668931700,1164,962,9.55,5.33,34.14,62,4826.77,77.85,110,Caldera Runner Sneaker,2025-12-13,467.90,167,2.80,10.32
1765672531700,1282,1153,10.09,4.76,41.90,61,4803.34,78.74,112,Caldera Runner Sneaker,2025-12-14,498.65,218,2.29,9.63
1765676131700,1388,1293,11.90,5.70,28.74,79,6030.21,76.33,141,Caldera Runner Sneaker,2025-12-14,437.73,211,2.07,13.78
1765679731700,1490,1271,12.97,5.50,36.69,82,7011.07,85.50,146,Caldera Runner Sneaker,2025-12-14,455.40,155,2.94,15.40
1765683331700,1591,1306,10.99,6.38,35.93,101,8650.61,85.65,152,Caldera Runner Sneaker,2025-12-14,417.11,217,1.92,20.74
1765686931700,1638,1368,12.52,5.33,42.14,87,7375.30,84.77,114,Caldera Runner Sneaker,2025-12-14,412.74,211,1.96,17.87
1765690531700,1680,1420,13.69,5.09,35.08,86,6053.15,70.39,138,Caldera Runner Sneaker,2025-12-14,473.28,173,2.74,12.79
1765694131700,1689,1495,14.06,5.62,33.53,95,7987.18,84.08,134,Caldera Runner Sneaker,2025-12-14,458.57,156,2.94,17.42
1765697731700,1683,1535,13.94,5.76,29.56,97,8223.35,84.78,133,Caldera Runner Sneaker,2025-12-14,434.55,197,2.21,18.92
1765701331700,1627,1381,13.77,5.21,29.81,85,5800.34,68.24,155,Caldera Runner Sneaker,2025-12-14,498.72,272,1.83,11.63
1765704931700,1586,1335,13.31,4.81,33.76,76,5238.24,68.92,126,Caldera Runner Sneaker,2025-12-14,399.31,220,1.82,13.12
1765708531700,1482,1310,12.10,5.68,36.81,84,5957.30,70.92,148,Caldera Runner Sneaker,2025-12-14,442.52,182,2.43,13.46
1765712131700,1376,1112,11.53,5.56,32.66,77,6077.33,78.93,135,Caldera Runner Sneaker,2025-12-14,394.45,135,2.92,15.41
1765715731700,1286,1157,11.29,4.77,38.47,61,4568.09,74.89,85,Caldera Runner Sneaker,2025-12-14,473.95,206,2.30,9.64
1765719331700,1160,983,10.07,4.65,41.04,54,3822.72,70.79,82,Caldera Runner Sneaker,2025-12-14,451.54,244,1.85,8.47
1765722931700,1036,975,9.77,5.20,32.30,54,4640.36,85.93,94,Caldera Runner Sneaker,2025-12-14,457.77,160,2.86,10.14
1765726531700,967,915,10.78,5.42,28.40,52,3730.17,71.73,79,Caldera Runner Sneaker,2025-12-14,410.84,151,2.72,9.08
1765730131700,874,717,10.17,4.14,26.01,36,2633.65,73.16,49,Caldera Runner Sneaker,2025-12-14,471.55,193,2.44,5.59
1765733731700,881,725,7.53,3.76,32.60,33,2333.67,70.72,41,Caldera Runner Sneaker,2025-12-14,362.14,171,2.12,6.44
1765737331700,844,711,10.23,4.16,26.24,35,2557.21,73.06,64,Caldera Runner Sneaker,2025-12-14,362.65,147,2.47,7.05
1765740931700,856,716,8.82,3.83,26.60,33,2799.71,84.84,47,Caldera Runner Sneaker,2025-12-14,423.77,149,2.84,6.61
1765744531700,924,814,9.42,4.98,29.65,46,3443.13,74.85,87,Caldera Runner Sneaker,2025-12-14,405.03,199,2.04,8.50
1765748131700,973,826,9.61,5.25,39.20,51,4096.26,80.32,96,Caldera Runner Sneaker,2025-12-14,368.84,170,2.17,11.11
1765751731700,1061,942,11.09,4.30,33.88,46,3760.67,81.75,80,Caldera Runner Sneaker,2025-12-14,459.04,222,2.07,8.19
1765755331700,1162,995,11.29,5.17,41.46,60,4983.95,83.07,88,Caldera Runner Sneaker,2025-12-14,490.50,195,2.52,10.16
1765758931700,1276,1065,10.36,4.40,37.16,56,4476.13,79.93,99,Caldera Runner Sneaker,2025-12-15,430.03,195,2.21,10.41
1765762531700,1424,1206,12.76,5.27,28.59,75,5837.70,77.84,92,Caldera Runner Sneaker,2025-12-15,431.07,187,2.31,13.54
1765766131700,1505,1376,11.47,4.96,42.13,75,5515.30,73.54,123,Caldera Runner Sneaker,2025-12-15,502.29,187,2.69,10.98
1765769731700,1606,1436,11.54,6.37,40.63,102,8230.47,80.69,158,Caldera Runner Sneaker,2025-12-15,484.56,252,1.92,16.99
1765773331700,1682,1435,12.95,6.06,37.53,102,7491.08,73.44,178,Caldera Runner Sneaker,2025-12-15,479.42,219,2.19,15.63
1765776931700,1743,1465,13.92,6.37,39.02,111,8051.44,72.54,138,Caldera Runner Sneaker,2025-12-15,446.14,240,1.86,18.05
1765780531700,1725,1486,12.83,4.82,44.60,83,6998.98,84.33,118,Caldera Runner Sneaker,2025-12-15,454.85,198,2.30,15.39
1765784131700,1717,1507,12.88,5.54,34.68,95,6928.41,72.93,122,Caldera Runner Sneaker,2025-12-15,450.44,151,2.98,15.38
1765787731700,1670,1423,13.84,5.13,29.84,86,5874.54,68.31,122,Caldera Runner Sneaker,2025-12-15,448.75,171,2.62,13.09
1765791331700,1614,1354,13.55,6.24,42.13,101,8601.77,85.17,139,Caldera Runner Sneaker,2025-12-15,487.59,238,2.05,17.64
1765794931700,1522,1355,10.75,5.79,30.07,88,6458.62,73.39,139,Caldera Runner Sneaker,2025-12-15,495.26,252,1.97,13.04
1765798531700,1417,1200,11.74,4.44,28.72,63,4465.34,70.88,111,Caldera Runner Sneaker,2025-12-15,423.25,154,2.75,10.55
1765802131700,1274,1195,9.86,5.05,28.13,64,4470.67,69.85,81,Caldera Runner Sneaker,2025-12-15,425.66,231,1.84,10.50
1765805731700,1192,973,11.05,4.31,27.23,51,3675.27,72.06,67,Caldera Runner Sneaker,2025-12-15,423.25,213,1.99,8.68
1765809331700,1087,955,8.46,4.78,34.96,52,4243.97,81.61,78,Caldera Runner Sneaker,2025-12-15,479.47,228,2.10,8.85
1765812931700,962,787,10.29,5.39,41.53,52,3868.71,74.40,68,Caldera Runner Sneaker,2025-12-15,412.32,225,1.83,9.38
1765816531700,917,798,9.79,4.01,34.27,37,2985.63,80.69,48,Caldera Runner Sneaker,2025-12-15,401.48,140,2.87,7.44
1765820131700,804,727,8.81,4.56,28.04,37,2747.85,74.27,44,Caldera Runner Sneaker,2025-12-15,435.60,189,2.30,6.31
1765823731700,800,683,8.64,4.06,37.60,33,2776.59,84.14,58,Caldera Runner Sneaker,2025-12-15,399.45,142,2.81,6.95
1765827331700,823,747,7.62,4.96,31.61,41,3331.84,81.26,69,Caldera Runner Sneaker,2025-12-15,447.84,228,1.96,7.44
1765830931700,862,767,8.45,4.95,34.57,43,3144.81,73.14,63,Caldera Runner Sneaker,2025-12-15,426.84,184,2.32,7.37
1765834531700,916,777,10.53,4.47,41.40,41,3049.43,74.38,68,Caldera Runner Sneaker,2025-12-15,374.22,200,1.87,8.15
1765838131700,1018,895,10.99,5.32,41.92,54,4525.57,83.81,75,Caldera Runner Sneaker,2025-12-15,387.67,161,2.41,11.67
1765841731700,1127,968,9.79,5.65,38.20,64,5022.97,78.48,86,Caldera Runner Sneaker,2025-12-15,470.83,199,2.37,10.67
