ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,654,526,7.28,3.57,36.04,23,1737.40,75.54,31,Midnight Bomber Jacket,2025-12-12,456.68,238,1.92,3.80
1765564531700,616,524,6.69,2.83,39.91,17,1294.33,76.14,30,Midnight Bomber Jacket,2025-12-12,376.45,162,2.32,3.44
1765568131700,617,526,5.37,3.92,41.11,24,1615.37,67.31,34,Midnight Bomber Jacket,2025-12-12,377.67,135,2.80,4.28
1765571731700,655,599,8.43,3.15,31.71,21,1674.90,79.76,40,Midnight Bomber Jacket,2025-12-12,394.09,150,2.63,4.25
1765575331700,720,632,8.25,2.79,37.92,20,1302.43,65.12,27,Midnight Bomber Jacket,2025-12-12,476.11,164,2.90,2.74
1765578931700,805,686,8.64,3.35,34.83,27,2016.20,74.67,37,Midnight Bomber Jacket,2025-12-12,422.76,145,2.92,4.77
1765582531700,867,735,7.14,2.90,37.04,25,1640.98,65.64,47,Midnight Bomber Jacket,2025-12-12,427.19,195,2.19,3.84
1765586131700,962,792,7.82,4.10,44.47,39,2755.98,70.67,69,Midnight Bomber Jacket,2025-12-13,400.04,150,2.67,6.89
1765589731700,1024,959,8.00,3.72,39.28,38,2745.69,72.25,72,Midnight Bomber Jacket,2025-12-13,475.56,195,2.44,5.77
1765593331700,1122,1012,9.80,3.41,41.25,38,2945.46,77.51,46,Midnight Bomber Jacket,2025-12-13,457.59,239,1.91,6.44
1765596931700,1171,1110,9.31,3.43,47.17,40,2933.60,73.34,69,Midnight Bomber Jacket,2025-12-13,404.72,202,2.00,7.25
1765600531700,1242,1151,11.70,3.56,46.11,44,2828.52,64.28,57,Midnight Bomber Jacket,2025-12-13,496.01,212,2.34,5.70
1765604131700,1268,1050,11.80,4.91,46.36,62,3865.21,62.34,84,Midnight Bomber Jacket,2025-12-13,477.00,206,2.32,8.10
1765607731700,1274,1202,9.57,5.26,46.07,67,4695.77,70.09,80,Midnight Bomber Jacket,2025-12-13,520.80,235,2.22,9.02
1765611331700,1271,1181,11.54,4.19,41.33,53,3980.17,75.10,80,Midnight Bomber Jacket,2025-12-13,503.67,178,2.83,7.90
1765614931700,1238,1162,10.59,4.81,48.42,60,3753.03,62.55,111,Midnight Bomber Jacket,2025-12-13,453.83,177,2.56,8.27
1765618531700,1196,981,10.46,3.64,46.26,44,3213.87,73.04,55,Midnight Bomber Jacket,2025-12-13,485.15,257,1.89,6.62
1765622131700,1116,969,10.07,4.68,36.82,52,3737.31,71.87,70,Midnight Bomber Jacket,2025-12-13,458.02,158,2.90,8.16
1765625731700,1030,829,9.69,4.20,31.67,43,2812.39,65.40,54,Midnight Bomber Jacket,2025-12-13,482.10,226,2.13,5.83
1765629331700,943,780,8.94,4.75,31.20,45,3377.74,75.06,74,Midnight Bomber Jacket,2025-12-13,409.12,150,2.73,8.26
1765632931700,864,724,7.97,2.89,46.42,25,1689.29,67.57,34,Midnight Bomber Jacket,2025-12-13,454.93,231,1.97,3.71
1765636531700,769,684,8.86,4.05,35.59,31,2119.11,68.36,49,Midnight Bomber Jacket,2025-12-13,402.80,175,2.30,5.26
1765640131700,731,656,6.04,4.25,37.75,31,2452.29,79.11,39,Midnight Bomber Jacket,2025-12-13,475.35,237,2.01,5.16
1765643731700,687,613,8.31,2.61,34.37,18,1390.26,77.24,26,Midnight Bomber Jacket,2025-12-13,391.57,135,2.90,3.55
1765647331700,708,671,7.55,3.39,42.77,24,1860.34,77.51,35,Midnight Bomber Jacket,2025-12-13,365.55,187,1.95,5.09
1765650931700,686,638,5.83,3.21,39.54,22,1472.65,66.94,36,Midnight Bomber Jacket,2025-12-13,454.64,198,2.30,3.24
1765654531700,688,587,7.61,3.24,30.16,22,1502.65,68.30,28,Midnight Bomber Jacket,2025-12-13,357.96,185,1.93,4.20
1765658131700,741,601,7.62,3.92,35.39,29,2169.32,74.80,42,Midnight Bomber Jacket,2025-12-13,367.26,191,1.92,5.91
1765661731700,793,739,6.98,2.65,38.00,21,1675.88,79.80,36,Midnight Bomber Jacket,2025-12-13,410.95,217,1.89,4.08
1765665331700,850,767,8.89,3.28,38.16,28,1860.75,66.46,49,Midnight Bomber Jacket,2025-12-13,441.52,221,2.00,4.21
1765668931700,934,766,8.97,3.08,40.03,29,1982.10,68.35,45,Midnight Bomber Jacket,2025-12-13,482.01,178,2.71,4.11
1765672531700,1020,921,9.74,3.99,43.79,41,3200.30,78.06,54,Midnight Bomber Jacket,2025-12-14,469.05,224,2.09,6.82
1765676131700,1132,1031,10.27,4.84,32.07,55,4158.97,75.62,91,Midnight Bomber Jacket,2025-12-14,395.36,215,1.84,10.52
1765679731700,1222,1119,9.47,4.95,42.61,61,4644.43,76.14,110,Midnight Bomber Jacket,2025-12-14,480.87,253,1.90,9.66
1765683331700,1272,1109,10.88,4.09,43.85,52,3670.87,70.59,80,Midnight Bomber Jacket,2025-12-14,412.53,194,2.13,8.90
1765686931700,1340,1207,9.50,4.36,37.13,58,4009.05,69.12,82,Midnight Bomber Jacket,2025-12-14,410.68,161,2.55,9.76
1765690531700,1376,1228,9.31,3.63,47.10,50,3856.97,77.14,61,Midnight Bomber Jacket,2025-12-14,461.33,237,1.95,8.36
1765694131700,1398,1245,11.33,4.24,45.81,59,3767.49,63.86,73,Midnight Bomber Jacket,2025-12-14,451.99,226,2.00,8.34
1765697731700,1386,1310,11.78,4.65,41.03,64,4386.68,68.54,103,Midnight Bomber Jacket,2025-12-14,455.24,179,2.54,9.64
1765701331700,1339,1192,9.22,4.15,39.99,56,4285.34,76.52,80,Midnight Bomber Jacket,2025-12-14,433.07,229,1.89,9.90
1765704931700,1305,1058,11.05,4.73,32.47,62,4633.49,74.73,79,Midnight Bomber Jacket,2025-12-14,407.81,191,2.14,11.36
1765708531700,1211,986,8.42,4.10,41.91,50,3926.74,78.53,77,Midnight Bomber Jacket,2025-12-14,395.37,216,1.83,9.93
1765712131700,1110,912,9.51,4.34,31.95,48,3439.54,71.66,89,Midnight Bomber Jacket,2025-12-14,392.04,140,2.80,8.77
1765715731700,1042,861,9.80,3.18,42.18,33,2221.05,67.30,46,Midnight Bomber Jacket,2025-12-14,464.80,155,3.00,4.78
1765719331700,943,875,7.10,3.16,36.12,30,2136.18,71.21,51,Midnight Bomber Jacket,2025-12-14,419.05,141,2.97,5.10
1765722931700,871,720,6.50,3.11,36.34,27,1787.36,66.20,46,Midnight Bomber Jacket,2025-12-14,407.23,145,2.81,4.39
1765726531700,788,748,6.79,3.04,40.43,24,1840.43,76.68,43,Midnight Bomber Jacket,2025-12-14,408.55,146,2.80,4.50
1765730131700,719,620,6.21,2.75,42.65,20,1426.93,71.35,36,Midnight Bomber Jacket,2025-12-14,373.33,144,2.59,3.82
1765733731700,715,613,6.65,4.09,38.40,29,2301.89,79.38,37,Midnight Bomber Jacket,2025-12-14,418.03,145,2.88,5.51
1765737331700,687,606,6.90,3.17,32.42,22,1598.53,72.66,31,Midnight Bomber Jacket,2025-12-14,365.70,131,2.79,4.37
1765740931700,697,596,7.87,3.16,45.06,22,1530.45,69.57,27,Midnight Bomber Jacket,2025-12-14,387.47,156,2.48,3.95
1765744531700,740,650,5.63,3.25,37.51,24,1689.73,70.41,45,Midnight Bomber Jacket,2025-12-14,476.67,233,2.05,3.54
1765748131700,786,722,7.37,3.59,34.19,28,1898.52,67.80,52,Midnight Bomber Jacket,2025-12-14,377.58,137,2.76,5.03
1765751731700,874,769,7.57,3.77,38.05,33,2435.01,73.79,47,Midnight Bomber Jacket,2025-12-14,449.59,162,2.78,5.42
1765755331700,959,886,9.55,4.28,43.91,41,3079.66,75.11,63,Midnight Bomber Jacket,2025-12-14,484.87,182,2.66,6.35
1765758931700,1071,918,9.31,3.82,31.28,41,2557.55,62.38,78,Midnight Bomber Jacket,2025-12-15,463.10,156,2.97,5.52
1765762531700,1151,1049,7.74,3.95,38.40,45,3282.52,72.94,70,Midnight Bomber Jacket,2025-12-15,460.24,225,2.05,7.13
1765766131700,1238,1145,8.70,4.67,32.21,58,3766.99,64.95,105,Midnight Bomber Jacket,2025-12-15,462.51,188,2.46,8.14
1765769731700,1324,1094,11.00,3.84,40.21,51,3650.73,71.58,66,Midnight Bomber Jacket,2025-12-15,490.38,229,2.14,7.44
1765773331700,1378,1189,10.44,4.88,47.80,67,5297.91,79.07,82,Midnight Bomber Jacket,2025-12-15,403.79,171,2.36,13.12
1765776931700,1406,1159,10.65,5.09,37.86,72,5361.70,74.47,102,Midnight Bomber Jacket,2025-12-15,512.04,174,2.94,10.47
