ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,669,575,6.64,2.61,40.16,17,1305.85,76.81,24,Harbor Canvas Tote,2025-12-12,358.85,179,2.00,3.64
1765564531700,644,569,5.80,3.75,41.93,24,2039.46,84.98,30,Harbor Canvas Tote,2025-12-12,404.72,158,2.56,5.04
1765568131700,677,634,6.01,3.15,40.52,21,1492.62,71.08,35,Harbor Canvas Tote,2025-12-12,422.20,178,2.37,3.54
1765571731700,716,608,5.48,4.07,30.64,29,2119.25,73.08,35,Harbor Canvas Tote,2025-12-12,442.13,231,1.91,4.79
1765575331700,738,657,8.09,2.97,35.87,22,1907.01,86.68,34,Harbor Canvas Tote,2025-12-12,428.30,202,2.12,4.45
1765578931700,821,722,8.52,4.37,35.12,36,3133.18,87.03,54,Harbor Canvas Tote,2025-12-12,478.27,203,2.36,6.55
1765582531700,905,796,7.62,3.10,42.78,28,2477.10,88.47,35,Harbor Canvas Tote,2025-12-12,406.72,165,2.46,6.09
1765586131700,998,929,7.69,3.21,44.03,32,2452.52,76.64,56,Harbor Canvas Tote,2025-12-13,481.88,193,2.50,5.09
1765589731700,1067,873,9.46,4.79,47.00,51,4279.54,83.91,84,Harbor Canvas Tote,2025-12-13,406.80,223,1.82,10.52
1765593331700,1159,1040,10.58,4.84,34.57,56,4611.70,82.35,79,Harbor Canvas Tote,2025-12-13,431.49,152,2.84,10.69
1765596931700,1248,1181,9.42,4.20,32.92,52,4002.05,76.96,71,Harbor Canvas Tote,2025-12-13,517.39,217,2.38,7.74
1765600531700,1285,1187,10.50,4.31,48.58,55,3924.60,71.36,86,Harbor Canvas Tote,2025-12-13,478.63,196,2.44,8.20
1765604131700,1326,1238,11.18,4.51,42.89,60,4423.23,73.72,78,Harbor Canvas Tote,2025-12-13,429.83,182,2.36,10.29
1765607731700,1326,1134,10.93,4.63,35.95,61,4824.66,79.09,103,Harbor Canvas Tote,2025-12-13,448.46,243,1.85,10.76
1765611331700,1332,1138,11.05,3.60,39.36,48,4122.13,85.88,70,Harbor Canvas Tote,2025-12-13,424.80,164,2.59,9.70
1765614931700,1281,1210,11.89,4.34,41.25,56,4293.75,76.67,92,Harbor Canvas Tote,2025-12-13,419.00,162,2.59,10.25
1765618531700,1255,1020,11.46,3.88,48.34,49,4143.12,84.55,81,Harbor Canvas Tote,2025-12-13,470.61,210,2.24,8.80
1765622131700,1180,1097,11.09,4.09,43.86,48,4068.76,84.77,73,Harbor Canvas Tote,2025-12-13,423.17,229,1.85,9.61
1765625731700,1077,1021,8.29,3.72,41.72,40,3392.81,84.82,52,Harbor Canvas Tote,2025-12-13,432.51,160,2.70,7.84
1765629331700,978,804,8.84,3.67,35.78,36,3060.58,85.02,57,Harbor Canvas Tote,2025-12-13,450.86,185,2.44,6.79
1765632931700,919,845,8.90,3.96,40.65,36,3073.19,85.37,54,Harbor Canvas Tote,2025-12-13,480.59,238,2.02,6.39
1765636531700,826,678,6.45,2.80,38.05,23,1769.60,76.94,28,Harbor Canvas Tote,2025-12-13,367.67,171,2.15,4.81
1765640131700,750,608,6.67,2.93,45.31,22,1696.14,77.10,29,Harbor Canvas Tote,2025-12-13,462.97,245,1.89,3.66
1765643731700,703,654,7.46,3.52,42.97,25,1944.87,77.79,43,Harbor Canvas Tote,2025-12-13,452.95,174,2.60,4.29
1765647331700,736,641,5.56,2.79,33.84,21,1531.44,72.93,39,Harbor Canvas Tote,2025-12-13,465.45,180,2.59,3.29
1765650931700,721,615,7.99,3.40,43.00,25,1912.79,76.51,31,Harbor Canvas Tote,2025-12-13,376.80,173,2.18,5.08
1765654531700,733,687,6.08,3.57,38.06,26,1914.28,73.63,38,Harbor Canvas Tote,2025-12-13,395.19,158,2.50,4.84
1765658131700,767,665,5.75,3.37,38.03,26,1861.42,71.59,42,Harbor Canvas Tote,2025-12-13,404.21,150,2.69,4.61
1765661731700,831,787,6.37,2.63,39.40,22,1953.77,88.81,37,Harbor Canvas Tote,2025-12-13,430.16,159,2.71,4.54
1765665331700,913,739,7.59,3.17,37.80,29,2374.29,81.87,46,Harbor Canvas Tote,2025-12-13,410.23,166,2.47,5.79
1765668931700,996,885,7.20,4.21,42.12,42,3643.31,86.75,70,Harbor Canvas Tote,2025-12-13,445.66,179,2.49,8.18
1765672531700,1075,973,9.60,3.25,36.10,35,3097.00,88.49,47,Harbor Canvas Tote,2025-12-14,412.90,164,2.52,7.50
1765676131700,1202,1003,7.89,4.45,36.86,53,4279.60,80.75,95,Harbor Canvas Tote,2025-12-14,482.44,262,1.84,8.87
1765679731700,1259,1134,8.38,3.58,44.26,45,3557.65,79.06,79,Harbor Canvas Tote,2025-12-14,417.62,196,2.13,8.52
1765683331700,1340,1236,9.16,4.90,41.35,66,5400.60,81.83,93,Harbor Canvas Tote,2025-12-14,427.13,191,2.24,12.64
1765686931700,1414,1265,9.21,4.81,43.82,68,6005.88,88.32,107,Harbor Canvas Tote,2025-12-14,493.02,241,2.05,12.18
1765690531700,1459,1366,9.22,4.24,36.88,62,5418.60,87.40,86,Harbor Canvas Tote,2025-12-14,464.66,202,2.30,11.66
1765694131700,1441,1352,11.84,5.17,39.70,74,5966.12,80.62,132,Harbor Canvas Tote,2025-12-14,524.96,286,1.84,11.36
1765697731700,1458,1341,11.04,3.88,44.86,57,4520.15,79.30,94,Harbor Canvas Tote,2025-12-14,497.24,217,2.29,9.09
1765701331700,1402,1287,10.76,5.25,33.41,74,5823.02,78.69,109,Harbor Canvas Tote,2025-12-14,432.61,195,2.22,13.46
1765704931700,1357,1124,9.83,4.27,40.65,58,4944.59,85.25,102,Harbor Canvas Tote,2025-12-14,467.84,255,1.83,10.57
1765708531700,1283,1092,10.40,4.27,40.36,55,4748.07,86.33,67,Harbor Canvas Tote,2025-12-14,452.23,211,2.14,10.50
1765712131700,1194,1101,10.52,3.79,39.29,45,4000.81,88.91,82,Harbor Canvas Tote,2025-12-14,460.43,178,2.59,8.69
1765715731700,1089,895,8.49,4.32,36.70,47,3465.37,73.73,78,Harbor Canvas Tote,2025-12-14,458.17,204,2.25,7.56
1765719331700,984,918,8.83,3.70,32.27,36,3037.17,84.37,68,Harbor Canvas Tote,2025-12-14,461.83,253,1.83,6.58
