ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,660,590,6.14,4.14,32.82,27,2115.70,78.36,37,Evergreen Linen Shirt,2025-12-12,385.82,204,1.89,5.48
1765564531700,623,564,7.72,3.44,42.03,21,1452.20,69.15,34,Evergreen Linen Shirt,2025-12-12,405.87,218,1.86,3.58
1765568131700,646,518,5.79,2.47,39.84,16,1140.59,71.29,30,Evergreen Linen Shirt,2025-12-12,453.42,214,2.12,2.52
1765571731700,682,593,5.99,4.04,41.38,28,2110.82,75.39,36,Evergreen Linen Shirt,2025-12-12,372.37,179,2.08,5.67
1765575331700,718,614,6.17,3.71,32.17,27,2075.22,76.86,51,Evergreen Linen Shirt,2025-12-12,447.70,238,1.88,4.64
1765578931700,780,665,7.13,3.37,45.90,26,1777.01,68.35,44,Evergreen Linen Shirt,2025-12-12,450.20,197,2.29,3.95
1765582531700,893,804,7.15,3.70,32.72,33,2671.73,80.96,56,Evergreen Linen Shirt,2025-12-12,435.11,227,1.92,6.14
1765586131700,975,894,7.84,3.58,42.66,35,2827.15,80.78,51,Evergreen Linen Shirt,2025-12-13,403.60,220,1.83,7.00
1765589731700,1033,908,9.46,3.52,42.73,36,2511.39,69.76,44,Evergreen Linen Shirt,2025-12-13,482.01,209,2.31,5.21
1765593331700,1150,932,9.54,3.59,32.10,41,2802.69,68.36,53,Evergreen Linen Shirt,2025-12-13,512.42,232,2.21,5.47
1765596931700,1203,1074,11.43,4.57,34.27,55,3886.65,70.67,78,Evergreen Linen Shirt,2025-12-13,468.69,234,2.00,8.29
1765600531700,1243,1003,10.40,4.94,41.91,61,4803.11,78.74,108,Evergreen Linen Shirt,2025-12-13,482.90,198,2.44,9.95
1765604131700,1276,1077,11.02,3.69,39.24,47,3466.27,73.75,78,Evergreen Linen Shirt,2025-12-13,443.77,235,1.89,7.81
1765607731700,1279,1054,9.58,4.47,42.69,57,4485.68,78.70,84,Evergreen Linen Shirt,2025-12-13,477.51,236,2.02,9.39
1765611331700,1274,1119,10.37,4.74,44.73,60,4041.15,67.35,90,Evergreen Linen Shirt,2025-12-13,486.68,246,1.98,8.30
1765614931700,1238,990,11.84,3.67,33.99,45,3124.36,69.43,85,Evergreen Linen Shirt,2025-12-13,455.41,197,2.31,6.86
1765618531700,1189,1055,9.45,4.66,41.03,55,4345.83,79.02,79,Evergreen Linen Shirt,2025-12-13,462.48,172,2.69,9.40
1765622131700,1132,948,10.89,3.75,36.57,42,2849.32,67.84,59,Evergreen Linen Shirt,2025-12-13,418.08,217,1.93,6.82
1765625731700,1052,861,8.37,4.61,40.06,48,3773.64,78.62,68,Evergreen Linen Shirt,2025-12-13,406.98,213,1.91,9.27
1765629331700,978,862,9.59,3.95,38.48,39,2716.13,69.64,71,Evergreen Linen Shirt,2025-12-13,492.87,240,2.05,5.51
1765632931700,896,795,7.14,3.02,37.43,27,2143.06,79.37,40,Evergreen Linen Shirt,2025-12-13,456.03,184,2.48,4.70
1765636531700,802,741,9.06,3.68,30.90,30,2435.78,81.19,46,Evergreen Linen Shirt,2025-12-13,479.35,216,2.22,5.08
1765640131700,746,653,6.65,4.37,38.79,33,2353.65,71.32,48,Evergreen Linen Shirt,2025-12-13,425.47,182,2.34,5.53
1765643731700,663,588,7.38,3.80,41.48,25,1689.88,67.60,36,Evergreen Linen Shirt,2025-12-13,387.29,179,2.16,4.36
1765647331700,710,662,5.36,4.06,44.93,29,1948.77,67.20,53,Evergreen Linen Shirt,2025-12-13,462.23,206,2.24,4.22
1765650931700,697,618,5.64,4.18,33.72,29,2336.39,80.57,38,Evergreen Linen Shirt,2025-12-13,409.22,182,2.25,5.71
1765654531700,700,628,5.68,3.68,29.86,26,2072.84,79.72,32,Evergreen Linen Shirt,2025-12-13,473.13,202,2.34,4.38
1765658131700,734,604,5.53,3.62,33.02,27,2083.49,77.17,51,Evergreen Linen Shirt,2025-12-13,367.93,165,2.23,5.66
1765661731700,814,685,6.14,3.64,31.54,30,2373.77,79.13,53,Evergreen Linen Shirt,2025-12-13,473.96,227,2.09,5.01
1765665331700,868,755,8.55,3.02,42.56,26,1698.94,65.34,36,Evergreen Linen Shirt,2025-12-13,449.00,199,2.26,3.78
1765668931700,959,898,7.35,3.36,43.27,32,2219.35,69.35,49,Evergreen Linen Shirt,2025-12-13,478.99,214,2.24,4.63
1765672531700,1057,890,8.38,3.26,40.50,34,2480.54,72.96,48,Evergreen Linen Shirt,2025-12-14,470.60,157,3.00,5.27
1765676131700,1133,955,8.31,4.53,37.50,51,3771.93,73.96,64,Evergreen Linen Shirt,2025-12-14,494.59,252,1.96,7.63
