ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,671,587,6.10,4.01,33.47,27,2156.24,79.86,39,Juniper Throw Blanket,2025-12-12,367.01,151,2.43,5.88
1765564531700,682,578,6.42,3.48,29.95,24,2035.01,84.79,43,Juniper Throw Blanket,2025-12-12,472.65,167,2.83,4.31
1765568131700,694,574,7.36,3.11,39.25,22,1947.71,88.53,30,Juniper Throw Blanket,2025-12-12,386.79,155,2.50,5.04
1765571731700,700,583,5.65,3.40,38.31,24,2052.68,85.53,39,Juniper Throw Blanket,2025-12-12,441.59,156,2.83,4.65
1765575331700,768,670,6.18,3.89,40.68,30,2648.50,88.28,43,Juniper Throw Blanket,2025-12-12,441.65,226,1.95,6.00
1765578931700,848,705,6.76,2.96,38.94,25,1887.71,75.51,30,Juniper Throw Blanket,2025-12-12,461.71,183,2.52,4.09
1765582531700,916,836,9.19,4.36,34.13,40,3032.71,75.82,63,Juniper Throw Blanket,2025-12-12,490.70,200,2.45,6.18
1765586131700,1019,861,9.39,4.38,46.23,45,3657.72,81.28,60,Juniper Throw Blanket,2025-12-13,419.60,225,1.86,8.72
1765589731700,1086,926,7.89,4.29,41.23,47,4278.43,91.03,80,Juniper Throw Blanket,2025-12-13,436.20,148,2.95,9.81
1765593331700,1165,980,9.82,4.28,44.54,50,3702.65,74.05,79,Juniper Throw Blanket,2025-12-13,469.71,212,2.22,7.88
1765596931700,1251,1034,9.50,4.88,39.86,61,5549.98,90.98,100,Juniper Throw Blanket,2025-12-13,423.87,182,2.33,13.09
1765600531700,1309,1199,10.09,3.81,35.35,50,4258.45,85.17,63,Juniper Throw Blanket,2025-12-13,459.62,234,1.96,9.27
1765604131700,1361,1158,11.96,5.05,48.19,69,5368.68,77.81,92,Juniper Throw Blanket,2025-12-13,510.46,278,1.84,10.52
1765607731700,1340,1081,11.90,5.23,34.78,70,5751.63,82.17,112,Juniper Throw Blanket,2025-12-13,477.99,200,2.39,12.03
1765611331700,1336,1160,11.37,4.19,37.80,56,4344.80,77.59,82,Juniper Throw Blanket,2025-12-13,486.16,193,2.52,8.94
1765614931700,1322,1119,11.91,3.55,47.46,47,3519.93,74.89,59,Juniper Throw Blanket,2025-12-13,457.37,177,2.58,7.70
1765618531700,1265,1133,10.68,5.12,44.39,65,5566.86,85.64,115,Juniper Throw Blanket,2025-12-13,415.04,212,1.96,13.41
1765622131700,1190,997,9.08,4.50,38.69,54,4959.70,91.85,87,Juniper Throw Blanket,2025-12-13,424.44,182,2.33,11.69
1765625731700,1094,983,8.60,3.32,44.62,36,3306.31,91.84,49,Juniper Throw Blanket,2025-12-13,392.46,152,2.58,8.42
1765629331700,990,826,9.12,3.16,40.64,31,2493.55,80.44,53,Juniper Throw Blanket,2025-12-13,434.41,159,2.73,5.74
1765632931700,902,785,8.95,3.73,41.33,34,2801.81,82.41,46,Juniper Throw Blanket,2025-12-13,408.65,169,2.42,6.86
1765636531700,834,672,8.35,2.83,45.23,24,1942.53,80.94,29,Juniper Throw Blanket,2025-12-13,458.83,246,1.87,4.23
1765640131700,782,684,7.57,3.16,39.22,25,1910.20,76.41,47,Juniper Throw Blanket,2025-12-13,453.04,240,1.89,4.22
1765643731700,696,558,6.12,2.91,31.09,20,1627.12,81.36,36,Juniper Throw Blanket,2025-12-13,418.02,180,2.32,3.89
1765647331700,751,682,7.40,2.74,34.36,21,1701.45,81.02,36,Juniper Throw Blanket,2025-12-13,454.48,199,2.28,3.74
1765650931700,741,662,5.28,2.73,29.29,20,1665.12,83.26,30,Juniper Throw Blanket,2025-12-13,365.27,177,2.06,4.56
1765654531700,735,695,6.38,2.54,37.59,19,1626.64,85.61,33,Juniper Throw Blanket,2025-12-13,415.00,156,2.66,3.92
1765658131700,793,679,7.47,3.88,43.18,31,2547.40,82.17,50,Juniper Throw Blanket,2025-12-13,399.95,171,2.34,6.37
1765661731700,855,712,5.92,3.53,41.52,30,2325.68,77.52,37,Juniper Throw Blanket,2025-12-13,465.08,233,2.00,5.00
1765665331700,907,843,7.49,3.01,32.00,27,2080.03,77.04,36,Juniper Throw Blanket,2025-12-13,376.17,160,2.35,5.53
1765668931700,1023,963,7.55,3.62,34.82,37,3023.48,81.72,46,Juniper Throw Blanket,2025-12-13,482.37,239,2.02,6.27
1765672531700,1085,900,10.15,4.20,33.09,46,3473.88,75.52,84,Juniper Throw Blanket,2025-12-14,484.71,262,1.85,7.17
1765676131700,1206,1061,9.04,3.34,40.03,40,3171.01,79.28,63,Juniper Throw Blanket,2025-12-14,506.47,280,1.81,6.26
1765679731700,1280,1118,9.79,3.67,36.93,47,4104.84,87.34,78,Juniper Throw Blanket,2025-12-14,495.50,275,1.80,8.28
1765683331700,1363,1196,9.73,4.91,34.43,67,5002.26,74.66,99,Juniper Throw Blanket,2025-12-14,398.60,207,1.93,12.55
1765686931700,1416,1212,9.04,5.24,39.98,74,6626.91,89.55,139,Juniper Throw Blanket,2025-12-14,422.31,217,1.95,15.69
1765690531700,1489,1266,11.15,3.70,40.03,55,4576.30,83.21,91,Juniper Throw Blanket,2025-12-14,436.11,204,2.14,10.49
1765694131700,1471,1394,10.71,4.14,48.11,61,5148.52,84.40,112,Juniper Throw Blanket,2025-12-14,414.59,164,2.53,12.42
1765697731700,1463,1213,9.72,5.11,43.58,75,6351.63,84.69,98,Juniper Throw Blanket,2025-12-14,459.72,249,1.85,13.82
1765701331700,1434,1189,10.88,4.13,45.69,59,4798.25,81.33,88,Juniper Throw Blanket,2025-12-14,483.02,248,1.95,9.93
1765704931700,1377,1135,11.38,4.73,40.41,65,4892.19,75.26,118,Juniper Throw Blanket,2025-12-14,446.22,158,2.82,10.96
1765708531700,1273,1024,9.37,3.90,43.62,50,4295.43,85.91,63,Juniper Throw Blanket,2025-12-14,424.65,143,2.97,10.12
1765712131700,1189,1103,8.15,3.39,36.31,40,3239.50,80.99,48,Juniper Throw Blanket,2025-12-14,469.88,199,2.36,6.89
1765715731700,1103,949,10.15,3.37,31.94,37,3153.52,85.23,70,Juniper Throw Blanket,2025-12-14,432.56,214,2.02,7.29
1765719331700,1001,810,8.62,4.62,41.49,46,3959.50,86.08,57,Juniper Throw Blanket,2025-12-14,446.12,212,2.10,8.88
1765722931700,916,850,6.97,4.27,40.22,39,3492.70,89.56,69,Juniper Throw Blanket,2025-12-14,393.14,176,2.23,8.88
1765726531700,838,677,6.35,3.19,33.29,27,2313.04,85.67,45,Juniper Throw Blanket,2025-12-14,471.49,249,1.89,4.91
1765730131700,757,654,8.07,3.21,42.29,24,1821.24,75.89,31,Juniper Throw Blanket,2025-12-14,362.00,150,2.41,5.03
1765733731700,761,615,8.02,3.44,40.79,26,2070.01,79.62,49,Juniper Throw Blanket,2025-12-14,382.62,142,2.69,5.41
1765737331700,731,668,6.62,3.05,44.71,22,1645.75,74.81,38,Juniper Throw Blanket,2025-12-14,370.68,181,2.05,4.44
1765740931700,743,617,7.70,3.61,42.54,27,2368.31,87.72,43,Juniper Throw Blanket,2025-12-14,403.85,155,2.61,5.86
1765744531700,810,660,8.33,3.21,32.93,26,2027.88,78.00,45,Juniper Throw Blanket,2025-12-14,383.66,162,2.37,5.29
1765748131700,864,740,6.10,3.15,34.26,27,2070.94,76.70,36,Juniper Throw Blanket,2025-12-14,377.45,162,2.33,5.49
1765751731700,928,881,6.79,3.33,33.33,31,2692.33,86.85,54,Juniper Throw Blanket,2025-12-14,482.71,255,1.89,5.58
1765755331700,1014,869,7.12,3.09,38.80,31,2716.23,87.62,47,Juniper Throw Blanket,2025-12-14,464.78,204,2.28,5.84
1765758931700,1141,969,7.40,3.01,41.26,34,2839.86,83.53,52,Juniper Throw Blanket,2025-12-15,460.97,176,2.62,6.16
1765762531700,1223,1023,10.65,3.53,38.96,43,3736.15,86.89,52,Juniper Throw Blanket,2025-12-15,410.82,169,2.43,9.09
1765766131700,1337,1122,10.44,4.87,41.77,65,5495.94,84.55,95,Juniper Throw Blanket,2025-12-15,465.70,169,2.76,11.80
1765769731700,1419,1160,9.19,3.98,33.80,56,4654.43,83.11,106,Juniper Throw Blanket,2025-12-15,440.60,155,2.84,10.56
1765773331700,1443,1205,9.29,4.93,46.36,71,6492.17,91.44,122,Juniper Throw Blanket,2025-12-15,403.89,156,2.59,16.07
1765776931700,1514,1379,9.94,4.83,41.89,73,5711.35,78.24,109,Juniper Throw Blanket,2025-12-15,478.58,243,1.97,11.93
1765780531700,1525,1381,12.17,4.31,35.74,66,5107.24,77.38,87,Juniper Throw Blanket,2025-12-15,456.60,205,2.23,11.19
1765784131700,1510,1348,12.03,3.91,48.36,59,5173.28,87.68,74,Juniper Throw Blanket,2025-12-15,505.32,273,1.85,10.24
1765787731700,1450,1203,9.06,4.68,36.27,68,5661.57,83.26,107,Juniper Throw Blanket,2025-12-15,516.38,230,2.25,10.96
1765791331700,1383,1150,9.22,4.70,37.80,65,5440.37,83.70,120,Juniper Throw Blanket,2025-12-15,495.66,221,2.24,10.98
1765794931700,1321,1106,8.89,4.81,34.30,64,5538.48,86.54,119,Juniper Throw Blanket,2025-12-15,503.90,210,2.40,10.99
1765798531700,1228,1062,9.53,3.46,34.61,42,3235.38,77.03,67,Juniper Throw Blanket,2025-12-15,416.93,159,2.62,7.76
1765802131700,1145,989,8.03,3.23,45.90,37,3204.98,86.62,69,Juniper Throw Blanket,2025-12-15,454.41,216,2.10,7.05
1765805731700,1044,842,7.27,4.26,45.73,45,3386.54,75.26,78,Juniper Throw Blanket,2025-12-15,436.13,156,2.80,7.76
1765809331700,936,801,7.05,3.35,42.61,31,2299.93,74.19,53,Juniper Throw Blanket,2025-12-15,421.41,158,2.67,5.46
1765812931700,854,692,5.87,2.62,32.58,22,1960.45,89.11,32,Juniper Throw Blanket,2025-12-15,371.13,159,2.33,5.28
1765816531700,806,745,7.03,3.83,33.01,31,2833.11,91.39,55,Juniper Throw Blanket,2025-12-15,386.77,209,1.85,7.32
1765820131700,724,624,6.92,3.53,42.18,26,2243.09,86.27,49,Juniper Throw Blanket,2025-12-15,394.42,178,2.22,5.69
