ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,666,596,7.24,3.26,40.89,22,2035.54,92.52,33,Nimbus Trail Backpack,2025-12-12,393.40,153,2.57,5.17
1765564531700,664,557,8.12,4.11,32.34,27,2481.43,91.90,35,Nimbus Trail Backpack,2025-12-12,371.87,137,2.71,6.67
1765568131700,689,568,6.97,3.28,41.90,23,2050.10,89.13,38,Nimbus Trail Backpack,2025-12-12,379.75,175,2.17,5.40
1765571731700,723,613,6.63,2.68,42.58,19,1753.68,92.30,36,Nimbus Trail Backpack,2025-12-12,440.46,234,1.88,3.98
1765575331700,770,692,8.77,2.70,42.58,21,1633.11,77.77,30,Nimbus Trail Backpack,2025-12-12,378.15,139,2.72,4.32
1765578931700,842,697,7.01,3.82,35.32,32,2912.57,91.02,52,Nimbus Trail Backpack,2025-12-12,427.13,217,1.97,6.82
1765582531700,939,847,7.76,4.37,30.69,41,3251.16,79.30,50,Nimbus Trail Backpack,2025-12-12,483.32,205,2.36,6.73
1765586131700,1021,951,10.13,3.45,43.33,35,2781.76,79.48,54,Nimbus Trail Backpack,2025-12-13,465.59,161,2.89,5.97
1765589731700,1099,925,8.72,4.07,45.21,45,4138.17,91.96,81,Nimbus Trail Backpack,2025-12-13,413.94,225,1.84,10.00
1765593331700,1196,1073,9.73,4.99,32.87,60,5197.95,86.63,82,Nimbus Trail Backpack,2025-12-13,423.09,191,2.22,12.29
1765596931700,1292,1130,10.91,4.01,47.05,52,4177.48,80.34,84,Nimbus Trail Backpack,2025-12-13,490.58,190,2.58,8.52
1765600531700,1340,1253,8.99,5.02,39.53,67,5502.84,82.13,103,Nimbus Trail Backpack,2025-12-13,488.10,238,2.05,11.27
1765604131700,1351,1217,9.41,5.24,37.13,71,5806.44,81.78,134,Nimbus Trail Backpack,2025-12-13,510.35,199,2.56,11.38
1765607731700,1357,1126,11.33,3.63,38.04,49,4309.17,87.94,85,Nimbus Trail Backpack,2025-12-13,515.13,190,2.71,8.37
1765611331700,1365,1237,9.88,3.75,45.99,51,4674.65,91.66,90,Nimbus Trail Backpack,2025-12-13,426.61,206,2.07,10.96
1765614931700,1324,1156,11.45,4.06,42.83,54,5108.82,94.61,99,Nimbus Trail Backpack,2025-12-13,485.07,200,2.43,10.53
1765618531700,1264,1041,11.39,4.00,34.15,51,4236.21,83.06,63,Nimbus Trail Backpack,2025-12-13,421.69,225,1.87,10.05
1765622131700,1186,1077,8.76,4.14,34.93,49,3963.80,80.89,66,Nimbus Trail Backpack,2025-12-13,452.26,175,2.58,8.76
1765625731700,1119,985,9.42,3.20,42.91,36,3236.77,89.91,60,Nimbus Trail Backpack,2025-12-13,497.17,178,2.79,6.51
1765629331700,1008,872,9.55,3.75,34.27,38,3220.03,84.74,54,Nimbus Trail Backpack,2025-12-13,390.68,203,1.92,8.24
1765632931700,932,764,8.69,3.10,34.89,29,2469.50,85.16,50,Nimbus Trail Backpack,2025-12-13,491.47,226,2.17,5.02
1765636531700,845,784,6.86,4.24,37.72,36,2934.55,81.52,46,Nimbus Trail Backpack,2025-12-13,374.19,141,2.65,7.84
1765640131700,762,646,6.00,3.23,32.60,25,2345.82,93.83,39,Nimbus Trail Backpack,2025-12-13,393.89,192,2.05,5.96
1765643731700,709,583,7.45,4.08,30.08,29,2574.89,88.79,53,Nimbus Trail Backpack,2025-12-13,473.26,199,2.38,5.44
1765647331700,761,641,7.48,3.14,39.95,24,2113.23,88.05,32,Nimbus Trail Backpack,2025-12-13,461.79,183,2.52,4.58
1765650931700,725,617,5.38,2.97,39.24,22,1806.77,82.13,35,Nimbus Trail Backpack,2025-12-13,392.59,170,2.31,4.60
1765654531700,761,633,7.97,4.04,37.87,31,2866.72,92.47,47,Nimbus Trail Backpack,2025-12-13,462.58,214,2.16,6.20
1765658131700,782,694,7.52,3.00,43.99,23,1880.59,81.76,32,Nimbus Trail Backpack,2025-12-13,462.60,239,1.94,4.07
1765661731700,845,676,6.82,3.54,30.97,30,2408.13,80.27,45,Nimbus Trail Backpack,2025-12-13,372.14,125,2.98,6.47
1765665331700,926,852,7.35,4.15,33.41,38,3381.16,88.98,56,Nimbus Trail Backpack,2025-12-13,400.58,213,1.88,8.44
1765668931700,1018,922,8.58,3.39,34.21,34,2885.07,84.86,51,Nimbus Trail Backpack,2025-12-13,389.49,151,2.58,7.41
1765672531700,1138,920,9.08,3.67,37.11,42,3578.75,85.21,73,Nimbus Trail Backpack,2025-12-14,405.75,168,2.42,8.82
1765676131700,1233,998,10.24,4.81,42.42,59,4835.55,81.96,104,Nimbus Trail Backpack,2025-12-14,392.52,166,2.36,12.32
1765679731700,1314,1131,8.92,3.56,43.95,47,3874.33,82.43,67,Nimbus Trail Backpack,2025-12-14,409.61,141,2.91,9.46
1765683331700,1383,1205,9.26,3.75,33.35,52,4796.48,92.24,95,Nimbus Trail Backpack,2025-12-14,453.69,209,2.17,10.57
1765686931700,1464,1308,9.08,4.13,36.07,60,5559.15,92.65,79,Nimbus Trail Backpack,2025-12-14,509.38,239,2.13,10.91
1765690531700,1501,1335,10.18,4.73,34.27,71,5816.34,81.92,102,Nimbus Trail Backpack,2025-12-14,444.89,209,2.13,13.07
1765694131700,1488,1210,10.66,3.60,47.06,54,4854.68,89.90,85,Nimbus Trail Backpack,2025-12-14,416.08,186,2.24,11.67
1765697731700,1496,1385,10.10,4.13,33.34,62,5625.23,90.73,95,Nimbus Trail Backpack,2025-12-14,470.32,233,2.02,11.96
1765701331700,1461,1277,10.77,4.82,33.57,70,5812.71,83.04,105,Nimbus Trail Backpack,2025-12-14,426.60,203,2.10,13.63
1765704931700,1403,1193,10.39,4.44,41.34,62,5744.53,92.65,88,Nimbus Trail Backpack,2025-12-14,445.63,225,1.98,12.89
1765708531700,1295,1183,9.95,3.97,39.12,51,4339.14,85.08,82,Nimbus Trail Backpack,2025-12-14,422.62,153,2.76,10.27
1765712131700,1207,1091,8.90,4.58,41.75,55,4880.75,88.74,77,Nimbus Trail Backpack,2025-12-14,492.73,177,2.78,9.91
1765715731700,1129,1027,9.47,3.86,45.45,44,4086.64,92.88,78,Nimbus Trail Backpack,2025-12-14,417.54,220,1.90,9.79
1765719331700,1019,946,9.05,4.38,33.94,45,3537.04,78.60,75,Nimbus Trail Backpack,2025-12-14,410.23,227,1.81,8.62
1765722931700,944,820,6.41,4.37,36.62,41,3470.46,84.65,53,Nimbus Trail Backpack,2025-12-14,439.60,223,1.97,7.89
1765726531700,863,809,8.16,3.86,32.39,33,3074.76,93.17,54,Nimbus Trail Backpack,2025-12-14,378.64,210,1.80,8.12
1765730131700,790,741,5.96,4.12,37.77,33,2576.09,78.06,44,Nimbus Trail Backpack,2025-12-14,390.92,178,2.20,6.59
1765733731700,767,654,7.59,2.49,37.12,19,1621.51,85.34,34,Nimbus Trail Backpack,2025-12-14,459.83,192,2.39,3.53
1765737331700,759,636,5.80,3.81,39.50,29,2338.33,80.63,36,Nimbus Trail Backpack,2025-12-14,422.94,179,2.36,5.53
1765740931700,749,666,6.72,4.05,40.66,30,2575.18,85.84,54,Nimbus Trail Backpack,2025-12-14,421.58,189,2.23,6.11
1765744531700,786,730,6.56,4.13,34.71,32,2541.27,79.41,59,Nimbus Trail Backpack,2025-12-14,405.14,146,2.77,6.27
1765748131700,877,790,7.05,3.56,34.83,31,2668.86,86.09,46,Nimbus Trail Backpack,2025-12-14,382.72,161,2.38,6.97
1765751731700,952,815,7.33,3.22,36.40,31,2941.89,94.90,48,Nimbus Trail Backpack,2025-12-14,384.71,153,2.51,7.65
1765755331700,1027,830,7.65,3.92,35.66,40,3429.43,85.74,60,Nimbus Trail Backpack,2025-12-14,411.67,198,2.08,8.33
1765758931700,1153,979,9.12,3.07,31.81,35,3280.08,93.72,64,Nimbus Trail Backpack,2025-12-15,471.67,222,2.12,6.95
1765762531700,1263,1173,9.34,4.65,34.38,59,4799.25,81.34,103,Nimbus Trail Backpack,2025-12-15,485.88,181,2.68,9.88
1765766131700,1342,1136,10.94,4.26,39.96,57,4547.57,79.78,75,Nimbus Trail Backpack,2025-12-15,446.31,167,2.67,10.19
1765769731700,1434,1222,11.40,5.10,45.91,73,5731.75,78.52,91,Nimbus Trail Backpack,2025-12-15,457.00,250,1.83,12.54
1765773331700,1481,1215,9.19,3.76,40.29,56,5137.38,91.74,98,Nimbus Trail Backpack,2025-12-15,414.96,193,2.15,12.38
1765776931700,1539,1355,10.94,3.97,46.45,61,4956.42,81.25,78,Nimbus Trail Backpack,2025-12-15,489.93,167,2.93,10.12
1765780531700,1542,1342,9.66,3.63,46.75,56,4691.31,83.77,105,Nimbus Trail Backpack,2025-12-15,455.12,247,1.84,10.31
1765784131700,1541,1425,11.35,4.57,42.18,70,5492.05,78.46,131,Nimbus Trail Backpack,2025-12-15,510.63,202,2.53,10.76
1765787731700,1483,1270,9.46,3.74,34.69,55,4612.60,83.87,76,Nimbus Trail Backpack,2025-12-15,465.48,214,2.18,9.91
1765791331700,1438,1354,10.45,4.00,34.58,58,5004.76,86.29,77,Nimbus Trail Backpack,2025-12-15,516.94,204,2.53,9.68
1765794931700,1358,1152,9.08,4.28,46.95,58,4959.50,85.51,97,Nimbus Trail Backpack,2025-12-15,456.70,215,2.12,10.86
1765798531700,1257,1154,8.01,3.30,37.81,42,3737.55,88.99,77,Nimbus Trail Backpack,2025-12-15,429.59,158,2.72,8.70
1765802131700,1153,1063,8.18,4.40,34.09,51,4791.48,93.95,70,Nimbus Trail Backpack,2025-12-15,489.28,231,2.12,9.79
1765805731700,1036,876,7.67,3.62,37.01,38,3167.57,83.36,58,Nimbus Trail Backpack,2025-12-15,479.36,192,2.50,6.61
1765809331700,964,806,7.67,2.87,39.54,28,2547.21,90.97,49,Nimbus Trail Backpack,2025-12-15,439.13,235,1.87,5.80
1765812931700,880,722,6.05,3.27,40.84,29,2631.33,90.74,40,Nimbus Trail Backpack,2025-12-15,378.43,157,2.41,6.95
1765816531700,816,688,6.71,2.50,42.35,20,1617.85,80.89,25,Nimbus Trail Backpack,2025-12-15,474.21,245,1.94,3.41
1765820131700,711,591,5.32,2.79,34.75,20,1761.31,88.07,32,Nimbus Trail Backpack,2025-12-15,428.77,182,2.36,4.11
1765823731700,711,660,7.45,2.63,39.04,19,1789.84,94.20,30,Nimbus Trail Backpack,2025-12-15,441.17,239,1.85,4.06
1765827331700,722,599,7.40,4.12,29.37,30,2319.43,77.31,53,Nimbus Trail Backpack,2025-12-15,359.22,193,1.86,6.46
1765830931700,744,614,6.97,4.08,30.75,30,2808.92,93.63,57,Nimbus Trail Backpack,2025-12-15,474.40,182,2.61,5.92
1765834531700,821,666,6.66,3.34,32.72,27,2440.26,90.38,43,Nimbus Trail Backpack,2025-12-15,418.66,228,1.84,5.83
1765838131700,911,749,7.01,3.22,31.05,29,2285.10,78.80,51,Nimbus Trail Backpack,2025-12-15,475.24,227,2.09,4.81
1765841731700,983,803,9.07,3.09,44.08,30,2807.26,93.58,47,Nimbus Trail Backpack,2025-12-15,448.15,214,2.09,6.26
1765845331700,1087,964,8.32,3.37,31.59,37,3318.10,89.68,61,Nimbus Trail Backpack,2025-12-16,453.82,219,2.07,7.31
1765848931700,1176,1002,8.46,4.35,40.29,51,4437.43,87.01,94,Nimbus Trail Backpack,2025-12-16,463.36,190,2.44,9.58
1765852531700,1260,1105,10.04,4.05,37.42,51,4386.03,86.00,66,Nimbus Trail Backpack,2025-12-16,464.54,205,2.27,9.44
1765856131700,1327,1108,9.81,3.79,43.69,50,4236.85,84.74,84,Nimbus Trail Backpack,2025-12-16,408.68,145,2.82,10.37
1765859731700,1401,1207,9.04,5.12,39.71,72,6105.73,84.80,105,Nimbus Trail Backpack,2025-12-16,502.92,235,2.14,12.14
1765863331700,1453,1237,9.77,3.89,32.93,56,4788.24,85.50,103,Nimbus Trail Backpack,2025-12-16,444.12,183,2.43,10.78
1765866931700,1456,1345,10.60,4.97,41.97,72,6310.42,87.64,99,Nimbus Trail Backpack,2025-12-16,498.67,226,2.21,12.65
1765870531700,1443,1307,11.01,3.94,41.78,57,4599.47,80.69,83,Nimbus Trail Backpack,2025-12-16,508.80,225,2.26,9.04
