ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,647,589,7.27,3.90,39.63,25,2146.23,85.85,32,Caldera Runner Sneaker,2025-12-12,395.03,146,2.71,5.43
1765564531700,624,509,7.64,4.10,37.53,26,2199.29,84.59,34,Caldera Runner Sneaker,2025-12-12,439.13,197,2.23,5.01
1765568131700,672,566,5.49,3.57,43.51,24,1882.90,78.45,45,Caldera Runner Sneaker,2025-12-12,403.32,203,1.99,4.67
1765571731700,693,632,7.06,3.47,33.55,24,1738.35,72.43,37,Caldera Runner Sneaker,2025-12-12,388.99,166,2.34,4.47
1765575331700,753,676,6.47,2.86,35.28,22,1673.08,76.05,37,Caldera Runner Sneaker,2025-12-12,383.06,156,2.46,4.37
1765578931700,822,718,7.19,3.48,35.66,29,2130.98,73.48,37,Caldera Runner Sneaker,2025-12-12,430.42,209,2.06,4.95
1765582531700,890,729,8.82,3.71,32.78,33,2687.52,81.44,52,Caldera Runner Sneaker,2025-12-12,455.61,227,2.01,5.90
1765586131700,992,904,9.20,4.08,39.01,40,3010.93,75.27,62,Caldera Runner Sneaker,2025-12-13,475.67,209,2.28,6.33
1765589731700,1078,966,9.05,4.17,47.07,45,3775.36,83.90,62,Caldera Runner Sneaker,2025-12-13,464.06,224,2.07,8.14
1765593331700,1136,945,10.87,4.80,40.31,54,3771.39,69.84,81,Caldera Runner Sneaker,2025-12-13,450.24,193,2.33,8.38
1765596931700,1226,1076,10.62,3.62,46.86,44,3675.08,83.52,71,Caldera Runner Sneaker,2025-12-13,428.75,201,2.13,8.57
1765600531700,1264,1193,10.66,4.19,36.20,53,3821.70,72.11,85,Caldera Runner Sneaker,2025-12-13,434.71,235,1.85,8.79
1765604131700,1285,1155,9.95,4.30,48.81,55,4643.21,84.42,97,Caldera Runner Sneaker,2025-12-13,498.79,262,1.90,9.31
1765607731700,1326,1145,10.20,4.65,33.88,62,4629.63,74.67,113,Caldera Runner Sneaker,2025-12-13,460.95,196,2.35,10.04
1765611331700,1291,1118,10.57,4.34,45.95,56,4623.13,82.56,70,Caldera Runner Sneaker,2025-12-13,503.86,224,2.25,9.18
