ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,831,692,9.25,5.25,36.12,44,2981.69,67.77,64,Midnight Bomber Jacket,2025-12-12,417.91,184,2.27,7.13
1765564531700,810,661,8.57,5.38,31.73,44,2991.02,67.98,75,Midnight Bomber Jacket,2025-12-12,363.30,158,2.30,8.23
1765568131700,814,678,10.87,5.89,28.17,48,3673.83,76.54,73,Midnight Bomber Jacket,2025-12-12,470.62,182,2.59,7.81
1765571731700,864,755,10.83,4.79,23.37,41,2815.99,68.68,68,Midnight Bomber Jacket,2025-12-12,415.89,197,2.11,6.77
1765575331700,930,806,11.71,5.79,37.93,54,3915.56,72.51,99,Midnight Bomber Jacket,2025-12-12,392.60,196,2.00,9.97
1765578931700,1026,928,10.07,5.50,35.88,56,4353.97,77.75,74,Midnight Bomber Jacket,2025-12-12,462.11,176,2.63,9.42
1765582531700,1101,1046,10.38,5.62,35.48,62,4630.43,74.68,103,Midnight Bomber Jacket,2025-12-12,402.98,148,2.72,11.49
1765586131700,1220,992,12.60,6.28,28.88,77,5995.70,77.87,109,Midnight Bomber Jacket,2025-12-13,445.18,245,1.82,13.47
1765589731700,1336,1125,13.93,6.11,38.39,82,5178.87,63.16,111,Midnight Bomber Jacket,2025-12-13,471.38,194,2.43,10.99
1765593331700,1423,1266,11.77,5.40,28.55,77,5247.60,68.15,115,Midnight Bomber Jacket,2025-12-13,408.78,138,2.96,12.84
1765596931700,1530,1450,13.54,5.91,41.72,90,6897.29,76.64,119,Midnight Bomber Jacket,2025-12-13,456.74,195,2.34,15.10
1765600531700,1591,1318,14.20,6.57,35.86,105,8163.56,77.75,182,Midnight Bomber Jacket,2025-12-13,507.80,255,1.99,16.08
1765604131700,1610,1418,12.88,5.90,37.00,95,6621.34,69.70,137,Midnight Bomber Jacket,2025-12-13,458.22,169,2.71,14.45
1765607731700,1653,1327,14.52,6.60,38.94,109,7607.78,69.80,173,Midnight Bomber Jacket,2025-12-13,486.04,224,2.17,15.65
1765611331700,1642,1429,12.92,6.87,37.94,113,7568.98,66.98,210,Midnight Bomber Jacket,2025-12-13,477.83,199,2.40,15.84
1765614931700,1592,1352,13.52,6.28,28.31,100,7001.91,70.02,178,Midnight Bomber Jacket,2025-12-13,411.40,179,2.30,17.02
1765618531700,1508,1219,13.61,6.63,37.54,100,6306.17,63.06,125,Midnight Bomber Jacket,2025-12-13,459.85,190,2.42,13.71
1765622131700,1422,1271,14.03,6.61,26.90,94,7072.46,75.24,140,Midnight Bomber Jacket,2025-12-13,416.53,199,2.09,16.98
1765625731700,1320,1088,13.34,6.70,31.65,88,6649.29,75.56,120,Midnight Bomber Jacket,2025-12-13,494.16,233,2.12,13.46
1765629331700,1225,1147,11.93,5.07,28.48,62,4484.13,72.32,80,Midnight Bomber Jacket,2025-12-13,494.03,190,2.60,9.08
1765632931700,1108,986,11.98,4.69,29.64,52,3824.39,73.55,67,Midnight Bomber Jacket,2025-12-13,435.16,155,2.81,8.79
1765636531700,1022,920,11.93,5.09,24.34,52,3460.55,66.55,73,Midnight Bomber Jacket,2025-12-13,447.36,216,2.07,7.74
1765640131700,938,771,11.78,5.11,25.13,48,3613.04,75.27,78,Midnight Bomber Jacket,2025-12-13,450.17,207,2.17,8.03
1765643731700,837,758,9.39,4.99,24.03,42,2741.19,65.27,78,Midnight Bomber Jacket,2025-12-13,408.82,212,1.93,6.71
