ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,861,762,10.69,5.88,32.51,51,3627.40,71.13,88,Harbor Canvas Tote,2025-12-12,412.71,173,2.39,8.79
1765564531700,829,773,11.24,5.15,36.34,43,3196.49,74.34,55,Harbor Canvas Tote,2025-12-12,427.53,176,2.43,7.48
1765568131700,833,763,8.98,5.71,38.85,48,3756.01,78.25,64,Harbor Canvas Tote,2025-12-12,386.55,205,1.89,9.72
1765571731700,876,704,11.33,4.32,24.37,38,3200.43,84.22,50,Harbor Canvas Tote,2025-12-12,432.30,167,2.59,7.40
1765575331700,963,789,9.70,6.06,30.78,58,4808.32,82.90,86,Harbor Canvas Tote,2025-12-12,367.06,187,1.96,13.10
1765578931700,1046,913,10.28,5.39,34.46,56,4432.05,79.14,101,Harbor Canvas Tote,2025-12-12,384.65,189,2.04,11.52
1765582531700,1157,946,12.81,5.43,34.84,63,5425.20,86.11,113,Harbor Canvas Tote,2025-12-12,439.86,151,2.91,12.33
1765586131700,1267,1159,13.49,4.84,40.97,61,4924.13,80.72,106,Harbor Canvas Tote,2025-12-13,406.57,145,2.80,12.11
1765589731700,1372,1280,12.78,5.61,31.32,77,6707.95,87.12,105,Harbor Canvas Tote,2025-12-13,470.55,247,1.91,14.26
1765593331700,1467,1207,11.98,6.29,28.93,92,7950.90,86.42,113,Harbor Canvas Tote,2025-12-13,422.15,198,2.13,18.83
1765596931700,1556,1398,14.66,6.37,31.18,99,8121.12,82.03,130,Harbor Canvas Tote,2025-12-13,435.89,204,2.14,18.63
1765600531700,1643,1505,13.17,6.68,29.32,110,9707.50,88.25,191,Harbor Canvas Tote,2025-12-13,447.69,163,2.75,21.68
1765604131700,1694,1381,13.68,5.40,28.99,92,7049.01,76.62,154,Harbor Canvas Tote,2025-12-13,437.19,206,2.12,16.12
1765607731700,1713,1393,15.04,6.24,35.12,107,7670.51,71.69,200,Harbor Canvas Tote,2025-12-13,407.61,224,1.82,18.82
1765611331700,1690,1589,13.17,6.88,36.37,116,10028.07,86.45,214,Harbor Canvas Tote,2025-12-13,502.65,208,2.42,19.95
1765614931700,1661,1474,13.67,6.97,35.69,116,8786.27,75.74,140,Harbor Canvas Tote,2025-12-13,410.21,225,1.82,21.42
1765618531700,1571,1390,12.63,5.82,41.47,91,7160.59,78.69,150,Harbor Canvas Tote,2025-12-13,514.50,210,2.45,13.92
1765622131700,1466,1230,11.99,6.72,37.92,99,7666.81,77.44,146,Harbor Canvas Tote,2025-12-13,451.47,241,1.87,16.98
1765625731700,1371,1185,13.81,4.97,33.06,68,5115.78,75.23,90,Harbor Canvas Tote,2025-12-13,485.47,202,2.40,10.54
1765629331700,1270,1027,12.37,6.46,27.44,82,6487.70,79.12,123,Harbor Canvas Tote,2025-12-13,425.95,186,2.29,15.23
1765632931700,1144,989,12.49,5.43,30.04,62,5364.73,86.53,77,Harbor Canvas Tote,2025-12-13,396.61,146,2.72,13.53
1765636531700,1061,950,11.11,4.73,28.54,50,4428.57,88.57,74,Harbor Canvas Tote,2025-12-13,411.14,205,2.01,10.77
1765640131700,962,862,9.53,5.73,35.75,55,4253.99,77.35,75,Harbor Canvas Tote,2025-12-13,373.61,185,2.02,11.39
1765643731700,898,813,8.92,4.70,30.14,42,3382.46,80.53,67,Harbor Canvas Tote,2025-12-13,417.52,169,2.47,8.10
1765647331700,941,846,9.47,4.72,34.86,44,3386.57,76.97,64,Harbor Canvas Tote,2025-12-13,464.41,222,2.09,7.29
1765650931700,895,777,9.84,4.89,26.35,44,3401.00,77.30,71,Harbor Canvas Tote,2025-12-13,365.22,148,2.47,9.31
1765654531700,937,772,10.91,5.97,28.55,56,4184.01,74.71,86,Harbor Canvas Tote,2025-12-13,394.38,162,2.43,10.61
1765658131700,981,858,9.49,5.09,38.75,50,4154.55,83.09,83,Harbor Canvas Tote,2025-12-13,413.88,182,2.27,10.04
1765661731700,1047,915,10.03,6.08,24.65,64,5425.64,84.78,82,Harbor Canvas Tote,2025-12-13,375.54,197,1.91,14.45
1765665331700,1151,1047,11.51,5.97,27.85,69,5373.15,77.87,122,Harbor Canvas Tote,2025-12-13,400.30,167,2.40,13.42
1765668931700,1266,1052,10.48,6.19,26.29,78,6489.88,83.20,96,Harbor Canvas Tote,2025-12-13,419.04,225,1.86,15.49
1765672531700,1380,1220,10.68,5.18,29.42,71,5279.87,74.36,100,Harbor Canvas Tote,2025-12-14,384.39,136,2.83,13.74
1765676131700,1523,1405,11.68,5.31,31.67,81,5789.38,71.47,108,Harbor Canvas Tote,2025-12-14,443.79,203,2.19,13.05
1765679731700,1606,1295,14.17,6.38,26.13,103,8888.04,86.29,135,Harbor Canvas Tote,2025-12-14,510.85,207,2.47,17.40
1765683331700,1730,1502,14.60,6.06,31.97,105,8862.89,84.41,177,Harbor Canvas Tote,2025-12-14,463.25,157,2.95,19.13
1765686931700,1795,1691,12.87,5.87,41.67,105,9112.28,86.78,190,Harbor Canvas Tote,2025-12-14,477.96,229,2.09,19.06
1765690531700,1852,1758,13.72,5.84,32.43,108,8797.22,81.46,204,Harbor Canvas Tote,2025-12-14,404.67,174,2.33,21.74
1765694131700,1842,1601,14.60,5.98,27.19,110,9427.81,85.71,202,Harbor Canvas Tote,2025-12-14,491.71,183,2.69,19.17
1765697731700,1845,1752,14.53,5.60,42.00,103,7432.37,72.16,142,Harbor Canvas Tote,2025-12-14,452.87,204,2.22,16.41
1765701331700,1802,1580,12.71,6.44,39.83,116,9719.48,83.79,160,Harbor Canvas Tote,2025-12-14,418.79,155,2.70,23.21
1765704931700,1700,1397,14.37,6.99,34.98,119,9783.19,82.21,188,Harbor Canvas Tote,2025-12-14,471.18,171,2.76,20.76
1765708531700,1634,1321,12.64,5.85,37.89,96,8065.50,84.02,144,Harbor Canvas Tote,2025-12-14,403.50,141,2.86,19.99
1765712131700,1505,1339,13.43,6.30,41.47,95,7983.23,84.03,168,Harbor Canvas Tote,2025-12-14,407.20,143,2.85,19.61
1765715731700,1391,1222,13.45,5.59,38.31,78,6828.25,87.54,95,Harbor Canvas Tote,2025-12-14,450.29,229,1.97,15.16
1765719331700,1243,1155,11.32,4.77,30.63,59,4950.09,83.90,90,Harbor Canvas Tote,2025-12-14,430.22,219,1.96,11.51
1765722931700,1129,1031,12.45,4.55,31.51,51,4446.69,87.19,69,Harbor Canvas Tote,2025-12-14,484.69,193,2.51,9.17
1765726531700,1054,972,9.50,5.11,26.95,54,4445.61,82.33,101,Harbor Canvas Tote,2025-12-14,375.42,189,1.99,11.84
1765730131700,958,816,10.97,5.19,32.96,50,4001.74,80.03,83,Harbor Canvas Tote,2025-12-14,449.27,163,2.76,8.91
1765733731700,924,764,9.33,4.79,36.10,44,3458.38,78.60,68,Harbor Canvas Tote,2025-12-14,422.30,191,2.21,8.19
1765737331700,930,828,8.92,5.57,29.43,52,4616.35,88.78,79,Harbor Canvas Tote,2025-12-14,462.36,192,2.41,9.98
1765740931700,945,876,10.92,4.50,36.62,43,3350.42,77.92,71,Harbor Canvas Tote,2025-12-14,475.78,210,2.27,7.04
1765744531700,993,871,9.20,5.07,34.05,50,4368.30,87.37,64,Harbor Canvas Tote,2025-12-14,408.99,151,2.71,10.68
1765748131700,1060,926,11.62,5.41,24.72,57,4351.86,76.35,98,Harbor Canvas Tote,2025-12-14,435.77,149,2.92,9.99
1765751731700,1169,1033,12.34,6.23,28.52,73,5826.52,79.82,116,Harbor Canvas Tote,2025-12-14,376.72,170,2.22,15.47
1765755331700,1295,1206,11.40,5.72,27.51,74,6152.53,83.14,101,Harbor Canvas Tote,2025-12-14,424.85,203,2.09,14.48
1765758931700,1425,1231,13.49,5.15,30.89,73,5605.35,76.79,99,Harbor Canvas Tote,2025-12-15,441.85,168,2.63,12.69
1765762531700,1531,1243,11.21,5.94,26.58,91,7821.87,85.95,136,Harbor Canvas Tote,2025-12-15,500.37,245,2.04,15.63
1765766131700,1642,1343,13.75,5.43,38.74,89,6973.99,78.36,150,Harbor Canvas Tote,2025-12-15,445.37,205,2.17,15.66
1765769731700,1745,1517,14.00,6.83,27.68,119,8685.01,72.98,167,Harbor Canvas Tote,2025-12-15,426.48,165,2.58,20.36
1765773331700,1848,1733,14.18,6.43,40.34,119,9213.04,77.42,163,Harbor Canvas Tote,2025-12-15,516.30,222,2.33,17.84
1765776931700,1895,1549,14.43,6.91,30.28,131,9942.54,75.90,218,Harbor Canvas Tote,2025-12-15,456.10,225,2.03,21.80
1765780531700,1916,1630,13.00,7.13,30.37,137,11104.33,81.05,214,Harbor Canvas Tote,2025-12-15,434.86,189,2.30,25.54
1765784131700,1871,1581,13.40,6.98,35.87,131,10299.31,78.62,201,Harbor Canvas Tote,2025-12-15,509.33,283,1.80,20.22
1765787731700,1832,1529,14.93,5.74,35.51,105,7980.10,76.00,143,Harbor Canvas Tote,2025-12-15,422.21,191,2.21,18.90
1765791331700,1771,1622,13.00,5.87,38.32,104,9126.64,87.76,161,Harbor Canvas Tote,2025-12-15,427.08,225,1.90,21.37
1765794931700,1636,1495,13.89,6.50,31.71,106,8113.13,76.54,169,Harbor Canvas Tote,2025-12-15,472.36,204,2.32,17.18
1765798531700,1546,1413,11.13,5.53,37.03,85,7044.88,82.88,103,Harbor Canvas Tote,2025-12-15,453.05,182,2.49,15.55
1765802131700,1424,1306,13.17,5.90,30.87,84,6927.76,82.47,144,Harbor Canvas Tote,2025-12-15,390.49,170,2.30,17.74
1765805731700,1265,1066,10.56,6.00,39.44,76,5513.26,72.54,99,Harbor Canvas Tote,2025-12-15,403.82,212,1.90,13.65
1765809331700,1172,953,10.97,5.08,33.39,60,4440.21,74.00,104,Harbor Canvas Tote,2025-12-15,429.10,208,2.06,10.35
1765812931700,1047,960,11.33,4.99,36.57,52,4449.33,85.56,66,Harbor Canvas Tote,2025-12-15,414.24,180,2.30,10.74
1765816531700,999,903,11.35,5.88,35.77,59,4706.30,79.77,74,Harbor Canvas Tote,2025-12-15,432.00,169,2.56,10.89
1765820131700,895,806,10.67,5.73,29.29,51,4065.16,79.71,62,Harbor Canvas Tote,2025-12-15,358.25,123,2.91,11.35
1765823731700,879,745,10.27,4.37,24.10,38,3193.51,84.04,47,Harbor Canvas Tote,2025-12-15,402.39,146,2.76,7.94
1765827331700,869,728,10.84,5.77,25.45,50,4139.92,82.80,61,Harbor Canvas Tote,2025-12-15,416.02,145,2.87,9.95
1765830931700,933,881,11.43,5.35,35.60,50,4395.39,87.91,79,Harbor Canvas Tote,2025-12-15,420.20,213,1.97,10.46
1765834531700,1015,884,11.49,5.25,24.09,53,4499.63,84.90,80,Harbor Canvas Tote,2025-12-15,434.72,167,2.60,10.35
1765838131700,1105,1001,11.38,4.58,39.10,51,3931.05,77.08,92,Harbor Canvas Tote,2025-12-15,396.69,174,2.28,9.91
1765841731700,1218,1087,11.54,5.92,37.70,72,5377.67,74.69,136,Harbor Canvas Tote,2025-12-15,452.28,174,2.60,11.89
1765845331700,1335,1180,12.73,5.82,32.68,78,6042.58,77.47,100,Harbor Canvas Tote,2025-12-16,405.05,158,2.56,14.92
1765848931700,1460,1227,12.89,6.28,27.46,92,8013.17,87.10,149,Harbor Canvas Tote,2025-12-16,472.59,172,2.75,16.96
1765852531700,1556,1437,14.50,6.58,39.62,102,7780.47,76.28,148,Harbor Canvas Tote,2025-12-16,403.06,191,2.11,19.30
1765856131700,1636,1311,12.75,5.77,29.91,94,7330.21,77.98,161,Harbor Canvas Tote,2025-12-16,420.48,231,1.82,17.43
1765859731700,1744,1554,13.05,5.56,27.19,97,8339.06,85.97,160,Harbor Canvas Tote,2025-12-16,449.84,186,2.42,18.54
1765863331700,1785,1614,14.01,6.80,39.29,121,9124.52,75.41,195,Harbor Canvas Tote,2025-12-16,430.59,215,2.00,21.19
1765866931700,1777,1444,13.35,6.42,28.55,114,9319.79,81.75,195,Harbor Canvas Tote,2025-12-16,494.37,253,1.95,18.85
1765870531700,1764,1675,13.93,6.76,39.78,119,9171.44,77.07,189,Harbor Canvas Tote,2025-12-16,465.28,173,2.69,19.71
1765874131700,1728,1510,12.40,5.33,28.96,92,7464.68,81.14,154,Harbor Canvas Tote,2025-12-16,426.12,216,1.97,17.52
1765877731700,1637,1455,14.18,6.34,35.77,104,8990.12,86.44,135,Harbor Canvas Tote,2025-12-16,401.14,163,2.46,22.41
1765881331700,1570,1453,11.93,5.34,40.49,84,6817.86,81.16,143,Harbor Canvas Tote,2025-12-16,509.16,224,2.27,13.39
1765884931700,1444,1319,13.57,6.04,33.81,87,7389.23,84.93,150,Harbor Canvas Tote,2025-12-16,498.85,267,1.87,14.81
1765888531700,1313,1099,12.62,5.21,37.95,68,6024.35,88.59,93,Harbor Canvas Tote,2025-12-16,385.90,176,2.19,15.61
