ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,840,703,10.99,4.96,37.64,42,2750.58,65.49,71,Evergreen Linen Shirt,2025-12-12,386.94,165,2.35,7.11
1765564531700,806,671,10.34,4.65,25.99,38,2791.82,73.47,71,Evergreen Linen Shirt,2025-12-12,387.47,161,2.41,7.21
1765568131700,829,733,10.20,4.74,33.57,39,2902.85,74.43,71,Evergreen Linen Shirt,2025-12-12,424.43,219,1.94,6.84
1765571731700,885,826,9.34,5.65,24.12,50,4063.14,81.26,80,Evergreen Linen Shirt,2025-12-12,465.68,227,2.05,8.73
1765575331700,936,760,9.36,4.65,35.33,44,3233.12,73.48,66,Evergreen Linen Shirt,2025-12-12,398.34,155,2.57,8.12
1765578931700,1020,894,9.81,5.58,36.49,57,3861.93,67.75,107,Evergreen Linen Shirt,2025-12-12,458.10,245,1.87,8.43
1765582531700,1142,1042,12.68,6.00,26.06,69,4830.91,70.01,110,Evergreen Linen Shirt,2025-12-12,400.92,139,2.88,12.05
1765586131700,1224,1160,13.25,6.16,34.19,75,5610.54,74.81,120,Evergreen Linen Shirt,2025-12-13,434.44,236,1.84,12.91
1765589731700,1364,1246,12.50,5.00,35.20,68,5486.43,80.68,111,Evergreen Linen Shirt,2025-12-13,463.02,174,2.66,11.85
1765593331700,1435,1243,12.50,5.60,31.66,80,5209.92,65.12,151,Evergreen Linen Shirt,2025-12-13,490.27,194,2.53,10.63
1765596931700,1556,1292,13.51,6.26,37.07,97,7312.51,75.39,127,Evergreen Linen Shirt,2025-12-13,444.40,181,2.46,16.45
1765600531700,1593,1468,13.69,5.53,32.90,88,6737.05,76.56,137,Evergreen Linen Shirt,2025-12-13,473.91,190,2.49,14.22
1765604131700,1637,1414,13.03,6.50,36.20,106,7711.48,72.75,188,Evergreen Linen Shirt,2025-12-13,492.01,194,2.54,15.67
1765607731700,1674,1393,12.95,6.86,40.73,115,8467.51,73.63,185,Evergreen Linen Shirt,2025-12-13,497.38,208,2.39,17.02
1765611331700,1647,1388,15.16,6.55,28.44,108,8434.22,78.09,151,Evergreen Linen Shirt,2025-12-13,442.94,153,2.90,19.04
1765614931700,1603,1401,12.51,6.92,28.62,111,7463.48,67.24,189,Evergreen Linen Shirt,2025-12-13,454.80,234,1.94,16.41
1765618531700,1543,1366,13.84,6.69,41.74,103,8392.69,81.48,187,Evergreen Linen Shirt,2025-12-13,415.86,167,2.49,20.18
1765622131700,1442,1344,14.22,6.36,28.12,92,7398.52,80.42,150,Evergreen Linen Shirt,2025-12-13,443.71,228,1.95,16.67
1765625731700,1352,1211,12.35,6.59,39.66,89,6181.60,69.46,130,Evergreen Linen Shirt,2025-12-13,483.36,182,2.66,12.79
1765629331700,1216,1138,12.60,5.62,29.81,68,5547.39,81.58,87,Evergreen Linen Shirt,2025-12-13,465.44,164,2.84,11.92
1765632931700,1127,1030,11.11,6.39,37.08,72,5620.70,78.07,117,Evergreen Linen Shirt,2025-12-13,476.72,248,1.92,11.79
1765636531700,1018,853,11.28,5.51,30.21,56,3645.35,65.10,81,Evergreen Linen Shirt,2025-12-13,369.48,192,1.92,9.87
1765640131700,950,865,11.10,4.95,23.88,47,3765.51,80.12,77,Evergreen Linen Shirt,2025-12-13,391.00,143,2.73,9.63
1765643731700,886,793,9.47,4.66,33.17,41,3059.41,74.62,69,Evergreen Linen Shirt,2025-12-13,450.44,201,2.24,6.79
1765647331700,913,806,11.36,6.01,29.63,55,3690.66,67.10,92,Evergreen Linen Shirt,2025-12-13,394.12,190,2.07,9.36
1765650931700,870,723,10.33,5.83,26.26,51,4057.03,79.55,63,Evergreen Linen Shirt,2025-12-13,450.10,200,2.25,9.01
1765654531700,893,738,9.06,4.33,25.60,39,2556.39,65.55,52,Evergreen Linen Shirt,2025-12-13,395.87,162,2.44,6.46
1765658131700,960,835,9.94,5.56,33.90,53,3506.89,66.17,71,Evergreen Linen Shirt,2025-12-13,441.37,153,2.88,7.95
1765661731700,1019,951,10.51,5.20,32.31,53,3986.14,75.21,78,Evergreen Linen Shirt,2025-12-13,441.92,165,2.68,9.02
1765665331700,1115,1024,10.90,5.71,37.27,64,4221.73,65.96,101,Evergreen Linen Shirt,2025-12-13,381.10,144,2.65,11.08
1765668931700,1209,1035,11.28,6.29,33.94,76,5894.48,77.56,137,Evergreen Linen Shirt,2025-12-13,400.61,151,2.65,14.71
1765672531700,1366,1177,13.21,6.24,37.45,85,6209.89,73.06,125,Evergreen Linen Shirt,2025-12-14,457.72,230,1.99,13.57
1765676131700,1486,1348,13.84,5.15,33.65,77,5319.97,69.09,117,Evergreen Linen Shirt,2025-12-14,474.07,239,1.98,11.22
1765679731700,1563,1431,12.53,5.74,37.67,90,7242.24,80.47,128,Evergreen Linen Shirt,2025-12-14,489.86,183,2.68,14.78
1765683331700,1667,1458,14.58,6.79,27.76,113,8119.92,71.86,194,Evergreen Linen Shirt,2025-12-14,455.96,163,2.80,17.81
1765686931700,1744,1527,13.63,7.10,35.80,124,8616.39,69.49,214,Evergreen Linen Shirt,2025-12-14,493.56,166,2.97,17.46
1765690531700,1788,1479,13.93,6.98,28.25,125,8697.00,69.58,166,Evergreen Linen Shirt,2025-12-14,516.52,180,2.87,16.84
1765694131700,1799,1468,14.66,5.41,29.80,97,6582.57,67.86,119,Evergreen Linen Shirt,2025-12-14,406.42,181,2.25,16.20
1765697731700,1810,1661,14.98,5.80,27.53,105,7843.02,74.70,167,Evergreen Linen Shirt,2025-12-14,465.69,184,2.53,16.84
1765701331700,1765,1430,13.61,6.34,29.75,112,9044.29,80.75,210,Evergreen Linen Shirt,2025-12-14,410.78,215,1.91,22.02
1765704931700,1691,1524,12.67,6.42,33.74,109,7315.95,67.12,157,Evergreen Linen Shirt,2025-12-14,459.94,251,1.83,15.91
1765708531700,1575,1425,13.99,5.17,28.42,81,6543.15,80.78,126,Evergreen Linen Shirt,2025-12-14,447.85,184,2.43,14.61
1765712131700,1469,1255,13.47,6.16,26.95,90,6698.86,74.43,135,Evergreen Linen Shirt,2025-12-14,449.00,215,2.09,14.92
1765715731700,1351,1197,11.05,5.90,27.46,80,5224.81,65.31,129,Evergreen Linen Shirt,2025-12-14,404.72,160,2.53,12.91
1765719331700,1240,1131,10.55,5.94,24.49,74,5172.07,69.89,108,Evergreen Linen Shirt,2025-12-14,394.26,137,2.88,13.12
1765722931700,1103,931,10.58,4.68,37.83,52,3829.40,73.64,81,Evergreen Linen Shirt,2025-12-14,469.37,167,2.81,8.16
1765726531700,1002,919,10.88,4.96,35.44,50,3690.48,73.81,74,Evergreen Linen Shirt,2025-12-14,441.59,171,2.58,8.36
1765730131700,944,885,11.35,4.39,36.09,41,3012.50,73.48,74,Evergreen Linen Shirt,2025-12-14,402.51,154,2.61,7.48
1765733731700,938,818,9.50,5.65,36.80,53,3808.86,71.87,77,Evergreen Linen Shirt,2025-12-14,448.38,173,2.59,8.49
1765737331700,922,793,8.87,4.57,29.20,42,2804.83,66.78,79,Evergreen Linen Shirt,2025-12-14,367.36,185,1.99,7.64
1765740931700,931,843,10.09,5.69,39.03,53,3749.47,70.74,64,Evergreen Linen Shirt,2025-12-14,466.20,210,2.22,8.04
1765744531700,956,815,10.82,5.85,23.66,56,3660.35,65.36,94,Evergreen Linen Shirt,2025-12-14,368.61,189,1.95,9.93
1765748131700,1047,985,9.95,5.02,32.33,53,3740.73,70.58,80,Evergreen Linen Shirt,2025-12-14,429.45,207,2.07,8.71
1765751731700,1128,1063,12.11,4.67,39.06,53,3687.51,69.58,79,Evergreen Linen Shirt,2025-12-14,480.28,236,2.04,7.68
1765755331700,1243,1111,11.98,5.33,25.38,66,4911.54,74.42,119,Evergreen Linen Shirt,2025-12-14,386.79,135,2.87,12.70
1765758931700,1393,1242,10.88,5.96,32.50,83,6367.63,76.72,120,Evergreen Linen Shirt,2025-12-15,404.51,175,2.31,15.74
1765762531700,1501,1391,12.79,5.07,28.05,76,5565.25,73.23,137,Evergreen Linen Shirt,2025-12-15,470.23,218,2.16,11.84
1765766131700,1611,1437,11.99,5.41,32.00,87,6413.36,73.72,140,Evergreen Linen Shirt,2025-12-15,438.43,243,1.80,14.63
1765769731700,1712,1391,13.48,5.70,29.25,98,7541.57,76.95,175,Evergreen Linen Shirt,2025-12-15,423.86,191,2.22,17.79
1765773331700,1799,1516,14.42,5.36,36.00,96,6562.40,68.36,118,Evergreen Linen Shirt,2025-12-15,458.08,250,1.83,14.33
