ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,843,800,10.65,4.27,32.49,36,2756.25,76.56,53,Juniper Throw Blanket,2025-12-12,414.49,211,1.96,6.65
1765564531700,848,692,10.84,5.04,37.54,43,3684.15,85.68,69,Juniper Throw Blanket,2025-12-12,367.47,140,2.62,10.03
1765568131700,843,733,10.33,4.70,34.41,40,3210.68,80.27,61,Juniper Throw Blanket,2025-12-12,398.04,150,2.65,8.07
1765571731700,882,797,9.31,5.14,32.26,45,3887.48,86.39,80,Juniper Throw Blanket,2025-12-12,385.71,199,1.94,10.08
1765575331700,978,825,10.49,5.40,31.95,53,4250.88,80.21,67,Juniper Throw Blanket,2025-12-12,432.30,171,2.53,9.83
1765578931700,1043,883,10.81,5.08,27.20,53,4546.82,85.79,85,Juniper Throw Blanket,2025-12-12,411.11,156,2.64,11.06
1765582531700,1174,1088,12.30,6.37,32.53,75,5830.75,77.74,120,Juniper Throw Blanket,2025-12-12,423.29,157,2.70,13.77
1765586131700,1268,1043,12.97,4.80,37.60,61,5553.43,91.04,100,Juniper Throw Blanket,2025-12-13,483.25,263,1.84,11.49
1765589731700,1396,1256,13.77,6.26,37.47,87,7689.28,88.38,151,Juniper Throw Blanket,2025-12-13,474.74,197,2.41,16.20
1765593331700,1496,1370,11.55,5.48,30.33,82,6120.33,74.64,138,Juniper Throw Blanket,2025-12-13,432.49,189,2.29,14.15
1765596931700,1610,1417,14.01,5.98,38.84,96,8194.06,85.35,158,Juniper Throw Blanket,2025-12-13,471.85,185,2.55,17.37
1765600531700,1666,1434,12.24,5.32,39.85,89,7244.04,81.39,160,Juniper Throw Blanket,2025-12-13,435.40,220,1.98,16.64
1765604131700,1709,1461,15.25,5.51,37.15,94,7583.85,80.68,172,Juniper Throw Blanket,2025-12-13,472.46,160,2.95,16.05
1765607731700,1711,1394,12.98,6.19,39.26,106,9378.87,88.48,162,Juniper Throw Blanket,2025-12-13,479.54,166,2.89,19.56
1765611331700,1710,1543,12.79,6.43,29.72,110,9374.77,85.23,196,Juniper Throw Blanket,2025-12-13,510.40,215,2.37,18.37
1765614931700,1649,1400,15.05,6.64,34.29,110,8643.32,78.58,133,Juniper Throw Blanket,2025-12-13,482.68,214,2.26,17.91
1765618531700,1574,1265,14.54,6.63,34.07,104,8817.86,84.79,175,Juniper Throw Blanket,2025-12-13,465.70,211,2.21,18.93
1765622131700,1489,1393,12.76,6.50,41.00,97,8838.20,91.12,124,Juniper Throw Blanket,2025-12-13,420.44,217,1.94,21.02
1765625731700,1398,1211,12.02,5.30,35.29,74,6677.53,90.24,104,Juniper Throw Blanket,2025-12-13,408.73,183,2.23,16.34
1765629331700,1291,1123,11.91,4.99,35.20,64,5104.64,79.76,93,Juniper Throw Blanket,2025-12-13,473.57,182,2.60,10.78
1765632931700,1183,1033,10.90,5.19,37.60,61,4842.31,79.38,89,Juniper Throw Blanket,2025-12-13,395.66,163,2.43,12.24
1765636531700,1047,962,11.17,5.17,29.33,54,4690.84,86.87,89,Juniper Throw Blanket,2025-12-13,486.82,217,2.24,9.64
1765640131700,957,883,10.39,4.53,35.27,43,3490.34,81.17,56,Juniper Throw Blanket,2025-12-13,404.90,135,3.00,8.62
1765643731700,891,839,11.26,5.74,35.54,51,4220.99,82.76,87,Juniper Throw Blanket,2025-12-13,415.86,183,2.27,10.15
1765647331700,928,797,10.33,5.75,25.98,53,3938.89,74.32,70,Juniper Throw Blanket,2025-12-13,444.38,159,2.79,8.86
1765650931700,898,808,11.09,4.60,24.07,41,3158.79,77.04,75,Juniper Throw Blanket,2025-12-13,399.95,158,2.53,7.90
1765654531700,944,882,9.65,5.88,33.15,56,4772.93,85.23,92,Juniper Throw Blanket,2025-12-13,449.89,243,1.85,10.61
1765658131700,970,883,9.22,4.54,30.44,44,3289.98,74.77,72,Juniper Throw Blanket,2025-12-13,419.62,233,1.80,7.84
1765661731700,1046,850,10.95,5.07,38.79,53,4303.99,81.21,66,Juniper Throw Blanket,2025-12-13,404.75,181,2.24,10.63
1765665331700,1149,996,10.15,4.55,28.40,52,3997.15,76.87,79,Juniper Throw Blanket,2025-12-13,381.51,128,2.98,10.48
1765668931700,1266,1059,11.73,5.00,39.74,63,4746.81,75.35,104,Juniper Throw Blanket,2025-12-13,458.58,247,1.86,10.35
1765672531700,1389,1203,12.82,6.32,35.65,88,7490.62,85.12,144,Juniper Throw Blanket,2025-12-14,468.08,187,2.50,16.00
1765676131700,1536,1342,12.40,6.46,39.72,99,7364.21,74.39,178,Juniper Throw Blanket,2025-12-14,408.32,195,2.09,18.04
1765679731700,1643,1543,14.39,5.52,29.70,91,7576.63,83.26,160,Juniper Throw Blanket,2025-12-14,447.56,225,1.99,16.93
1765683331700,1731,1470,14.13,5.30,31.88,92,7261.90,78.93,143,Juniper Throw Blanket,2025-12-14,419.23,208,2.02,17.32
1765686931700,1835,1502,12.60,6.17,29.75,113,9356.77,82.80,190,Juniper Throw Blanket,2025-12-14,448.38,150,2.99,20.87
1765690531700,1872,1565,13.16,7.08,42.62,132,11167.37,84.60,213,Juniper Throw Blanket,2025-12-14,430.19,232,1.85,25.96
1765694131700,1883,1610,12.75,6.04,30.46,114,9677.41,84.89,184,Juniper Throw Blanket,2025-12-14,471.18,259,1.82,20.54
1765697731700,1867,1539,12.81,6.42,29.32,120,9621.07,80.18,207,Juniper Throw Blanket,2025-12-14,453.93,240,1.89,21.20
1765701331700,1827,1628,12.84,7.11,32.11,130,11710.11,90.08,186,Juniper Throw Blanket,2025-12-14,486.62,236,2.06,24.06
1765704931700,1753,1499,12.71,6.39,34.61,112,8320.02,74.29,190,Juniper Throw Blanket,2025-12-14,415.96,208,2.00,20.00
1765708531700,1656,1347,12.17,6.25,27.48,104,9104.25,87.54,182,Juniper Throw Blanket,2025-12-14,413.99,140,2.96,21.99
