ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,874,702,10.98,5.60,27.61,49,4389.97,89.59,76,Nimbus Trail Backpack,2025-12-12,416.04,166,2.51,10.55
1765564531700,830,669,10.30,5.01,27.01,42,3796.37,90.39,71,Nimbus Trail Backpack,2025-12-12,400.57,151,2.65,9.48
1765568131700,870,747,9.19,5.28,23.37,46,4232.40,92.01,81,Nimbus Trail Backpack,2025-12-12,435.20,196,2.22,9.73
1765571731700,928,807,11.15,5.33,36.46,49,4613.31,94.15,61,Nimbus Trail Backpack,2025-12-12,366.74,179,2.05,12.58
1765575331700,998,934,11.69,5.89,38.14,59,5589.02,94.73,89,Nimbus Trail Backpack,2025-12-12,464.76,211,2.20,12.03
1765578931700,1065,929,10.01,6.13,24.01,65,5986.76,92.10,97,Nimbus Trail Backpack,2025-12-12,417.25,155,2.69,14.35
1765582531700,1182,1040,11.10,5.39,35.59,64,5466.39,85.41,85,Nimbus Trail Backpack,2025-12-12,481.68,230,2.09,11.35
1765586131700,1289,1090,13.48,6.34,33.75,82,7783.31,94.92,146,Nimbus Trail Backpack,2025-12-13,495.24,176,2.81,15.72
1765589731700,1422,1284,13.46,5.35,26.97,76,6257.13,82.33,139,Nimbus Trail Backpack,2025-12-13,422.02,153,2.76,14.83
1765593331700,1536,1361,12.73,6.10,28.17,94,7998.16,85.09,157,Nimbus Trail Backpack,2025-12-13,395.47,203,1.95,20.22
1765596931700,1606,1512,13.08,6.48,41.35,104,9461.39,90.97,168,Nimbus Trail Backpack,2025-12-13,505.21,250,2.02,18.73
1765600531700,1671,1362,13.84,6.97,30.18,116,10105.10,87.11,218,Nimbus Trail Backpack,2025-12-13,463.08,250,1.85,21.82
1765604131700,1717,1389,14.47,6.80,41.68,117,10766.39,92.02,154,Nimbus Trail Backpack,2025-12-13,510.87,272,1.88,21.07
1765607731700,1738,1437,13.18,5.96,33.29,104,9673.97,93.02,161,Nimbus Trail Backpack,2025-12-13,416.79,145,2.87,23.21
1765611331700,1725,1469,12.96,5.66,30.82,98,8713.86,88.92,171,Nimbus Trail Backpack,2025-12-13,476.91,258,1.85,18.27
1765614931700,1695,1451,14.61,6.67,27.66,113,10503.65,92.95,180,Nimbus Trail Backpack,2025-12-13,499.51,263,1.90,21.03
1765618531700,1608,1436,12.32,7.01,38.05,113,10265.88,90.85,161,Nimbus Trail Backpack,2025-12-13,478.12,244,1.96,21.47
1765622131700,1515,1300,12.07,6.43,32.14,97,8272.80,85.29,170,Nimbus Trail Backpack,2025-12-13,482.10,249,1.94,17.16
1765625731700,1417,1294,13.06,5.50,26.46,78,6357.42,81.51,124,Nimbus Trail Backpack,2025-12-13,483.79,173,2.80,13.14
1765629331700,1280,1197,13.47,6.07,28.23,78,7350.09,94.23,99,Nimbus Trail Backpack,2025-12-13,385.04,177,2.18,19.09
1765632931700,1190,1063,10.70,5.71,37.15,68,5389.97,79.26,124,Nimbus Trail Backpack,2025-12-13,491.61,226,2.18,10.96
1765636531700,1065,981,10.67,5.09,31.86,54,4600.20,85.19,69,Nimbus Trail Backpack,2025-12-13,392.74,211,1.86,11.71
1765640131700,968,810,11.51,6.01,34.72,58,4783.70,82.48,99,Nimbus Trail Backpack,2025-12-13,478.80,166,2.88,9.99
1765643731700,905,732,8.97,4.43,25.36,40,3385.84,84.65,76,Nimbus Trail Backpack,2025-12-13,433.35,200,2.17,7.81
1765647331700,957,886,9.16,5.28,33.97,51,4392.94,86.14,83,Nimbus Trail Backpack,2025-12-13,395.62,140,2.83,11.10
1765650931700,908,799,11.05,5.54,37.18,50,4199.69,83.99,65,Nimbus Trail Backpack,2025-12-13,474.23,231,2.05,8.86
1765654531700,933,757,8.71,5.90,23.49,55,4722.70,85.87,78,Nimbus Trail Backpack,2025-12-13,386.14,159,2.43,12.23
1765658131700,982,800,9.21,4.31,39.19,42,3737.18,88.98,64,Nimbus Trail Backpack,2025-12-13,464.62,213,2.18,8.04
1765661731700,1068,985,10.69,5.59,37.31,60,5089.61,84.83,101,Nimbus Trail Backpack,2025-12-13,411.32,164,2.51,12.37
1765665331700,1167,1052,10.68,5.17,28.37,60,5096.21,84.94,113,Nimbus Trail Backpack,2025-12-13,378.75,184,2.06,13.46
1765668931700,1284,1126,12.93,5.83,25.95,75,6266.33,83.55,112,Nimbus Trail Backpack,2025-12-13,489.19,193,2.53,12.81
1765672531700,1399,1271,10.95,4.96,32.05,69,5419.11,78.54,111,Nimbus Trail Backpack,2025-12-14,433.79,147,2.95,12.49
1765676131700,1538,1343,11.19,5.91,39.68,91,7851.07,86.28,148,Nimbus Trail Backpack,2025-12-14,473.33,193,2.45,16.59
1765679731700,1650,1501,13.16,5.30,27.76,87,7698.46,88.49,127,Nimbus Trail Backpack,2025-12-14,443.29,226,1.96,17.37
1765683331700,1763,1611,12.54,6.15,29.92,108,9740.67,90.19,168,Nimbus Trail Backpack,2025-12-14,488.47,212,2.30,19.94
1765686931700,1822,1630,12.56,6.66,26.78,121,11093.24,91.68,225,Nimbus Trail Backpack,2025-12-14,450.84,242,1.86,24.61
1765690531700,1874,1727,15.41,5.58,34.22,105,9824.44,93.57,175,Nimbus Trail Backpack,2025-12-14,486.28,211,2.30,20.20
