ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,827,671,9.36,5.93,36.29,49,3581.70,73.10,60,Caldera Runner Sneaker,2025-12-12,412.58,211,1.96,8.68
1765564531700,828,708,9.11,4.70,24.61,39,2785.34,71.42,55,Caldera Runner Sneaker,2025-12-12,423.85,158,2.68,6.57
1765568131700,820,674,9.97,5.93,23.22,49,3786.32,77.27,91,Caldera Runner Sneaker,2025-12-12,390.00,155,2.52,9.71
1765571731700,886,784,9.86,4.64,24.87,41,3284.91,80.12,73,Caldera Runner Sneaker,2025-12-12,360.36,152,2.37,9.12
1765575331700,935,771,9.81,5.68,35.33,53,3657.93,69.02,91,Caldera Runner Sneaker,2025-12-12,415.32,184,2.26,8.81
1765578931700,1037,838,10.37,6.14,25.53,64,5423.58,84.74,99,Caldera Runner Sneaker,2025-12-12,408.10,191,2.14,13.29
1765582531700,1146,951,11.45,6.06,36.07,69,5525.91,80.09,115,Caldera Runner Sneaker,2025-12-12,443.60,155,2.86,12.46
1765586131700,1253,1118,11.80,5.66,28.48,71,5327.86,75.04,98,Caldera Runner Sneaker,2025-12-13,408.06,199,2.05,13.06
1765589731700,1370,1099,12.81,4.99,36.15,68,4909.28,72.20,106,Caldera Runner Sneaker,2025-12-13,453.30,228,1.99,10.83
1765593331700,1447,1281,12.85,6.44,29.43,93,6485.64,69.74,165,Caldera Runner Sneaker,2025-12-13,431.04,161,2.68,15.05
1765596931700,1552,1334,13.88,5.64,28.61,88,6041.28,68.65,106,Caldera Runner Sneaker,2025-12-13,483.63,166,2.91,12.49
1765600531700,1640,1543,12.81,5.90,42.30,97,7240.85,74.65,117,Caldera Runner Sneaker,2025-12-13,493.62,251,1.97,14.67
1765604131700,1657,1456,14.32,6.39,30.40,106,8482.23,80.02,191,Caldera Runner Sneaker,2025-12-13,462.09,240,1.93,18.36
1765607731700,1661,1336,14.64,6.42,32.00,107,9097.42,85.02,153,Caldera Runner Sneaker,2025-12-13,418.26,195,2.14,21.75
1765611331700,1673,1371,14.62,6.51,36.22,109,8950.42,82.11,141,Caldera Runner Sneaker,2025-12-13,457.46,197,2.32,19.57
1765614931700,1615,1408,14.30,5.95,40.38,96,6998.27,72.90,142,Caldera Runner Sneaker,2025-12-13,464.28,255,1.82,15.07
1765618531700,1558,1284,11.94,5.43,40.18,85,6513.53,76.63,103,Caldera Runner Sneaker,2025-12-13,447.12,167,2.68,14.57
1765622131700,1478,1218,13.97,5.77,32.94,85,6530.42,76.83,124,Caldera Runner Sneaker,2025-12-13,491.36,206,2.39,13.29
1765625731700,1350,1187,13.46,5.69,26.47,77,5534.04,71.87,100,Caldera Runner Sneaker,2025-12-13,389.39,173,2.25,14.21
1765629331700,1234,1066,12.23,6.46,38.66,80,5702.07,71.28,141,Caldera Runner Sneaker,2025-12-13,478.14,199,2.40,11.93
1765632931700,1143,1083,11.21,5.81,32.30,66,5250.36,79.55,81,Caldera Runner Sneaker,2025-12-13,386.58,201,1.92,13.58
1765636531700,1038,889,12.34,5.80,24.17,60,4496.30,74.94,113,Caldera Runner Sneaker,2025-12-13,380.75,146,2.61,11.81
1765640131700,940,817,10.92,5.92,35.05,56,4610.66,82.33,92,Caldera Runner Sneaker,2025-12-13,471.87,176,2.68,9.77
1765643731700,874,742,11.27,4.97,27.57,43,3058.87,71.14,52,Caldera Runner Sneaker,2025-12-13,359.17,147,2.44,8.52
1765647331700,907,821,10.30,4.83,32.12,44,3404.29,77.37,55,Caldera Runner Sneaker,2025-12-13,461.20,168,2.75,7.38
1765650931700,878,783,8.90,4.25,25.92,37,2984.60,80.66,61,Caldera Runner Sneaker,2025-12-13,452.07,239,1.89,6.60
1765654531700,895,813,8.57,5.31,30.41,48,3396.02,70.75,58,Caldera Runner Sneaker,2025-12-13,399.57,201,1.99,8.50
1765658131700,946,768,11.50,4.57,26.96,43,3558.90,82.77,67,Caldera Runner Sneaker,2025-12-13,389.97,177,2.20,9.13
1765661731700,1018,857,10.36,6.06,25.40,62,4988.80,80.46,89,Caldera Runner Sneaker,2025-12-13,397.43,206,1.93,12.55
1765665331700,1110,944,11.73,5.57,24.06,62,5106.59,82.36,107,Caldera Runner Sneaker,2025-12-13,406.41,213,1.91,12.57
1765668931700,1260,1013,10.08,5.98,24.84,75,5612.70,74.84,96,Caldera Runner Sneaker,2025-12-13,447.34,245,1.83,12.55
1765672531700,1373,1225,13.15,6.38,34.50,88,6115.48,69.49,135,Caldera Runner Sneaker,2025-12-14,480.71,261,1.84,12.72
1765676131700,1507,1270,12.38,6.36,37.35,96,8198.42,85.40,161,Caldera Runner Sneaker,2025-12-14,431.65,149,2.90,18.99
1765679731700,1588,1317,12.63,6.62,32.14,105,8393.65,79.94,193,Caldera Runner Sneaker,2025-12-14,402.90,153,2.63,20.83
1765683331700,1715,1623,12.51,5.96,41.75,102,7317.64,71.74,153,Caldera Runner Sneaker,2025-12-14,460.01,246,1.87,15.91
1765686931700,1785,1518,14.95,6.56,33.55,117,9736.11,83.21,196,Caldera Runner Sneaker,2025-12-14,413.74,156,2.65,23.53
1765690531700,1812,1533,12.48,6.98,33.76,126,9310.05,73.89,226,Caldera Runner Sneaker,2025-12-14,480.13,260,1.85,19.39
1765694131700,1839,1687,13.27,6.57,39.59,121,8737.29,72.21,174,Caldera Runner Sneaker,2025-12-14,500.87,261,1.92,17.44
1765697731700,1805,1713,15.33,7.11,29.59,128,9437.94,73.73,208,Caldera Runner Sneaker,2025-12-14,507.62,219,2.32,18.59
