ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,520,451,5.63,2.43,37.44,13,846.91,65.15,20,Midnight Bomber Jacket,2025-12-12,430.82,226,1.91,1.97
1765564531700,515,459,3.01,2.05,42.48,11,847.79,77.07,14,Midnight Bomber Jacket,2025-12-12,358.78,141,2.54,2.36
1765568131700,516,475,4.03,2.03,41.97,10,626.74,62.67,12,Midnight Bomber Jacket,2025-12-12,427.46,166,2.58,1.47
1765571731700,534,451,3.49,2.47,48.11,13,965.30,74.25,22,Midnight Bomber Jacket,2025-12-12,368.91,200,1.84,2.62
1765575331700,589,551,3.82,2.67,44.89,16,1261.24,78.83,22,Midnight Bomber Jacket,2025-12-12,383.88,172,2.23,3.29
1765578931700,632,562,4.97,2.81,47.49,18,1211.65,67.31,27,Midnight Bomber Jacket,2025-12-12,450.91,250,1.80,2.69
1765582531700,713,667,4.76,2.50,50.05,18,1382.31,76.80,23,Midnight Bomber Jacket,2025-12-12,394.94,194,2.04,3.50
1765586131700,775,723,5.98,3.23,48.82,25,1726.83,69.07,32,Midnight Bomber Jacket,2025-12-13,424.37,142,2.99,4.07
1765589731700,825,666,7.63,3.23,40.90,27,1815.67,67.25,38,Midnight Bomber Jacket,2025-12-13,389.96,149,2.62,4.66
1765593331700,897,776,7.26,3.34,50.33,30,2075.20,69.17,43,Midnight Bomber Jacket,2025-12-13,431.78,191,2.26,4.81
1765596931700,962,801,6.92,3.48,41.43,33,2232.65,67.66,42,Midnight Bomber Jacket,2025-12-13,402.77,186,2.17,5.54
1765600531700,983,914,8.31,3.83,39.08,38,2967.84,78.10,58,Midnight Bomber Jacket,2025-12-13,475.90,244,1.95,6.24
1765604131700,1033,835,7.14,2.68,49.10,28,1991.30,71.12,47,Midnight Bomber Jacket,2025-12-13,523.12,269,1.94,3.81
1765607731700,1040,886,9.81,3.53,39.43,37,2513.33,67.93,66,Midnight Bomber Jacket,2025-12-13,448.89,152,2.95,5.60
1765611331700,1009,849,7.35,2.47,46.03,25,1680.94,67.24,38,Midnight Bomber Jacket,2025-12-13,490.11,250,1.96,3.43
1765614931700,994,845,7.65,2.59,45.22,26,1848.15,71.08,36,Midnight Bomber Jacket,2025-12-13,467.41,223,2.10,3.95
1765618531700,953,834,6.71,3.70,40.09,35,2205.74,63.02,51,Midnight Bomber Jacket,2025-12-13,482.01,221,2.18,4.58
1765622131700,902,746,6.23,2.27,46.75,20,1261.45,63.07,28,Midnight Bomber Jacket,2025-12-13,472.70,216,2.19,2.67
1765625731700,826,778,8.37,2.43,50.48,20,1426.61,71.33,36,Midnight Bomber Jacket,2025-12-13,468.67,215,2.18,3.04
1765629331700,772,730,7.95,3.18,45.69,25,1688.92,67.56,41,Midnight Bomber Jacket,2025-12-13,483.76,203,2.38,3.49
1765632931700,707,658,6.56,1.92,42.27,14,940.26,67.16,26,Midnight Bomber Jacket,2025-12-13,406.51,192,2.12,2.31
1765636531700,638,517,5.50,3.11,41.08,20,1483.09,74.15,30,Midnight Bomber Jacket,2025-12-13,441.40,217,2.03,3.36
1765640131700,598,540,3.84,1.43,37.90,9,601.78,66.86,15,Midnight Bomber Jacket,2025-12-13,465.05,220,2.11,1.29
1765643731700,534,448,5.43,2.21,35.01,12,849.43,70.79,19,Midnight Bomber Jacket,2025-12-13,452.18,220,2.06,1.88
1765647331700,583,517,5.59,1.84,44.82,11,810.53,73.68,13,Midnight Bomber Jacket,2025-12-13,451.69,188,2.40,1.79
1765650931700,568,522,4.48,2.91,41.83,17,1107.68,65.16,22,Midnight Bomber Jacket,2025-12-13,435.95,165,2.64,2.54
1765654531700,580,509,5.30,1.31,37.61,8,633.88,79.24,13,Midnight Bomber Jacket,2025-12-13,361.50,147,2.46,1.75
1765658131700,592,490,5.83,1.44,36.65,9,580.09,64.45,17,Midnight Bomber Jacket,2025-12-13,414.94,185,2.24,1.40
1765661731700,626,549,5.87,2.18,41.58,14,990.26,70.73,19,Midnight Bomber Jacket,2025-12-13,366.50,192,1.91,2.70
1765665331700,713,652,5.97,2.96,42.78,21,1322.32,62.97,34,Midnight Bomber Jacket,2025-12-13,425.30,190,2.24,3.11
1765668931700,753,644,6.66,3.32,48.92,25,1675.56,67.02,41,Midnight Bomber Jacket,2025-12-13,428.98,147,2.92,3.91
1765672531700,844,795,7.50,2.66,36.00,22,1367.27,62.15,40,Midnight Bomber Jacket,2025-12-14,441.93,195,2.27,3.09
1765676131700,933,860,8.39,3.42,51.40,32,2075.76,64.87,40,Midnight Bomber Jacket,2025-12-14,390.64,173,2.26,5.31
1765679731700,990,829,6.47,2.77,38.21,27,2026.16,75.04,33,Midnight Bomber Jacket,2025-12-14,421.23,199,2.12,4.81
1765683331700,1051,979,7.18,3.29,42.52,35,2736.66,78.19,53,Midnight Bomber Jacket,2025-12-14,498.71,236,2.11,5.49
1765686931700,1095,1007,8.03,3.39,46.15,37,2849.98,77.03,55,Midnight Bomber Jacket,2025-12-14,421.93,232,1.82,6.75
1765690531700,1129,903,7.11,2.55,37.49,29,2272.81,78.37,35,Midnight Bomber Jacket,2025-12-14,467.02,162,2.88,4.87
1765694131700,1137,1021,7.15,3.53,46.28,40,2904.53,72.61,72,Midnight Bomber Jacket,2025-12-14,454.81,211,2.16,6.39
1765697731700,1135,1069,8.22,3.45,52.59,39,2655.43,68.09,65,Midnight Bomber Jacket,2025-12-14,511.09,249,2.05,5.20
1765701331700,1108,970,9.66,2.36,52.55,26,1917.04,73.73,42,Midnight Bomber Jacket,2025-12-14,431.72,236,1.83,4.44
1765704931700,1061,949,7.36,3.14,39.23,33,2262.53,68.56,50,Midnight Bomber Jacket,2025-12-14,466.12,249,1.87,4.85
1765708531700,982,872,7.98,3.23,36.09,32,2219.44,69.36,42,Midnight Bomber Jacket,2025-12-14,477.71,200,2.39,4.65
1765712131700,923,757,7.64,2.34,40.96,22,1474.40,67.02,36,Midnight Bomber Jacket,2025-12-14,428.47,201,2.13,3.44
1765715731700,858,746,5.52,2.99,50.05,26,1898.45,73.02,45,Midnight Bomber Jacket,2025-12-14,428.63,179,2.39,4.43
