ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,560,474,4.18,2.22,48.47,12,853.46,71.12,16,Harbor Canvas Tote,2025-12-12,459.28,178,2.58,1.86
1765564531700,523,441,3.17,1.76,35.42,9,651.34,72.37,12,Harbor Canvas Tote,2025-12-12,458.89,236,1.94,1.42
1765568131700,539,456,4.90,2.05,46.55,11,888.04,80.73,18,Harbor Canvas Tote,2025-12-12,426.80,155,2.75,2.08
1765571731700,571,494,5.60,3.01,34.10,17,1334.70,78.51,21,Harbor Canvas Tote,2025-12-12,407.21,193,2.11,3.28
1765575331700,625,551,6.37,3.03,43.82,19,1664.39,87.60,32,Harbor Canvas Tote,2025-12-12,377.47,191,1.98,4.41
1765578931700,659,576,4.80,2.34,39.53,15,1175.31,78.35,18,Harbor Canvas Tote,2025-12-12,401.97,145,2.77,2.92
1765582531700,736,644,4.91,3.12,42.58,23,1701.37,73.97,31,Harbor Canvas Tote,2025-12-12,375.68,171,2.20,4.53
1765586131700,827,668,5.17,3.60,50.31,30,2579.24,85.97,37,Harbor Canvas Tote,2025-12-13,485.17,195,2.49,5.32
1765589731700,869,814,7.39,2.90,37.62,25,1811.90,72.48,40,Harbor Canvas Tote,2025-12-13,432.63,180,2.40,4.19
1765593331700,964,847,7.37,3.10,36.30,30,2440.18,81.34,38,Harbor Canvas Tote,2025-12-13,473.55,190,2.49,5.15
1765596931700,1029,973,8.66,2.78,49.48,29,2226.86,76.79,42,Harbor Canvas Tote,2025-12-13,503.95,217,2.32,4.42
1765600531700,1041,987,8.84,2.70,42.60,28,2031.26,72.54,41,Harbor Canvas Tote,2025-12-13,490.24,229,2.14,4.14
1765604131700,1094,995,7.48,2.87,46.09,31,2423.18,78.17,42,Harbor Canvas Tote,2025-12-13,506.12,211,2.40,4.79
1765607731700,1080,987,8.16,2.95,43.54,32,2845.69,88.93,56,Harbor Canvas Tote,2025-12-13,490.09,192,2.55,5.81
1765611331700,1090,1008,9.79,3.26,38.50,36,3070.64,85.30,59,Harbor Canvas Tote,2025-12-13,437.67,206,2.12,7.02
1765614931700,1044,973,7.77,3.99,41.08,42,3486.10,83.00,76,Harbor Canvas Tote,2025-12-13,497.29,218,2.28,7.01
1765618531700,1003,914,7.58,3.81,36.64,38,3134.96,82.50,68,Harbor Canvas Tote,2025-12-13,457.85,219,2.09,6.85
1765622131700,942,785,6.89,2.62,42.36,25,2087.50,83.50,33,Harbor Canvas Tote,2025-12-13,403.81,176,2.29,5.17
1765625731700,895,846,6.05,2.76,47.74,25,2041.11,81.64,33,Harbor Canvas Tote,2025-12-13,480.12,197,2.44,4.25
1765629331700,826,675,7.89,2.15,37.36,18,1526.57,84.81,28,Harbor Canvas Tote,2025-12-13,477.43,164,2.91,3.20
1765632931700,744,651,5.15,2.67,41.94,20,1445.71,72.29,34,Harbor Canvas Tote,2025-12-13,404.75,154,2.63,3.57
1765636531700,657,530,5.17,1.77,48.70,12,1009.66,84.14,22,Harbor Canvas Tote,2025-12-13,450.60,171,2.64,2.24
1765640131700,636,541,4.08,2.47,35.30,16,1162.44,72.65,24,Harbor Canvas Tote,2025-12-13,446.09,185,2.41,2.61
1765643731700,572,535,6.10,2.25,40.31,13,978.81,75.29,16,Harbor Canvas Tote,2025-12-13,415.50,205,2.03,2.36
1765647331700,593,479,4.22,2.57,37.89,15,1109.46,73.96,19,Harbor Canvas Tote,2025-12-13,396.93,158,2.51,2.80
1765650931700,605,556,4.69,1.75,46.58,11,941.20,85.56,20,Harbor Canvas Tote,2025-12-13,379.80,184,2.06,2.48
1765654531700,580,532,4.05,1.48,48.35,9,788.77,87.64,15,Harbor Canvas Tote,2025-12-13,431.86,187,2.31,1.83
1765658131700,627,506,6.13,1.63,39.79,10,866.44,86.64,12,Harbor Canvas Tote,2025-12-13,454.83,152,2.99,1.90
1765661731700,681,600,4.89,1.44,40.82,10,877.71,87.77,15,Harbor Canvas Tote,2025-12-13,462.40,171,2.70,1.90
1765665331700,733,663,4.46,2.68,36.26,20,1746.79,87.34,34,Harbor Canvas Tote,2025-12-13,390.73,206,1.90,4.47
1765668931700,815,661,4.84,2.61,43.42,21,1812.22,86.30,35,Harbor Canvas Tote,2025-12-13,405.28,201,2.02,4.47
1765672531700,886,722,7.64,2.12,43.24,19,1663.05,87.53,35,Harbor Canvas Tote,2025-12-14,448.18,245,1.83,3.71
1765676131700,983,900,6.05,3.60,46.01,35,2919.51,83.41,47,Harbor Canvas Tote,2025-12-14,473.29,230,2.06,6.17
1765679731700,1038,843,6.35,3.26,46.20,34,2886.95,84.91,45,Harbor Canvas Tote,2025-12-14,410.56,217,1.89,7.03
1765683331700,1100,944,6.95,3.99,46.98,44,3735.51,84.90,75,Harbor Canvas Tote,2025-12-14,464.01,247,1.88,8.05
1765686931700,1144,1004,9.68,3.80,51.25,43,3116.13,72.47,57,Harbor Canvas Tote,2025-12-14,416.39,156,2.67,7.48
1765690531700,1196,1070,7.37,3.50,41.22,42,3450.10,82.15,70,Harbor Canvas Tote,2025-12-14,491.40,178,2.76,7.02
1765694131700,1210,1068,8.86,3.68,52.09,45,3642.03,80.93,75,Harbor Canvas Tote,2025-12-14,431.20,151,2.86,8.45
1765697731700,1171,1066,7.14,3.58,45.91,42,3366.51,80.16,65,Harbor Canvas Tote,2025-12-14,503.41,175,2.88,6.69
1765701331700,1166,955,7.55,3.99,41.08,47,3669.03,78.06,75,Harbor Canvas Tote,2025-12-14,510.91,253,2.02,7.18
1765704931700,1094,1019,7.57,2.55,46.26,28,2464.34,88.01,39,Harbor Canvas Tote,2025-12-14,501.12,233,2.15,4.92
1765708531700,1052,906,8.59,2.73,39.30,29,2352.14,81.11,52,Harbor Canvas Tote,2025-12-14,510.37,190,2.69,4.61
1765712131700,968,837,6.58,3.34,45.22,32,2462.06,76.94,47,Harbor Canvas Tote,2025-12-14,398.01,160,2.49,6.19
1765715731700,902,786,7.37,2.86,47.78,26,2101.96,80.84,48,Harbor Canvas Tote,2025-12-14,477.26,261,1.83,4.40
1765719331700,793,647,5.78,2.70,44.36,21,1787.81,85.13,39,Harbor Canvas Tote,2025-12-14,377.03,146,2.58,4.74
1765722931700,727,641,4.05,1.94,35.18,14,1032.14,73.72,21,Harbor Canvas Tote,2025-12-14,400.76,202,1.98,2.58
1765726531700,677,637,5.61,2.15,33.71,15,1176.38,78.43,22,Harbor Canvas Tote,2025-12-14,438.58,201,2.18,2.68
1765730131700,638,536,5.97,2.46,43.00,16,1161.56,72.60,26,Harbor Canvas Tote,2025-12-14,433.66,195,2.22,2.68
1765733731700,606,518,5.53,2.37,35.39,14,1074.69,76.76,21,Harbor Canvas Tote,2025-12-14,396.48,138,2.87,2.71
1765737331700,596,523,3.76,1.63,34.80,10,789.09,78.91,14,Harbor Canvas Tote,2025-12-14,355.94,130,2.74,2.22
1765740931700,591,526,3.93,1.99,48.95,12,938.21,78.18,15,Harbor Canvas Tote,2025-12-14,420.85,164,2.57,2.23
1765744531700,656,532,4.64,2.72,46.26,18,1553.97,86.33,31,Harbor Canvas Tote,2025-12-14,381.19,155,2.46,4.08
1765748131700,677,590,5.64,1.98,39.55,13,980.95,75.46,23,Harbor Canvas Tote,2025-12-14,387.82,165,2.35,2.53
1765751731700,769,618,4.18,2.23,34.22,17,1241.56,73.03,25,Harbor Canvas Tote,2025-12-14,468.34,219,2.14,2.65
1765755331700,824,760,5.03,1.77,39.91,15,1156.08,77.07,20,Harbor Canvas Tote,2025-12-14,436.88,213,2.05,2.65
1765758931700,921,785,6.58,2.25,46.82,21,1804.67,85.94,40,Harbor Canvas Tote,2025-12-15,410.70,225,1.83,4.39
1765762531700,975,853,7.65,3.37,38.50,33,2615.92,79.27,57,Harbor Canvas Tote,2025-12-15,452.87,157,2.88,5.78
1765766131700,1059,907,8.30,3.09,36.42,33,2680.49,81.23,54,Harbor Canvas Tote,2025-12-15,447.42,246,1.82,5.99
1765769731700,1135,911,6.71,2.99,37.46,34,2892.54,85.07,62,Harbor Canvas Tote,2025-12-15,461.67,198,2.33,6.27
1765773331700,1189,1013,7.20,3.01,46.87,36,2660.25,73.90,65,Harbor Canvas Tote,2025-12-15,463.61,174,2.66,5.74
1765776931700,1211,1082,8.46,2.66,50.72,32,2443.85,76.37,60,Harbor Canvas Tote,2025-12-15,467.36,259,1.80,5.23
1765780531700,1232,988,9.21,3.83,40.21,47,3468.52,73.80,89,Harbor Canvas Tote,2025-12-15,497.31,176,2.83,6.97
1765784131700,1199,1075,7.06,2.39,36.99,29,2488.60,85.81,54,Harbor Canvas Tote,2025-12-15,515.29,180,2.86,4.83
1765787731700,1193,1018,7.94,3.43,52.67,41,3455.25,84.27,70,Harbor Canvas Tote,2025-12-15,520.28,255,2.04,6.64
1765791331700,1111,1047,9.40,2.80,50.71,31,2605.69,84.05,58,Harbor Canvas Tote,2025-12-15,446.51,155,2.88,5.84
1765794931700,1066,939,8.46,2.40,40.52,26,2311.54,88.91,36,Harbor Canvas Tote,2025-12-15,394.24,174,2.27,5.86
