ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,524,488,5.19,2.57,41.12,13,859.57,66.12,18,Evergreen Linen Shirt,2025-12-12,395.83,177,2.24,2.17
1765564531700,509,413,3.49,1.45,34.37,7,497.04,71.01,13,Evergreen Linen Shirt,2025-12-12,455.49,194,2.35,1.09
1765568131700,523,421,4.08,2.91,44.58,15,1155.34,77.02,20,Evergreen Linen Shirt,2025-12-12,426.55,179,2.38,2.71
1765571731700,541,511,5.49,1.73,39.62,9,636.39,70.71,13,Evergreen Linen Shirt,2025-12-12,476.86,207,2.30,1.33
1765575331700,581,497,3.76,2.28,46.70,13,1035.72,79.67,17,Evergreen Linen Shirt,2025-12-12,444.55,208,2.14,2.33
1765578931700,642,556,5.06,2.97,48.28,19,1549.97,81.58,25,Evergreen Linen Shirt,2025-12-12,476.30,183,2.60,3.25
1765582531700,700,585,6.14,2.99,47.18,21,1587.76,75.61,36,Evergreen Linen Shirt,2025-12-12,451.73,155,2.91,3.51
1765586131700,775,624,5.33,1.84,35.23,14,1076.34,76.88,25,Evergreen Linen Shirt,2025-12-13,398.99,220,1.81,2.70
1765589731700,845,759,5.94,3.01,50.81,25,1868.87,74.75,47,Evergreen Linen Shirt,2025-12-13,460.86,227,2.03,4.06
1765593331700,930,763,6.72,2.73,40.96,25,1637.51,65.50,38,Evergreen Linen Shirt,2025-12-13,440.79,237,1.86,3.71
1765596931700,992,805,8.93,3.31,42.90,33,2183.46,66.17,49,Evergreen Linen Shirt,2025-12-13,486.46,185,2.63,4.49
1765600531700,1035,911,9.27,3.52,38.12,36,2953.50,82.04,54,Evergreen Linen Shirt,2025-12-13,462.19,204,2.27,6.39
1765604131700,1046,861,7.19,3.89,38.72,41,2940.50,71.72,64,Evergreen Linen Shirt,2025-12-13,416.51,165,2.52,7.06
1765607731700,1062,966,8.17,4.17,47.69,44,2921.56,66.40,78,Evergreen Linen Shirt,2025-12-13,519.84,198,2.63,5.62
1765611331700,1033,909,8.29,3.44,46.48,36,2569.05,71.36,44,Evergreen Linen Shirt,2025-12-13,464.20,159,2.92,5.53
1765614931700,1002,942,7.46,2.97,40.05,30,2440.33,81.34,39,Evergreen Linen Shirt,2025-12-13,487.49,232,2.10,5.01
1765618531700,988,834,7.62,2.53,50.92,25,1642.22,65.69,31,Evergreen Linen Shirt,2025-12-13,434.78,241,1.80,3.78
1765622131700,933,884,7.02,2.95,38.75,28,2055.39,73.41,39,Evergreen Linen Shirt,2025-12-13,496.13,173,2.87,4.14
1765625731700,873,808,6.96,2.39,41.16,21,1470.89,70.04,33,Evergreen Linen Shirt,2025-12-13,427.81,167,2.56,3.44
1765629331700,804,646,6.67,1.83,35.14,15,1023.46,68.23,25,Evergreen Linen Shirt,2025-12-13,418.91,224,1.87,2.44
1765632931700,698,611,5.93,2.68,44.14,19,1316.84,69.31,35,Evergreen Linen Shirt,2025-12-13,453.12,228,1.99,2.91
1765636531700,663,533,6.17,3.23,40.47,21,1485.53,70.74,25,Evergreen Linen Shirt,2025-12-13,459.04,196,2.34,3.24
1765640131700,580,529,4.39,2.65,33.68,15,1103.30,73.55,19,Evergreen Linen Shirt,2025-12-13,377.63,130,2.90,2.92
1765643731700,552,508,5.45,1.42,48.93,8,536.18,67.02,13,Evergreen Linen Shirt,2025-12-13,373.69,147,2.54,1.43
