ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,545,445,5.67,2.33,38.66,13,1174.89,90.38,23,Juniper Throw Blanket,2025-12-12,427.19,189,2.26,2.75
1765564531700,538,506,3.67,1.42,36.56,8,721.71,90.21,10,Juniper Throw Blanket,2025-12-12,461.14,230,2.00,1.57
1765568131700,554,451,5.10,1.91,43.85,11,855.50,77.77,17,Juniper Throw Blanket,2025-12-12,417.16,227,1.84,2.05
1765571731700,575,535,6.05,2.59,49.05,15,1173.02,78.20,25,Juniper Throw Blanket,2025-12-12,440.52,148,2.98,2.66
1765575331700,619,532,5.73,2.52,43.21,16,1439.26,89.95,27,Juniper Throw Blanket,2025-12-12,429.05,169,2.54,3.35
1765578931700,703,565,5.02,2.53,49.50,18,1441.29,80.07,24,Juniper Throw Blanket,2025-12-12,449.01,219,2.05,3.21
1765582531700,746,700,5.42,2.61,34.64,19,1415.65,74.51,27,Juniper Throw Blanket,2025-12-12,477.68,178,2.68,2.96
1765586131700,814,772,6.33,2.06,43.62,17,1454.30,85.55,30,Juniper Throw Blanket,2025-12-13,478.34,176,2.72,3.04
1765589731700,885,822,7.65,2.54,35.88,22,1714.77,77.94,30,Juniper Throw Blanket,2025-12-13,482.84,237,2.04,3.55
1765593331700,978,814,8.01,3.23,42.85,32,2471.51,77.23,59,Juniper Throw Blanket,2025-12-13,487.64,208,2.34,5.07
1765596931700,1033,856,8.63,2.64,47.38,27,2125.22,78.71,37,Juniper Throw Blanket,2025-12-13,482.01,183,2.63,4.41
1765600531700,1064,993,9.72,3.66,41.76,39,3484.83,89.35,65,Juniper Throw Blanket,2025-12-13,428.98,222,1.93,8.12
1765604131700,1087,889,7.20,4.17,45.85,45,3947.97,87.73,74,Juniper Throw Blanket,2025-12-13,498.46,249,2.00,7.92
1765607731700,1116,905,9.71,3.47,47.74,39,3205.23,82.19,55,Juniper Throw Blanket,2025-12-13,454.08,207,2.19,7.06
1765611331700,1095,898,7.91,3.20,40.17,35,2674.24,76.41,55,Juniper Throw Blanket,2025-12-13,475.20,166,2.86,5.63
