ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,584,499,5.16,2.13,35.66,12,1134.41,94.53,17,Nimbus Trail Backpack,2025-12-12,463.00,169,2.74,2.45
1765564531700,537,487,3.57,1.79,35.29,10,833.45,83.35,18,Nimbus Trail Backpack,2025-12-12,426.38,194,2.20,1.95
1765568131700,582,501,5.79,1.32,33.12,8,728.89,91.11,15,Nimbus Trail Backpack,2025-12-12,442.27,154,2.87,1.65
1765571731700,609,571,4.09,1.72,36.77,10,884.85,88.49,18,Nimbus Trail Backpack,2025-12-12,430.70,239,1.80,2.05
1765575331700,641,551,6.28,2.30,35.12,15,1381.76,92.12,25,Nimbus Trail Backpack,2025-12-12,427.33,235,1.82,3.23
1765578931700,700,653,5.41,2.97,49.25,21,1640.35,78.11,38,Nimbus Trail Backpack,2025-12-12,422.96,213,1.99,3.88
1765582531700,777,645,7.10,3.01,47.45,23,1861.27,80.92,37,Nimbus Trail Backpack,2025-12-12,463.69,222,2.09,4.01
1765586131700,865,766,5.88,3.45,41.02,30,2419.10,80.64,53,Nimbus Trail Backpack,2025-12-13,459.63,160,2.87,5.26
1765589731700,937,852,6.12,2.97,40.22,28,2417.03,86.32,46,Nimbus Trail Backpack,2025-12-13,433.38,176,2.46,5.58
1765593331700,993,827,6.62,3.72,36.68,37,2917.94,78.86,50,Nimbus Trail Backpack,2025-12-13,492.02,190,2.59,5.93
1765596931700,1040,832,8.83,3.79,48.89,39,3666.80,94.02,65,Nimbus Trail Backpack,2025-12-13,454.38,216,2.10,8.07
1765600531700,1113,1041,8.87,3.61,50.31,40,3209.94,80.25,76,Nimbus Trail Backpack,2025-12-13,437.05,146,2.99,7.34
1765604131700,1105,885,8.56,3.60,42.43,40,3359.53,83.99,56,Nimbus Trail Backpack,2025-12-13,463.29,231,2.01,7.25
1765607731700,1135,1001,9.09,3.64,52.19,41,3654.56,89.14,73,Nimbus Trail Backpack,2025-12-13,489.65,264,1.85,7.46
1765611331700,1140,996,7.24,3.38,43.27,38,3173.93,83.52,67,Nimbus Trail Backpack,2025-12-13,489.18,202,2.42,6.49
1765614931700,1084,968,8.55,2.54,50.53,28,2353.18,84.04,46,Nimbus Trail Backpack,2025-12-13,420.69,149,2.82,5.59
1765618531700,1049,959,8.47,2.65,38.38,28,2170.09,77.50,40,Nimbus Trail Backpack,2025-12-13,467.62,187,2.50,4.64
1765622131700,995,930,7.87,3.32,36.70,33,3001.50,90.95,47,Nimbus Trail Backpack,2025-12-13,416.95,177,2.36,7.20
1765625731700,906,786,8.10,3.42,50.59,31,2536.10,81.81,46,Nimbus Trail Backpack,2025-12-13,466.43,190,2.45,5.44
1765629331700,836,766,5.56,3.21,39.65,27,2291.17,84.86,44,Nimbus Trail Backpack,2025-12-13,437.65,199,2.20,5.24
1765632931700,765,706,5.54,2.37,41.62,18,1540.35,85.58,33,Nimbus Trail Backpack,2025-12-13,421.82,146,2.89,3.65
1765636531700,708,612,5.20,1.63,38.06,12,1054.23,87.85,23,Nimbus Trail Backpack,2025-12-13,440.23,153,2.88,2.39
1765640131700,635,520,6.20,2.44,43.55,15,1358.51,90.57,27,Nimbus Trail Backpack,2025-12-13,442.48,222,1.99,3.07
1765643731700,588,531,4.11,2.89,47.44,17,1604.57,94.39,28,Nimbus Trail Backpack,2025-12-13,414.75,226,1.84,3.87
1765647331700,630,541,4.43,1.46,44.25,9,741.26,82.36,16,Nimbus Trail Backpack,2025-12-13,439.10,228,1.93,1.69
1765650931700,617,551,3.53,1.68,38.26,10,861.16,86.12,19,Nimbus Trail Backpack,2025-12-13,361.81,137,2.64,2.38
1765654531700,636,592,3.90,2.37,33.44,15,1358.17,90.54,24,Nimbus Trail Backpack,2025-12-13,380.73,194,1.96,3.57
1765658131700,649,607,5.30,2.20,40.10,14,1104.10,78.86,19,Nimbus Trail Backpack,2025-12-13,367.46,177,2.08,3.00
1765661731700,687,607,6.02,2.56,46.69,18,1610.33,89.46,29,Nimbus Trail Backpack,2025-12-13,445.80,197,2.26,3.61
1765665331700,774,649,4.21,2.14,35.51,17,1598.43,94.03,30,Nimbus Trail Backpack,2025-12-13,426.70,163,2.62,3.75
1765668931700,845,752,7.44,2.99,46.00,25,2239.53,89.58,31,Nimbus Trail Backpack,2025-12-13,381.70,202,1.89,5.87
1765672531700,937,881,7.92,2.48,42.99,23,2071.62,90.07,36,Nimbus Trail Backpack,2025-12-14,420.98,203,2.07,4.92
1765676131700,1001,862,6.41,3.06,47.73,31,2819.01,90.94,51,Nimbus Trail Backpack,2025-12-14,426.17,154,2.77,6.61
1765679731700,1064,867,7.08,2.26,45.37,24,1993.76,83.07,45,Nimbus Trail Backpack,2025-12-14,395.01,154,2.57,5.05
1765683331700,1149,987,9.21,3.99,45.49,46,4279.32,93.03,75,Nimbus Trail Backpack,2025-12-14,454.03,175,2.59,9.43
