ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,531,447,3.48,2.97,39.89,16,1124.34,70.27,25,Caldera Runner Sneaker,2025-12-12,475.55,237,2.01,2.36
1765564531700,522,418,3.78,2.73,45.48,14,1127.90,80.56,21,Caldera Runner Sneaker,2025-12-12,407.01,138,2.95,2.77
1765568131700,517,467,4.48,2.58,33.26,13,1024.42,78.80,17,Caldera Runner Sneaker,2025-12-12,356.11,185,1.92,2.88
1765571731700,558,512,3.31,1.78,42.01,10,827.26,82.73,12,Caldera Runner Sneaker,2025-12-12,477.32,259,1.84,1.73
1765575331700,619,510,5.52,2.16,39.68,13,1088.63,83.74,17,Caldera Runner Sneaker,2025-12-12,386.31,205,1.88,2.82
1765578931700,648,521,4.28,2.21,48.38,14,1194.66,85.33,20,Caldera Runner Sneaker,2025-12-12,447.27,155,2.89,2.67
1765582531700,743,644,6.22,2.73,50.46,20,1562.29,78.11,33,Caldera Runner Sneaker,2025-12-12,476.57,262,1.82,3.28
1765586131700,792,696,6.17,2.31,46.72,18,1463.99,81.33,29,Caldera Runner Sneaker,2025-12-13,461.46,173,2.67,3.17
1765589731700,857,811,6.73,3.05,50.58,26,2030.54,78.10,46,Caldera Runner Sneaker,2025-12-13,412.08,168,2.45,4.93
1765593331700,951,891,8.31,2.30,48.30,22,1784.97,81.14,36,Caldera Runner Sneaker,2025-12-13,405.36,172,2.36,4.40
1765596931700,982,798,9.08,2.86,37.26,28,2086.02,74.50,48,Caldera Runner Sneaker,2025-12-13,482.78,242,1.99,4.32
1765600531700,1035,979,8.55,4.10,52.46,42,3098.10,73.76,71,Caldera Runner Sneaker,2025-12-13,432.67,211,2.05,7.16
1765604131700,1052,855,8.54,2.61,52.23,27,2029.82,75.18,40,Caldera Runner Sneaker,2025-12-13,503.68,205,2.46,4.03
1765607731700,1092,897,7.59,3.64,48.74,40,3174.71,79.37,52,Caldera Runner Sneaker,2025-12-13,494.15,188,2.63,6.42
1765611331700,1053,884,7.43,2.79,39.27,29,2445.76,84.34,35,Caldera Runner Sneaker,2025-12-13,420.41,206,2.04,5.82
1765614931700,1022,887,9.69,2.53,49.09,26,1865.04,71.73,39,Caldera Runner Sneaker,2025-12-13,405.28,155,2.61,4.60
1765618531700,990,860,7.25,3.01,50.07,30,2427.53,80.92,48,Caldera Runner Sneaker,2025-12-13,401.65,211,1.90,6.04
1765622131700,918,751,6.49,3.81,43.83,35,2916.07,83.32,65,Caldera Runner Sneaker,2025-12-13,478.34,175,2.73,6.10
1765625731700,864,749,6.48,2.42,45.85,21,1804.89,85.95,29,Caldera Runner Sneaker,2025-12-13,472.64,252,1.88,3.82
1765629331700,806,676,6.93,2.39,47.34,19,1569.43,82.60,25,Caldera Runner Sneaker,2025-12-13,389.70,201,1.94,4.03
1765632931700,742,607,4.68,2.97,49.13,22,1870.12,85.01,29,Caldera Runner Sneaker,2025-12-13,410.31,205,2.00,4.56
1765636531700,672,608,6.36,3.17,49.69,21,1582.02,75.33,37,Caldera Runner Sneaker,2025-12-13,409.85,180,2.28,3.86
1765640131700,587,489,3.90,3.10,37.41,18,1402.36,77.91,29,Caldera Runner Sneaker,2025-12-13,432.97,236,1.83,3.24
1765643731700,573,483,5.96,2.33,46.26,13,1014.71,78.05,19,Caldera Runner Sneaker,2025-12-13,476.92,236,2.02,2.13
1765647331700,568,522,5.44,2.34,44.72,13,991.89,76.30,22,Caldera Runner Sneaker,2025-12-13,461.82,158,2.92,2.15
1765650931700,580,514,3.39,2.54,39.81,15,1198.02,79.87,26,Caldera Runner Sneaker,2025-12-13,457.12,250,1.83,2.62
1765654531700,592,502,5.51,1.59,47.27,9,689.31,76.59,12,Caldera Runner Sneaker,2025-12-13,420.74,180,2.34,1.64
1765658131700,623,540,3.37,1.50,44.08,9,707.60,78.62,14,Caldera Runner Sneaker,2025-12-13,369.25,196,1.88,1.92
1765661731700,656,612,5.54,2.74,40.36,18,1344.52,74.70,23,Caldera Runner Sneaker,2025-12-13,474.74,194,2.45,2.83
1765665331700,723,684,4.51,2.44,44.14,18,1315.88,73.10,31,Caldera Runner Sneaker,2025-12-13,392.80,175,2.24,3.35
1765668931700,784,721,5.83,2.80,37.24,22,1522.64,69.21,29,Caldera Runner Sneaker,2025-12-13,434.40,225,1.93,3.51
1765672531700,893,824,6.47,3.36,49.82,30,2317.38,77.25,48,Caldera Runner Sneaker,2025-12-14,382.09,164,2.33,6.07
1765676131700,961,799,6.44,3.74,46.54,36,3070.60,85.29,57,Caldera Runner Sneaker,2025-12-14,431.99,147,2.94,7.11
1765679731700,1016,891,8.19,3.15,51.01,32,2372.11,74.13,45,Caldera Runner Sneaker,2025-12-14,494.53,193,2.56,4.80
1765683331700,1100,1040,7.22,2.43,47.87,27,2157.74,79.92,38,Caldera Runner Sneaker,2025-12-14,507.40,233,2.18,4.25
1765686931700,1129,955,8.83,2.64,43.49,30,2510.55,83.69,37,Caldera Runner Sneaker,2025-12-14,491.28,197,2.49,5.11
1765690531700,1159,933,6.94,2.45,47.02,28,1944.15,69.43,40,Caldera Runner Sneaker,2025-12-14,448.23,198,2.26,4.34
1765694131700,1166,1092,8.73,2.56,39.63,30,2110.47,70.35,53,Caldera Runner Sneaker,2025-12-14,422.21,206,2.05,5.00
1765697731700,1162,957,8.17,2.55,48.47,30,2537.02,84.57,56,Caldera Runner Sneaker,2025-12-14,483.07,171,2.82,5.25
1765701331700,1128,1041,9.01,4.12,52.69,46,3252.27,70.70,77,Caldera Runner Sneaker,2025-12-14,430.99,162,2.66,7.55
1765704931700,1070,937,6.46,2.52,49.05,27,1854.57,68.69,44,Caldera Runner Sneaker,2025-12-14,404.98,136,2.98,4.58
1765708531700,1004,937,6.17,3.19,46.29,32,2176.10,68.00,49,Caldera Runner Sneaker,2025-12-14,450.96,167,2.70,4.83
1765712131700,956,864,7.84,3.30,46.73,32,2293.26,71.66,42,Caldera Runner Sneaker,2025-12-14,459.95,248,1.85,4.99
1765715731700,859,723,6.51,3.21,35.51,28,2403.55,85.84,37,Caldera Runner Sneaker,2025-12-14,496.44,242,2.05,4.84
1765719331700,805,707,4.51,2.25,49.93,18,1404.49,78.03,32,Caldera Runner Sneaker,2025-12-14,393.49,163,2.41,3.57
1765722931700,720,642,5.10,2.17,48.21,16,1195.28,74.70,27,Caldera Runner Sneaker,2025-12-14,456.77,228,2.00,2.62
1765726531700,654,528,4.79,2.62,42.86,17,1423.90,83.76,30,Caldera Runner Sneaker,2025-12-14,450.65,153,2.95,3.16
1765730131700,610,563,6.08,1.79,34.59,11,907.68,82.52,13,Caldera Runner Sneaker,2025-12-14,404.96,157,2.58,2.24
1765733731700,600,497,3.15,2.61,48.19,16,1233.19,77.07,26,Caldera Runner Sneaker,2025-12-14,403.57,178,2.27,3.06
1765737331700,570,467,5.94,2.89,39.97,16,1354.60,84.66,24,Caldera Runner Sneaker,2025-12-14,378.71,168,2.25,3.58
1765740931700,587,530,3.44,1.71,33.78,10,757.18,75.72,15,Caldera Runner Sneaker,2025-12-14,366.53,152,2.41,2.07
1765744531700,632,595,4.06,2.36,46.61,15,1046.83,69.79,22,Caldera Runner Sneaker,2025-12-14,395.28,180,2.20,2.65
1765748131700,670,592,5.01,2.92,47.46,20,1416.96,70.85,30,Caldera Runner Sneaker,2025-12-14,364.15,169,2.15,3.89
1765751731700,756,696,5.02,1.64,40.10,12,855.85,71.32,19,Caldera Runner Sneaker,2025-12-14,429.38,208,2.06,1.99
1765755331700,800,714,6.16,1.99,36.60,16,1133.61,70.85,22,Caldera Runner Sneaker,2025-12-14,473.47,223,2.12,2.39
1765758931700,902,798,5.64,2.18,43.73,20,1647.29,82.36,30,Caldera Runner Sneaker,2025-12-15,412.68,208,1.98,3.99
1765762531700,960,802,7.87,2.32,37.66,22,1887.58,85.80,39,Caldera Runner Sneaker,2025-12-15,487.02,213,2.29,3.88
1765766131700,1053,954,7.11,3.61,48.76,38,2757.60,72.57,55,Caldera Runner Sneaker,2025-12-15,467.43,159,2.94,5.90
1765769731700,1112,899,8.42,3.74,46.63,42,3573.50,85.08,74,Caldera Runner Sneaker,2025-12-15,413.37,185,2.23,8.64
1765773331700,1146,1015,9.34,2.97,40.65,34,2857.60,84.05,58,Caldera Runner Sneaker,2025-12-15,444.90,245,1.82,6.42
1765776931700,1182,955,7.18,2.77,40.26,33,2478.42,75.10,52,Caldera Runner Sneaker,2025-12-15,498.48,248,2.01,4.97
1765780531700,1206,1128,8.01,3.14,48.18,38,3037.63,79.94,65,Caldera Runner Sneaker,2025-12-15,478.06,172,2.78,6.35
1765784131700,1195,1069,8.75,3.76,51.27,45,3799.12,84.42,82,Caldera Runner Sneaker,2025-12-15,509.73,172,2.96,7.45
1765787731700,1158,989,8.51,2.36,52.10,27,2287.75,84.73,48,Caldera Runner Sneaker,2025-12-15,471.04,186,2.53,4.86
1765791331700,1093,1038,8.52,2.28,42.02,25,2146.05,85.84,43,Caldera Runner Sneaker,2025-12-15,469.92,233,2.02,4.57
1765794931700,1041,974,8.36,3.11,41.64,32,2487.10,77.72,56,Caldera Runner Sneaker,2025-12-15,460.37,254,1.81,5.40
1765798531700,976,858,7.93,2.84,49.82,28,2122.26,75.79,52,Caldera Runner Sneaker,2025-12-15,393.58,195,2.02,5.39
1765802131700,907,772,6.73,2.30,36.02,21,1465.42,69.78,37,Caldera Runner Sneaker,2025-12-15,464.34,175,2.65,3.16
1765805731700,816,680,6.00,2.42,38.76,20,1466.48,73.32,29,Caldera Runner Sneaker,2025-12-15,416.84,179,2.33,3.52
1765809331700,751,710,4.86,3.09,38.87,23,1939.55,84.33,43,Caldera Runner Sneaker,2025-12-15,446.18,158,2.82,4.35
1765812931700,695,612,6.02,2.60,33.80,18,1473.69,81.87,33,Caldera Runner Sneaker,2025-12-15,420.05,213,1.97,3.51
1765816531700,623,538,4.25,2.36,37.90,15,1272.61,84.84,26,Caldera Runner Sneaker,2025-12-15,476.24,168,2.83,2.67
1765820131700,579,547,4.67,2.86,38.68,17,1191.24,70.07,27,Caldera Runner Sneaker,2025-12-15,409.90,163,2.51,2.91
1765823731700,562,483,3.68,1.91,35.45,11,920.45,83.68,17,Caldera Runner Sneaker,2025-12-15,395.36,191,2.07,2.33
1765827331700,552,469,4.73,2.25,42.34,12,1016.30,84.69,21,Caldera Runner Sneaker,2025-12-15,461.96,155,2.98,2.20
1765830931700,592,503,4.49,1.65,34.92,10,742.21,74.22,14,Caldera Runner Sneaker,2025-12-15,396.18,191,2.07,1.87
1765834531700,650,568,5.81,1.57,39.56,10,756.86,75.69,14,Caldera Runner Sneaker,2025-12-15,412.55,223,1.85,1.83
1765838131700,710,673,4.41,1.55,46.75,11,766.36,69.67,17,Caldera Runner Sneaker,2025-12-15,479.21,165,2.90,1.60
1765841731700,763,688,5.26,2.34,38.97,18,1266.03,70.33,29,Caldera Runner Sneaker,2025-12-15,437.40,151,2.90,2.89
1765845331700,828,700,7.13,2.12,42.01,18,1297.16,72.06,29,Caldera Runner Sneaker,2025-12-16,470.67,181,2.60,2.76
1765848931700,907,860,7.92,2.37,46.81,21,1801.48,85.78,37,Caldera Runner Sneaker,2025-12-16,446.24,163,2.74,4.04
1765852531700,996,918,7.24,3.81,45.85,38,2949.38,77.62,53,Caldera Runner Sneaker,2025-12-16,408.35,217,1.88,7.22
1765856131700,1030,956,7.44,2.32,37.60,24,1632.71,68.03,39,Caldera Runner Sneaker,2025-12-16,413.95,161,2.57,3.94
1765859731700,1077,907,9.70,3.71,51.13,40,3287.56,82.19,65,Caldera Runner Sneaker,2025-12-16,411.08,199,2.07,8.00
1765863331700,1111,989,8.48,2.71,37.83,30,2371.36,79.05,55,Caldera Runner Sneaker,2025-12-16,516.96,259,2.00,4.59
1765866931700,1108,1018,9.88,3.00,41.45,33,2430.14,73.64,59,Caldera Runner Sneaker,2025-12-16,459.63,238,1.93,5.29
1765870531700,1133,928,7.36,2.99,48.23,34,2652.96,78.03,52,Caldera Runner Sneaker,2025-12-16,489.24,201,2.43,5.42
1765874131700,1100,894,7.19,3.47,41.98,38,2983.68,78.52,56,Caldera Runner Sneaker,2025-12-16,456.02,200,2.28,6.54
1765877731700,1052,992,7.89,3.06,41.42,32,2393.53,74.80,52,Caldera Runner Sneaker,2025-12-16,437.72,179,2.45,5.47
1765881331700,979,790,6.77,3.38,39.73,33,2375.33,71.98,50,Caldera Runner Sneaker,2025-12-16,423.11,216,1.96,5.61
1765884931700,931,808,7.08,3.12,40.45,29,2434.15,83.94,55,Caldera Runner Sneaker,2025-12-16,422.09,166,2.54,5.77
1765888531700,857,689,7.35,2.15,38.56,18,1347.61,74.87,32,Caldera Runner Sneaker,2025-12-16,497.84,275,1.81,2.71
1765892131700,762,669,4.74,2.36,40.71,18,1423.32,79.07,27,Caldera Runner Sneaker,2025-12-16,453.29,231,1.96,3.14
1765895731700,685,617,6.58,2.10,46.43,14,973.54,69.54,21,Caldera Runner Sneaker,2025-12-16,445.99,219,2.04,2.18
1765899331700,636,512,4.58,3.01,44.17,19,1512.41,79.60,36,Caldera Runner Sneaker,2025-12-16,374.98,168,2.23,4.03
1765902931700,607,518,3.69,2.25,37.60,14,1033.51,73.82,23,Caldera Runner Sneaker,2025-12-16,454.79,185,2.46,2.27
1765906531700,519,464,5.69,1.35,45.82,7,553.51,79.07,11,Caldera Runner Sneaker,2025-12-16,467.61,166,2.82,1.18
1765910131700,514,443,4.55,2.50,42.64,13,968.25,74.48,24,Caldera Runner Sneaker,2025-12-16,357.98,194,1.85,2.70
1765913731700,521,492,3.66,2.90,39.96,15,1229.24,81.95,21,Caldera Runner Sneaker,2025-12-16,363.50,174,2.09,3.38
1765917331700,534,460,5.41,2.07,41.97,11,842.61,76.60,15,Caldera Runner Sneaker,2025-12-16,416.88,213,1.96,2.02
