ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,15.87,6.50,92.97,297.42,4.39,99.87,112.49
1765564531700,16.63,4.08,93.62,297.35,4.22,99.52,113.02
1765568131700,16.01,7.05,92.99,297.29,4.29,99.73,112.96
1765571731700,15.91,8.62,92.59,297.17,4.26,99.93,112.12
1765575331700,16.38,3.71,93.40,297.23,4.31,99.62,112.29
1765578931700,16.65,4.87,93.66,297.05,4.32,100.08,113.44
1765582531700,15.72,5.22,92.88,297.50,4.29,99.68,112.82
1765586131700,15.12,9.30,92.32,297.27,4.22,99.68,112.60
1765589731700,16.58,7.92,93.23,297.22,4.26,99.07,112.31
1765593331700,16.05,6.21,92.57,297.31,4.22,99.04,112.61
1765596931700,15.78,5.12,93.34,297.43,4.23,100.08,112.74
1765600531700,16.13,7.94,93.88,297.70,4.24,99.56,112.33
1765604131700,15.01,3.70,92.52,297.20,4.29,99.83,112.58
1765607731700,15.70,7.28,93.92,297.23,4.36,99.71,112.13
1765611331700,15.69,9.42,92.92,297.13,4.37,99.99,113.02
1765614931700,15.64,3.58,92.61,297.26,4.36,99.34,112.44
1765618531700,16.04,7.89,93.58,297.45,4.28,99.25,113.08
1765622131700,16.38,5.76,93.78,297.69,4.31,99.49,113.38
1765625731700,16.52,8.74,92.35,297.07,4.22,99.00,112.77
1765629331700,16.31,5.50,93.53,297.54,4.32,99.02,112.74
1765632931700,16.79,6.06,92.03,297.44,4.31,99.36,113.47
1765636531700,15.45,4.87,93.95,297.57,4.29,99.52,112.57
1765640131700,15.35,4.92,92.55,297.52,4.25,100.06,112.31
1765643731700,16.02,4.10,92.64,297.73,4.32,99.84,113.24
1765647331700,15.69,5.78,93.55,297.79,4.35,99.97,113.40
1765650931700,17.09,5.64,94.16,297.35,4.30,100.19,112.62
1765654531700,15.13,5.91,93.93,297.59,4.24,100.02,113.21
1765658131700,15.90,3.60,93.69,297.23,4.31,100.04,113.69
