ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,15.00,7.67,92.87,297.69,4.33,100.01,112.53
1765564531700,15.34,7.63,92.20,297.71,4.30,99.86,112.12
1765568131700,16.97,6.60,92.19,297.69,4.23,100.07,112.78
1765571731700,16.12,5.94,92.95,297.35,4.33,99.06,112.16
1765575331700,15.35,6.02,92.86,297.32,4.40,99.07,112.34
1765578931700,16.61,4.94,92.02,297.28,4.37,99.41,113.17
1765582531700,16.42,7.55,93.15,297.71,4.27,99.65,112.54
1765586131700,15.88,6.11,93.01,297.43,4.29,100.16,112.77
1765589731700,15.31,3.88,93.38,297.47,4.34,99.21,112.22
1765593331700,15.63,4.23,92.80,297.60,4.28,99.03,113.18
1765596931700,16.25,5.53,92.98,297.03,4.30,99.74,112.75
1765600531700,16.39,7.11,92.62,297.39,4.33,99.48,113.34
1765604131700,16.23,3.88,92.83,297.53,4.25,99.26,113.06
1765607731700,15.75,5.12,93.14,297.29,4.36,99.02,112.95
1765611331700,16.06,8.42,92.47,297.08,4.25,99.08,113.15
1765614931700,15.17,3.53,93.95,297.71,4.27,99.44,112.15
1765618531700,16.92,9.16,92.77,297.54,4.27,99.61,113.43
1765622131700,16.76,3.68,92.73,297.69,4.24,99.35,112.75
1765625731700,16.35,6.21,93.04,297.22,4.26,99.98,112.18
1765629331700,15.15,8.73,92.38,297.71,4.28,99.94,113.15
1765632931700,15.85,7.26,92.14,297.05,4.28,100.13,113.18
1765636531700,15.36,8.65,93.09,297.69,4.23,99.77,112.13
1765640131700,16.78,6.74,92.95,297.76,4.24,99.79,112.40
1765643731700,15.37,8.13,93.87,297.56,4.34,99.16,113.24
1765647331700,16.59,3.69,94.39,297.74,4.40,99.87,113.09
1765650931700,15.68,6.64,94.12,297.18,4.24,99.72,113.01
1765654531700,17.06,7.50,93.60,297.79,4.23,100.45,113.07
1765658131700,15.35,5.52,92.94,297.32,4.39,99.58,113.05
1765661731700,15.58,5.41,92.81,297.81,4.33,99.90,113.50
1765665331700,16.37,5.54,94.31,297.10,4.27,100.38,113.38
1765668931700,15.97,4.33,93.89,297.47,4.27,100.11,113.07
1765672531700,16.52,6.65,93.32,297.40,4.31,100.40,112.75
1765676131700,15.57,5.64,92.44,297.65,4.23,99.45,112.42
1765679731700,17.07,7.17,94.00,297.34,4.37,100.37,112.86
1765683331700,15.87,4.84,92.61,297.29,4.26,99.32,113.03
1765686931700,16.57,8.48,93.96,297.54,4.27,100.22,113.56
1765690531700,16.92,5.63,94.36,297.71,4.23,100.33,112.35
1765694131700,16.12,8.15,92.89,297.26,4.38,100.23,112.79
1765697731700,15.41,7.86,92.70,297.76,4.22,99.81,113.17
1765701331700,15.98,3.31,92.97,297.56,4.22,99.41,112.70
1765704931700,15.63,7.65,92.61,297.56,4.28,99.67,113.70
1765708531700,16.99,7.04,94.10,297.22,4.25,99.93,112.97
1765712131700,15.40,3.48,94.10,297.16,4.22,99.72,112.54
1765715731700,16.08,7.96,93.60,297.79,4.33,99.70,112.78
1765719331700,16.10,7.71,93.61,297.26,4.24,99.48,113.82
1765722931700,16.84,5.88,92.51,297.31,4.24,99.47,112.47
1765726531700,16.07,5.01,93.97,297.68,4.31,99.37,112.62
1765730131700,15.15,3.54,93.84,297.68,4.40,100.43,112.34
1765733731700,16.99,2.41,94.38,297.42,4.42,99.72,112.94
1765737331700,15.25,5.88,93.09,297.77,4.31,100.44,113.50
1765740931700,15.74,2.53,93.95,297.43,4.35,100.72,113.86
1765744531700,16.10,4.27,93.52,297.23,4.28,100.28,112.83
1765748131700,15.40,6.38,93.20,297.42,4.37,100.34,113.44
1765751731700,16.63,4.27,92.97,297.87,4.31,100.41,113.42
1765755331700,16.89,5.18,94.13,297.89,4.24,99.90,113.49
1765758931700,16.99,6.05,92.93,297.47,4.27,100.16,113.71
1765762531700,16.78,6.75,94.66,297.64,4.26,100.62,113.43
1765766131700,16.78,7.30,94.07,297.83,4.32,100.73,113.23
1765769731700,16.65,1.82,93.51,297.51,4.27,100.18,113.36
1765773331700,17.00,5.53,93.34,297.19,4.34,100.29,114.11
1765776931700,16.94,2.64,94.54,297.94,4.41,100.35,113.24
1765780531700,17.22,6.07,93.77,297.90,4.40,100.17,113.49
1765784131700,17.06,2.92,93.19,297.59,4.34,99.96,113.23
1765787731700,17.09,5.85,94.11,297.24,4.26,100.22,113.69
1765791331700,15.63,6.56,94.12,297.34,4.27,100.19,113.93
1765794931700,17.02,5.37,93.56,297.21,4.29,100.53,113.54
1765798531700,17.08,6.97,94.80,297.20,4.30,99.66,112.93
1765802131700,15.86,6.98,93.03,297.31,4.34,100.01,113.74
1765805731700,16.72,4.58,94.15,297.90,4.39,100.10,113.43
1765809331700,16.07,6.29,93.07,297.85,4.23,100.37,112.86
1765812931700,16.51,7.12,94.27,297.55,4.37,100.02,113.14
1765816531700,15.87,1.95,93.71,297.88,4.26,100.54,113.92
1765820131700,16.15,5.65,93.32,297.52,4.24,100.12,114.02
1765823731700,16.61,1.47,93.69,297.40,4.25,100.43,113.40
1765827331700,16.97,1.15,94.76,297.84,4.29,99.98,114.23
1765830931700,16.30,0.67,94.57,298.00,4.35,100.26,114.31
1765834531700,16.02,2.06,93.30,297.81,4.26,100.24,113.01
1765838131700,17.23,1.07,94.61,297.31,4.39,100.62,113.67
1765841731700,16.86,4.22,93.39,297.40,4.26,100.08,113.21
1765845331700,16.74,1.49,94.89,297.39,4.34,100.47,114.21
1765848931700,16.00,3.51,94.22,297.54,4.30,100.94,114.21
1765852531700,16.33,2.02,94.25,297.28,4.32,100.15,113.84
1765856131700,15.72,2.06,93.26,297.64,4.31,100.94,113.32
1765859731700,15.61,0.99,94.35,297.72,4.24,100.55,113.48
1765863331700,15.78,1.52,94.49,297.67,4.28,100.40,113.59
1765866931700,15.78,5.77,95.17,297.32,4.30,100.33,114.43
1765870531700,15.95,1.58,94.94,297.38,4.33,99.95,114.26
1765874131700,15.90,1.78,93.27,297.50,4.36,100.95,113.49
1765877731700,17.10,4.68,95.03,297.41,4.31,101.03,113.31
1765881331700,16.84,4.66,94.53,297.87,4.41,100.21,114.03
1765884931700,15.44,4.00,94.37,297.89,4.42,100.01,114.39
1765888531700,17.14,6.13,94.75,297.40,4.41,100.78,113.36
1765892131700,16.72,4.35,94.31,297.49,4.41,100.12,114.40
1765895731700,16.72,3.32,94.70,297.74,4.26,100.19,113.62
1765899331700,16.11,0.79,94.39,297.43,4.35,100.68,113.38
1765902931700,15.76,5.26,94.83,297.44,4.43,100.13,113.86
1765906531700,15.56,4.99,95.07,298.03,4.34,100.26,114.62
1765910131700,17.13,6.53,95.55,297.76,4.27,100.37,113.76
1765913731700,16.33,6.37,94.25,297.78,4.31,101.27,114.55
1765917331700,16.40,6.50,94.60,297.56,4.30,100.35,113.37
1765920931700,17.42,1.64,94.98,297.87,4.41,101.24,114.50
1765924531700,15.55,6.64,93.76,297.68,4.43,101.31,113.74
1765928131700,16.56,1.84,94.54,297.60,4.26,100.61,114.18
1765931731700,16.37,6.43,94.62,298.07,4.42,100.47,114.42
1765935331700,15.92,4.73,94.34,297.76,4.36,101.09,114.77
1765938931700,17.05,2.66,94.66,297.29,4.29,100.67,114.12
1765942531700,15.69,4.33,94.56,298.05,4.41,101.33,113.93
1765946131700,15.78,1.72,95.57,297.89,4.28,100.90,113.69
1765949731700,17.39,0.86,94.65,297.65,4.30,100.22,113.73
1765953331700,16.64,5.56,94.17,297.31,4.45,100.90,113.76
1765956931700,15.95,0.79,93.82,297.40,4.44,100.67,113.63
1765960531700,17.37,3.30,95.45,297.64,4.30,101.41,113.42
1765964131700,16.83,3.73,95.52,297.66,4.29,100.95,114.57
1765967731700,16.10,1.92,94.25,298.08,4.37,100.36,113.73
1765971331700,17.22,5.14,94.81,297.88,4.40,100.76,114.47
1765974931700,16.70,4.25,95.26,297.51,4.41,101.31,114.22
1765978531700,16.73,0.84,95.51,298.00,4.26,101.41,113.73
1765982131700,16.94,0.79,94.66,297.89,4.25,100.23,113.55
1765985731700,15.63,2.42,94.67,298.00,4.43,100.64,113.86
1765989331700,16.55,0.94,94.67,297.85,4.28,101.22,114.31
1765992931700,17.40,2.20,95.10,297.44,4.28,100.61,113.75
1765996531700,15.87,5.91,94.12,297.71,4.33,101.27,114.89
1766000131700,17.26,4.64,95.55,297.78,4.43,100.53,114.10
1766003731700,15.95,5.11,94.15,297.99,4.31,100.82,114.91
1766007331700,17.54,7.16,95.63,297.46,4.30,100.86,115.12
1766010931700,17.07,5.58,95.76,297.48,4.32,101.40,114.95
1766014531700,17.20,2.47,95.39,297.36,4.42,101.51,115.09
1766018131700,15.98,4.19,94.11,297.53,4.43,100.74,113.87
1766021731700,16.04,4.69,94.53,298.06,4.43,101.32,113.89
1766025331700,15.84,4.99,95.04,297.75,4.30,101.34,115.08
1766028931700,16.32,3.37,94.45,297.65,4.30,100.54,114.74
1766032531700,16.69,2.64,95.51,297.42,4.29,100.54,114.02
1766036131700,17.42,5.19,95.80,297.78,4.39,101.13,114.72
1766039731700,17.26,4.51,94.23,298.07,4.43,101.45,113.97
1766043331700,16.48,7.38,96.04,297.79,4.29,100.87,113.91
1766046931700,16.31,5.56,94.87,297.57,4.31,101.21,114.06
1766050531700,16.18,3.06,94.61,297.35,4.41,100.96,113.76
1766054131700,16.58,3.59,95.91,297.47,4.46,100.89,114.33
1766057731700,15.88,5.01,94.92,297.74,4.26,101.39,114.81
1766061331700,17.56,7.45,95.47,297.71,4.45,101.05,113.87
1766064931700,16.32,6.45,94.65,297.84,4.42,100.99,114.65
1766068531700,16.49,7.46,94.26,298.05,4.29,100.57,113.72
1766072131700,16.89,5.88,94.65,297.77,4.31,101.00,115.02
1766075731700,16.57,5.42,95.13,297.98,4.28,101.25,115.05
1766079331700,16.87,5.01,95.54,297.69,4.41,101.04,115.09
1766082931700,17.16,4.83,94.79,297.63,4.33,101.15,114.75
1766086531700,16.41,7.05,96.41,297.62,4.42,101.52,115.41
1766090131700,16.75,3.09,94.66,297.45,4.32,101.31,114.54
1766093731700,17.54,6.59,95.03,298.08,4.47,101.96,114.72
1766097331700,15.75,4.86,95.32,298.18,4.44,101.52,114.66
1766100931700,17.69,3.86,95.11,298.12,4.42,101.56,114.30
1766104531700,16.47,6.31,95.19,297.50,4.36,100.93,115.16
1766108131700,16.07,5.69,94.51,297.47,4.40,101.31,113.95
1766111731700,17.20,6.37,96.31,297.86,4.37,101.77,115.17
1766115331700,16.61,5.81,95.81,297.54,4.43,100.80,114.40
1766118931700,16.47,5.48,94.69,297.57,4.44,101.67,114.34
1766122531700,15.87,5.93,95.74,298.12,4.47,101.62,115.03
1766126131700,16.34,6.49,95.48,298.14,4.44,101.83,114.72
1766129731700,15.85,3.09,94.73,297.93,4.40,101.95,114.04
1766133331700,16.17,3.39,94.72,297.75,4.38,100.98,114.90
1766136931700,16.63,8.71,95.20,297.70,4.29,101.23,114.22
1766140531700,16.26,6.07,95.29,297.73,4.28,101.85,115.01
1766144131700,15.81,7.97,94.66,297.91,4.32,101.20,114.91
1766147731700,17.06,3.15,95.86,297.93,4.31,100.90,115.42
1766151331700,16.44,4.13,96.02,297.46,4.30,101.53,114.06
1766154931700,17.28,7.12,96.14,297.89,4.42,101.33,115.00
1766158531700,17.37,3.77,95.11,298.06,4.27,101.33,115.38
1766162131700,17.70,7.64,96.09,297.60,4.28,101.26,114.63
1766165731700,17.47,8.09,95.10,297.86,4.44,101.41,114.49
1766169331700,16.59,8.79,96.06,298.09,4.39,101.51,115.01
1766172931700,15.91,5.69,95.59,297.56,4.44,101.29,115.33
1766176531700,16.63,7.35,95.45,297.92,4.38,101.86,114.77
1766180131700,16.89,6.56,95.45,297.69,4.41,102.12,114.75
1766183731700,16.34,5.82,95.40,297.66,4.37,101.25,114.39
1766187331700,16.29,5.14,96.19,297.93,4.32,102.17,114.31
1766190931700,16.82,3.57,96.34,297.89,4.39,101.54,115.07
1766194531700,17.81,7.77,95.68,297.72,4.36,101.79,114.55
1766198131700,17.62,3.82,96.80,298.05,4.30,101.99,114.83
1766201731700,16.37,5.10,96.68,297.65,4.31,101.44,115.44
1766205331700,17.06,7.30,96.26,297.79,4.41,102.04,115.02
1766208931700,16.89,6.52,95.28,298.06,4.43,101.81,114.88
1766212531700,16.89,7.89,96.46,297.66,4.31,102.00,114.60
1766216131700,16.48,7.43,94.88,297.69,4.42,101.52,114.58
1766219731700,17.13,4.90,95.82,297.63,4.31,101.52,114.24
1766223331700,16.34,5.08,96.06,297.56,4.29,101.24,115.35
1766226931700,16.59,7.90,96.41,297.69,4.32,102.02,114.49
1766230531700,16.06,8.06,95.11,297.71,4.46,101.82,114.71
1766234131700,17.08,9.30,95.46,298.01,4.36,102.16,114.35
1766237731700,17.57,7.14,95.66,298.07,4.42,101.99,114.79
1766241331700,16.95,8.54,95.09,298.10,4.45,101.84,114.62
1766244931700,15.93,5.86,95.56,297.69,4.48,101.41,115.50
1766248531700,16.47,7.12,96.42,297.81,4.34,101.19,114.33
1766252131700,17.16,4.72,95.86,297.99,4.47,101.68,115.16
1766255731700,16.33,8.60,97.04,297.58,4.33,101.61,114.61
1766259331700,16.69,7.90,95.49,298.17,4.38,101.56,115.65
1766262931700,16.01,3.53,95.35,297.85,4.33,102.36,114.64
1766266531700,17.00,3.98,96.67,297.92,4.36,102.05,115.41
1766270131700,16.77,5.69,95.59,298.32,4.39,101.23,114.64
1766273731700,16.38,3.22,95.98,297.74,4.36,101.70,115.84
1766277331700,17.94,7.35,95.83,298.04,4.35,101.72,114.55
1766280931700,17.51,7.51,95.69,297.69,4.32,101.60,115.41
1766284531700,17.04,7.97,96.14,297.78,4.30,102.30,114.92
1766288131700,16.03,4.91,95.43,298.08,4.30,102.15,115.78
1766291731700,16.86,3.99,96.77,298.24,4.35,102.27,115.86
1766295331700,16.34,5.27,96.74,298.28,4.30,102.00,115.26
1766298931700,17.32,5.77,96.28,297.57,4.47,101.80,114.62
1766302531700,17.15,3.32,96.34,297.73,4.37,101.36,115.66
1766306131700,17.73,6.90,96.60,298.11,4.49,101.86,115.85
1766309731700,17.37,7.29,96.63,298.01,4.47,101.62,114.67
1766313331700,16.67,3.84,96.08,297.74,4.35,101.87,115.44
1766316931700,17.47,6.31,96.01,297.76,4.32,101.36,115.36
1766320531700,16.58,8.71,95.89,297.86,4.40,102.21,114.88
1766324131700,16.82,7.73,95.64,298.13,4.49,101.72,114.98
1766327731700,16.04,4.28,96.78,297.62,4.35,102.22,115.01
1766331331700,16.97,6.20,96.94,298.22,4.32,101.78,114.64
1766334931700,17.67,3.28,96.12,298.02,4.35,101.27,115.98
1766338531700,17.43,4.21,95.66,297.90,4.35,102.50,115.16
1766342131700,17.28,4.61,96.01,297.76,4.47,101.70,115.92
1766345731700,18.03,2.62,96.54,297.65,4.32,101.55,114.84
1766349331700,17.67,2.43,95.90,297.97,4.49,102.23,115.86
1766352931700,16.28,7.64,95.70,297.78,4.45,101.80,115.72
1766356531700,17.39,7.45,96.83,297.62,4.42,102.27,115.00
1766360131700,16.51,3.45,96.87,298.18,4.46,101.92,115.75
1766363731700,16.59,2.25,96.96,298.07,4.41,102.35,116.13
1766367331700,17.50,4.63,96.62,297.82,4.42,102.60,115.58
1766370931700,17.16,3.07,96.87,298.00,4.40,101.96,115.76
1766374531700,16.08,6.62,95.75,297.80,4.45,101.49,115.91
1766378131700,17.18,4.90,95.68,297.91,4.38,101.78,115.66
1766381731700,18.07,3.97,96.41,298.03,4.41,102.32,116.21
1766385331700,17.73,5.94,97.42,298.41,4.46,101.80,115.12
1766388931700,17.29,7.57,96.93,298.26,4.33,102.43,116.08
1766392531700,16.82,3.62,97.21,298.01,4.48,101.71,116.19
1766396131700,16.85,2.43,96.04,298.17,4.32,102.01,116.05
1766399731700,16.76,4.46,95.60,298.41,4.38,101.50,115.23
1766403331700,18.03,4.00,96.37,297.82,4.47,101.84,115.84
1766406931700,17.97,3.19,96.77,297.80,4.50,102.50,116.21
1766410531700,18.02,7.56,95.66,298.39,4.49,101.84,114.88
1766414131700,16.97,5.76,97.02,297.90,4.49,102.58,115.72
1766417731700,17.14,2.57,96.18,298.08,4.41,101.86,114.92
1766421331700,16.83,3.69,96.50,297.85,4.47,101.97,115.75
1766424931700,18.08,5.08,96.75,297.95,4.45,102.02,115.07
1766428531700,16.24,1.74,97.21,298.04,4.39,101.99,115.29
1766432131700,17.06,1.11,96.50,297.93,4.38,102.68,115.09
1766435731700,17.80,3.12,97.72,298.10,4.32,101.77,115.99
1766439331700,16.97,1.11,96.56,297.83,4.40,102.74,115.00
1766442931700,17.80,0.99,97.38,297.92,4.47,102.57,115.57
1766446531700,18.16,2.75,97.68,297.84,4.48,102.12,116.04
1766450131700,17.24,2.89,95.86,298.04,4.35,101.79,115.69
1766453731700,16.67,2.70,96.27,297.99,4.33,102.18,115.85
1766457331700,17.76,5.97,96.87,298.05,4.33,102.55,115.45
1766460931700,17.77,6.34,95.96,298.34,4.43,102.63,115.87
1766464531700,18.04,6.33,96.64,298.34,4.43,102.13,116.28
1766468131700,17.08,2.73,97.03,297.96,4.49,102.47,116.28
1766471731700,16.85,1.92,96.15,298.08,4.37,102.68,115.88
1766475331700,17.48,1.49,97.70,297.82,4.48,102.52,115.61
1766478931700,17.50,4.48,97.46,297.92,4.39,102.56,115.12
1766482531700,17.50,2.60,97.39,298.31,4.45,102.64,115.40
1766486131700,17.29,1.91,97.38,298.00,4.40,102.43,116.46
