ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,704,629,8.68,4.57,33.46,32,2294.72,71.71,51,Midnight Bomber Jacket,2025-12-12,444.10,194,2.29,5.17
1765564531700,682,616,8.64,3.22,42.47,22,1503.90,68.36,31,Midnight Bomber Jacket,2025-12-12,449.88,248,1.81,3.34
1765568131700,685,643,7.16,4.41,29.73,30,2058.56,68.62,48,Midnight Bomber Jacket,2025-12-12,367.96,200,1.84,5.59
1765571731700,711,642,9.09,4.56,35.66,32,2256.73,70.52,48,Midnight Bomber Jacket,2025-12-12,368.77,190,1.94,6.12
1765575331700,773,666,7.00,3.64,32.98,28,1925.31,68.76,39,Midnight Bomber Jacket,2025-12-12,377.03,133,2.83,5.11
1765578931700,848,707,9.21,4.21,29.93,36,2502.01,69.50,55,Midnight Bomber Jacket,2025-12-12,458.48,158,2.90,5.46
1765582531700,961,890,8.71,4.38,33.43,42,3073.20,73.17,75,Midnight Bomber Jacket,2025-12-12,475.45,195,2.44,6.46
1765586131700,1042,955,9.03,4.08,42.28,42,2943.32,70.08,66,Midnight Bomber Jacket,2025-12-13,433.85,224,1.94,6.78
1765589731700,1145,975,11.72,5.27,30.53,60,4042.33,67.37,100,Midnight Bomber Jacket,2025-12-13,448.11,227,1.97,9.02
1765593331700,1215,1037,9.84,4.96,37.86,60,4469.14,74.49,100,Midnight Bomber Jacket,2025-12-13,407.19,179,2.27,10.98
1765596931700,1306,1237,11.11,5.69,40.19,74,5527.36,74.69,103,Midnight Bomber Jacket,2025-12-13,479.71,166,2.89,11.52
1765600531700,1365,1144,11.76,4.41,45.93,60,3846.09,64.10,79,Midnight Bomber Jacket,2025-12-13,517.37,256,2.02,7.43
1765604131700,1387,1280,13.18,4.94,31.48,69,4598.46,66.64,116,Midnight Bomber Jacket,2025-12-13,471.94,247,1.91,9.74
1765607731700,1409,1286,10.96,5.78,35.49,81,6287.73,77.63,148,Midnight Bomber Jacket,2025-12-13,409.55,153,2.68,15.35
1765611331700,1371,1218,11.88,5.55,43.49,76,4963.07,65.30,102,Midnight Bomber Jacket,2025-12-13,457.97,253,1.81,10.84
1765614931700,1355,1198,12.63,4.51,34.28,61,3955.21,64.84,114,Midnight Bomber Jacket,2025-12-13,492.05,245,2.01,8.04
1765618531700,1310,1120,11.57,4.29,40.56,56,4002.37,71.47,101,Midnight Bomber Jacket,2025-12-13,433.99,169,2.57,9.22
1765622131700,1212,1042,10.56,5.47,38.25,66,4817.14,72.99,81,Midnight Bomber Jacket,2025-12-13,424.50,188,2.26,11.35
1765625731700,1126,1047,9.27,4.68,43.83,53,4228.24,79.78,97,Midnight Bomber Jacket,2025-12-13,475.68,206,2.31,8.89
1765629331700,1034,953,9.15,4.17,41.50,43,3419.83,79.53,70,Midnight Bomber Jacket,2025-12-13,423.59,226,1.87,8.07
1765632931700,965,856,8.17,4.39,33.52,42,2806.15,66.81,53,Midnight Bomber Jacket,2025-12-13,479.00,183,2.62,5.86
1765636531700,867,815,8.84,4.17,40.64,36,2502.99,69.53,48,Midnight Bomber Jacket,2025-12-13,383.91,161,2.38,6.52
1765640131700,803,751,8.64,4.39,42.61,35,2617.30,74.78,57,Midnight Bomber Jacket,2025-12-13,384.97,143,2.69,6.80
1765643731700,750,604,7.26,4.43,41.06,33,2431.27,73.67,53,Midnight Bomber Jacket,2025-12-13,401.00,217,1.85,6.06
1765647331700,758,675,8.41,3.47,38.23,26,1917.45,73.75,42,Midnight Bomber Jacket,2025-12-13,374.39,169,2.22,5.12
1765650931700,735,600,7.93,4.70,29.52,35,2446.30,69.89,56,Midnight Bomber Jacket,2025-12-13,370.31,174,2.13,6.61
1765654531700,760,720,6.79,3.49,40.65,27,2071.35,76.72,43,Midnight Bomber Jacket,2025-12-13,456.09,163,2.80,4.54
1765658131700,785,728,6.89,3.43,39.31,27,1811.68,67.10,47,Midnight Bomber Jacket,2025-12-13,435.03,190,2.29,4.16
1765661731700,850,740,7.54,3.75,43.43,32,2405.52,75.17,51,Midnight Bomber Jacket,2025-12-13,461.64,210,2.20,5.21
1765665331700,929,755,10.01,3.63,30.50,34,2378.26,69.95,58,Midnight Bomber Jacket,2025-12-13,452.09,236,1.92,5.26
1765668931700,1030,955,10.53,5.22,41.12,54,4064.93,75.28,101,Midnight Bomber Jacket,2025-12-13,388.67,180,2.16,10.46
1765672531700,1152,965,11.19,4.45,30.30,51,3693.47,72.42,94,Midnight Bomber Jacket,2025-12-14,498.75,216,2.31,7.41
1765676131700,1230,992,9.15,4.14,42.41,51,3781.33,74.14,64,Midnight Bomber Jacket,2025-12-14,490.64,164,2.99,7.71
1765679731700,1321,1103,10.68,4.92,33.42,65,4473.10,68.82,106,Midnight Bomber Jacket,2025-12-14,448.95,211,2.13,9.96
1765683331700,1394,1273,11.07,5.52,31.09,77,6153.62,79.92,117,Midnight Bomber Jacket,2025-12-14,508.79,269,1.89,12.09
1765686931700,1456,1294,11.14,5.58,40.13,81,5687.19,70.21,133,Midnight Bomber Jacket,2025-12-14,449.08,151,2.97,12.66
1765690531700,1528,1244,12.83,5.30,43.09,81,5952.11,73.48,119,Midnight Bomber Jacket,2025-12-14,462.74,241,1.92,12.86
1765694131700,1515,1372,11.79,5.20,42.83,79,6054.51,76.64,130,Midnight Bomber Jacket,2025-12-14,517.48,209,2.48,11.70
1765697731700,1521,1319,12.13,4.99,33.93,76,5670.84,74.62,117,Midnight Bomber Jacket,2025-12-14,487.65,167,2.92,11.63
1765701331700,1455,1302,10.17,4.61,32.53,67,4300.00,64.18,87,Midnight Bomber Jacket,2025-12-14,484.47,211,2.30,8.88
1765704931700,1401,1250,12.23,4.54,42.29,64,4171.24,65.18,106,Midnight Bomber Jacket,2025-12-14,458.71,183,2.51,9.09
1765708531700,1329,1221,10.44,5.19,40.55,69,5312.68,77.00,99,Midnight Bomber Jacket,2025-12-14,429.91,205,2.10,12.36
1765712131700,1218,1030,9.41,5.30,41.10,65,5116.28,78.71,106,Midnight Bomber Jacket,2025-12-14,422.44,221,1.91,12.11
1765715731700,1130,1029,9.49,3.61,36.19,41,2607.75,63.60,62,Midnight Bomber Jacket,2025-12-14,480.76,257,1.87,5.42
1765719331700,1027,897,7.94,4.90,35.60,50,3118.91,62.38,84,Midnight Bomber Jacket,2025-12-14,487.07,250,1.95,6.40
1765722931700,936,828,9.89,3.71,34.80,35,2194.86,62.71,42,Midnight Bomber Jacket,2025-12-14,404.38,200,2.02,5.43
1765726531700,841,781,9.03,4.88,40.98,41,2981.30,72.71,50,Midnight Bomber Jacket,2025-12-14,422.60,150,2.82,7.05
1765730131700,793,722,7.38,3.52,34.43,28,2035.95,72.71,52,Midnight Bomber Jacket,2025-12-14,454.34,200,2.27,4.48
1765733731700,771,670,7.39,3.28,30.36,25,1733.56,69.34,35,Midnight Bomber Jacket,2025-12-14,418.69,223,1.88,4.14
1765737331700,772,729,6.32,4.43,27.23,34,2294.67,67.49,41,Midnight Bomber Jacket,2025-12-14,410.12,150,2.73,5.60
1765740931700,793,730,6.91,4.11,40.28,33,2278.55,69.05,43,Midnight Bomber Jacket,2025-12-14,423.92,223,1.90,5.37
1765744531700,804,658,6.85,4.08,40.75,33,2117.62,64.17,47,Midnight Bomber Jacket,2025-12-14,421.13,156,2.70,5.03
1765748131700,859,750,9.08,4.31,27.67,37,2649.36,71.60,65,Midnight Bomber Jacket,2025-12-14,364.09,150,2.43,7.28
1765751731700,946,795,10.30,4.66,32.97,44,3374.83,76.70,53,Midnight Bomber Jacket,2025-12-14,446.93,239,1.87,7.55
1765755331700,1076,1001,9.87,4.83,36.80,52,4063.76,78.15,77,Midnight Bomber Jacket,2025-12-14,408.76,137,2.98,9.94
1765758931700,1158,1018,11.14,4.16,35.48,48,3142.84,65.48,91,Midnight Bomber Jacket,2025-12-15,430.50,148,2.91,7.30
1765762531700,1250,1143,11.28,3.98,41.90,50,3811.04,76.22,73,Midnight Bomber Jacket,2025-12-15,404.46,200,2.02,9.42
1765766131700,1365,1153,9.69,5.26,43.44,72,5119.57,71.11,93,Midnight Bomber Jacket,2025-12-15,440.64,160,2.75,11.62
1765769731700,1459,1220,11.35,4.12,31.44,60,4613.79,76.90,110,Midnight Bomber Jacket,2025-12-15,486.55,208,2.34,9.48
1765773331700,1505,1393,12.49,5.66,38.03,85,6731.79,79.20,131,Midnight Bomber Jacket,2025-12-15,488.24,201,2.43,13.79
1765776931700,1526,1450,12.79,5.00,42.87,76,5543.98,72.95,105,Midnight Bomber Jacket,2025-12-15,473.34,179,2.64,11.71
1765780531700,1548,1366,11.28,4.61,46.33,71,5618.71,79.14,89,Midnight Bomber Jacket,2025-12-15,462.00,238,1.94,12.16
1765784131700,1555,1254,11.44,4.32,35.88,67,5020.52,74.93,87,Midnight Bomber Jacket,2025-12-15,428.10,197,2.17,11.73
1765787731700,1520,1324,11.48,4.93,33.84,75,5077.51,67.70,127,Midnight Bomber Jacket,2025-12-15,423.24,184,2.30,12.00
1765791331700,1453,1166,10.79,4.88,43.53,71,4870.53,68.60,88,Midnight Bomber Jacket,2025-12-15,413.09,187,2.21,11.79
1765794931700,1350,1087,9.64,4.07,33.12,55,4115.47,74.83,67,Midnight Bomber Jacket,2025-12-15,400.53,145,2.76,10.27
1765798531700,1270,1127,10.76,4.44,42.92,56,3909.79,69.82,97,Midnight Bomber Jacket,2025-12-15,448.35,189,2.37,8.72
1765802131700,1158,983,10.94,4.50,35.93,52,3377.64,64.95,82,Midnight Bomber Jacket,2025-12-15,431.59,223,1.94,7.83
1765805731700,1042,879,8.09,4.28,35.45,45,2982.75,66.28,82,Midnight Bomber Jacket,2025-12-15,410.46,215,1.91,7.27
1765809331700,977,841,7.49,4.54,32.19,44,3055.97,69.45,67,Midnight Bomber Jacket,2025-12-15,478.97,252,1.90,6.38
1765812931700,861,743,7.05,4.41,33.03,38,2797.47,73.62,51,Midnight Bomber Jacket,2025-12-15,470.92,240,1.96,5.94
1765816531700,826,773,8.00,3.99,31.91,33,2313.93,70.12,54,Midnight Bomber Jacket,2025-12-15,374.54,132,2.84,6.18
1765820131700,741,689,9.00,4.64,27.41,34,2278.16,67.00,41,Midnight Bomber Jacket,2025-12-15,378.37,205,1.85,6.02
1765823731700,701,604,8.88,4.21,40.16,30,2364.52,78.82,53,Midnight Bomber Jacket,2025-12-15,394.85,184,2.15,5.99
1765827331700,729,657,8.61,3.41,33.18,25,1787.66,71.51,40,Midnight Bomber Jacket,2025-12-15,389.54,141,2.76,4.59
1765830931700,764,614,8.68,4.19,42.63,32,2465.78,77.06,56,Midnight Bomber Jacket,2025-12-15,395.96,174,2.28,6.23
1765834531700,822,696,7.65,4.21,28.10,35,2482.06,70.92,42,Midnight Bomber Jacket,2025-12-15,364.78,148,2.46,6.80
1765838131700,920,861,9.20,3.91,36.76,36,2673.11,74.25,45,Midnight Bomber Jacket,2025-12-15,407.16,163,2.50,6.57
1765841731700,986,882,8.99,4.91,40.50,48,3699.80,77.08,70,Midnight Bomber Jacket,2025-12-15,424.43,176,2.41,8.72
1765845331700,1079,877,10.62,3.96,30.26,43,2920.66,67.92,80,Midnight Bomber Jacket,2025-12-16,490.57,211,2.32,5.95
1765848931700,1207,1042,9.67,5.31,36.07,64,3991.22,62.36,116,Midnight Bomber Jacket,2025-12-16,480.91,181,2.66,8.30
1765852531700,1277,1074,10.50,4.98,43.61,64,5103.00,79.73,105,Midnight Bomber Jacket,2025-12-16,485.36,264,1.84,10.51
