ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,733,624,7.00,3.94,28.78,29,2349.88,81.03,45,Harbor Canvas Tote,2025-12-12,359.28,186,1.93,6.54
1765564531700,722,597,7.54,3.49,41.18,25,1817.57,72.70,39,Harbor Canvas Tote,2025-12-12,403.44,170,2.37,4.51
1765568131700,718,614,6.65,3.54,38.17,25,1889.44,75.58,46,Harbor Canvas Tote,2025-12-12,391.24,217,1.80,4.83
1765571731700,745,708,7.68,3.77,32.36,28,2399.79,85.71,40,Harbor Canvas Tote,2025-12-12,395.78,176,2.25,6.06
1765575331700,817,749,8.20,3.87,35.18,32,2509.98,78.44,48,Harbor Canvas Tote,2025-12-12,420.56,153,2.75,5.97
1765578931700,883,711,9.61,4.88,28.29,43,3651.20,84.91,78,Harbor Canvas Tote,2025-12-12,372.97,138,2.70,9.79
1765582531700,993,842,9.29,4.42,32.78,44,3540.15,80.46,65,Harbor Canvas Tote,2025-12-12,383.54,191,2.01,9.23
1765586131700,1073,1006,9.22,4.38,44.02,47,3740.98,79.60,71,Harbor Canvas Tote,2025-12-13,495.70,231,2.15,7.55
1765589731700,1162,1030,9.10,3.96,29.86,46,3911.71,85.04,72,Harbor Canvas Tote,2025-12-13,501.55,228,2.20,7.80
1765593331700,1266,1060,11.36,4.58,40.58,58,4261.46,73.47,103,Harbor Canvas Tote,2025-12-13,485.19,266,1.82,8.78
1765596931700,1364,1236,10.56,5.67,35.45,77,5770.70,74.94,129,Harbor Canvas Tote,2025-12-13,399.57,152,2.63,14.44
1765600531700,1411,1238,10.38,5.79,44.81,82,5911.00,72.09,102,Harbor Canvas Tote,2025-12-13,430.34,197,2.18,13.74
1765604131700,1427,1214,12.00,4.20,37.98,60,5118.33,85.31,110,Harbor Canvas Tote,2025-12-13,473.93,260,1.82,10.80
1765607731700,1471,1286,11.02,5.94,42.34,87,7316.43,84.10,145,Harbor Canvas Tote,2025-12-13,466.87,166,2.81,15.67
1765611331700,1437,1295,11.32,5.37,31.26,77,6517.52,84.64,92,Harbor Canvas Tote,2025-12-13,512.43,269,1.90,12.72
1765614931700,1415,1226,10.39,5.89,40.56,83,6333.55,76.31,128,Harbor Canvas Tote,2025-12-13,513.83,190,2.70,12.33
1765618531700,1332,1119,12.21,5.42,41.39,72,5165.61,71.74,99,Harbor Canvas Tote,2025-12-13,452.28,199,2.27,11.42
1765622131700,1264,1159,11.79,5.24,44.30,66,5066.93,76.77,116,Harbor Canvas Tote,2025-12-13,393.29,137,2.87,12.88
1765625731700,1189,969,10.75,5.39,36.64,64,5310.85,82.98,101,Harbor Canvas Tote,2025-12-13,423.78,159,2.67,12.53
1765629331700,1085,1027,8.85,4.29,35.07,47,3870.65,82.35,73,Harbor Canvas Tote,2025-12-13,481.52,185,2.60,8.04
1765632931700,987,858,8.43,4.54,28.89,45,3848.30,85.52,72,Harbor Canvas Tote,2025-12-13,492.25,240,2.05,7.82
1765636531700,890,742,9.95,4.66,40.46,42,3338.59,79.49,54,Harbor Canvas Tote,2025-12-13,428.26,215,1.99,7.80
1765640131700,839,709,8.16,4.62,30.80,39,2958.05,75.85,54,Harbor Canvas Tote,2025-12-13,379.28,171,2.22,7.80
1765643731700,758,641,7.64,3.12,37.53,24,1940.34,80.85,45,Harbor Canvas Tote,2025-12-13,389.01,178,2.19,4.99
1765647331700,810,716,8.60,4.14,42.68,34,2841.26,83.57,60,Harbor Canvas Tote,2025-12-13,405.88,165,2.46,7.00
1765650931700,783,712,8.77,3.18,29.08,25,2018.63,80.75,36,Harbor Canvas Tote,2025-12-13,468.35,239,1.96,4.31
1765654531700,798,742,7.33,4.56,41.57,36,2909.59,80.82,57,Harbor Canvas Tote,2025-12-13,395.27,214,1.85,7.36
1765658131700,830,694,7.16,4.06,32.14,34,2530.40,74.42,50,Harbor Canvas Tote,2025-12-13,473.05,253,1.87,5.35
1765661731700,887,712,7.90,4.74,29.18,42,3391.48,80.75,76,Harbor Canvas Tote,2025-12-13,411.31,146,2.82,8.25
1765665331700,968,794,9.71,3.49,28.05,34,2507.74,73.76,55,Harbor Canvas Tote,2025-12-13,465.99,244,1.91,5.38
1765668931700,1066,873,7.87,4.19,36.67,45,3727.32,82.83,54,Harbor Canvas Tote,2025-12-13,473.14,247,1.92,7.88
1765672531700,1189,1125,10.12,3.86,43.67,46,3894.00,84.65,57,Harbor Canvas Tote,2025-12-14,421.55,225,1.87,9.24
1765676131700,1300,1155,10.43,4.09,34.76,53,4343.41,81.95,70,Harbor Canvas Tote,2025-12-14,458.66,243,1.89,9.47
1765679731700,1383,1213,10.03,4.24,31.87,59,5015.30,85.01,99,Harbor Canvas Tote,2025-12-14,477.83,252,1.90,10.50
1765683331700,1477,1264,10.40,4.60,36.53,68,4894.98,71.99,105,Harbor Canvas Tote,2025-12-14,412.60,155,2.66,11.86
1765686931700,1523,1396,12.37,4.90,40.91,75,6142.58,81.90,101,Harbor Canvas Tote,2025-12-14,518.01,239,2.17,11.86
1765690531700,1572,1381,10.45,5.76,39.56,91,6660.26,73.19,172,Harbor Canvas Tote,2025-12-14,504.99,213,2.37,13.19
1765694131700,1610,1328,13.06,5.43,35.24,87,7529.58,86.55,165,Harbor Canvas Tote,2025-12-14,507.87,219,2.32,14.83
1765697731700,1589,1297,10.53,4.51,44.35,72,5996.25,83.28,91,Harbor Canvas Tote,2025-12-14,410.23,197,2.08,14.62
1765701331700,1527,1237,11.29,5.21,34.67,80,5713.53,71.42,147,Harbor Canvas Tote,2025-12-14,446.12,196,2.28,12.81
1765704931700,1460,1362,11.18,5.22,43.35,76,5764.68,75.85,101,Harbor Canvas Tote,2025-12-14,408.18,200,2.04,14.12
1765708531700,1390,1155,11.15,5.28,39.45,73,5383.68,73.75,117,Harbor Canvas Tote,2025-12-14,456.37,204,2.24,11.80
1765712131700,1283,1201,10.80,5.43,33.54,70,5525.69,78.94,129,Harbor Canvas Tote,2025-12-14,411.81,195,2.11,13.42
1765715731700,1180,972,9.40,3.78,34.11,45,3834.26,85.21,57,Harbor Canvas Tote,2025-12-14,476.67,238,2.00,8.04
