ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,689,592,8.79,3.96,41.94,27,2149.41,79.61,48,Evergreen Linen Shirt,2025-12-12,394.10,193,2.04,5.45
1765564531700,702,664,9.23,4.57,36.06,32,2612.70,81.65,57,Evergreen Linen Shirt,2025-12-12,415.09,200,2.08,6.29
1765568131700,708,626,9.12,4.04,40.20,29,1906.06,65.73,40,Evergreen Linen Shirt,2025-12-12,455.47,212,2.15,4.18
1765571731700,739,672,9.42,3.85,42.08,28,1833.86,65.49,53,Evergreen Linen Shirt,2025-12-12,457.10,185,2.47,4.01
1765575331700,801,682,7.53,4.39,31.32,35,2866.19,81.89,60,Evergreen Linen Shirt,2025-12-12,382.36,136,2.81,7.50
1765578931700,889,831,9.91,4.00,40.38,36,2868.10,79.67,56,Evergreen Linen Shirt,2025-12-12,388.73,140,2.78,7.38
1765582531700,963,824,9.66,3.56,41.19,34,2286.01,67.24,62,Evergreen Linen Shirt,2025-12-12,481.34,248,1.94,4.75
1765586131700,1064,862,10.99,4.06,42.73,43,3305.35,76.87,62,Evergreen Linen Shirt,2025-12-13,462.55,183,2.53,7.15
1765589731700,1136,967,9.70,5.50,37.07,62,4080.97,65.82,81,Evergreen Linen Shirt,2025-12-13,504.61,205,2.46,8.09
1765593331700,1220,978,10.44,5.05,37.04,62,4355.74,70.25,77,Evergreen Linen Shirt,2025-12-13,475.57,212,2.24,9.16
1765596931700,1314,1085,11.45,5.36,43.21,70,5370.83,76.73,100,Evergreen Linen Shirt,2025-12-13,445.70,166,2.68,12.05
1765600531700,1384,1289,12.23,4.82,30.97,67,4661.83,69.58,113,Evergreen Linen Shirt,2025-12-13,508.63,179,2.84,9.17
1765604131700,1414,1212,12.72,5.73,39.38,81,5410.05,66.79,126,Evergreen Linen Shirt,2025-12-13,422.84,176,2.40,12.79
1765607731700,1411,1298,11.98,5.85,33.26,83,5598.86,67.46,115,Evergreen Linen Shirt,2025-12-13,436.10,196,2.23,12.84
1765611331700,1421,1184,10.56,4.30,38.84,61,4920.28,80.66,108,Evergreen Linen Shirt,2025-12-13,408.51,158,2.59,12.04
1765614931700,1380,1276,11.66,5.63,45.84,78,5678.69,72.80,136,Evergreen Linen Shirt,2025-12-13,405.33,151,2.68,14.01
1765618531700,1308,1061,11.28,5.22,36.91,68,4823.37,70.93,106,Evergreen Linen Shirt,2025-12-13,481.85,220,2.19,10.01
1765622131700,1253,1173,10.55,4.64,38.00,58,4747.13,81.85,109,Evergreen Linen Shirt,2025-12-13,433.64,203,2.14,10.95
1765625731700,1142,938,10.30,4.61,39.54,53,3910.85,73.79,84,Evergreen Linen Shirt,2025-12-13,426.48,142,3.00,9.17
1765629331700,1071,925,11.19,4.11,37.67,44,2958.98,67.25,66,Evergreen Linen Shirt,2025-12-13,475.58,259,1.84,6.22
1765632931700,960,779,8.24,3.58,40.41,34,2817.36,82.86,53,Evergreen Linen Shirt,2025-12-13,416.06,200,2.08,6.77
1765636531700,863,752,10.01,3.39,43.46,29,2295.11,79.14,50,Evergreen Linen Shirt,2025-12-13,442.39,244,1.81,5.19
1765640131700,793,643,8.40,3.94,32.01,31,2334.05,75.29,43,Evergreen Linen Shirt,2025-12-13,399.49,134,2.98,5.84
1765643731700,734,596,8.92,4.81,31.08,35,2781.57,79.47,53,Evergreen Linen Shirt,2025-12-13,449.14,247,1.82,6.19
1765647331700,756,647,8.93,3.57,41.71,27,1769.97,65.55,39,Evergreen Linen Shirt,2025-12-13,466.30,197,2.37,3.80
