ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,732,624,8.55,4.05,30.87,30,2529.86,84.33,49,Juniper Throw Blanket,2025-12-12,434.17,161,2.70,5.83
1765564531700,717,601,8.19,3.72,41.76,27,2298.27,85.12,44,Juniper Throw Blanket,2025-12-12,395.66,152,2.60,5.81
1765568131700,752,626,6.78,4.64,37.61,35,3144.22,89.83,51,Juniper Throw Blanket,2025-12-12,455.09,194,2.35,6.91
1765571731700,776,662,9.43,4.17,37.19,32,2660.50,83.14,43,Juniper Throw Blanket,2025-12-12,408.20,154,2.65,6.52
1765575331700,833,728,8.61,4.73,31.46,39,3338.75,85.61,57,Juniper Throw Blanket,2025-12-12,396.51,165,2.40,8.42
1765578931700,920,856,9.68,3.66,37.32,34,2808.88,82.61,48,Juniper Throw Blanket,2025-12-12,441.17,228,1.93,6.37
1765582531700,1002,830,8.26,4.49,37.96,45,4121.70,91.59,55,Juniper Throw Blanket,2025-12-12,453.74,162,2.80,9.08
1765586131700,1083,925,8.59,3.86,39.92,42,3174.99,75.59,51,Juniper Throw Blanket,2025-12-13,476.73,236,2.02,6.66
1765589731700,1216,1079,10.89,5.42,41.69,66,5977.50,90.57,87,Juniper Throw Blanket,2025-12-13,399.73,167,2.39,14.95
1765593331700,1277,1085,9.80,4.38,30.26,56,4813.28,85.95,82,Juniper Throw Blanket,2025-12-13,437.17,152,2.88,11.01
1765596931700,1373,1243,11.28,4.59,37.04,63,5331.66,84.63,113,Juniper Throw Blanket,2025-12-13,487.50,264,1.85,10.94
1765600531700,1434,1170,11.69,5.15,36.92,74,6097.01,82.39,128,Juniper Throw Blanket,2025-12-13,507.98,269,1.89,12.00
1765604131700,1466,1321,10.74,5.97,35.60,88,7840.65,89.10,140,Juniper Throw Blanket,2025-12-13,503.88,186,2.71,15.56
1765607731700,1473,1194,11.49,5.68,39.50,84,6664.47,79.34,159,Juniper Throw Blanket,2025-12-13,504.73,246,2.05,13.20
1765611331700,1479,1335,13.05,5.32,46.14,79,6753.99,85.49,115,Juniper Throw Blanket,2025-12-13,456.23,174,2.62,14.80
1765614931700,1427,1156,10.28,4.95,41.72,71,5906.33,83.19,127,Juniper Throw Blanket,2025-12-13,429.46,203,2.12,13.75
1765618531700,1366,1254,11.48,4.44,44.84,61,4679.60,76.71,93,Juniper Throw Blanket,2025-12-13,405.84,218,1.86,11.53
1765622131700,1304,1048,9.33,5.48,40.41,72,5414.40,75.20,122,Juniper Throw Blanket,2025-12-13,446.04,209,2.13,12.14
1765625731700,1191,1009,9.01,4.69,34.16,56,5143.78,91.85,94,Juniper Throw Blanket,2025-12-13,482.02,174,2.77,10.67
1765629331700,1119,942,8.69,5.31,36.33,59,4884.78,82.79,110,Juniper Throw Blanket,2025-12-13,381.49,146,2.61,12.80
1765632931700,1012,910,9.42,4.64,32.87,47,4133.56,87.95,72,Juniper Throw Blanket,2025-12-13,405.38,159,2.55,10.20
1765636531700,930,860,8.51,4.58,33.69,43,3579.54,83.25,74,Juniper Throw Blanket,2025-12-13,462.14,215,2.15,7.75
1765640131700,828,731,8.03,4.84,31.98,40,3367.77,84.19,76,Juniper Throw Blanket,2025-12-13,447.89,240,1.87,7.52
1765643731700,755,697,9.52,4.08,39.91,31,2750.34,88.72,45,Juniper Throw Blanket,2025-12-13,454.22,180,2.52,6.06
1765647331700,807,663,8.71,4.80,29.55,39,3366.65,86.32,58,Juniper Throw Blanket,2025-12-13,429.73,237,1.81,7.83
1765650931700,791,713,8.23,4.60,38.21,36,2724.31,75.68,45,Juniper Throw Blanket,2025-12-13,403.42,161,2.51,6.75
1765654531700,815,769,8.39,3.35,31.27,27,2202.83,81.59,51,Juniper Throw Blanket,2025-12-13,357.60,177,2.02,6.16
1765658131700,847,695,6.83,4.85,37.96,41,3057.96,74.58,55,Juniper Throw Blanket,2025-12-13,423.97,231,1.84,7.21
1765661731700,890,718,9.88,4.98,37.04,44,3819.69,86.81,61,Juniper Throw Blanket,2025-12-13,452.74,223,2.03,8.44
1765665331700,989,919,9.61,3.74,34.80,37,3369.22,91.06,58,Juniper Throw Blanket,2025-12-13,452.32,192,2.36,7.45
1765668931700,1097,925,9.56,3.93,43.41,43,3381.22,78.63,54,Juniper Throw Blanket,2025-12-13,450.41,238,1.89,7.51
1765672531700,1195,1013,9.27,3.66,40.31,44,3771.93,85.73,76,Juniper Throw Blanket,2025-12-14,400.86,205,1.96,9.41
1765676131700,1296,1212,9.08,4.44,35.39,58,4826.08,83.21,100,Juniper Throw Blanket,2025-12-14,457.51,187,2.45,10.55
1765679731700,1396,1192,11.47,5.28,41.06,74,5926.34,80.09,98,Juniper Throw Blanket,2025-12-14,486.49,181,2.69,12.18
1765683331700,1491,1397,9.79,4.85,45.07,72,6119.09,84.99,109,Juniper Throw Blanket,2025-12-14,418.24,223,1.88,14.63
1765686931700,1565,1384,10.84,5.38,40.54,84,7075.31,84.23,144,Juniper Throw Blanket,2025-12-14,445.78,230,1.94,15.87
1765690531700,1611,1495,11.27,5.23,31.84,84,6412.85,76.34,120,Juniper Throw Blanket,2025-12-14,448.10,204,2.20,14.31
1765694131700,1611,1330,11.61,5.25,35.78,85,7404.19,87.11,155,Juniper Throw Blanket,2025-12-14,524.35,283,1.85,14.12
1765697731700,1618,1388,11.11,4.53,31.34,73,5759.74,78.90,101,Juniper Throw Blanket,2025-12-14,459.32,169,2.72,12.54
1765701331700,1550,1380,11.78,4.61,35.45,71,5584.08,78.65,93,Juniper Throw Blanket,2025-12-14,422.01,196,2.15,13.23
1765704931700,1505,1400,12.10,5.76,39.81,87,7822.94,89.92,107,Juniper Throw Blanket,2025-12-14,436.53,219,1.99,17.92
1765708531700,1411,1161,9.65,4.97,34.82,70,6391.70,91.31,131,Juniper Throw Blanket,2025-12-14,413.69,206,2.01,15.45
1765712131700,1298,1112,10.58,4.55,40.39,59,4895.94,82.98,86,Juniper Throw Blanket,2025-12-14,388.34,168,2.31,12.61
1765715731700,1193,1025,10.32,4.30,42.49,51,4315.38,84.62,88,Juniper Throw Blanket,2025-12-14,404.53,197,2.05,10.67
1765719331700,1096,957,8.13,4.35,31.04,48,3887.02,80.98,68,Juniper Throw Blanket,2025-12-14,440.00,165,2.67,8.83
1765722931700,1001,847,9.94,4.74,42.49,47,3545.08,75.43,60,Juniper Throw Blanket,2025-12-14,470.75,157,3.00,7.53
