ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,746,609,8.91,4.47,30.26,33,2880.77,87.30,62,Nimbus Trail Backpack,2025-12-12,361.02,133,2.71,7.98
1765564531700,734,644,8.71,4.33,27.91,32,2923.29,91.35,60,Nimbus Trail Backpack,2025-12-12,453.94,238,1.91,6.44
1765568131700,764,704,7.19,3.47,39.25,26,2215.98,85.23,43,Nimbus Trail Backpack,2025-12-12,367.29,140,2.62,6.03
1765571731700,779,626,8.26,4.72,41.87,37,3058.37,82.66,49,Nimbus Trail Backpack,2025-12-12,434.74,182,2.39,7.03
1765575331700,861,718,7.61,3.43,35.79,30,2670.07,89.00,54,Nimbus Trail Backpack,2025-12-12,469.50,257,1.83,5.69
1765578931700,925,802,10.19,3.67,42.74,34,3014.36,88.66,46,Nimbus Trail Backpack,2025-12-12,485.24,264,1.84,6.21
1765582531700,1005,875,8.70,4.13,31.81,41,3699.04,90.22,57,Nimbus Trail Backpack,2025-12-12,380.93,199,1.91,9.71
1765586131700,1112,908,9.99,4.03,44.40,45,3530.26,78.45,58,Nimbus Trail Backpack,2025-12-13,427.00,193,2.21,8.27
1765589731700,1198,1091,11.46,4.58,44.49,55,4691.11,85.29,100,Nimbus Trail Backpack,2025-12-13,474.92,222,2.14,9.88
1765593331700,1323,1103,11.15,4.81,34.34,64,5675.32,88.68,88,Nimbus Trail Backpack,2025-12-13,399.08,206,1.94,14.22
1765596931700,1389,1190,11.34,5.15,35.86,71,6112.67,86.09,94,Nimbus Trail Backpack,2025-12-13,438.80,194,2.26,13.93
1765600531700,1443,1181,11.75,4.72,39.75,68,5340.22,78.53,104,Nimbus Trail Backpack,2025-12-13,508.16,262,1.94,10.51
1765604131700,1482,1219,11.23,4.76,41.47,71,5556.74,78.26,124,Nimbus Trail Backpack,2025-12-13,430.74,229,1.88,12.90
1765607731700,1511,1335,12.11,4.73,40.97,71,5857.66,82.50,106,Nimbus Trail Backpack,2025-12-13,483.93,253,1.91,12.10
1765611331700,1505,1303,11.11,5.22,42.29,79,6855.86,86.78,145,Nimbus Trail Backpack,2025-12-13,445.86,190,2.35,15.38
1765614931700,1461,1235,11.96,5.32,35.52,78,6708.22,86.00,128,Nimbus Trail Backpack,2025-12-13,439.22,212,2.07,15.27
1765618531700,1395,1149,11.68,4.68,35.83,65,6079.00,93.52,110,Nimbus Trail Backpack,2025-12-13,515.42,263,1.96,11.79
1765622131700,1321,1117,12.01,4.91,32.92,65,5354.59,82.38,80,Nimbus Trail Backpack,2025-12-13,471.63,205,2.30,11.35
1765625731700,1211,1141,11.39,4.07,40.55,49,4133.38,84.35,76,Nimbus Trail Backpack,2025-12-13,485.11,224,2.17,8.52
1765629331700,1128,1039,11.18,4.83,39.90,54,4893.38,90.62,99,Nimbus Trail Backpack,2025-12-13,469.78,261,1.80,10.42
1765632931700,1020,837,10.63,4.03,43.62,41,3876.63,94.55,72,Nimbus Trail Backpack,2025-12-13,483.25,191,2.53,8.02
1765636531700,920,864,10.10,3.81,33.30,35,3057.96,87.37,64,Nimbus Trail Backpack,2025-12-13,419.96,141,2.98,7.28
1765640131700,855,742,7.29,3.82,35.58,33,3001.50,90.95,62,Nimbus Trail Backpack,2025-12-13,420.33,212,1.98,7.14
1765643731700,765,678,9.55,3.90,30.91,30,2511.65,83.72,48,Nimbus Trail Backpack,2025-12-13,467.85,232,2.02,5.37
1765647331700,806,720,7.20,3.80,30.88,31,2492.46,80.40,39,Nimbus Trail Backpack,2025-12-13,437.37,198,2.21,5.70
