ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,708,573,6.43,4.57,34.48,32,2392.34,74.76,56,Caldera Runner Sneaker,2025-12-12,401.00,157,2.55,5.97
1765564531700,684,630,8.38,4.57,39.65,31,2394.64,77.25,48,Caldera Runner Sneaker,2025-12-12,382.55,130,2.94,6.26
1765568131700,732,681,7.73,4.33,37.09,32,2466.73,77.09,47,Caldera Runner Sneaker,2025-12-12,385.52,181,2.13,6.40
1765571731700,753,701,7.17,4.68,31.66,35,2752.83,78.65,58,Caldera Runner Sneaker,2025-12-12,395.29,144,2.75,6.96
1765575331700,827,739,7.48,4.10,34.93,34,2471.71,72.70,45,Caldera Runner Sneaker,2025-12-12,376.97,134,2.81,6.56
1765578931700,873,726,9.10,3.50,33.49,31,2212.88,71.38,47,Caldera Runner Sneaker,2025-12-12,441.21,222,1.99,5.02
1765582531700,978,861,8.27,5.23,30.46,51,4308.66,84.48,95,Caldera Runner Sneaker,2025-12-12,481.42,172,2.80,8.95
1765586131700,1054,897,10.37,4.76,31.03,50,4076.25,81.52,85,Caldera Runner Sneaker,2025-12-13,496.72,260,1.91,8.21
1765589731700,1163,944,11.42,4.45,41.75,52,3590.96,69.06,64,Caldera Runner Sneaker,2025-12-13,442.80,153,2.89,8.11
1765593331700,1240,1006,11.77,5.38,33.72,67,5253.20,78.41,103,Caldera Runner Sneaker,2025-12-13,422.99,218,1.94,12.42
1765596931700,1320,1243,11.29,4.98,32.42,66,4899.50,74.23,99,Caldera Runner Sneaker,2025-12-13,464.08,217,2.14,10.56
1765600531700,1391,1153,11.80,5.50,32.92,76,6046.60,79.56,113,Caldera Runner Sneaker,2025-12-13,426.47,202,2.11,14.18
1765604131700,1433,1183,13.18,4.28,45.91,61,4723.19,77.43,102,Caldera Runner Sneaker,2025-12-13,443.01,198,2.24,10.66
1765607731700,1445,1192,11.35,5.61,42.19,81,6216.61,76.75,107,Caldera Runner Sneaker,2025-12-13,426.24,167,2.55,14.58
1765611331700,1417,1271,10.92,4.93,44.11,70,5876.75,83.95,113,Caldera Runner Sneaker,2025-12-13,521.21,188,2.77,11.28
1765614931700,1370,1182,12.47,5.15,40.18,71,5946.10,83.75,129,Caldera Runner Sneaker,2025-12-13,436.04,208,2.10,13.64
1765618531700,1317,1119,11.49,4.85,34.69,64,4375.24,68.36,95,Caldera Runner Sneaker,2025-12-13,461.64,181,2.55,9.48
1765622131700,1245,1087,12.29,4.98,43.22,62,5298.78,85.46,92,Caldera Runner Sneaker,2025-12-13,487.61,190,2.57,10.87
