ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,581,523,5.82,2.39,37.24,14,905.33,64.67,24,Midnight Bomber Jacket,2025-12-12,468.34,227,2.06,1.93
1765564531700,553,521,4.64,2.54,42.81,14,918.54,65.61,20,Midnight Bomber Jacket,2025-12-12,385.67,193,2.00,2.38
1765568131700,587,527,5.97,2.02,46.47,12,893.17,74.43,16,Midnight Bomber Jacket,2025-12-12,360.42,170,2.12,2.48
1765571731700,601,529,6.73,2.48,38.72,15,1011.60,67.44,24,Midnight Bomber Jacket,2025-12-12,455.83,168,2.71,2.22
1765575331700,657,526,6.74,2.88,44.59,19,1256.27,66.12,35,Midnight Bomber Jacket,2025-12-12,409.12,180,2.27,3.07
1765578931700,722,625,7.87,2.43,36.07,18,1151.94,64.00,24,Midnight Bomber Jacket,2025-12-12,442.93,176,2.52,2.60
1765582531700,770,693,5.68,3.54,47.41,27,1836.01,68.00,46,Midnight Bomber Jacket,2025-12-12,455.39,191,2.38,4.03
1765586131700,840,690,8.89,3.11,40.05,26,1767.05,67.96,49,Midnight Bomber Jacket,2025-12-13,471.62,260,1.81,3.75
1765589731700,938,763,8.99,3.20,45.31,30,2250.43,75.01,41,Midnight Bomber Jacket,2025-12-13,452.27,190,2.38,4.98
1765593331700,1023,947,8.90,3.28,34.78,34,2487.10,73.15,46,Midnight Bomber Jacket,2025-12-13,484.80,217,2.23,5.13
1765596931700,1085,960,9.87,3.30,44.78,36,2824.16,78.45,55,Midnight Bomber Jacket,2025-12-13,474.78,250,1.90,5.95
1765600531700,1124,1018,9.57,3.58,47.88,40,2550.56,63.76,50,Midnight Bomber Jacket,2025-12-13,477.67,233,2.05,5.34
1765604131700,1153,1061,9.45,3.13,36.79,36,2852.28,79.23,50,Midnight Bomber Jacket,2025-12-13,450.33,196,2.30,6.33
1765607731700,1152,949,9.86,3.14,37.39,36,2684.21,74.56,60,Midnight Bomber Jacket,2025-12-13,446.25,206,2.17,6.02
1765611331700,1148,984,8.36,3.67,45.16,42,3341.74,79.57,70,Midnight Bomber Jacket,2025-12-13,452.76,178,2.54,7.38
1765614931700,1109,1045,10.04,4.09,47.14,45,2998.04,66.62,59,Midnight Bomber Jacket,2025-12-13,444.63,226,1.97,6.74
1765618531700,1076,993,9.42,4.08,39.66,44,2902.79,65.97,77,Midnight Bomber Jacket,2025-12-13,489.88,269,1.82,5.93
1765622131700,1023,838,9.28,3.24,49.44,33,2082.52,63.11,49,Midnight Bomber Jacket,2025-12-13,440.09,196,2.25,4.73
1765625731700,956,866,9.56,3.17,34.52,30,1908.98,63.63,56,Midnight Bomber Jacket,2025-12-13,491.91,258,1.91,3.88
1765629331700,855,727,7.27,3.81,38.35,33,2630.15,79.70,59,Midnight Bomber Jacket,2025-12-13,402.90,210,1.92,6.53
1765632931700,787,648,5.76,3.69,44.36,29,1992.46,68.71,42,Midnight Bomber Jacket,2025-12-13,487.55,201,2.43,4.09
1765636531700,724,659,6.45,2.20,42.49,16,1183.78,73.99,24,Midnight Bomber Jacket,2025-12-13,406.64,201,2.02,2.91
1765640131700,641,576,4.69,2.57,37.59,16,1055.66,65.98,24,Midnight Bomber Jacket,2025-12-13,468.75,221,2.12,2.25
1765643731700,586,524,5.42,3.51,42.17,21,1459.79,69.51,31,Midnight Bomber Jacket,2025-12-13,409.25,227,1.80,3.57
1765647331700,627,574,4.62,2.46,43.28,15,968.30,64.55,27,Midnight Bomber Jacket,2025-12-13,455.51,153,2.98,2.13
1765650931700,616,524,4.80,2.43,40.48,15,954.41,63.63,18,Midnight Bomber Jacket,2025-12-13,444.06,207,2.15,2.15
1765654531700,637,550,6.12,2.73,38.35,17,1231.86,72.46,30,Midnight Bomber Jacket,2025-12-13,373.97,154,2.43,3.29
1765658131700,670,605,5.88,2.01,42.55,13,879.00,67.62,19,Midnight Bomber Jacket,2025-12-13,366.93,168,2.18,2.40
1765661731700,694,612,5.03,2.91,37.13,20,1435.78,71.79,25,Midnight Bomber Jacket,2025-12-13,407.21,161,2.53,3.53
1765665331700,764,637,5.20,3.17,40.83,24,1724.67,71.86,43,Midnight Bomber Jacket,2025-12-13,482.16,191,2.52,3.58
1765668931700,851,793,5.99,3.31,41.53,28,1915.86,68.42,35,Midnight Bomber Jacket,2025-12-13,380.89,208,1.83,5.03
1765672531700,944,871,7.11,4.18,45.05,39,2482.65,63.66,49,Midnight Bomber Jacket,2025-12-14,478.70,265,1.81,5.19
1765676131700,1037,875,8.32,4.26,44.75,44,2998.21,68.14,64,Midnight Bomber Jacket,2025-12-14,498.81,187,2.67,6.01
1765679731700,1096,888,8.75,3.49,49.42,38,2601.62,68.46,67,Midnight Bomber Jacket,2025-12-14,401.93,153,2.63,6.47
1765683331700,1157,1079,10.39,3.15,45.05,36,2769.33,76.93,63,Midnight Bomber Jacket,2025-12-14,488.59,167,2.93,5.67
1765686931700,1225,1027,8.97,3.69,47.71,45,3476.60,77.26,81,Midnight Bomber Jacket,2025-12-14,466.96,179,2.61,7.45
1765690531700,1250,1056,8.42,3.92,44.31,49,3225.38,65.82,86,Midnight Bomber Jacket,2025-12-14,490.71,195,2.52,6.57
1765694131700,1246,1097,10.26,3.41,47.33,42,2727.10,64.93,50,Midnight Bomber Jacket,2025-12-14,520.72,236,2.21,5.24
1765697731700,1240,1026,9.85,3.30,43.21,41,2869.13,69.98,76,Midnight Bomber Jacket,2025-12-14,521.60,178,2.93,5.50
1765701331700,1207,1021,9.48,3.56,35.70,43,3039.04,70.68,69,Midnight Bomber Jacket,2025-12-14,421.69,184,2.29,7.21
1765704931700,1181,961,10.06,2.99,41.69,35,2410.63,68.88,53,Midnight Bomber Jacket,2025-12-14,454.46,186,2.44,5.30
1765708531700,1086,957,10.01,3.76,35.56,41,2766.51,67.48,55,Midnight Bomber Jacket,2025-12-14,489.43,214,2.29,5.65
1765712131700,1017,831,7.86,3.28,38.68,33,2606.42,78.98,54,Midnight Bomber Jacket,2025-12-14,477.05,176,2.71,5.46
1765715731700,934,790,7.55,3.57,41.81,33,2074.96,62.88,42,Midnight Bomber Jacket,2025-12-14,453.13,216,2.10,4.58
1765719331700,852,683,6.26,3.80,35.97,32,2057.53,64.30,58,Midnight Bomber Jacket,2025-12-14,493.04,190,2.59,4.17
1765722931700,772,623,7.29,3.51,43.16,27,1962.96,72.70,39,Midnight Bomber Jacket,2025-12-14,398.27,137,2.91,4.93
1765726531700,725,633,7.51,2.67,41.27,19,1291.68,67.98,32,Midnight Bomber Jacket,2025-12-14,436.47,234,1.87,2.96
1765730131700,658,543,4.51,3.01,46.33,20,1589.90,79.50,33,Midnight Bomber Jacket,2025-12-14,404.26,224,1.80,3.93
1765733731700,627,590,5.51,2.11,39.64,13,961.16,73.94,17,Midnight Bomber Jacket,2025-12-14,435.28,206,2.11,2.21
1765737331700,637,510,6.32,3.31,37.63,21,1500.09,71.43,33,Midnight Bomber Jacket,2025-12-14,390.21,156,2.50,3.84
1765740931700,651,554,7.05,3.26,32.15,21,1319.77,62.85,29,Midnight Bomber Jacket,2025-12-14,444.95,153,2.91,2.97
1765744531700,689,585,7.22,3.00,43.69,21,1637.02,77.95,38,Midnight Bomber Jacket,2025-12-14,386.10,184,2.10,4.24
1765748131700,746,603,7.29,3.22,31.87,24,1894.77,78.95,34,Midnight Bomber Jacket,2025-12-14,392.34,195,2.01,4.83
1765751731700,814,692,7.24,2.11,47.23,17,1318.09,77.53,23,Midnight Bomber Jacket,2025-12-14,480.18,258,1.86,2.75
1765755331700,892,845,5.60,3.03,39.13,27,1928.25,71.42,33,Midnight Bomber Jacket,2025-12-14,489.38,237,2.06,3.94
1765758931700,944,798,6.19,3.35,43.64,32,2204.24,68.88,43,Midnight Bomber Jacket,2025-12-15,495.02,252,1.96,4.45
1765762531700,1023,917,8.84,3.55,41.34,36,2331.69,64.77,56,Midnight Bomber Jacket,2025-12-15,433.40,224,1.93,5.38
1765766131700,1120,931,8.95,4.08,41.75,46,2922.02,63.52,69,Midnight Bomber Jacket,2025-12-15,431.00,197,2.19,6.78
1765769731700,1185,1050,10.51,3.11,47.21,37,2711.76,73.29,52,Midnight Bomber Jacket,2025-12-15,462.83,174,2.66,5.86
1765773331700,1236,1007,9.17,4.44,45.93,55,3739.60,67.99,92,Midnight Bomber Jacket,2025-12-15,444.62,244,1.82,8.41
1765776931700,1277,1025,10.47,4.42,43.65,57,4500.43,78.95,89,Midnight Bomber Jacket,2025-12-15,482.42,171,2.82,9.33
1765780531700,1287,1114,10.39,4.15,47.66,53,4027.02,75.98,73,Midnight Bomber Jacket,2025-12-15,419.30,160,2.62,9.60
1765784131700,1285,1073,10.12,4.53,37.27,58,3903.49,67.30,103,Midnight Bomber Jacket,2025-12-15,517.63,223,2.32,7.54
1765787731700,1262,1108,10.29,2.98,50.30,38,2933.09,77.19,53,Midnight Bomber Jacket,2025-12-15,430.21,161,2.67,6.82
