ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,597,491,4.89,2.56,38.68,15,1293.01,86.20,23,Harbor Canvas Tote,2025-12-12,391.48,138,2.84,3.30
1765564531700,612,507,5.24,3.29,43.24,20,1466.60,73.33,26,Harbor Canvas Tote,2025-12-12,409.41,181,2.26,3.58
1765568131700,586,481,6.08,2.25,43.27,13,1013.79,77.98,25,Harbor Canvas Tote,2025-12-12,452.02,226,2.00,2.24
1765571731700,641,592,5.30,2.35,38.07,15,1120.17,74.68,28,Harbor Canvas Tote,2025-12-12,385.77,155,2.49,2.90
1765575331700,691,641,5.53,3.32,32.12,23,1956.74,85.08,36,Harbor Canvas Tote,2025-12-12,416.28,190,2.19,4.70
1765578931700,746,688,5.59,3.33,34.18,25,2114.28,84.57,45,Harbor Canvas Tote,2025-12-12,425.40,209,2.04,4.97
1765582531700,840,709,6.85,3.32,42.96,28,2036.97,72.75,49,Harbor Canvas Tote,2025-12-12,430.44,156,2.76,4.73
1765586131700,921,833,8.06,3.49,42.47,32,2290.21,71.57,40,Harbor Canvas Tote,2025-12-13,405.42,137,2.96,5.65
1765589731700,972,783,7.58,3.83,47.82,37,2876.26,77.74,53,Harbor Canvas Tote,2025-12-13,409.82,147,2.79,7.02
1765593331700,1055,944,7.86,3.49,43.75,37,3292.76,88.99,52,Harbor Canvas Tote,2025-12-13,470.34,230,2.04,7.00
1765596931700,1109,1002,10.14,4.12,38.65,46,3520.31,76.53,64,Harbor Canvas Tote,2025-12-13,419.32,216,1.94,8.40
1765600531700,1186,1101,10.49,3.67,49.67,44,3371.53,76.63,71,Harbor Canvas Tote,2025-12-13,518.02,265,1.95,6.51
1765604131700,1221,1153,9.58,4.24,42.00,52,4431.67,85.22,71,Harbor Canvas Tote,2025-12-13,492.28,173,2.85,9.00
1765607731700,1211,1026,9.63,3.67,49.09,44,3840.69,87.29,77,Harbor Canvas Tote,2025-12-13,406.14,154,2.64,9.46
1765611331700,1212,1125,9.59,4.76,43.35,58,4339.45,74.82,101,Harbor Canvas Tote,2025-12-13,491.63,207,2.38,8.83
1765614931700,1153,1009,7.90,4.67,43.95,54,4570.68,84.64,91,Harbor Canvas Tote,2025-12-13,449.71,178,2.53,10.16
1765618531700,1131,963,7.73,4.45,34.55,50,3850.76,77.02,80,Harbor Canvas Tote,2025-12-13,448.91,214,2.10,8.58
1765622131700,1053,936,8.92,4.30,45.67,45,3946.19,87.69,73,Harbor Canvas Tote,2025-12-13,432.49,164,2.64,9.12
1765625731700,985,853,7.06,2.64,38.05,26,2025.13,77.89,34,Harbor Canvas Tote,2025-12-13,420.51,141,2.98,4.82
1765629331700,915,766,6.45,2.57,45.05,23,2031.46,88.32,43,Harbor Canvas Tote,2025-12-13,395.98,156,2.54,5.13
1765632931700,807,733,7.48,2.40,36.76,19,1504.82,79.20,34,Harbor Canvas Tote,2025-12-13,478.28,221,2.16,3.15
1765636531700,763,718,5.74,2.81,34.00,21,1819.10,86.62,32,Harbor Canvas Tote,2025-12-13,402.30,178,2.26,4.52
1765640131700,690,560,6.62,2.94,42.94,20,1705.02,85.25,25,Harbor Canvas Tote,2025-12-13,453.51,186,2.44,3.76
1765643731700,636,598,7.37,2.41,33.05,15,1159.29,77.29,24,Harbor Canvas Tote,2025-12-13,417.19,176,2.37,2.78
1765647331700,674,588,4.41,3.45,33.85,23,1901.92,82.69,39,Harbor Canvas Tote,2025-12-13,462.48,202,2.29,4.11
