ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,600,559,5.75,2.10,40.96,13,1020.92,78.53,19,Evergreen Linen Shirt,2025-12-12,419.46,217,1.93,2.43
1765564531700,595,539,6.93,2.69,34.86,16,1082.43,67.65,29,Evergreen Linen Shirt,2025-12-12,391.11,189,2.07,2.77
1765568131700,569,471,5.51,2.86,33.38,16,1139.89,71.24,26,Evergreen Linen Shirt,2025-12-12,358.06,133,2.69,3.18
1765571731700,615,553,6.86,1.89,34.21,12,977.36,81.45,21,Evergreen Linen Shirt,2025-12-12,382.35,130,2.94,2.56
1765575331700,648,554,7.54,3.74,35.55,24,1583.61,65.98,39,Evergreen Linen Shirt,2025-12-12,435.94,223,1.95,3.63
1765578931700,742,607,6.38,2.48,47.44,18,1320.95,73.39,33,Evergreen Linen Shirt,2025-12-12,370.69,193,1.92,3.56
1765582531700,808,691,6.23,3.81,39.44,31,2075.34,66.95,50,Evergreen Linen Shirt,2025-12-12,468.73,192,2.44,4.43
1765586131700,882,819,7.94,4.20,38.82,37,2874.07,77.68,48,Evergreen Linen Shirt,2025-12-13,443.05,213,2.08,6.49
1765589731700,966,896,9.06,3.98,38.51,38,3035.00,79.87,61,Evergreen Linen Shirt,2025-12-13,492.29,167,2.95,6.17
1765593331700,1035,846,8.47,2.94,46.73,30,2306.29,76.88,39,Evergreen Linen Shirt,2025-12-13,460.42,253,1.82,5.01
1765596931700,1093,899,9.76,3.40,37.54,37,2649.04,71.60,63,Evergreen Linen Shirt,2025-12-13,400.76,214,1.87,6.61
1765600531700,1123,985,9.61,3.66,44.57,41,3216.81,78.46,70,Evergreen Linen Shirt,2025-12-13,437.41,206,2.12,7.35
1765604131700,1153,1092,9.77,3.00,37.05,35,2346.10,67.03,63,Evergreen Linen Shirt,2025-12-13,475.63,175,2.72,4.93
1765607731700,1190,1034,10.88,4.28,49.97,51,3662.38,71.81,82,Evergreen Linen Shirt,2025-12-13,408.21,147,2.78,8.97
1765611331700,1157,966,8.10,3.03,48.30,35,2811.00,80.31,58,Evergreen Linen Shirt,2025-12-13,428.35,170,2.52,6.56
1765614931700,1141,975,9.05,3.37,39.85,38,2865.47,75.41,60,Evergreen Linen Shirt,2025-12-13,413.03,146,2.83,6.94
1765618531700,1078,865,8.64,3.94,35.97,43,2883.61,67.06,59,Evergreen Linen Shirt,2025-12-13,413.39,148,2.79,6.98
1765622131700,1007,837,9.33,3.43,39.77,35,2495.65,71.30,46,Evergreen Linen Shirt,2025-12-13,501.73,171,2.93,4.97
1765625731700,959,807,8.31,3.30,47.60,32,2286.16,71.44,60,Evergreen Linen Shirt,2025-12-13,418.96,162,2.59,5.46
1765629331700,866,754,6.24,2.87,43.29,25,2025.83,81.03,38,Evergreen Linen Shirt,2025-12-13,383.45,168,2.28,5.28
1765632931700,803,703,8.30,2.82,46.42,23,1871.96,81.39,28,Evergreen Linen Shirt,2025-12-13,477.48,166,2.88,3.92
1765636531700,718,682,6.04,3.38,44.99,24,1788.19,74.51,41,Evergreen Linen Shirt,2025-12-13,468.86,224,2.09,3.81
1765640131700,670,617,6.66,2.49,33.53,17,1334.95,78.53,28,Evergreen Linen Shirt,2025-12-13,464.62,164,2.83,2.87
1765643731700,600,538,7.23,2.42,45.30,15,1044.43,69.63,26,Evergreen Linen Shirt,2025-12-13,359.33,156,2.30,2.91
1765647331700,624,519,4.88,3.30,46.77,21,1440.99,68.62,33,Evergreen Linen Shirt,2025-12-13,422.74,185,2.29,3.41
1765650931700,617,504,6.84,2.91,43.49,18,1202.87,66.83,24,Evergreen Linen Shirt,2025-12-13,356.81,146,2.44,3.37
1765654531700,636,581,4.43,2.48,46.62,16,1255.56,78.47,23,Evergreen Linen Shirt,2025-12-13,390.53,192,2.03,3.22
1765658131700,659,553,5.32,3.51,40.00,23,1794.95,78.04,42,Evergreen Linen Shirt,2025-12-13,423.30,180,2.35,4.24
