ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,605,573,5.11,2.90,41.84,18,1526.62,84.81,34,Juniper Throw Blanket,2025-12-12,374.22,165,2.27,4.08
1765564531700,610,552,5.89,1.99,46.91,12,1043.98,87.00,17,Juniper Throw Blanket,2025-12-12,373.78,144,2.60,2.79
1765568131700,601,560,5.54,2.53,41.47,15,1202.17,80.14,19,Juniper Throw Blanket,2025-12-12,393.01,201,1.96,3.06
1765571731700,659,599,5.20,2.71,32.91,18,1361.31,75.63,27,Juniper Throw Blanket,2025-12-12,392.18,167,2.35,3.47
1765575331700,711,662,6.78,3.27,35.69,23,2107.01,91.61,41,Juniper Throw Blanket,2025-12-12,401.38,198,2.03,5.25
1765578931700,767,692,7.30,2.61,32.41,20,1645.81,82.29,31,Juniper Throw Blanket,2025-12-12,387.75,166,2.34,4.24
1765582531700,851,778,6.49,3.17,34.53,27,2115.31,78.34,44,Juniper Throw Blanket,2025-12-12,378.64,192,1.97,5.59
1765586131700,933,748,8.68,2.41,36.64,23,2075.62,90.24,28,Juniper Throw Blanket,2025-12-13,387.87,174,2.23,5.35
1765589731700,998,828,8.88,3.46,36.93,35,3193.96,91.26,59,Juniper Throw Blanket,2025-12-13,387.94,186,2.09,8.23
1765593331700,1075,947,9.41,4.22,45.98,45,3732.33,82.94,72,Juniper Throw Blanket,2025-12-13,462.50,167,2.77,8.07
1765596931700,1136,927,10.26,4.38,48.09,50,4483.57,89.67,94,Juniper Throw Blanket,2025-12-13,401.21,214,1.87,11.18
1765600531700,1201,992,8.18,3.71,43.05,45,4129.02,91.76,72,Juniper Throw Blanket,2025-12-13,489.01,268,1.82,8.44
1765604131700,1224,1124,8.78,3.22,43.78,39,3467.26,88.90,61,Juniper Throw Blanket,2025-12-13,460.88,218,2.11,7.52
1765607731700,1231,1096,9.74,3.62,43.42,45,3488.32,77.52,78,Juniper Throw Blanket,2025-12-13,514.10,227,2.26,6.79
1765611331700,1213,1062,8.37,3.89,42.20,47,3721.29,79.18,83,Juniper Throw Blanket,2025-12-13,414.25,144,2.88,8.98
1765614931700,1181,1005,8.92,2.95,38.81,35,2788.80,79.68,50,Juniper Throw Blanket,2025-12-13,406.56,200,2.03,6.86
1765618531700,1161,983,9.78,3.38,50.30,39,3518.91,90.23,58,Juniper Throw Blanket,2025-12-13,428.09,204,2.10,8.22
1765622131700,1066,990,8.95,2.79,45.37,30,2284.38,76.15,53,Juniper Throw Blanket,2025-12-13,430.87,194,2.22,5.30
1765625731700,1013,869,8.03,4.12,34.73,42,3684.95,87.74,62,Juniper Throw Blanket,2025-12-13,411.18,213,1.93,8.96
1765629331700,917,774,7.37,2.87,34.92,26,2169.68,83.45,38,Juniper Throw Blanket,2025-12-13,435.42,158,2.76,4.98
1765632931700,820,754,7.63,3.35,47.77,28,2074.80,74.10,39,Juniper Throw Blanket,2025-12-13,482.80,201,2.40,4.30
1765636531700,756,625,5.88,2.49,43.47,19,1668.31,87.81,27,Juniper Throw Blanket,2025-12-13,371.32,131,2.83,4.49
1765640131700,698,563,5.93,3.57,37.83,25,2237.03,89.48,39,Juniper Throw Blanket,2025-12-13,382.48,186,2.06,5.85
1765643731700,665,533,6.66,2.12,43.42,14,1185.52,84.68,18,Juniper Throw Blanket,2025-12-13,366.28,195,1.88,3.24
1765647331700,691,650,6.65,2.39,35.76,17,1487.95,87.53,30,Juniper Throw Blanket,2025-12-13,422.89,210,2.01,3.52
1765650931700,667,604,5.59,2.57,42.67,17,1510.02,88.82,28,Juniper Throw Blanket,2025-12-13,420.28,232,1.81,3.59
1765654531700,672,558,4.61,2.80,31.99,19,1696.89,89.31,36,Juniper Throw Blanket,2025-12-13,417.30,164,2.54,4.07
1765658131700,694,599,4.78,2.34,38.32,16,1471.73,91.98,29,Juniper Throw Blanket,2025-12-13,366.75,194,1.89,4.01
1765661731700,761,620,5.57,2.05,46.80,16,1241.93,77.62,22,Juniper Throw Blanket,2025-12-13,396.31,147,2.70,3.13
1765665331700,851,766,5.81,2.76,46.50,24,1990.32,82.93,36,Juniper Throw Blanket,2025-12-13,385.52,139,2.77,5.16
1765668931700,897,754,8.57,2.90,35.81,26,2331.35,89.67,46,Juniper Throw Blanket,2025-12-13,479.41,184,2.61,4.86
1765672531700,1006,894,7.57,3.87,39.67,39,3093.89,79.33,53,Juniper Throw Blanket,2025-12-14,462.43,186,2.49,6.69
1765676131700,1087,874,8.94,4.25,40.02,46,4064.18,88.35,59,Juniper Throw Blanket,2025-12-14,487.03,163,2.99,8.34
1765679731700,1190,983,7.28,4.43,43.80,53,4409.80,83.20,84,Juniper Throw Blanket,2025-12-14,460.49,157,2.93,9.58
1765683331700,1247,1149,8.85,2.95,44.96,37,3070.50,82.99,59,Juniper Throw Blanket,2025-12-14,499.19,178,2.80,6.15
1765686931700,1286,1170,8.39,3.32,44.14,43,3926.35,91.31,68,Juniper Throw Blanket,2025-12-14,438.93,214,2.05,8.95
1765690531700,1325,1062,8.09,3.86,36.97,51,4268.47,83.70,94,Juniper Throw Blanket,2025-12-14,495.97,191,2.60,8.61
1765694131700,1353,1178,10.60,4.58,39.95,62,5417.92,87.39,87,Juniper Throw Blanket,2025-12-14,511.12,283,1.81,10.60
1765697731700,1328,1256,10.51,3.66,48.36,49,3638.64,74.26,74,Juniper Throw Blanket,2025-12-14,409.87,187,2.19,8.88
1765701331700,1319,1090,9.03,2.97,38.00,39,3469.08,88.95,52,Juniper Throw Blanket,2025-12-14,431.43,186,2.32,8.04
1765704931700,1247,1144,9.24,3.66,38.79,46,3409.03,74.11,79,Juniper Throw Blanket,2025-12-14,478.96,210,2.28,7.12
1765708531700,1180,1083,9.10,3.57,46.65,42,3556.87,84.69,63,Juniper Throw Blanket,2025-12-14,429.11,190,2.26,8.29
1765712131700,1088,915,8.46,3.88,34.53,42,3817.29,90.89,60,Juniper Throw Blanket,2025-12-14,464.35,241,1.93,8.22
1765715731700,1005,867,6.91,3.74,47.30,38,2865.86,75.42,51,Juniper Throw Blanket,2025-12-14,385.94,171,2.26,7.43
1765719331700,933,879,7.69,2.31,42.99,22,1940.91,88.22,36,Juniper Throw Blanket,2025-12-14,461.90,255,1.81,4.20
1765722931700,835,757,7.43,3.35,45.60,28,2414.54,86.23,42,Juniper Throw Blanket,2025-12-14,431.69,235,1.84,5.59
1765726531700,757,709,7.20,2.27,41.08,17,1337.19,78.66,23,Juniper Throw Blanket,2025-12-14,419.13,172,2.44,3.19
1765730131700,713,636,5.95,2.69,47.06,19,1654.54,87.08,33,Juniper Throw Blanket,2025-12-14,462.37,209,2.21,3.58
1765733731700,691,569,5.37,1.94,32.04,13,1163.25,89.48,21,Juniper Throw Blanket,2025-12-14,441.00,192,2.30,2.64
1765737331700,686,610,5.59,2.14,35.94,15,1379.71,91.98,23,Juniper Throw Blanket,2025-12-14,446.21,240,1.86,3.09
1765740931700,698,609,7.04,3.27,45.04,23,2060.78,89.60,41,Juniper Throw Blanket,2025-12-14,448.53,190,2.36,4.59
1765744531700,720,615,6.08,2.36,41.53,17,1308.69,76.98,23,Juniper Throw Blanket,2025-12-14,428.98,184,2.33,3.05
