ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,630,519,5.85,3.07,34.90,19,1744.13,91.80,30,Nimbus Trail Backpack,2025-12-12,411.00,137,3.00,4.24
1765564531700,604,557,4.38,1.88,40.53,11,950.89,86.44,15,Nimbus Trail Backpack,2025-12-12,438.36,157,2.79,2.17
1765568131700,635,548,6.32,3.25,45.24,21,1632.17,77.72,34,Nimbus Trail Backpack,2025-12-12,466.77,246,1.90,3.50
1765571731700,641,598,6.22,2.96,31.55,19,1495.99,78.74,29,Nimbus Trail Backpack,2025-12-12,378.36,176,2.15,3.95
1765575331700,693,599,5.97,2.54,34.73,18,1637.61,90.98,34,Nimbus Trail Backpack,2025-12-12,452.08,240,1.88,3.62
1765578931700,783,656,5.69,2.98,44.83,23,2118.45,92.11,38,Nimbus Trail Backpack,2025-12-12,469.30,190,2.47,4.51
1765582531700,842,752,7.87,2.80,34.91,24,2023.86,84.33,30,Nimbus Trail Backpack,2025-12-12,473.06,180,2.63,4.28
1765586131700,921,740,6.13,3.84,48.83,35,3050.27,87.15,60,Nimbus Trail Backpack,2025-12-13,450.44,187,2.41,6.77
1765589731700,1029,859,7.52,2.80,45.98,29,2578.52,88.91,40,Nimbus Trail Backpack,2025-12-13,457.86,160,2.86,5.63
1765593331700,1105,887,7.75,2.82,41.78,31,2816.29,90.85,52,Nimbus Trail Backpack,2025-12-13,483.21,181,2.67,5.83
1765596931700,1170,1021,8.39,4.17,50.07,49,4492.45,91.68,75,Nimbus Trail Backpack,2025-12-13,483.88,238,2.03,9.28
1765600531700,1229,1107,7.99,4.21,37.01,52,4550.54,87.51,63,Nimbus Trail Backpack,2025-12-13,508.95,173,2.94,8.94
1765604131700,1252,1005,9.17,4.66,39.10,58,4981.22,85.88,81,Nimbus Trail Backpack,2025-12-13,470.12,170,2.77,10.60
1765607731700,1249,1023,9.63,3.33,37.32,42,3967.65,94.47,56,Nimbus Trail Backpack,2025-12-13,447.68,158,2.83,8.86
1765611331700,1259,1070,9.08,3.03,35.35,38,3582.61,94.28,64,Nimbus Trail Backpack,2025-12-13,519.83,184,2.83,6.89
1765614931700,1199,1035,9.71,2.95,37.02,35,2878.62,82.25,56,Nimbus Trail Backpack,2025-12-13,458.34,180,2.55,6.28
1765618531700,1157,950,9.73,4.57,45.28,53,4457.29,84.10,90,Nimbus Trail Backpack,2025-12-13,455.71,228,2.00,9.78
1765622131700,1096,973,8.00,3.23,43.38,35,3196.76,91.34,53,Nimbus Trail Backpack,2025-12-13,506.44,222,2.28,6.31
1765625731700,999,814,6.83,3.16,44.22,32,2759.80,86.24,46,Nimbus Trail Backpack,2025-12-13,499.01,193,2.59,5.53
1765629331700,922,824,8.38,2.60,40.03,24,2060.68,85.86,35,Nimbus Trail Backpack,2025-12-13,387.53,213,1.82,5.32
1765632931700,860,711,5.75,2.64,40.95,23,1861.59,80.94,29,Nimbus Trail Backpack,2025-12-13,433.93,145,2.99,4.29
1765636531700,777,689,7.16,3.72,47.91,29,2595.71,89.51,50,Nimbus Trail Backpack,2025-12-13,370.45,169,2.19,7.01
1765640131700,708,637,5.27,2.57,36.91,18,1641.14,91.17,33,Nimbus Trail Backpack,2025-12-13,417.56,227,1.84,3.93
1765643731700,671,591,6.53,3.66,47.08,25,2050.00,82.00,43,Nimbus Trail Backpack,2025-12-13,462.48,200,2.31,4.43
1765647331700,668,574,6.39,3.20,39.60,21,1873.44,89.21,39,Nimbus Trail Backpack,2025-12-13,450.10,192,2.34,4.16
1765650931700,656,591,5.81,2.92,39.54,19,1617.75,85.14,34,Nimbus Trail Backpack,2025-12-13,453.73,224,2.03,3.57
1765654531700,698,598,6.67,2.02,35.01,14,1089.22,77.80,22,Nimbus Trail Backpack,2025-12-13,360.92,189,1.91,3.02
1765658131700,709,657,6.97,2.04,41.74,14,1219.93,87.14,19,Nimbus Trail Backpack,2025-12-13,429.38,162,2.65,2.84
1765661731700,759,611,5.06,2.29,47.24,17,1510.36,88.84,32,Nimbus Trail Backpack,2025-12-13,368.01,160,2.30,4.10
1765665331700,827,690,5.43,3.57,42.95,30,2723.58,90.79,37,Nimbus Trail Backpack,2025-12-13,394.81,217,1.82,6.90
1765668931700,938,884,6.42,3.53,47.07,33,2560.19,77.58,47,Nimbus Trail Backpack,2025-12-13,393.43,172,2.29,6.51
1765672531700,1020,820,8.20,3.42,38.17,35,2719.94,77.71,62,Nimbus Trail Backpack,2025-12-14,498.60,221,2.26,5.46
1765676131700,1124,938,6.78,3.96,46.19,45,3640.55,80.90,74,Nimbus Trail Backpack,2025-12-14,442.29,193,2.29,8.23
