ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,582,535,6.61,2.84,36.73,17,1455.42,85.61,29,Caldera Runner Sneaker,2025-12-12,369.08,185,2.00,3.94
1765564531700,588,478,5.42,2.31,33.06,14,1149.72,82.12,17,Caldera Runner Sneaker,2025-12-12,439.97,232,1.90,2.61
1765568131700,582,539,5.09,2.89,35.31,17,1374.17,80.83,32,Caldera Runner Sneaker,2025-12-12,394.48,173,2.28,3.48
1765571731700,622,537,4.97,2.12,35.58,13,1071.34,82.41,23,Caldera Runner Sneaker,2025-12-12,440.60,167,2.64,2.43
1765575331700,669,609,7.15,2.69,43.55,18,1255.15,69.73,24,Caldera Runner Sneaker,2025-12-12,455.58,206,2.21,2.76
1765578931700,718,589,6.28,3.01,39.88,22,1614.88,73.40,35,Caldera Runner Sneaker,2025-12-12,484.95,248,1.96,3.33
1765582531700,808,713,6.88,3.01,39.95,24,2000.07,83.34,35,Caldera Runner Sneaker,2025-12-12,459.60,163,2.82,4.35
1765586131700,905,761,6.26,3.99,35.29,36,3003.24,83.42,63,Caldera Runner Sneaker,2025-12-13,390.22,132,2.96,7.70
1765589731700,984,828,7.51,3.67,42.70,36,3069.12,85.25,45,Caldera Runner Sneaker,2025-12-13,466.08,222,2.10,6.58
1765593331700,1038,960,9.61,3.28,36.92,34,2660.68,78.26,60,Caldera Runner Sneaker,2025-12-13,402.33,177,2.27,6.61
1765596931700,1090,941,9.11,4.25,42.04,46,3741.05,81.33,71,Caldera Runner Sneaker,2025-12-13,444.81,234,1.90,8.41
1765600531700,1145,1032,9.29,3.46,34.79,40,2745.03,68.63,50,Caldera Runner Sneaker,2025-12-13,492.37,250,1.97,5.58
1765604131700,1169,1001,8.36,2.98,36.01,35,2830.30,80.87,65,Caldera Runner Sneaker,2025-12-13,417.73,200,2.09,6.78
1765607731700,1199,960,9.75,3.20,49.58,38,2632.57,69.28,66,Caldera Runner Sneaker,2025-12-13,433.04,155,2.79,6.08
1765611331700,1184,952,9.65,3.36,37.15,40,2825.39,70.63,50,Caldera Runner Sneaker,2025-12-13,408.71,219,1.87,6.91
1765614931700,1151,947,8.07,3.68,45.28,42,2971.46,70.75,76,Caldera Runner Sneaker,2025-12-13,485.77,226,2.15,6.12
1765618531700,1085,904,8.60,3.83,37.00,42,3515.75,83.71,68,Caldera Runner Sneaker,2025-12-13,414.99,187,2.22,8.47
1765622131700,1053,891,9.00,2.84,49.96,30,2273.93,75.80,46,Caldera Runner Sneaker,2025-12-13,423.44,224,1.89,5.37
1765625731700,979,860,6.90,2.60,34.30,25,2096.48,83.86,43,Caldera Runner Sneaker,2025-12-13,419.84,168,2.50,4.99
1765629331700,872,762,6.31,3.05,43.27,27,2292.34,84.90,46,Caldera Runner Sneaker,2025-12-13,472.45,259,1.82,4.85
1765632931700,797,729,5.68,3.52,44.41,28,2130.20,76.08,46,Caldera Runner Sneaker,2025-12-13,441.20,159,2.77,4.83
1765636531700,746,633,5.89,2.85,46.81,21,1716.03,81.72,34,Caldera Runner Sneaker,2025-12-13,406.77,222,1.83,4.22
1765640131700,675,582,4.80,2.33,43.42,16,1157.60,72.35,21,Caldera Runner Sneaker,2025-12-13,447.75,199,2.25,2.59
1765643731700,612,573,6.89,2.42,38.19,15,1162.24,77.48,27,Caldera Runner Sneaker,2025-12-13,415.06,175,2.37,2.80
1765647331700,631,519,6.98,2.80,37.99,18,1318.02,73.22,24,Caldera Runner Sneaker,2025-12-13,464.60,160,2.90,2.84
1765650931700,621,508,5.57,2.64,31.51,16,1304.47,81.53,21,Caldera Runner Sneaker,2025-12-13,399.25,187,2.14,3.27
1765654531700,652,550,6.72,2.97,45.42,19,1585.08,83.43,27,Caldera Runner Sneaker,2025-12-13,424.84,187,2.27,3.73
1765658131700,680,585,6.02,2.31,31.57,16,1165.43,72.84,21,Caldera Runner Sneaker,2025-12-13,433.79,218,1.99,2.69
1765661731700,730,663,6.62,2.02,43.77,15,1128.33,75.22,18,Caldera Runner Sneaker,2025-12-13,401.15,137,2.93,2.81
1765665331700,785,707,5.71,3.03,36.38,24,1894.08,78.92,35,Caldera Runner Sneaker,2025-12-13,404.88,166,2.44,4.68
1765668931700,890,823,6.29,3.53,32.92,31,2118.58,68.34,47,Caldera Runner Sneaker,2025-12-13,410.57,143,2.87,5.16
1765672531700,963,890,7.45,3.93,41.40,38,2809.08,73.92,63,Caldera Runner Sneaker,2025-12-14,399.32,147,2.72,7.03
1765676131700,1041,840,8.42,2.64,40.50,27,1883.86,69.77,33,Caldera Runner Sneaker,2025-12-14,429.16,232,1.85,4.39
1765679731700,1123,947,9.22,2.99,39.37,34,2828.93,83.20,45,Caldera Runner Sneaker,2025-12-14,437.88,216,2.03,6.46
1765683331700,1192,1018,8.39,3.52,49.35,42,3068.70,73.06,69,Caldera Runner Sneaker,2025-12-14,494.47,220,2.25,6.21
1765686931700,1241,1051,10.60,3.42,37.08,42,2869.63,68.32,76,Caldera Runner Sneaker,2025-12-14,471.19,222,2.12,6.09
1765690531700,1293,1043,9.19,3.08,49.81,40,2808.82,70.22,53,Caldera Runner Sneaker,2025-12-14,413.08,183,2.26,6.80
1765694131700,1305,1134,9.08,4.64,39.74,61,4451.90,72.98,76,Caldera Runner Sneaker,2025-12-14,473.06,206,2.30,9.41
1765697731700,1303,1233,10.02,3.14,50.23,41,3208.62,78.26,51,Caldera Runner Sneaker,2025-12-14,409.62,200,2.05,7.83
1765701331700,1275,1186,10.07,2.92,45.29,37,2863.72,77.40,48,Caldera Runner Sneaker,2025-12-14,518.90,207,2.51,5.52
1765704931700,1212,972,8.47,4.02,40.81,49,4174.33,85.19,80,Caldera Runner Sneaker,2025-12-14,442.35,233,1.90,9.44
1765708531700,1122,944,9.35,4.44,44.59,50,4229.68,84.59,71,Caldera Runner Sneaker,2025-12-14,511.83,225,2.27,8.26
1765712131700,1061,1001,8.53,2.92,48.60,31,2635.83,85.03,37,Caldera Runner Sneaker,2025-12-14,476.95,183,2.61,5.53
1765715731700,991,864,7.21,3.00,47.74,30,2360.22,78.67,46,Caldera Runner Sneaker,2025-12-14,412.89,182,2.27,5.72
1765719331700,868,742,7.41,2.45,48.40,21,1795.08,85.48,38,Caldera Runner Sneaker,2025-12-14,388.20,170,2.28,4.62
1765722931700,808,750,6.28,2.74,36.47,22,1775.03,80.68,41,Caldera Runner Sneaker,2025-12-14,440.81,197,2.24,4.03
1765726531700,742,664,6.48,3.09,45.88,23,1881.88,81.82,39,Caldera Runner Sneaker,2025-12-14,452.19,205,2.21,4.16
1765730131700,685,603,5.30,2.60,38.27,18,1393.20,77.40,30,Caldera Runner Sneaker,2025-12-14,416.01,165,2.52,3.35
1765733731700,666,606,7.04,3.10,40.45,21,1675.43,79.78,31,Caldera Runner Sneaker,2025-12-14,381.92,156,2.45,4.39
1765737331700,660,619,4.49,2.26,40.56,15,1030.63,68.71,22,Caldera Runner Sneaker,2025-12-14,420.55,157,2.68,2.45
1765740931700,663,564,4.34,2.29,40.42,15,1179.93,78.66,26,Caldera Runner Sneaker,2025-12-14,398.21,214,1.86,2.96
1765744531700,706,567,6.55,2.79,35.64,20,1412.53,70.63,37,Caldera Runner Sneaker,2025-12-14,460.52,252,1.83,3.07
