ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,883,774,10.15,5.80,29.03,51,4027.02,78.96,74,Midnight Bomber Jacket,2025-12-12,382.74,196,1.95,10.52
1765564531700,848,716,12.56,6.04,35.71,51,3412.43,66.91,84,Midnight Bomber Jacket,2025-12-12,378.14,149,2.54,9.02
1765568131700,889,787,11.77,6.19,33.87,55,3964.35,72.08,96,Midnight Bomber Jacket,2025-12-12,372.64,130,2.87,10.64
1765571731700,935,841,12.14,5.96,22.89,56,3723.23,66.49,92,Midnight Bomber Jacket,2025-12-12,388.87,132,2.95,9.57
1765575331700,1000,907,12.34,5.64,27.99,56,4222.62,75.40,99,Midnight Bomber Jacket,2025-12-12,413.95,206,2.01,10.20
1765578931700,1096,1009,11.03,6.51,30.29,71,4778.11,67.30,124,Midnight Bomber Jacket,2025-12-12,450.46,185,2.43,10.61
1765582531700,1192,1077,11.57,6.93,37.13,83,5517.59,66.48,128,Midnight Bomber Jacket,2025-12-12,422.74,156,2.71,13.05
1765586131700,1315,1206,12.82,6.59,30.54,87,5598.84,64.35,118,Midnight Bomber Jacket,2025-12-13,497.74,176,2.83,11.25
1765589731700,1427,1146,13.60,7.00,29.07,100,7931.14,79.31,136,Midnight Bomber Jacket,2025-12-13,404.57,183,2.21,19.60
1765593331700,1525,1440,15.18,6.66,38.03,102,6707.12,65.76,164,Midnight Bomber Jacket,2025-12-13,400.00,218,1.83,16.77
1765596931700,1619,1488,14.49,5.98,29.50,97,7130.84,73.51,135,Midnight Bomber Jacket,2025-12-13,429.69,214,2.01,16.60
1765600531700,1717,1413,15.34,6.70,38.46,115,8064.87,70.13,162,Midnight Bomber Jacket,2025-12-13,499.97,246,2.03,16.13
1765604131700,1735,1392,15.22,7.61,35.43,132,8457.72,64.07,173,Midnight Bomber Jacket,2025-12-13,409.53,171,2.39,20.65
1765607731700,1752,1410,15.15,6.18,31.90,108,7496.10,69.41,176,Midnight Bomber Jacket,2025-12-13,524.01,268,1.96,14.31
1765611331700,1755,1480,13.91,7.65,33.08,134,9346.95,69.75,244,Midnight Bomber Jacket,2025-12-13,412.23,142,2.90,22.67
1765614931700,1682,1375,13.92,6.54,37.02,110,7905.56,71.87,163,Midnight Bomber Jacket,2025-12-13,488.71,171,2.86,16.18
1765618531700,1646,1364,14.83,6.43,26.96,106,8250.00,77.83,159,Midnight Bomber Jacket,2025-12-13,424.98,146,2.91,19.41
1765622131700,1518,1365,15.38,7.47,30.39,113,7116.68,62.98,185,Midnight Bomber Jacket,2025-12-13,394.27,165,2.39,18.05
1765625731700,1409,1239,13.61,7.03,26.46,99,7158.97,72.31,155,Midnight Bomber Jacket,2025-12-13,416.90,172,2.42,17.17
1765629331700,1293,1198,12.05,6.16,23.30,80,4988.48,62.36,131,Midnight Bomber Jacket,2025-12-13,396.84,220,1.80,12.57
1765632931700,1212,1098,13.15,5.38,35.16,65,5022.07,77.26,103,Midnight Bomber Jacket,2025-12-13,481.14,205,2.35,10.44
1765636531700,1093,913,13.40,5.10,36.19,56,4230.84,75.55,71,Midnight Bomber Jacket,2025-12-13,481.66,179,2.69,8.78
1765640131700,1002,856,10.79,5.00,32.60,50,3640.93,72.82,87,Midnight Bomber Jacket,2025-12-13,377.16,191,1.97,9.65
1765643731700,929,838,9.87,5.40,27.42,50,3715.98,74.32,90,Midnight Bomber Jacket,2025-12-13,445.79,231,1.93,8.34
1765647331700,953,793,10.86,5.65,34.78,54,4159.16,77.02,92,Midnight Bomber Jacket,2025-12-13,404.12,200,2.02,10.29
1765650931700,944,865,10.37,5.78,29.45,55,4173.03,75.87,68,Midnight Bomber Jacket,2025-12-13,470.57,254,1.85,8.87
1765654531700,966,780,10.69,5.33,30.84,51,3359.10,65.86,69,Midnight Bomber Jacket,2025-12-13,462.47,215,2.15,7.26
1765658131700,984,926,11.75,6.61,28.76,65,4921.34,75.71,120,Midnight Bomber Jacket,2025-12-13,432.73,234,1.85,11.37
1765661731700,1079,977,10.86,5.74,26.58,62,3910.53,63.07,108,Midnight Bomber Jacket,2025-12-13,386.04,134,2.88,10.13
1765665331700,1194,1003,11.21,6.71,27.49,80,5206.89,65.09,111,Midnight Bomber Jacket,2025-12-13,393.20,183,2.15,13.24
1765668931700,1304,1079,12.14,7.04,24.35,92,7170.59,77.94,143,Midnight Bomber Jacket,2025-12-13,413.33,202,2.05,17.35
1765672531700,1433,1240,13.86,6.61,28.39,95,7430.64,78.22,130,Midnight Bomber Jacket,2025-12-14,425.71,207,2.06,17.45
1765676131700,1546,1307,14.23,7.17,39.34,111,7815.75,70.41,189,Midnight Bomber Jacket,2025-12-14,487.53,186,2.62,16.03
1765679731700,1678,1433,15.59,5.84,35.05,98,6308.98,64.38,129,Midnight Bomber Jacket,2025-12-14,449.98,161,2.79,14.02
1765683331700,1770,1589,15.15,6.23,31.73,110,8580.46,78.00,157,Midnight Bomber Jacket,2025-12-14,407.70,143,2.85,21.05
1765686931700,1869,1508,14.27,7.45,35.35,139,9842.81,70.81,241,Midnight Bomber Jacket,2025-12-14,427.35,156,2.74,23.03
1765690531700,1924,1728,14.10,7.34,40.04,141,10250.31,72.70,187,Midnight Bomber Jacket,2025-12-14,467.26,250,1.87,21.94
1765694131700,1907,1664,16.05,6.65,26.65,127,10052.83,79.16,199,Midnight Bomber Jacket,2025-12-14,471.24,258,1.83,21.33
1765697731700,1889,1530,14.69,7.50,32.89,142,9264.86,65.25,199,Midnight Bomber Jacket,2025-12-14,489.62,210,2.33,18.92
1765701331700,1843,1704,15.47,6.03,32.04,111,8016.68,72.22,176,Midnight Bomber Jacket,2025-12-14,423.47,208,2.04,18.93
1765704931700,1766,1417,14.48,6.26,35.58,111,7954.19,71.66,165,Midnight Bomber Jacket,2025-12-14,511.90,282,1.82,15.54
1765708531700,1698,1397,15.22,5.78,25.52,98,6407.15,65.38,171,Midnight Bomber Jacket,2025-12-14,418.50,224,1.87,15.31
1765712131700,1542,1299,12.81,6.09,27.20,94,6274.83,66.75,162,Midnight Bomber Jacket,2025-12-14,435.53,239,1.82,14.41
1765715731700,1419,1177,13.36,7.02,32.88,100,7493.33,74.93,177,Midnight Bomber Jacket,2025-12-14,495.01,175,2.83,15.14
1765719331700,1315,1227,12.40,5.52,30.65,73,4678.98,64.10,136,Midnight Bomber Jacket,2025-12-14,405.18,204,1.99,11.55
1765722931700,1176,990,10.91,6.73,36.15,79,6014.46,76.13,125,Midnight Bomber Jacket,2025-12-14,381.75,188,2.03,15.75
1765726531700,1062,871,10.75,6.14,35.07,65,5167.69,79.50,122,Midnight Bomber Jacket,2025-12-14,404.69,202,2.00,12.77
1765730131700,993,881,10.61,6.56,26.60,65,4043.83,62.21,86,Midnight Bomber Jacket,2025-12-14,359.29,132,2.72,11.26
1765733731700,983,880,12.51,5.40,21.75,53,3560.70,67.18,92,Midnight Bomber Jacket,2025-12-14,376.49,154,2.44,9.46
1765737331700,943,791,9.82,5.62,34.32,53,3737.59,70.52,84,Midnight Bomber Jacket,2025-12-14,361.80,172,2.10,10.33
1765740931700,985,843,11.27,4.87,36.05,48,3523.31,73.40,77,Midnight Bomber Jacket,2025-12-14,405.25,186,2.18,8.69
1765744531700,1035,866,11.98,5.48,22.78,57,4501.03,78.97,78,Midnight Bomber Jacket,2025-12-14,436.85,168,2.60,10.30
1765748131700,1104,1048,13.05,6.57,30.99,72,5184.10,72.00,116,Midnight Bomber Jacket,2025-12-14,424.10,186,2.28,12.22
1765751731700,1202,1079,13.11,6.40,25.69,77,6085.07,79.03,131,Midnight Bomber Jacket,2025-12-14,426.35,222,1.92,14.27
1765755331700,1315,1176,12.23,6.56,31.68,86,6615.51,76.92,142,Midnight Bomber Jacket,2025-12-14,423.40,142,2.98,15.62
1765758931700,1450,1221,12.41,6.46,24.81,94,5846.02,62.19,120,Midnight Bomber Jacket,2025-12-15,409.03,208,1.97,14.29
1765762531700,1603,1359,12.47,7.13,34.61,114,8660.19,75.97,209,Midnight Bomber Jacket,2025-12-15,485.93,196,2.48,17.82
1765766131700,1730,1558,14.30,7.25,37.63,125,8480.56,67.84,166,Midnight Bomber Jacket,2025-12-15,488.40,192,2.54,17.36
1765769731700,1812,1594,13.56,7.37,36.14,134,9587.24,71.55,233,Midnight Bomber Jacket,2025-12-15,442.15,224,1.97,21.68
1765773331700,1891,1620,16.05,6.81,40.24,129,9075.18,70.35,208,Midnight Bomber Jacket,2025-12-15,461.72,221,2.09,19.66
1765776931700,1950,1828,13.66,6.13,29.37,120,7773.73,64.78,223,Midnight Bomber Jacket,2025-12-15,463.59,195,2.38,16.77
1765780531700,1969,1680,14.29,6.57,39.56,129,10294.34,79.80,234,Midnight Bomber Jacket,2025-12-15,467.94,258,1.81,22.00
1765784131700,1931,1724,15.66,7.66,35.61,148,10484.36,70.84,213,Midnight Bomber Jacket,2025-12-15,458.94,220,2.09,22.84
1765787731700,1909,1725,14.43,7.33,32.51,140,9270.51,66.22,214,Midnight Bomber Jacket,2025-12-15,429.88,238,1.81,21.57
1765791331700,1828,1620,14.13,6.41,34.67,117,7589.86,64.87,211,Midnight Bomber Jacket,2025-12-15,472.41,219,2.16,16.07
1765794931700,1702,1605,14.77,6.67,29.69,114,8029.28,70.43,186,Midnight Bomber Jacket,2025-12-15,434.23,171,2.54,18.49
1765798531700,1582,1389,13.62,5.83,33.93,92,6002.33,65.24,130,Midnight Bomber Jacket,2025-12-15,501.30,255,1.97,11.97
1765802131700,1450,1350,12.50,5.74,34.21,83,5671.43,68.33,102,Midnight Bomber Jacket,2025-12-15,448.75,159,2.82,12.64
1765805731700,1318,1084,12.01,6.19,35.57,82,6018.32,73.39,120,Midnight Bomber Jacket,2025-12-15,458.80,200,2.29,13.12
1765809331700,1225,1132,12.34,5.69,24.98,70,4666.70,66.67,126,Midnight Bomber Jacket,2025-12-15,426.64,215,1.98,10.94
1765812931700,1107,912,12.79,6.53,32.64,72,5297.19,73.57,109,Midnight Bomber Jacket,2025-12-15,450.50,153,2.94,11.76
1765816531700,1037,917,10.67,6.29,30.43,65,5133.04,78.97,102,Midnight Bomber Jacket,2025-12-15,464.46,224,2.07,11.05
1765820131700,923,783,12.47,5.47,23.25,51,4007.76,78.58,73,Midnight Bomber Jacket,2025-12-15,432.28,229,1.89,9.27
1765823731700,894,748,12.00,5.27,29.21,47,3057.80,65.06,70,Midnight Bomber Jacket,2025-12-15,372.58,188,1.98,8.21
1765827331700,906,813,11.99,6.13,33.88,56,3893.92,69.53,89,Midnight Bomber Jacket,2025-12-15,398.08,216,1.84,9.78
1765830931700,971,859,10.36,6.48,27.02,63,4060.50,64.45,92,Midnight Bomber Jacket,2025-12-15,430.50,183,2.35,9.43
1765834531700,1053,870,10.34,5.82,34.74,61,4395.60,72.06,81,Midnight Bomber Jacket,2025-12-15,475.90,167,2.85,9.24
1765838131700,1148,1089,11.63,6.83,28.32,78,5553.64,71.20,100,Midnight Bomber Jacket,2025-12-15,436.96,232,1.88,12.71
1765841731700,1258,1143,12.40,7.01,37.39,88,6673.38,75.83,159,Midnight Bomber Jacket,2025-12-15,383.03,201,1.91,17.42
1765845331700,1388,1245,12.61,5.75,31.27,80,5640.03,70.50,115,Midnight Bomber Jacket,2025-12-16,384.26,141,2.73,14.68
1765848931700,1483,1218,13.24,7.17,31.77,106,7297.32,68.84,149,Midnight Bomber Jacket,2025-12-16,424.40,149,2.85,17.19
1765852531700,1603,1380,13.11,5.98,35.74,96,7651.36,79.70,147,Midnight Bomber Jacket,2025-12-16,430.66,222,1.94,17.77
1765856131700,1695,1470,15.11,5.98,37.03,101,7280.44,72.08,167,Midnight Bomber Jacket,2025-12-16,403.31,189,2.13,18.05
1765859731700,1792,1691,15.56,6.10,27.79,109,7562.99,69.39,192,Midnight Bomber Jacket,2025-12-16,512.30,222,2.31,14.76
1765863331700,1833,1713,14.12,6.31,33.63,116,7764.42,66.93,197,Midnight Bomber Jacket,2025-12-16,487.12,237,2.06,15.94
1765866931700,1870,1647,16.45,7.47,30.75,140,10716.37,76.55,216,Midnight Bomber Jacket,2025-12-16,454.27,188,2.42,23.59
1765870531700,1838,1653,15.26,6.58,31.32,121,8608.30,71.14,182,Midnight Bomber Jacket,2025-12-16,404.54,197,2.05,21.28
1765874131700,1781,1493,15.00,7.13,35.90,127,9145.26,72.01,218,Midnight Bomber Jacket,2025-12-16,439.59,220,2.00,20.80
1765877731700,1700,1400,13.25,6.88,28.97,117,7526.36,64.33,222,Midnight Bomber Jacket,2025-12-16,470.06,255,1.84,16.01
1765881331700,1610,1445,13.83,5.93,32.34,95,6426.64,67.65,135,Midnight Bomber Jacket,2025-12-16,441.53,150,2.94,14.56
1765884931700,1504,1408,12.69,6.82,35.36,103,7618.45,73.97,125,Midnight Bomber Jacket,2025-12-16,499.37,214,2.33,15.26
1765888531700,1362,1281,13.78,6.85,24.04,93,6614.05,71.12,173,Midnight Bomber Jacket,2025-12-16,493.91,271,1.82,13.39
1765892131700,1260,1161,13.44,6.36,25.53,80,4998.79,62.48,102,Midnight Bomber Jacket,2025-12-16,398.10,203,1.96,12.56
1765895731700,1134,939,13.43,5.69,35.34,64,4781.53,74.71,107,Midnight Bomber Jacket,2025-12-16,485.76,247,1.97,9.84
1765899331700,1049,888,11.64,6.75,32.79,71,5607.60,78.98,129,Midnight Bomber Jacket,2025-12-16,382.16,138,2.77,14.67
1765902931700,961,788,11.84,5.19,34.88,50,3296.72,65.93,79,Midnight Bomber Jacket,2025-12-16,469.24,185,2.54,7.03
1765906531700,846,752,12.12,4.93,28.72,42,2989.05,71.17,74,Midnight Bomber Jacket,2025-12-16,429.15,189,2.27,6.97
1765910131700,826,745,12.58,5.41,24.73,45,3048.78,67.75,85,Midnight Bomber Jacket,2025-12-16,461.12,246,1.87,6.61
1765913731700,844,678,11.94,5.70,26.99,48,3401.01,70.85,61,Midnight Bomber Jacket,2025-12-16,429.66,176,2.44,7.92
1765917331700,865,728,11.42,6.02,28.41,52,3394.63,65.28,90,Midnight Bomber Jacket,2025-12-16,415.79,196,2.12,8.16
1765920931700,944,768,13.15,6.15,29.11,58,3895.36,67.16,110,Midnight Bomber Jacket,2025-12-16,430.13,155,2.78,9.06
1765924531700,1021,903,11.47,6.35,37.20,65,4081.73,62.80,123,Midnight Bomber Jacket,2025-12-16,402.32,186,2.16,10.15
1765928131700,1135,968,13.37,7.02,35.98,80,5786.82,72.34,145,Midnight Bomber Jacket,2025-12-16,380.38,185,2.06,15.21
1765931731700,1260,1182,12.56,5.83,32.15,73,4576.39,62.69,133,Midnight Bomber Jacket,2025-12-17,470.80,215,2.19,9.72
1765935331700,1371,1151,14.55,6.15,30.52,84,5521.91,65.74,112,Midnight Bomber Jacket,2025-12-17,436.31,154,2.83,12.66
1765938931700,1456,1330,15.18,6.24,32.68,91,6713.68,73.78,150,Midnight Bomber Jacket,2025-12-17,475.92,249,1.91,14.11
1765942531700,1537,1289,13.93,6.94,39.11,107,6915.90,64.63,133,Midnight Bomber Jacket,2025-12-17,485.13,209,2.32,14.26
1765946131700,1602,1292,14.33,6.34,30.60,102,6404.71,62.79,154,Midnight Bomber Jacket,2025-12-17,490.17,191,2.57,13.07
1765949731700,1639,1477,15.70,6.39,27.29,105,7777.45,74.07,181,Midnight Bomber Jacket,2025-12-17,521.16,185,2.82,14.92
1765953331700,1687,1567,14.22,6.23,37.91,105,8386.00,79.87,153,Midnight Bomber Jacket,2025-12-17,513.85,233,2.21,16.32
1765956931700,1675,1345,15.44,6.11,26.64,102,6641.50,65.11,156,Midnight Bomber Jacket,2025-12-17,518.23,246,2.11,12.82
1765960531700,1609,1527,13.43,5.94,33.49,96,6070.59,63.24,150,Midnight Bomber Jacket,2025-12-17,486.40,178,2.73,12.48
1765964131700,1561,1359,15.39,6.45,32.28,101,6947.05,68.78,138,Midnight Bomber Jacket,2025-12-17,448.20,203,2.21,15.50
1765967731700,1449,1338,14.59,7.37,26.83,107,7118.27,66.53,153,Midnight Bomber Jacket,2025-12-17,461.64,252,1.83,15.42
1765971331700,1359,1270,13.63,5.92,35.24,80,5012.24,62.65,146,Midnight Bomber Jacket,2025-12-17,486.26,208,2.34,10.31
1765974931700,1237,1111,14.54,7.05,29.12,87,6728.45,77.34,109,Midnight Bomber Jacket,2025-12-17,464.25,232,2.00,14.49
1765978531700,1146,1081,12.65,6.21,30.77,71,5292.74,74.55,113,Midnight Bomber Jacket,2025-12-17,481.78,200,2.41,10.99
1765982131700,1022,838,12.13,5.49,37.77,56,3588.17,64.07,89,Midnight Bomber Jacket,2025-12-17,376.84,154,2.45,9.52
1765985731700,938,777,12.73,6.55,22.67,61,4639.96,76.06,77,Midnight Bomber Jacket,2025-12-17,448.47,200,2.24,10.35
1765989331700,878,834,10.82,6.10,30.26,54,3952.31,73.19,82,Midnight Bomber Jacket,2025-12-17,435.17,199,2.19,9.08
1765992931700,789,674,11.16,4.98,23.07,39,2497.75,64.04,58,Midnight Bomber Jacket,2025-12-17,426.86,143,2.99,5.85
1765996531700,772,669,11.55,5.89,25.43,46,3659.40,79.55,82,Midnight Bomber Jacket,2025-12-17,449.23,240,1.87,8.15
1766000131700,774,720,11.80,5.29,27.29,41,2829.07,69.00,68,Midnight Bomber Jacket,2025-12-17,425.80,165,2.58,6.64
