ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,918,759,11.98,6.52,35.87,60,4791.47,79.86,93,Harbor Canvas Tote,2025-12-12,453.83,176,2.58,10.56
1765564531700,903,748,11.85,5.92,25.50,53,4495.72,84.82,83,Harbor Canvas Tote,2025-12-12,394.34,141,2.80,11.40
1765568131700,906,780,11.50,6.55,32.32,59,4477.83,75.90,93,Harbor Canvas Tote,2025-12-12,379.20,155,2.45,11.81
1765571731700,947,884,11.77,5.04,34.89,48,4048.82,84.35,78,Harbor Canvas Tote,2025-12-12,385.46,134,2.88,10.50
1765575331700,1008,920,11.25,4.98,31.91,50,3895.03,77.90,67,Harbor Canvas Tote,2025-12-12,472.77,219,2.16,8.24
1765578931700,1130,982,12.64,5.66,35.03,64,5043.83,78.81,121,Harbor Canvas Tote,2025-12-12,469.86,198,2.37,10.73
1765582531700,1251,1150,13.80,6.22,35.00,78,6558.64,84.09,107,Harbor Canvas Tote,2025-12-12,402.73,176,2.29,16.29
1765586131700,1370,1226,14.35,6.54,28.99,90,7764.29,86.27,158,Harbor Canvas Tote,2025-12-13,486.26,255,1.91,15.97
1765589731700,1456,1283,14.30,6.81,31.28,99,8483.15,85.69,155,Harbor Canvas Tote,2025-12-13,401.31,221,1.82,21.14
1765593331700,1569,1381,14.06,6.64,31.60,104,8007.96,77.00,165,Harbor Canvas Tote,2025-12-13,469.48,233,2.01,17.06
1765596931700,1666,1500,15.30,7.00,37.62,117,9269.21,79.22,218,Harbor Canvas Tote,2025-12-13,445.51,212,2.10,20.81
1765600531700,1740,1548,15.85,6.37,31.39,111,8224.62,74.10,172,Harbor Canvas Tote,2025-12-13,452.72,231,1.96,18.17
1765604131700,1798,1534,14.02,7.24,36.71,130,11482.58,88.33,172,Harbor Canvas Tote,2025-12-13,497.65,273,1.82,23.07
1765607731700,1828,1553,15.64,6.39,26.74,117,10004.57,85.51,145,Harbor Canvas Tote,2025-12-13,478.14,166,2.88,20.92
1765611331700,1791,1459,15.54,7.28,40.81,130,9497.17,73.06,229,Harbor Canvas Tote,2025-12-13,436.57,164,2.66,21.75
1765614931700,1772,1424,15.69,6.08,29.44,108,9461.98,87.61,191,Harbor Canvas Tote,2025-12-13,474.36,238,1.99,19.95
1765618531700,1697,1368,14.76,6.24,34.46,106,8755.10,82.60,190,Harbor Canvas Tote,2025-12-13,444.82,214,2.08,19.68
1765622131700,1597,1483,12.96,6.68,28.62,107,8430.37,78.79,146,Harbor Canvas Tote,2025-12-13,471.23,247,1.91,17.89
1765625731700,1463,1357,12.77,5.66,28.14,83,6287.53,75.75,156,Harbor Canvas Tote,2025-12-13,446.57,178,2.51,14.08
1765629331700,1359,1087,14.30,6.40,30.62,87,7616.68,87.55,161,Harbor Canvas Tote,2025-12-13,388.25,167,2.32,19.62
1765632931700,1243,1065,11.87,5.41,36.28,67,5219.73,77.91,121,Harbor Canvas Tote,2025-12-13,463.75,257,1.80,11.26
1765636531700,1118,923,13.38,5.27,30.97,59,5064.83,85.84,96,Harbor Canvas Tote,2025-12-13,401.11,212,1.89,12.63
