ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,877,743,10.51,4.86,22.61,43,3517.55,81.80,80,Evergreen Linen Shirt,2025-12-12,456.60,191,2.39,7.70
1765564531700,871,799,9.90,5.30,31.95,46,3424.82,74.45,66,Evergreen Linen Shirt,2025-12-12,440.62,222,1.98,7.77
1765568131700,896,745,10.12,6.48,26.62,58,4059.34,69.99,74,Evergreen Linen Shirt,2025-12-12,414.84,215,1.93,9.79
1765571731700,928,744,10.05,5.40,22.78,50,4021.55,80.43,90,Evergreen Linen Shirt,2025-12-12,408.21,201,2.03,9.85
1765575331700,1013,813,10.51,5.49,26.44,56,4185.22,74.74,92,Evergreen Linen Shirt,2025-12-12,416.03,143,2.91,10.06
1765578931700,1084,920,13.58,5.54,37.85,60,3959.70,65.99,99,Evergreen Linen Shirt,2025-12-12,404.59,224,1.81,9.79
1765582531700,1210,1140,12.36,5.51,25.97,67,5010.85,74.79,102,Evergreen Linen Shirt,2025-12-12,486.64,229,2.13,10.30
1765586131700,1325,1199,12.11,6.54,33.35,87,6284.73,72.24,141,Evergreen Linen Shirt,2025-12-13,487.82,194,2.51,12.88
1765589731700,1430,1205,13.70,6.10,38.95,87,6105.13,70.17,138,Evergreen Linen Shirt,2025-12-13,477.15,179,2.67,12.80
1765593331700,1549,1295,13.94,6.33,33.67,98,7467.22,76.20,155,Evergreen Linen Shirt,2025-12-13,447.97,213,2.10,16.67
1765596931700,1635,1320,14.64,7.05,35.81,115,8956.63,77.88,187,Evergreen Linen Shirt,2025-12-13,419.21,152,2.76,21.37
1765600531700,1731,1417,16.20,7.21,32.45,125,8401.53,67.21,180,Evergreen Linen Shirt,2025-12-13,422.39,228,1.85,19.89
1765604131700,1774,1512,13.90,6.42,38.35,114,8818.14,77.35,191,Evergreen Linen Shirt,2025-12-13,498.78,229,2.18,17.68
1765607731700,1799,1523,14.40,6.96,37.85,125,8620.03,68.96,210,Evergreen Linen Shirt,2025-12-13,407.73,166,2.46,21.14
1765611331700,1762,1642,15.85,6.61,25.21,116,8656.84,74.63,171,Evergreen Linen Shirt,2025-12-13,486.32,239,2.03,17.80
1765614931700,1724,1593,13.39,6.57,34.09,113,8497.74,75.20,211,Evergreen Linen Shirt,2025-12-13,463.37,211,2.20,18.34
1765618531700,1659,1373,14.28,6.87,36.80,114,9404.16,82.49,158,Evergreen Linen Shirt,2025-12-13,454.62,165,2.76,20.69
1765622131700,1562,1434,15.12,5.91,30.95,92,6429.02,69.88,174,Evergreen Linen Shirt,2025-12-13,478.15,176,2.72,13.45
1765625731700,1463,1288,14.64,7.15,38.10,105,7578.13,72.17,172,Evergreen Linen Shirt,2025-12-13,480.11,242,1.98,15.78
1765629331700,1305,1092,13.39,5.93,33.53,77,5152.65,66.92,110,Evergreen Linen Shirt,2025-12-13,397.04,219,1.81,12.98
1765632931700,1222,1075,13.72,5.57,33.88,68,5348.36,78.65,123,Evergreen Linen Shirt,2025-12-13,423.92,179,2.37,12.62
1765636531700,1084,976,11.42,6.46,26.62,70,4680.01,66.86,102,Evergreen Linen Shirt,2025-12-13,467.23,172,2.72,10.02
1765640131700,993,835,11.41,6.64,28.63,66,4418.93,66.95,120,Evergreen Linen Shirt,2025-12-13,469.20,197,2.38,9.42
1765643731700,935,823,12.50,6.42,35.99,60,4351.67,72.53,108,Evergreen Linen Shirt,2025-12-13,386.14,135,2.86,11.27
1765647331700,983,884,11.95,6.22,22.65,61,4887.87,80.13,113,Evergreen Linen Shirt,2025-12-13,371.67,154,2.41,13.15
1765650931700,935,881,10.31,6.13,25.52,57,4549.23,79.81,70,Evergreen Linen Shirt,2025-12-13,437.86,152,2.88,10.39
1765654531700,950,817,11.58,5.10,31.91,48,3503.08,72.98,77,Evergreen Linen Shirt,2025-12-13,396.80,206,1.93,8.83
1765658131700,997,879,11.82,5.57,24.57,55,3637.04,66.13,99,Evergreen Linen Shirt,2025-12-13,471.36,241,1.96,7.72
1765661731700,1096,931,12.46,5.45,28.07,60,4093.50,68.23,91,Evergreen Linen Shirt,2025-12-13,367.55,129,2.85,11.14
1765665331700,1201,1008,11.76,5.51,31.95,66,4412.68,66.86,85,Evergreen Linen Shirt,2025-12-13,390.99,198,1.97,11.29
1765668931700,1317,1250,11.73,6.34,30.71,84,6732.49,80.15,115,Evergreen Linen Shirt,2025-12-13,375.16,199,1.89,17.95
1765672531700,1442,1266,12.88,6.56,26.74,95,7262.08,76.44,115,Evergreen Linen Shirt,2025-12-14,406.21,210,1.93,17.88
1765676131700,1572,1399,13.75,6.61,35.08,104,8244.59,79.27,168,Evergreen Linen Shirt,2025-12-14,399.43,221,1.81,20.64
1765679731700,1716,1493,13.53,6.39,32.81,110,7196.44,65.42,203,Evergreen Linen Shirt,2025-12-14,474.59,242,1.96,15.16
1765683331700,1802,1667,14.25,7.62,28.38,137,10906.21,79.61,245,Evergreen Linen Shirt,2025-12-14,447.73,242,1.85,24.36
1765686931700,1868,1557,13.57,7.67,27.50,143,11287.91,78.94,185,Evergreen Linen Shirt,2025-12-14,431.99,233,1.85,26.13
1765690531700,1910,1717,14.80,6.48,34.52,124,9334.25,75.28,186,Evergreen Linen Shirt,2025-12-14,447.63,200,2.24,20.85
1765694131700,1943,1630,16.21,6.58,38.60,128,10370.68,81.02,235,Evergreen Linen Shirt,2025-12-14,412.78,168,2.46,25.12
1765697731700,1943,1760,15.84,7.36,30.33,143,10362.52,72.47,174,Evergreen Linen Shirt,2025-12-14,472.34,193,2.45,21.94
1765701331700,1860,1752,15.86,6.12,33.41,114,7997.97,70.16,183,Evergreen Linen Shirt,2025-12-14,433.17,236,1.84,18.46
1765704931700,1794,1487,13.75,6.30,37.59,113,8354.18,73.93,137,Evergreen Linen Shirt,2025-12-14,413.61,201,2.06,20.20
1765708531700,1714,1375,14.63,6.03,39.10,103,7229.25,70.19,137,Evergreen Linen Shirt,2025-12-14,397.72,182,2.19,18.18
1765712131700,1562,1359,13.99,6.45,28.00,101,7407.41,73.34,156,Evergreen Linen Shirt,2025-12-14,399.11,178,2.24,18.56
1765715731700,1458,1327,13.07,5.74,37.58,84,6003.33,71.47,153,Evergreen Linen Shirt,2025-12-14,405.56,138,2.94,14.80
1765719331700,1298,1231,11.54,5.59,23.95,73,5060.46,69.32,106,Evergreen Linen Shirt,2025-12-14,393.16,208,1.89,12.87
1765722931700,1192,1053,12.55,6.71,25.22,80,5945.74,74.32,131,Evergreen Linen Shirt,2025-12-14,450.67,244,1.85,13.19
1765726531700,1093,1002,12.81,6.49,26.92,71,5053.85,71.18,113,Evergreen Linen Shirt,2025-12-14,368.15,148,2.49,13.73
1765730131700,1004,947,10.71,6.07,25.28,61,4866.71,79.78,102,Evergreen Linen Shirt,2025-12-14,474.49,170,2.79,10.26
1765733731700,982,819,12.21,6.61,21.37,65,4329.64,66.61,107,Evergreen Linen Shirt,2025-12-14,474.19,250,1.90,9.13
1765737331700,985,919,9.72,5.81,29.43,57,4167.88,73.12,85,Evergreen Linen Shirt,2025-12-14,462.15,214,2.16,9.02
1765740931700,984,900,10.39,6.44,33.53,63,4895.73,77.71,81,Evergreen Linen Shirt,2025-12-14,431.21,227,1.90,11.35
1765744531700,1043,884,10.56,5.59,31.32,58,4039.56,69.65,88,Evergreen Linen Shirt,2025-12-14,362.10,132,2.74,11.16
1765748131700,1119,986,12.38,5.60,31.77,63,5017.72,79.65,104,Evergreen Linen Shirt,2025-12-14,395.47,170,2.33,12.69
1765751731700,1242,1041,10.71,5.28,23.93,66,5188.04,78.61,100,Evergreen Linen Shirt,2025-12-14,441.42,176,2.51,11.75
1765755331700,1335,1176,11.66,5.43,30.97,72,5612.78,77.96,104,Evergreen Linen Shirt,2025-12-14,412.25,148,2.79,13.62
1765758931700,1482,1291,14.55,6.74,31.75,100,7569.28,75.69,150,Evergreen Linen Shirt,2025-12-15,465.38,188,2.48,16.26
1765762531700,1601,1325,12.85,6.34,26.55,101,7748.81,76.72,174,Evergreen Linen Shirt,2025-12-15,456.42,219,2.08,16.98
1765766131700,1751,1557,14.12,7.49,30.49,131,10449.48,79.77,165,Evergreen Linen Shirt,2025-12-15,427.06,176,2.43,24.47
1765769731700,1836,1614,14.95,7.09,28.75,130,9659.25,74.30,234,Evergreen Linen Shirt,2025-12-15,449.40,151,2.98,21.49
1765773331700,1932,1773,14.94,7.02,38.64,136,10295.08,75.70,225,Evergreen Linen Shirt,2025-12-15,521.44,278,1.88,19.74
1765776931700,1977,1688,15.18,6.45,33.12,128,8988.18,70.22,165,Evergreen Linen Shirt,2025-12-15,523.84,216,2.43,17.16
1765780531700,2003,1851,15.21,7.61,37.39,152,11232.04,73.90,241,Evergreen Linen Shirt,2025-12-15,414.73,178,2.33,27.08
1765784131700,1985,1682,13.54,7.13,36.64,142,9639.08,67.88,230,Evergreen Linen Shirt,2025-12-15,428.43,162,2.64,22.50
1765787731700,1923,1757,16.00,6.99,37.56,134,8793.96,65.63,235,Evergreen Linen Shirt,2025-12-15,504.64,201,2.51,17.43
1765791331700,1831,1543,15.47,5.94,39.06,109,8169.32,74.95,185,Evergreen Linen Shirt,2025-12-15,401.65,145,2.77,20.34
1765794931700,1744,1578,14.63,6.34,35.83,111,7865.53,70.86,135,Evergreen Linen Shirt,2025-12-15,442.67,242,1.83,17.77
1765798531700,1610,1320,14.88,6.69,29.67,108,8414.16,77.91,161,Evergreen Linen Shirt,2025-12-15,492.58,262,1.88,17.08
1765802131700,1480,1339,13.27,6.86,34.54,101,7828.09,77.51,173,Evergreen Linen Shirt,2025-12-15,380.59,139,2.74,20.57
1765805731700,1351,1088,12.94,5.37,33.23,73,5778.58,79.16,126,Evergreen Linen Shirt,2025-12-15,434.90,177,2.46,13.29
1765809331700,1216,1108,13.49,6.73,32.65,82,6320.54,77.08,114,Evergreen Linen Shirt,2025-12-15,411.77,183,2.25,15.35
1765812931700,1129,1062,12.41,5.91,25.06,67,4763.10,71.09,89,Evergreen Linen Shirt,2025-12-15,383.51,172,2.23,12.42
1765816531700,1032,851,12.69,5.74,25.23,59,4441.41,75.28,103,Evergreen Linen Shirt,2025-12-15,413.14,196,2.11,10.75
1765820131700,928,808,12.59,5.14,25.47,48,3633.30,75.69,82,Evergreen Linen Shirt,2025-12-15,446.18,234,1.91,8.14
1765823731700,923,822,11.64,5.98,24.07,55,4070.53,74.01,80,Evergreen Linen Shirt,2025-12-15,434.57,149,2.92,9.37
1765827331700,944,805,9.71,6.55,34.17,62,4229.61,68.22,75,Evergreen Linen Shirt,2025-12-15,363.35,183,1.99,11.64
1765830931700,959,793,10.31,5.24,32.81,50,3963.13,79.26,74,Evergreen Linen Shirt,2025-12-15,465.24,254,1.83,8.52
1765834531700,1056,874,12.03,5.53,26.67,58,4646.34,80.11,91,Evergreen Linen Shirt,2025-12-15,437.78,214,2.05,10.61
1765838131700,1153,1085,12.98,5.22,37.47,60,4158.59,69.31,103,Evergreen Linen Shirt,2025-12-15,455.15,241,1.89,9.14
1765841731700,1287,1124,11.93,6.78,26.78,87,6376.24,73.29,133,Evergreen Linen Shirt,2025-12-15,477.41,240,1.99,13.36
1765845331700,1396,1293,13.23,5.68,37.67,79,6218.80,78.72,147,Evergreen Linen Shirt,2025-12-16,445.69,206,2.16,13.95
1765848931700,1537,1248,12.71,6.27,25.24,96,7719.68,80.41,163,Evergreen Linen Shirt,2025-12-16,450.03,223,2.02,17.15
1765852531700,1622,1440,15.16,6.90,39.63,112,7948.11,70.97,167,Evergreen Linen Shirt,2025-12-16,463.41,229,2.02,17.15
1765856131700,1720,1622,13.03,6.86,38.47,118,8628.38,73.12,180,Evergreen Linen Shirt,2025-12-16,437.70,240,1.82,19.71
1765859731700,1821,1660,14.57,7.41,32.01,135,8786.76,65.09,233,Evergreen Linen Shirt,2025-12-16,409.44,150,2.73,21.46
1765863331700,1877,1730,16.08,7.31,32.50,137,10689.93,78.03,237,Evergreen Linen Shirt,2025-12-16,469.78,187,2.51,22.76
1765866931700,1890,1568,14.16,7.71,26.16,146,10228.00,70.05,204,Evergreen Linen Shirt,2025-12-16,447.17,216,2.07,22.87
1765870531700,1849,1725,16.04,7.74,30.43,143,9442.57,66.03,247,Evergreen Linen Shirt,2025-12-16,466.16,250,1.86,20.26
1765874131700,1803,1458,14.09,7.45,26.81,134,10551.35,78.74,212,Evergreen Linen Shirt,2025-12-16,484.54,257,1.89,21.78
1765877731700,1713,1564,15.64,6.88,25.58,118,8089.80,68.56,150,Evergreen Linen Shirt,2025-12-16,454.23,198,2.29,17.81
1765881331700,1613,1338,14.15,7.01,31.79,113,8318.80,73.62,143,Evergreen Linen Shirt,2025-12-16,444.15,227,1.96,18.73
1765884931700,1530,1435,13.70,6.28,24.55,96,7482.62,77.94,131,Evergreen Linen Shirt,2025-12-16,415.91,142,2.93,17.99
1765888531700,1402,1217,11.91,6.91,25.76,97,7254.80,74.79,172,Evergreen Linen Shirt,2025-12-16,466.77,251,1.86,15.54
1765892131700,1249,1011,11.67,6.55,31.24,82,5559.65,67.80,132,Evergreen Linen Shirt,2025-12-16,478.56,239,2.00,11.62
1765895731700,1133,1024,11.52,5.84,31.56,66,5026.03,76.15,89,Evergreen Linen Shirt,2025-12-16,472.42,183,2.58,10.64
1765899331700,1058,929,10.71,5.08,30.21,54,4074.29,75.45,86,Evergreen Linen Shirt,2025-12-16,413.83,146,2.83,9.85
1765902931700,973,917,11.29,6.21,24.21,60,4360.35,72.67,81,Evergreen Linen Shirt,2025-12-16,465.75,178,2.62,9.36
1765906531700,857,708,11.94,5.04,35.88,43,3532.26,82.15,62,Evergreen Linen Shirt,2025-12-16,405.10,196,2.07,8.72
1765910131700,839,719,9.83,5.12,32.57,43,2923.93,68.00,76,Evergreen Linen Shirt,2025-12-16,455.79,162,2.81,6.42
1765913731700,851,788,11.84,6.60,29.42,56,4448.90,79.44,68,Evergreen Linen Shirt,2025-12-16,452.46,241,1.88,9.83
1765917331700,896,731,10.60,5.32,22.42,48,3504.90,73.02,70,Evergreen Linen Shirt,2025-12-16,404.73,216,1.87,8.66
1765920931700,965,811,11.81,6.12,23.01,59,4684.38,79.40,92,Evergreen Linen Shirt,2025-12-16,399.99,134,2.99,11.71
1765924531700,1043,921,12.00,6.66,26.76,69,5214.03,75.57,127,Evergreen Linen Shirt,2025-12-16,427.91,169,2.53,12.18
1765928131700,1157,934,13.19,5.77,26.38,67,4519.39,67.45,107,Evergreen Linen Shirt,2025-12-16,388.20,130,2.99,11.64
1765931731700,1257,1017,14.09,6.80,29.32,86,5820.51,67.68,135,Evergreen Linen Shirt,2025-12-17,408.81,204,2.00,14.24
1765935331700,1385,1286,14.29,6.24,34.94,86,6570.61,76.40,105,Evergreen Linen Shirt,2025-12-17,483.47,173,2.79,13.59
1765938931700,1455,1320,13.37,6.61,31.93,96,6726.37,70.07,127,Evergreen Linen Shirt,2025-12-17,498.94,207,2.41,13.48
1765942531700,1552,1283,14.80,7.39,25.23,115,7684.82,66.82,139,Evergreen Linen Shirt,2025-12-17,462.16,178,2.60,16.63
1765946131700,1642,1548,15.18,7.26,33.08,119,9447.39,79.39,208,Evergreen Linen Shirt,2025-12-17,445.66,179,2.49,21.20
1765949731700,1670,1514,13.65,6.91,38.46,115,8851.69,76.97,215,Evergreen Linen Shirt,2025-12-17,428.39,194,2.21,20.66
