ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,920,863,10.54,5.92,36.03,54,4100.87,75.94,75,Juniper Throw Blanket,2025-12-12,416.11,145,2.87,9.86
1765564531700,894,747,9.95,5.42,35.26,48,3699.00,77.06,85,Juniper Throw Blanket,2025-12-12,423.20,189,2.24,8.74
1765568131700,924,833,11.14,6.23,26.47,58,4613.45,79.54,102,Juniper Throw Blanket,2025-12-12,400.17,186,2.15,11.53
1765571731700,952,793,11.84,6.58,25.33,63,4997.51,79.33,103,Juniper Throw Blanket,2025-12-12,461.23,165,2.80,10.84
1765575331700,1039,891,10.62,5.30,26.58,55,4177.28,75.95,78,Juniper Throw Blanket,2025-12-12,420.13,180,2.33,9.94
1765578931700,1140,972,12.37,5.52,35.54,63,5738.63,91.09,110,Juniper Throw Blanket,2025-12-12,465.65,247,1.89,12.32
1765582531700,1237,1026,11.76,5.28,37.33,65,5691.59,87.56,111,Juniper Throw Blanket,2025-12-12,475.88,220,2.16,11.96
1765586131700,1350,1256,12.69,6.15,32.22,83,6355.88,76.58,151,Juniper Throw Blanket,2025-12-13,380.44,211,1.80,16.71
1765589731700,1495,1374,14.09,6.84,30.24,102,8087.95,79.29,130,Juniper Throw Blanket,2025-12-13,401.06,146,2.75,20.17
1765593331700,1587,1387,12.64,6.41,24.20,102,8166.22,80.06,127,Juniper Throw Blanket,2025-12-13,439.58,152,2.89,18.58
1765596931700,1698,1426,14.47,6.09,28.42,103,8847.26,85.90,191,Juniper Throw Blanket,2025-12-13,450.51,199,2.26,19.64
1765600531700,1797,1573,15.30,6.36,26.42,114,9783.32,85.82,170,Juniper Throw Blanket,2025-12-13,475.33,258,1.84,20.58
1765604131700,1807,1602,14.41,7.55,36.28,136,12163.92,89.44,211,Juniper Throw Blanket,2025-12-13,514.19,240,2.14,23.66
1765607731700,1855,1595,14.02,6.04,39.35,112,8382.41,74.84,200,Juniper Throw Blanket,2025-12-13,411.32,153,2.69,20.38
1765611331700,1844,1673,14.01,7.72,29.98,142,10860.74,76.48,242,Juniper Throw Blanket,2025-12-13,404.20,157,2.57,26.87
1765614931700,1759,1416,14.34,7.31,26.58,129,11853.01,91.88,211,Juniper Throw Blanket,2025-12-13,433.07,204,2.12,27.37
1765618531700,1719,1505,15.96,7.61,39.13,131,10478.60,79.99,203,Juniper Throw Blanket,2025-12-13,492.79,182,2.71,21.26
1765622131700,1598,1396,13.62,6.95,35.61,111,9885.11,89.06,133,Juniper Throw Blanket,2025-12-13,454.08,182,2.49,21.77
1765625731700,1489,1274,12.21,6.00,27.58,89,8151.11,91.59,113,Juniper Throw Blanket,2025-12-13,430.74,150,2.87,18.92
1765629331700,1379,1217,14.30,6.13,26.70,84,6929.96,82.50,130,Juniper Throw Blanket,2025-12-13,416.98,144,2.90,16.62
1765632931700,1262,1102,12.93,5.28,34.49,67,5006.93,74.73,104,Juniper Throw Blanket,2025-12-13,413.09,194,2.13,12.12
1765636531700,1147,932,10.70,5.97,25.05,68,5303.71,78.00,112,Juniper Throw Blanket,2025-12-13,388.12,132,2.94,13.66
1765640131700,1017,879,11.71,5.07,33.53,52,4188.56,80.55,63,Juniper Throw Blanket,2025-12-13,372.86,206,1.81,11.23
1765643731700,960,814,12.26,5.54,28.84,53,4291.36,80.97,83,Juniper Throw Blanket,2025-12-13,431.86,144,3.00,9.94
1765647331700,1013,854,11.99,5.80,32.28,59,4517.96,76.58,73,Juniper Throw Blanket,2025-12-13,373.06,176,2.12,12.11
1765650931700,975,787,10.19,6.36,21.52,62,5118.97,82.56,109,Juniper Throw Blanket,2025-12-13,429.17,225,1.91,11.93
1765654531700,1009,902,11.43,6.09,31.67,61,4694.67,76.96,91,Juniper Throw Blanket,2025-12-13,402.66,195,2.06,11.66
1765658131700,1053,990,11.97,6.51,23.69,69,5917.03,85.75,121,Juniper Throw Blanket,2025-12-13,409.20,161,2.54,14.46
