ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,933,792,11.32,6.22,28.83,58,4872.50,84.01,88,Nimbus Trail Backpack,2025-12-12,432.99,188,2.30,11.25
1765564531700,906,819,11.83,6.57,21.71,60,4933.77,82.23,101,Nimbus Trail Backpack,2025-12-12,426.61,144,2.96,11.56
1765568131700,910,832,12.09,6.00,24.36,55,4589.05,83.44,70,Nimbus Trail Backpack,2025-12-12,436.87,229,1.91,10.50
1765571731700,965,902,12.62,5.62,33.48,54,4692.05,86.89,101,Nimbus Trail Backpack,2025-12-12,461.86,254,1.82,10.16
1765575331700,1030,849,11.96,6.19,33.24,64,5937.03,92.77,89,Nimbus Trail Backpack,2025-12-12,448.84,169,2.66,13.23
1765578931700,1134,907,13.58,5.36,32.31,61,5376.57,88.14,114,Nimbus Trail Backpack,2025-12-12,486.19,172,2.83,11.06
1765582531700,1268,1139,12.31,5.80,37.80,74,6629.69,89.59,140,Nimbus Trail Backpack,2025-12-12,462.72,251,1.84,14.33
1765586131700,1368,1139,13.14,5.87,24.54,80,7431.89,92.90,142,Nimbus Trail Backpack,2025-12-13,463.15,256,1.81,16.05
1765589731700,1494,1273,14.24,7.21,25.22,108,9731.98,90.11,136,Nimbus Trail Backpack,2025-12-13,404.47,139,2.91,24.06
1765593331700,1612,1482,15.23,6.80,32.20,110,8806.20,80.06,166,Nimbus Trail Backpack,2025-12-13,510.86,204,2.50,17.24
1765596931700,1717,1436,16.01,5.90,27.31,101,8871.67,87.84,126,Nimbus Trail Backpack,2025-12-13,474.40,210,2.26,18.70
1765600531700,1802,1694,15.70,6.06,34.36,109,9985.41,91.61,147,Nimbus Trail Backpack,2025-12-13,513.06,271,1.89,19.46
1765604131700,1838,1523,13.89,7.51,32.26,138,11207.59,81.21,181,Nimbus Trail Backpack,2025-12-13,510.51,279,1.83,21.95
1765607731700,1866,1685,14.32,7.40,39.59,138,11847.23,85.85,228,Nimbus Trail Backpack,2025-12-13,449.26,212,2.12,26.37
1765611331700,1839,1703,13.63,6.72,35.43,124,11590.14,93.47,178,Nimbus Trail Backpack,2025-12-13,424.15,150,2.83,27.33
1765614931700,1807,1515,13.57,6.65,31.89,120,9979.32,83.16,169,Nimbus Trail Backpack,2025-12-13,421.51,210,2.01,23.68
1765618531700,1714,1396,14.01,6.65,28.66,114,9603.95,84.25,150,Nimbus Trail Backpack,2025-12-13,462.57,201,2.30,20.76
1765622131700,1610,1313,13.29,7.23,33.45,116,10335.06,89.10,178,Nimbus Trail Backpack,2025-12-13,479.17,228,2.10,21.57
1765625731700,1508,1364,13.56,5.81,28.68,88,7296.32,82.91,127,Nimbus Trail Backpack,2025-12-13,427.48,145,2.95,17.07
1765629331700,1391,1153,12.38,6.51,24.67,91,8617.30,94.70,138,Nimbus Trail Backpack,2025-12-13,388.70,215,1.81,22.17
1765632931700,1242,1151,13.84,6.87,31.70,85,6998.21,82.33,132,Nimbus Trail Backpack,2025-12-13,418.06,193,2.17,16.74
1765636531700,1135,923,13.21,6.56,24.57,75,7021.32,93.62,111,Nimbus Trail Backpack,2025-12-13,397.80,205,1.94,17.65
1765640131700,1042,840,10.19,5.41,30.83,56,4871.01,86.98,89,Nimbus Trail Backpack,2025-12-13,409.46,163,2.51,11.90
1765643731700,972,916,10.11,6.63,24.37,64,5534.02,86.47,106,Nimbus Trail Backpack,2025-12-13,459.91,206,2.23,12.03
1765647331700,994,926,10.15,6.59,32.60,66,5368.93,81.35,97,Nimbus Trail Backpack,2025-12-13,433.88,170,2.55,12.37
1765650931700,990,797,9.70,5.57,29.06,55,5041.53,91.66,102,Nimbus Trail Backpack,2025-12-13,442.65,207,2.14,11.39
1765654531700,1003,808,10.30,5.82,27.68,58,4903.89,84.55,91,Nimbus Trail Backpack,2025-12-13,409.65,145,2.83,11.97
1765658131700,1061,861,12.85,5.32,31.08,56,5260.99,93.95,76,Nimbus Trail Backpack,2025-12-13,458.13,246,1.86,11.48
1765661731700,1145,960,12.13,5.54,37.00,63,5286.84,83.92,119,Nimbus Trail Backpack,2025-12-13,452.09,237,1.91,11.69
1765665331700,1269,1166,12.13,5.51,36.17,70,6595.12,94.22,133,Nimbus Trail Backpack,2025-12-13,433.33,183,2.37,15.22
1765668931700,1387,1300,14.08,6.74,33.75,93,7973.19,85.73,149,Nimbus Trail Backpack,2025-12-13,375.35,194,1.93,21.24
1765672531700,1511,1218,12.95,6.56,32.18,99,8834.47,89.24,162,Nimbus Trail Backpack,2025-12-14,439.42,240,1.83,20.11
1765676131700,1636,1344,12.71,6.05,39.16,99,8275.67,83.59,138,Nimbus Trail Backpack,2025-12-14,483.46,225,2.15,17.12
1765679731700,1780,1530,15.55,6.47,39.08,115,10647.18,92.58,165,Nimbus Trail Backpack,2025-12-14,490.73,226,2.17,21.70
1765683331700,1882,1669,15.89,7.50,39.62,141,11315.22,80.25,237,Nimbus Trail Backpack,2025-12-14,464.72,252,1.84,24.35
1765686931700,1982,1809,14.88,6.49,27.72,129,11944.63,92.59,162,Nimbus Trail Backpack,2025-12-14,517.63,178,2.91,23.08
1765690531700,2033,1688,15.24,7.54,28.78,153,12680.48,82.88,275,Nimbus Trail Backpack,2025-12-14,411.95,178,2.31,30.78
1765694131700,2048,1843,13.74,6.04,25.99,124,11294.39,91.08,219,Nimbus Trail Backpack,2025-12-14,464.51,165,2.82,24.31
1765697731700,2008,1700,16.15,6.41,32.48,129,10240.99,79.39,209,Nimbus Trail Backpack,2025-12-14,485.40,232,2.09,21.10
1765701331700,1951,1790,14.34,7.50,27.18,146,12100.10,82.88,201,Nimbus Trail Backpack,2025-12-14,480.16,167,2.88,25.20
1765704931700,1881,1727,15.94,5.83,27.36,110,8838.70,80.35,200,Nimbus Trail Backpack,2025-12-14,408.10,205,1.99,21.66
1765708531700,1769,1619,15.58,6.45,33.19,114,9946.23,87.25,216,Nimbus Trail Backpack,2025-12-14,500.12,239,2.09,19.89
1765712131700,1653,1433,13.45,6.42,38.64,106,8222.55,77.57,128,Nimbus Trail Backpack,2025-12-14,392.51,204,1.92,20.95
1765715731700,1504,1268,12.42,6.75,28.37,102,9133.26,89.54,124,Nimbus Trail Backpack,2025-12-14,480.95,235,2.05,18.99
1765719331700,1362,1273,11.21,6.31,30.82,86,6922.35,80.49,134,Nimbus Trail Backpack,2025-12-14,387.23,190,2.04,17.88
1765722931700,1265,1088,12.13,6.57,29.97,83,7120.69,85.79,107,Nimbus Trail Backpack,2025-12-14,479.63,162,2.96,14.85
1765726531700,1143,1057,10.95,6.19,31.88,71,5971.19,84.10,125,Nimbus Trail Backpack,2025-12-14,480.52,229,2.10,12.43
1765730131700,1046,976,10.61,5.95,32.82,62,5531.00,89.21,89,Nimbus Trail Backpack,2025-12-14,392.91,179,2.20,14.08
1765733731700,1013,952,12.57,5.99,34.17,61,5027.46,82.42,84,Nimbus Trail Backpack,2025-12-14,462.77,228,2.03,10.86
1765737331700,999,848,11.36,5.26,22.18,53,4590.40,86.61,69,Nimbus Trail Backpack,2025-12-14,377.03,205,1.84,12.18
1765740931700,1029,947,9.80,5.70,22.39,59,4733.43,80.23,79,Nimbus Trail Backpack,2025-12-14,434.27,194,2.24,10.90
1765744531700,1077,1003,12.85,6.09,24.18,66,6107.07,92.53,89,Nimbus Trail Backpack,2025-12-14,468.94,237,1.98,13.02
1765748131700,1182,1000,12.57,5.85,23.75,69,5391.16,78.13,99,Nimbus Trail Backpack,2025-12-14,413.78,193,2.14,13.03
1765751731700,1259,1138,13.40,6.20,29.24,78,6054.48,77.62,136,Nimbus Trail Backpack,2025-12-14,398.91,163,2.45,15.18
1765755331700,1396,1224,13.29,5.29,30.26,74,6107.21,82.53,140,Nimbus Trail Backpack,2025-12-14,439.13,197,2.23,13.91
1765758931700,1535,1412,12.37,6.44,28.12,99,8921.85,90.12,145,Nimbus Trail Backpack,2025-12-15,478.40,170,2.81,18.65
1765762531700,1675,1370,13.81,6.85,34.70,115,10527.53,91.54,175,Nimbus Trail Backpack,2025-12-15,444.58,242,1.84,23.68
