ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,895,796,11.95,6.55,33.13,59,4809.34,81.51,71,Caldera Runner Sneaker,2025-12-12,457.35,248,1.84,10.52
1765564531700,859,765,10.68,6.46,33.69,56,4454.53,79.55,97,Caldera Runner Sneaker,2025-12-12,438.18,147,2.98,10.17
1765568131700,893,807,9.82,6.39,35.72,57,4466.26,78.36,107,Caldera Runner Sneaker,2025-12-12,415.99,140,2.97,10.74
1765571731700,929,770,11.86,5.91,35.91,55,4209.64,76.54,89,Caldera Runner Sneaker,2025-12-12,462.12,206,2.24,9.11
1765575331700,1032,873,12.79,6.02,33.55,62,5277.84,85.13,81,Caldera Runner Sneaker,2025-12-12,427.03,187,2.28,12.36
1765578931700,1100,888,12.16,5.56,34.59,61,4190.96,68.70,86,Caldera Runner Sneaker,2025-12-12,383.44,203,1.89,10.93
1765582531700,1239,1032,11.98,6.65,33.77,82,5646.62,68.86,147,Caldera Runner Sneaker,2025-12-12,473.96,242,1.96,11.91
1765586131700,1323,1257,12.57,6.99,28.36,93,7468.06,80.30,131,Caldera Runner Sneaker,2025-12-13,480.31,176,2.73,15.55
1765589731700,1456,1225,14.19,6.90,27.50,101,8443.92,83.60,182,Caldera Runner Sneaker,2025-12-13,482.63,209,2.31,17.50
1765593331700,1560,1407,14.01,5.82,30.76,91,7474.88,82.14,168,Caldera Runner Sneaker,2025-12-13,465.30,195,2.39,16.06
1765596931700,1649,1387,15.89,6.72,34.67,111,8643.59,77.87,161,Caldera Runner Sneaker,2025-12-13,441.42,184,2.40,19.58
1765600531700,1743,1580,16.25,6.16,31.53,107,8483.73,79.29,190,Caldera Runner Sneaker,2025-12-13,506.66,240,2.11,16.74
1765604131700,1798,1682,14.25,6.64,29.40,119,9777.23,82.16,182,Caldera Runner Sneaker,2025-12-13,465.38,205,2.27,21.01
1765607731700,1820,1692,14.15,7.17,39.01,130,10220.60,78.62,205,Caldera Runner Sneaker,2025-12-13,413.01,195,2.12,24.75
1765611331700,1779,1557,15.71,6.61,33.20,118,10012.05,84.85,174,Caldera Runner Sneaker,2025-12-13,491.61,244,2.01,20.37
1765614931700,1728,1487,14.64,7.13,36.35,123,10215.75,83.05,174,Caldera Runner Sneaker,2025-12-13,474.41,191,2.48,21.53
1765618531700,1657,1410,15.61,7.18,28.27,119,9662.67,81.20,191,Caldera Runner Sneaker,2025-12-13,432.70,179,2.42,22.33
1765622131700,1582,1427,14.44,7.12,39.69,113,8014.33,70.92,167,Caldera Runner Sneaker,2025-12-13,509.87,237,2.15,15.72
1765625731700,1451,1181,14.83,7.22,27.77,105,8736.78,83.21,129,Caldera Runner Sneaker,2025-12-13,415.72,206,2.02,21.02
1765629331700,1333,1223,14.34,6.72,31.35,90,6615.51,73.51,133,Caldera Runner Sneaker,2025-12-13,448.82,191,2.35,14.74
1765632931700,1212,974,13.27,6.64,30.84,81,6786.29,83.78,154,Caldera Runner Sneaker,2025-12-13,428.11,215,1.99,15.85
1765636531700,1108,913,11.69,5.59,28.39,62,5158.25,83.20,79,Caldera Runner Sneaker,2025-12-13,396.58,188,2.11,13.01
1765640131700,1010,873,11.35,5.63,30.83,57,4582.02,80.39,97,Caldera Runner Sneaker,2025-12-13,407.94,149,2.74,11.23
1765643731700,947,850,11.68,5.30,33.92,50,4009.94,80.20,73,Caldera Runner Sneaker,2025-12-13,446.79,165,2.71,8.97
1765647331700,974,785,12.65,5.40,22.83,53,4281.58,80.78,83,Caldera Runner Sneaker,2025-12-13,402.81,142,2.84,10.63
1765650931700,970,814,11.49,5.13,28.31,50,4201.62,84.03,87,Caldera Runner Sneaker,2025-12-13,414.27,171,2.42,10.14
1765654531700,985,884,12.13,6.01,24.48,59,4488.77,76.08,86,Caldera Runner Sneaker,2025-12-13,405.55,214,1.90,11.07
1765658131700,1017,868,11.03,5.98,23.41,61,4931.70,80.85,109,Caldera Runner Sneaker,2025-12-13,361.34,172,2.10,13.65
1765661731700,1117,1018,12.78,5.15,30.07,58,4190.10,72.24,82,Caldera Runner Sneaker,2025-12-13,457.18,222,2.06,9.17
1765665331700,1208,1135,13.40,6.58,31.50,79,5975.04,75.63,127,Caldera Runner Sneaker,2025-12-13,444.90,168,2.65,13.43
1765668931700,1318,1102,11.62,6.91,37.32,91,6714.67,73.79,150,Caldera Runner Sneaker,2025-12-13,425.01,159,2.67,15.80
1765672531700,1468,1184,13.02,6.68,34.84,98,7033.72,71.77,132,Caldera Runner Sneaker,2025-12-14,411.92,167,2.47,17.08
1765676131700,1601,1389,12.25,6.32,26.10,101,7210.99,71.40,145,Caldera Runner Sneaker,2025-12-14,440.93,223,1.98,16.35
1765679731700,1736,1462,14.43,6.56,32.58,114,9369.44,82.19,145,Caldera Runner Sneaker,2025-12-14,454.23,223,2.04,20.63
