ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.7,72,1015,5.4,259,66,Clouds,scattered clouds
1725152400000,18.6,63,1017,4.3,8,39,Clouds,scattered clouds
1725156000000,18,65,1014,3.6,153,64,Clouds,scattered clouds
1725159600000,20.1,61,1010,2.2,207,41,Clouds,scattered clouds
1725163200000,20.7,65,1014,3.4,162,48,Clouds,scattered clouds
1725166800000,22.3,59,1016,2.7,272,58,Clouds,scattered clouds
1725170400000,23.8,58,1010,3.8,158,51,Clouds,scattered clouds
1725174000000,22.8,62,1011,3.8,253,46,Clouds,scattered clouds
1725177600000,23.1,60,1014,3.5,323,42,Clouds,scattered clouds
1725181200000,24,57,1019,5.5,288,37,Clouds,scattered clouds
1725184800000,22.1,60,1013,4,81,40,Clouds,scattered clouds
1725188400000,19.6,67,1007,4.4,317,44,Clouds,scattered clouds
1725192000000,20.9,68,1011,5.1,338,47,Clouds,scattered clouds
1725195600000,19.1,66,1010,6.2,110,48,Clouds,scattered clouds
1725199200000,17.5,68,1009,6.1,138,64,Clouds,scattered clouds
1725202800000,15.4,72,1012,6.2,107,66,Clouds,scattered clouds
1725206400000,14.9,73,1010,4.7,333,57,Clouds,scattered clouds
1725210000000,14.3,67,1016,5.9,286,56,Clouds,scattered clouds
1725213600000,13.8,69,1008,4.6,68,58,Clouds,scattered clouds
1725217200000,12.2,71,1017,4.6,8,45,Clouds,scattered clouds
1725220800000,11.3,74,1014,4,204,51,Clouds,scattered clouds
1725224400000,10.8,71,1009,3.4,105,61,Clouds,scattered clouds
1725228000000,11.3,77,1014,3.8,162,57,Clouds,scattered clouds
1725231600000,13.4,76,1008,2.5,8,62,Clouds,scattered clouds
1725235200000,13.9,69,1010,3.4,158,61,Clouds,scattered clouds
1725238800000,13.8,76,1016,3.3,19,70,Clouds,scattered clouds
1725242400000,13,68,1019,3.1,272,63,Clouds,scattered clouds
1725246000000,13.8,69,1019,5.2,288,47,Clouds,scattered clouds
1725249600000,14.6,69,1013,3.7,81,47,Clouds,scattered clouds
1725253200000,16.9,67,1014,5,153,65,Clouds,scattered clouds
1725256800000,15.2,67,1010,4.3,207,46,Clouds,scattered clouds
1725260400000,16.5,71,1014,6.2,162,52,Clouds,scattered clouds
1725264000000,17,72,1014,6.1,338,55,Clouds,scattered clouds
1725267600000,16.6,72,1010,6.4,168,69,Clouds,scattered clouds
1725271200000,14.7,72,1011,5.4,253,53,Clouds,scattered clouds
1725274800000,14.1,71,1014,4.5,323,51,Clouds,scattered clouds
1725278400000,12.5,75,1010,4.5,22,63,Clouds,scattered clouds
1725282000000,10.9,80,1011,5.5,255,70,Clouds,scattered clouds
1725285600000,10.6,78,1007,3.5,317,53,Clouds,scattered clouds
1725289200000,10,74,1017,3.6,71,71,Clouds,scattered clouds
1725292800000,6.5,81,1010,4.2,110,60,Clouds,scattered clouds
1725296400000,6.1,82,1009,3.6,138,75,Clouds,scattered clouds
1725300000000,6.4,83,1013,1.8,28,61,Clouds,scattered clouds
1725303600000,3.7,86,1010,2.4,333,68,Clouds,scattered clouds
1725307200000,4.2,79,1019,2.7,272,71,Clouds,scattered clouds
1725310800000,4.1,81,1008,3.8,68,67,Clouds,scattered clouds
1725314400000,4.3,80,1017,4.6,8,52,Clouds,scattered clouds
1725318000000,4.6,81,1014,4.7,153,77,Clouds,overcast clouds
1725321600000,5.9,76,1009,4.9,105,66,Clouds,scattered clouds
1725325200000,5.6,84,1014,6,162,62,Clouds,scattered clouds
1725328800000,5.5,79,1016,5.2,272,74,Clouds,scattered clouds
1725332400000,7.2,77,1010,5.9,158,67,Clouds,scattered clouds
1725336000000,6.2,82,1011,5.4,253,61,Clouds,scattered clouds
1725339600000,7.2,79,1014,4.6,323,58,Clouds,scattered clouds
1725343200000,7.8,77,1019,6.1,288,53,Clouds,scattered clouds
1725346800000,7.6,77,1013,4,81,54,Clouds,scattered clouds
1725350400000,8.6,77,1014,4.7,153,73,Clouds,scattered clouds
1725354000000,5.9,86,1011,4,338,61,Clouds,scattered clouds
1725357600000,6.5,81,1010,4.6,110,60,Clouds,scattered clouds
1725361200000,4.7,87,1014,4,338,67,Clouds,scattered clouds
1725364800000,4,87,1010,3.8,168,81,Clouds,overcast clouds
1725368400000,1.3,91,1008,3.2,173,60,Snow,light snow showers
1725372000000,0.3,85,1013,3.6,152,75,Clouds,scattered clouds
1725375600000,-0.7,91,1010,3.1,22,76,Snow,light snow showers
1725379200000,-0.8,92,1012,3.5,38,85,Snow,light snow showers
1725382800000,-3.1,94,1007,3.6,317,66,Snow,light snow showers
1725386400000,-5.4,93,1017,4.4,71,86,Snow,light snow showers
1725390000000,-5,92,1008,4.6,228,84,Snow,light snow showers
1725393600000,-5.3,95,1009,5.9,138,86,Snow,light snow showers
1725397200000,-4.6,96,1013,5.4,298,65,Snow,light snow showers
1725400800000,-4.4,96,1010,4.9,333,75,Snow,light snow showers
1725404400000,-5.4,90,1019,4.7,272,81,Snow,light snow showers
1725408000000,-4.7,92,1019,6.3,288,65,Snow,light snow showers
1725411600000,-3.8,90,1017,5.4,8,60,Snow,light snow showers
1725415200000,-4,92,1014,4.9,153,85,Snow,light snow showers
1725418800000,-3.8,89,1010,3.6,207,64,Snow,light snow showers
1725422400000,-3.6,95,1014,5,162,71,Snow,light snow showers
1725426000000,-3.1,97,1014,4.4,338,74,Snow,light snow showers
1725429600000,-1.5,93,1010,4.2,168,86,Snow,light snow showers
1725433200000,-0.6,90,1011,2.8,253,68,Snow,light snow showers
1725436800000,-1.1,89,1014,1.9,323,66,Snow,light snow showers
1725440400000,-3.3,90,1019,4.1,288,64,Snow,light snow showers
1725444000000,-4.6,97,1011,4.4,255,83,Snow,light snow showers
1725447600000,-5.6,97,1007,3.3,317,68,Snow,light snow showers
1725451200000,-5.1,97,1011,4.2,338,70,Snow,light snow showers
1725454800000,-8.5,97,1010,5.6,110,73,Snow,light snow showers
1725458400000,-8.8,97,1009,5.7,138,88,Snow,light snow showers
1725462000000,-9.4,97,1012,5.4,232,67,Snow,light snow showers
1725465600000,-12,97,1008,6,173,65,Snow,light snow showers
1725469200000,-11.4,97,1012,6,127,69,Snow,light snow showers
1725472800000,-12,97,1010,5,22,81,Snow,light snow showers
1725476400000,-12,97,1012,4.8,38,89,Snow,light snow showers
1725480000000,-12,97,1016,5.9,259,69,Snow,light snow showers
1725483600000,-12,97,1017,4.5,71,89,Snow,light snow showers
1725487200000,-12,97,1013,3.9,303,76,Snow,light snow showers
1725490800000,-12,97,1009,4.7,138,88,Snow,light snow showers
1725494400000,-12,97,1013,3.7,298,66,Snow,light snow showers
1725498000000,-12,97,1019,4,254,83,Snow,light snow showers
1725501600000,-11.5,97,1019,2,272,86,Snow,light snow showers
1725505200000,-10.4,97,1019,3.6,288,69,Snow,light snow showers
1725508800000,-10.6,97,1013,2.3,81,69,Snow,light snow showers
1725512400000,-10.5,97,1014,3.7,153,89,Snow,light snow showers
1725516000000,-9.7,97,1011,3.9,338,70,Snow,light snow showers
1725519600000,-9.9,97,1010,5.3,110,73,Snow,light snow showers
1725523200000,-8.5,97,1014,5.5,338,75,Snow,light snow showers
1725526800000,-9.3,97,1010,6,168,89,Snow,light snow showers
1725530400000,-10.8,97,1011,5.3,253,74,Snow,light snow showers
1725534000000,-12,97,1013,6,152,84,Snow,light snow showers
1725537600000,-12,97,1010,5,22,81,Snow,light snow showers
1725541200000,-12,97,1011,6.2,255,83,Snow,light snow showers
1725544800000,-12,97,1007,4.5,317,68,Snow,light snow showers
1725548400000,-12,97,1017,4.7,71,89,Snow,light snow showers
1725552000000,-12,97,1008,4.4,228,88,Snow,light snow showers
1725555600000,-12,97,1009,5.1,138,88,Snow,light snow showers
1725559200000,-12,97,1013,4.1,298,66,Snow,light snow showers
1725562800000,-12,97,1008,4.2,173,65,Snow,light snow showers
1725566400000,-12,97,1012,3.7,127,69,Snow,light snow showers
1725570000000,-12,97,1013,3,147,77,Snow,light snow showers
1725573600000,-12,97,1012,2.3,38,89,Snow,light snow showers
1725577200000,-12,97,1007,4,357,89,Snow,light snow showers
1725580800000,-12,97,1017,3.4,71,89,Snow,light snow showers
1725584400000,-12,97,1013,3.5,303,76,Snow,light snow showers
1725588000000,-12,97,1012,3.8,262,89,Snow,light snow showers
1725591600000,-10.5,97,1013,4.9,298,66,Snow,light snow showers
1725595200000,-11.7,97,1019,5.9,254,83,Snow,light snow showers
1725598800000,-10.1,97,1017,4.6,99,88,Snow,light snow showers
1725602400000,-9.5,97,1019,6.4,288,69,Snow,light snow showers
1725606000000,-9.3,97,1011,6.2,255,83,Snow,light snow showers
1725609600000,-9.6,97,1007,4.6,317,68,Snow,light snow showers
1725613200000,-9.4,97,1011,5,338,70,Snow,light snow showers
1725616800000,-11.2,97,1010,5.8,110,73,Snow,light snow showers
1725620400000,-12,97,1014,5.4,338,75,Snow,light snow showers
1725624000000,-12,97,1012,4.5,232,67,Snow,light snow showers
1725627600000,-12,97,1008,4.6,173,65,Snow,light snow showers
1725631200000,-12,97,1013,4.1,152,84,Snow,light snow showers
1725634800000,-12,97,1010,2.6,22,81,Snow,light snow showers
1725638400000,-12,97,1012,2.1,38,89,Snow,light snow showers
1725642000000,-12,97,1016,3.7,259,69,Snow,light snow showers
1725645600000,-12,97,1017,3,71,89,Snow,light snow showers
1725649200000,-12,97,1013,3.2,303,76,Snow,light snow showers
1725652800000,-12,97,1009,4.9,138,88,Snow,light snow showers
1725656400000,-12,97,1013,4.6,298,66,Snow,light snow showers
1725660000000,-12,97,1012,5.3,267,82,Snow,light snow showers
1725663600000,-12,97,1012,5.7,127,69,Snow,light snow showers
1725667200000,-12,97,1014,4.5,206,72,Snow,light snow showers
1725670800000,-12,97,1012,5,38,89,Snow,light snow showers
1725674400000,-12,97,1007,6.2,357,89,Snow,light snow showers
1725678000000,-12,97,1016,5.7,340,87,Snow,light snow showers
1725681600000,-10.7,97,1013,4.6,303,76,Snow,light snow showers
1725685200000,-9.8,97,1012,4.2,262,89,Snow,light snow showers
1725688800000,-8.4,97,1015,5.1,130,84,Snow,light snow showers
1725692400000,-8.2,97,1019,5.1,254,83,Snow,light snow showers
1725696000000,-9.9,97,1008,4.3,235,88,Snow,light snow showers
1725699600000,-10,97,1019,3,280,79,Snow,light snow showers
1725703200000,-10.5,97,1011,3.8,255,83,Snow,light snow showers
1725706800000,-12,97,1007,1.7,317,68,Snow,light snow showers
1725710400000,-12,97,1011,2.7,338,70,Snow,light snow showers
1725714000000,-12,97,1008,3,228,88,Snow,light snow showers
1725717600000,-12,97,1009,4.5,138,88,Snow,light snow showers
1725721200000,-12,97,1012,4.4,232,67,Snow,light snow showers
1725724800000,-12,97,1008,5.3,173,65,Snow,light snow showers
1725728400000,-12,97,1012,5.5,127,69,Snow,light snow showers
1725732000000,-12,97,1013,5.6,147,77,Snow,light snow showers
1725735600000,-12,97,1012,4.9,38,89,Snow,light snow showers
1725739200000,-12,97,1007,6.2,357,89,Snow,light snow showers
1725742800000,-12,97,1017,5.1,71,89,Snow,light snow showers
1725746400000,-12,97,1013,4.7,303,76,Snow,light snow showers
1725750000000,-12,97,1013,4.7,229,72,Snow,light snow showers
1725753600000,-12,97,1013,5,298,66,Snow,light snow showers
1725757200000,-12,97,1019,5.4,254,83,Snow,light snow showers
1725760800000,-10.8,97,1012,4.8,127,69,Snow,light snow showers
1725764400000,-11,97,1014,3,206,72,Snow,light snow showers
1725768000000,-10.8,96,1012,3.3,256,69,Snow,light snow showers
1725771600000,-10.4,97,1007,3.7,357,89,Snow,light snow showers
1725775200000,-8.9,97,1016,2.9,340,87,Snow,light snow showers
1725778800000,-8.1,97,1014,3.3,93,89,Snow,light snow showers
1725782400000,-10.7,97,1012,2.7,262,89,Snow,light snow showers
1725786000000,-10.6,96,1010,3.2,95,81,Snow,light snow showers
1725789600000,-11.2,97,1012,4.8,245,69,Snow,light snow showers
1725793200000,-12,97,1008,5.1,235,88,Snow,light snow showers
1725796800000,-12,97,1019,4.5,280,79,Snow,light snow showers
1725800400000,-12,97,1011,6,255,83,Snow,light snow showers
1725804000000,-12,97,1016,6.2,259,69,Snow,light snow showers
1725807600000,-12,97,1017,5.1,71,89,Snow,light snow showers
1725811200000,-12,97,1008,5,228,88,Snow,light snow showers
1725814800000,-12,97,1009,6,138,88,Snow,light snow showers
1725818400000,-12,97,1013,5.2,298,66,Snow,light snow showers
1725822000000,-12,97,1012,5.3,267,82,Snow,light snow showers
1725825600000,-12,97,1012,5.2,127,69,Snow,light snow showers
1725829200000,-12,97,1014,3.4,206,72,Snow,light snow showers
1725832800000,-12,97,1012,3.3,38,89,Snow,light snow showers
1725836400000,-12,97,1007,4.1,357,89,Snow,light snow showers
1725840000000,-12,97,1016,3.3,26,75,Snow,light snow showers
1725843600000,-12,97,1013,2,303,76,Snow,light snow showers
1725847200000,-11.2,97,1012,2.3,262,89,Snow,light snow showers
1725850800000,-10.1,97,1013,3.6,298,66,Snow,light snow showers
1725854400000,-10.4,97,1019,4.8,254,83,Snow,light snow showers
1725858000000,-9.5,97,1008,4.8,235,88,Snow,light snow showers
1725861600000,-9.4,96,1014,3.9,206,71,Snow,light snow showers
1725865200000,-9.6,95,1012,4.9,256,68,Snow,light snow showers
1725868800000,-8.7,97,1017,6.2,11,83,Snow,light snow showers
1725872400000,-8.5,97,1016,5.8,340,87,Snow,light snow showers
1725876000000,-11.2,97,1012,6.1,155,70,Snow,light snow showers
1725879600000,-11.9,97,1010,5.5,42,86,Snow,light snow showers
1725883200000,-11.9,97,1010,4.6,95,82,Snow,light snow showers
1725886800000,-12,97,1012,5.6,245,69,Snow,light snow showers
1725890400000,-12,97,1008,5.2,235,88,Snow,light snow showers
1725894000000,-12,97,1007,5.1,55,69,Snow,light snow showers
1725897600000,-12,97,1018,3.2,29,88,Snow,light snow showers
1725901200000,-12,97,1016,4.5,259,69,Snow,light snow showers
1725904800000,-12,97,1017,2.9,71,89,Snow,light snow showers
1725908400000,-12,97,1013,2.1,303,76,Snow,light snow showers
1725912000000,-12,97,1013,2.2,229,72,Snow,light snow showers
1725915600000,-12,97,1013,3.2,298,66,Snow,light snow showers
1725919200000,-12,97,1019,4.4,254,83,Snow,light snow showers
1725922800000,-12,97,1012,4.6,127,69,Snow,light snow showers
1725926400000,-12,97,1014,3.6,206,72,Snow,light snow showers
1725930000000,-12,97,1015,4.9,188,87,Snow,light snow showers
1725933600000,-10.9,97,1007,5.9,357,89,Snow,light snow showers
1725937200000,-12,97,1016,5.6,340,87,Snow,light snow showers
1725940800000,-9.7,97,1013,4.8,303,76,Snow,light snow showers
1725944400000,-9.8,97,1012,4.7,262,89,Snow,light snow showers
1725948000000,-8.9,94,1010,4.7,95,80,Snow,light snow showers
1725951600000,-8,97,1019,6.1,254,83,Snow,light snow showers
1725955200000,-9.5,97,1008,5.5,235,88,Snow,light snow showers
1725958800000,-9.6,97,1019,4.4,280,79,Snow,light snow showers
1725962400000,-9,94,1012,4.4,256,67,Snow,light snow showers
1725966000000,-11.1,97,1014,3.5,303,82,Snow,light snow showers
1725969600000,-12,97,1009,4.5,79,70,Snow,light snow showers
