ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.5,68,1012,4.3,265,47,Clouds,scattered clouds
1725152400000,18.4,64,1009,3.6,352,56,Clouds,scattered clouds
1725156000000,20.5,62,1014,2.8,56,40,Clouds,scattered clouds
1725159600000,20,64,1012,3.2,164,51,Clouds,scattered clouds
1725163200000,21.7,68,1011,3,108,47,Clouds,scattered clouds
1725166800000,23.4,60,1010,3.6,327,53,Clouds,scattered clouds
1725170400000,23.4,59,1016,3.9,106,53,Clouds,scattered clouds
1725174000000,23.1,67,1009,3,87,54,Clouds,scattered clouds
1725177600000,25,64,1011,4.6,236,59,Clouds,scattered clouds
1725181200000,22.9,63,1014,4.1,258,47,Clouds,scattered clouds
1725184800000,23.6,66,1009,5.5,307,52,Clouds,scattered clouds
1725188400000,20.9,67,1013,5.7,54,56,Clouds,scattered clouds
1725192000000,19.2,63,1007,6.3,200,51,Clouds,scattered clouds
1725195600000,18.5,70,1017,6,322,48,Clouds,scattered clouds
1725199200000,18.6,71,1008,5.8,170,69,Clouds,scattered clouds
1725202800000,16.4,67,1013,4.5,356,61,Clouds,scattered clouds
1725206400000,16.6,71,1018,5.7,88,60,Clouds,scattered clouds
1725210000000,14.2,73,1019,6,80,70,Clouds,scattered clouds
1725213600000,13.7,71,1017,5.4,332,44,Clouds,scattered clouds
1725217200000,14,69,1009,3.9,352,60,Clouds,scattered clouds
1725220800000,13.9,69,1007,4.6,93,44,Clouds,scattered clouds
1725224400000,13.5,70,1016,3.3,173,67,Clouds,scattered clouds
1725228000000,13,79,1011,3.4,108,55,Clouds,scattered clouds
1725231600000,12.5,80,1009,2.1,94,74,Clouds,scattered clouds
1725235200000,12.3,72,1016,3.5,106,64,Clouds,scattered clouds
1725238800000,14.9,65,1007,3.1,152,50,Clouds,scattered clouds
1725242400000,15.6,65,1015,3,313,61,Clouds,scattered clouds
1725246000000,16.8,70,1014,3.8,258,53,Clouds,scattered clouds
1725249600000,17.2,74,1009,5.2,307,58,Clouds,scattered clouds
1725253200000,17.1,67,1014,4.2,56,43,Clouds,scattered clouds
1725256800000,18.5,65,1012,5.3,164,53,Clouds,scattered clouds
1725260400000,19,71,1011,5.8,108,49,Clouds,scattered clouds
1725264000000,16.7,68,1018,5.1,216,62,Clouds,scattered clouds
1725267600000,17.5,66,1014,5.6,142,41,Clouds,scattered clouds
1725271200000,16.2,75,1009,4.6,87,61,Clouds,scattered clouds
1725274800000,15.7,75,1011,5.6,236,68,Clouds,scattered clouds
1725278400000,14.5,76,1012,5.5,73,60,Clouds,scattered clouds
1725282000000,12.1,73,1011,5.4,98,52,Clouds,scattered clouds
1725285600000,13.2,76,1013,4.9,54,63,Clouds,scattered clouds
1725289200000,10.3,74,1016,4.1,169,60,Clouds,scattered clouds
1725292800000,8,83,1017,4,322,58,Clouds,scattered clouds
1725296400000,6.6,85,1008,3.3,170,81,Clouds,overcast clouds
1725300000000,7.6,84,1013,2.7,19,62,Clouds,scattered clouds
1725303600000,5.9,83,1018,3.4,88,71,Clouds,scattered clouds
1725307200000,4.8,78,1015,2.6,313,71,Clouds,scattered clouds
1725310800000,6,80,1017,4.6,332,52,Clouds,scattered clouds
1725314400000,5,80,1009,3.9,352,69,Clouds,scattered clouds
1725318000000,6.5,79,1014,4,56,53,Clouds,scattered clouds
1725321600000,6.7,78,1016,4.8,173,74,Clouds,scattered clouds
1725325200000,5.7,87,1011,5.6,108,62,Clouds,scattered clouds
1725328800000,8.2,78,1010,6.1,327,68,Clouds,scattered clouds
1725332400000,8.1,77,1016,6.1,106,68,Clouds,scattered clouds
1725336000000,8.6,84,1009,4.6,87,68,Clouds,scattered clouds
1725339600000,8.5,83,1011,5.8,236,75,Clouds,scattered clouds
1725343200000,9.1,79,1014,4.7,258,60,Clouds,scattered clouds
1725346800000,9.9,83,1009,5.5,307,65,Clouds,scattered clouds
1725350400000,9.1,76,1014,3.9,56,51,Clouds,scattered clouds
1725354000000,7.7,77,1007,5.2,200,62,Clouds,scattered clouds
1725357600000,9.3,81,1017,4.4,322,56,Clouds,scattered clouds
1725361200000,6.7,80,1018,3,216,71,Clouds,scattered clouds
1725364800000,5.7,80,1014,3,142,53,Clouds,scattered clouds
1725368400000,3.6,80,1016,2.5,129,72,Clouds,scattered clouds
1725372000000,1.7,84,1007,2.5,274,74,Clouds,scattered clouds
1725375600000,2.3,90,1012,4,73,71,Rain,light rain
1725379200000,-0.8,87,1014,3.5,21,71,Clouds,scattered clouds
1725382800000,-0.4,93,1013,4.9,54,76,Snow,light snow showers
1725386400000,-3,90,1016,4.9,169,72,Snow,light snow showers
1725390000000,-2.3,94,1012,4.7,300,72,Snow,light snow showers
1725393600000,-2.6,96,1008,5.6,170,90,Snow,light snow showers
1725397200000,-3.8,95,1018,5.7,123,85,Snow,light snow showers
1725400800000,-2.8,94,1018,5.9,88,79,Snow,light snow showers
1725404400000,-3,88,1015,4.5,313,79,Clouds,overcast clouds
1725408000000,-3.4,94,1014,4.8,258,72,Snow,light snow showers
1725411600000,-2.4,89,1009,4.7,352,76,Snow,light snow showers
1725415200000,-0.7,88,1014,4.2,56,60,Clouds,scattered clouds
1725418800000,0.3,87,1012,4.7,164,70,Clouds,scattered clouds
1725422400000,0.6,93,1011,4.6,108,67,Snow,light snow showers
1725426000000,1,87,1018,3.4,216,77,Clouds,overcast clouds
1725429600000,-0.3,88,1014,3.4,142,58,Clouds,scattered clouds
1725433200000,0.7,94,1009,2,87,76,Snow,light snow showers
1725436800000,0.9,92,1011,3.1,236,83,Snow,light snow showers
1725440400000,-1.5,92,1014,2.6,258,70,Snow,light snow showers
1725444000000,-0.3,88,1011,4.3,98,64,Snow,light snow showers
1725447600000,-1.6,94,1013,4.6,54,77,Snow,light snow showers
1725451200000,-3.5,91,1007,5.4,200,72,Snow,light snow showers
1725454800000,-3.8,97,1017,5.4,322,69,Snow,light snow showers
1725458400000,-4.8,97,1008,5.4,170,90,Snow,light snow showers
1725462000000,-6.2,96,1016,4.8,66,76,Snow,light snow showers
1725465600000,-7.4,93,1016,5.4,129,83,Snow,light snow showers
1725469200000,-10.5,97,1010,6.5,55,79,Snow,light snow showers
1725472800000,-11.6,97,1012,5.9,73,77,Snow,light snow showers
1725476400000,-11.8,97,1014,4.9,21,80,Snow,light snow showers
1725480000000,-12,97,1012,5.9,111,83,Snow,light snow showers
1725483600000,-12,97,1016,5,169,78,Snow,light snow showers
1725487200000,-12,97,1013,5.3,314,75,Snow,light snow showers
1725490800000,-11.4,97,1008,4.5,170,90,Snow,light snow showers
1725494400000,-12,97,1018,3.9,123,87,Snow,light snow showers
1725498000000,-10.1,97,1008,3.2,237,82,Snow,light snow showers
1725501600000,-10.8,97,1015,1.8,313,86,Snow,light snow showers
1725505200000,-9.9,97,1014,2.2,258,74,Snow,light snow showers
1725508800000,-8.4,97,1009,3.8,307,76,Snow,light snow showers
1725512400000,-7.8,96,1014,2.9,56,67,Snow,light snow showers
1725516000000,-8.7,97,1007,5,200,77,Snow,light snow showers
1725519600000,-8.4,97,1017,5.1,322,69,Snow,light snow showers
1725523200000,-9.3,97,1018,4.5,216,85,Snow,light snow showers
1725526800000,-10.7,97,1014,5.2,142,66,Snow,light snow showers
1725530400000,-9.7,97,1009,4.5,87,78,Snow,light snow showers
1725534000000,-11,97,1007,4.9,274,84,Snow,light snow showers
1725537600000,-11.8,97,1012,6,73,77,Snow,light snow showers
1725541200000,-12,97,1011,6.1,98,71,Snow,light snow showers
1725544800000,-12,97,1013,5.8,54,79,Snow,light snow showers
1725548400000,-12,97,1016,5.3,169,78,Snow,light snow showers
1725552000000,-12,97,1012,4.5,300,74,Snow,light snow showers
1725555600000,-12,97,1008,4.8,170,90,Snow,light snow showers
1725559200000,-12,97,1018,4.3,123,87,Snow,light snow showers
1725562800000,-12,97,1016,3.6,129,86,Snow,light snow showers
1725566400000,-12,97,1010,4.1,55,79,Snow,light snow showers
1725570000000,-12,97,1012,2.6,334,81,Snow,light snow showers
1725573600000,-12,97,1014,2.3,21,80,Snow,light snow showers
1725577200000,-12,97,1011,3.7,179,66,Snow,light snow showers
1725580800000,-12,97,1016,3.9,169,78,Snow,light snow showers
1725584400000,-12,97,1013,4.9,314,75,Snow,light snow showers
1725588000000,-11.3,97,1013,4.1,76,83,Snow,light snow showers
1725591600000,-10.7,97,1018,5.1,123,87,Snow,light snow showers
1725595200000,-10.8,97,1008,5.1,237,82,Snow,light snow showers
1725598800000,-10.6,96,1012,6,315,82,Snow,light snow showers
1725602400000,-8.9,97,1014,4.9,258,74,Snow,light snow showers
1725606000000,-9.9,97,1011,6.2,98,71,Snow,light snow showers
1725609600000,-9,97,1013,6,54,79,Snow,light snow showers
1725613200000,-9.9,97,1007,6.2,200,78,Snow,light snow showers
1725616800000,-12,97,1017,5.6,322,69,Snow,light snow showers
1725620400000,-11.7,97,1018,4.4,216,85,Snow,light snow showers
1725624000000,-12,97,1016,3.9,66,77,Snow,light snow showers
1725627600000,-12,97,1016,3.9,129,86,Snow,light snow showers
1725631200000,-12,97,1007,3,274,84,Snow,light snow showers
1725634800000,-12,97,1012,3.6,73,77,Snow,light snow showers
1725638400000,-12,97,1014,2.1,21,80,Snow,light snow showers
1725642000000,-12,97,1012,3.7,111,83,Snow,light snow showers
1725645600000,-12,97,1016,3.5,169,78,Snow,light snow showers
1725649200000,-12,97,1013,4.6,314,75,Snow,light snow showers
1725652800000,-12,97,1008,4.6,170,90,Snow,light snow showers
1725656400000,-12,97,1018,4.9,123,87,Snow,light snow showers
1725660000000,-12,97,1017,4.7,173,83,Snow,light snow showers
1725663600000,-12,97,1010,6.2,55,79,Snow,light snow showers
1725667200000,-12,97,1018,5,122,75,Snow,light snow showers
1725670800000,-12,97,1014,5,21,80,Snow,light snow showers
1725674400000,-11.6,97,1011,5.9,179,66,Snow,light snow showers
1725678000000,-12,97,1012,6.1,205,81,Snow,light snow showers
1725681600000,-9.9,96,1013,6,314,75,Snow,light snow showers
1725685200000,-9,97,1013,4.6,76,83,Snow,light snow showers
1725688800000,-9.5,97,1010,5.6,274,85,Snow,light snow showers
1725692400000,-8.5,97,1008,4.3,237,82,Snow,light snow showers
1725696000000,-8.6,97,1008,3.2,176,88,Snow,light snow showers
1725699600000,-10.5,97,1012,3.2,193,71,Snow,light snow showers
1725703200000,-11,97,1011,3.7,98,71,Snow,light snow showers
1725706800000,-11.1,97,1013,3,54,79,Snow,light snow showers
1725710400000,-12,97,1007,3.8,200,78,Snow,light snow showers
1725714000000,-12,97,1012,3.1,300,74,Snow,light snow showers
1725717600000,-12,97,1008,4.2,170,90,Snow,light snow showers
1725721200000,-12,97,1016,3.8,66,77,Snow,light snow showers
1725724800000,-12,97,1016,4.6,129,86,Snow,light snow showers
1725728400000,-12,97,1010,6,55,79,Snow,light snow showers
1725732000000,-12,97,1012,5.2,334,81,Snow,light snow showers
1725735600000,-12,97,1014,4.9,21,80,Snow,light snow showers
1725739200000,-12,97,1011,5.9,179,66,Snow,light snow showers
1725742800000,-12,97,1016,5.6,169,78,Snow,light snow showers
1725746400000,-12,97,1013,6.1,314,75,Snow,light snow showers
1725750000000,-12,97,1015,4.7,327,89,Snow,light snow showers
1725753600000,-12,97,1018,5.2,123,87,Snow,light snow showers
1725757200000,-12,97,1008,4.6,237,82,Snow,light snow showers
1725760800000,-12,97,1010,5.3,55,79,Snow,light snow showers
1725764400000,-11.9,97,1018,3.5,122,75,Snow,light snow showers
1725768000000,-10.4,97,1009,2.7,47,78,Snow,light snow showers
1725771600000,-11.1,97,1011,3.3,179,66,Snow,light snow showers
1725775200000,-8.3,97,1012,3.2,205,81,Snow,light snow showers
1725778800000,-9.8,97,1012,2.9,158,87,Snow,light snow showers
1725782400000,-11,97,1013,3.1,76,83,Snow,light snow showers
1725786000000,-11.8,97,1011,3.1,295,88,Snow,light snow showers
1725789600000,-12,97,1008,3.9,29,84,Snow,light snow showers
1725793200000,-12,97,1008,4,176,88,Snow,light snow showers
1725796800000,-12,97,1012,4.8,193,71,Snow,light snow showers
1725800400000,-12,97,1011,5.9,98,71,Snow,light snow showers
1725804000000,-12,97,1012,6.2,111,83,Snow,light snow showers
1725807600000,-12,97,1016,5.6,169,78,Snow,light snow showers
1725811200000,-12,97,1012,5.1,300,74,Snow,light snow showers
1725814800000,-12,97,1008,5.7,170,90,Snow,light snow showers
1725818400000,-12,97,1018,5.4,123,87,Snow,light snow showers
1725822000000,-12,97,1017,4.7,173,83,Snow,light snow showers
1725825600000,-12,97,1010,5.6,55,79,Snow,light snow showers
1725829200000,-12,97,1018,3.8,122,75,Snow,light snow showers
1725832800000,-12,97,1014,3.3,21,80,Snow,light snow showers
1725836400000,-12,97,1011,3.7,179,66,Snow,light snow showers
1725840000000,-12,97,1018,3.3,174,69,Snow,light snow showers
1725843600000,-12,97,1013,3.3,314,75,Snow,light snow showers
1725847200000,-12,97,1013,2.7,76,83,Snow,light snow showers
1725850800000,-10.7,97,1018,3.8,123,87,Snow,light snow showers
1725854400000,-10.4,97,1008,3.9,237,82,Snow,light snow showers
1725858000000,-9.3,97,1008,3.7,176,88,Snow,light snow showers
1725861600000,-9,97,1018,4.4,122,75,Snow,light snow showers
1725865200000,-10.2,97,1009,4.4,47,78,Snow,light snow showers
1725868800000,-8,94,1015,5.2,199,83,Snow,light snow showers
1725872400000,-10.1,97,1012,6.1,205,81,Snow,light snow showers
1725876000000,-9.5,97,1017,6.3,312,68,Snow,light snow showers
1725879600000,-10.4,97,1017,5.4,18,69,Snow,light snow showers
1725883200000,-12,97,1011,4.5,295,88,Snow,light snow showers
1725886800000,-12,97,1008,4.6,29,84,Snow,light snow showers
1725890400000,-12,97,1008,4.2,176,88,Snow,light snow showers
1725894000000,-12,97,1019,5.3,213,88,Snow,light snow showers
1725897600000,-12,97,1017,3.9,239,84,Snow,light snow showers
1725901200000,-12,97,1012,4.5,111,83,Snow,light snow showers
1725904800000,-12,97,1016,3.4,169,78,Snow,light snow showers
1725908400000,-12,97,1013,3.5,314,75,Snow,light snow showers
1725912000000,-12,97,1015,2.2,327,89,Snow,light snow showers
1725915600000,-12,97,1018,3.4,123,87,Snow,light snow showers
1725919200000,-12,97,1008,3.6,237,82,Snow,light snow showers
1725922800000,-12,97,1010,5.1,55,79,Snow,light snow showers
