ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19,64,1018,5.3,2,43,Clouds,scattered clouds
1725152400000,17.9,62,1009,4,250,61,Clouds,scattered clouds
1725156000000,21,65,1014,3.7,204,48,Clouds,scattered clouds
1725159600000,22.4,59,1009,2.8,58,38,Clouds,scattered clouds
1725163200000,24,57,1011,2,197,42,Clouds,scattered clouds
1725166800000,23.9,64,1009,3.5,162,46,Clouds,scattered clouds
1725170400000,24.8,54,1012,2.6,107,48,Clouds,scattered clouds
1725174000000,24.8,56,1009,4.7,333,54,Clouds,scattered clouds
1725177600000,24.5,57,1012,5.2,211,46,Clouds,scattered clouds
1725181200000,25,57,1014,5.3,68,48,Clouds,scattered clouds
1725184800000,25,55,1010,4.8,124,43,Clouds,scattered clouds
1725188400000,21.5,63,1016,5.1,135,46,Clouds,scattered clouds
1725192000000,21,68,1014,6,105,56,Clouds,scattered clouds
1725195600000,21.1,66,1014,4.6,165,62,Clouds,scattered clouds
1725199200000,18,70,1010,5.8,272,66,Clouds,scattered clouds
1725202800000,17.8,68,1015,5.3,51,48,Clouds,scattered clouds
1725206400000,16.8,66,1008,6.2,67,42,Clouds,scattered clouds
1725210000000,15.9,74,1009,4.3,189,50,Clouds,scattered clouds
1725213600000,15.1,70,1013,5.4,340,47,Clouds,scattered clouds
1725217200000,15.2,65,1009,4.3,250,64,Clouds,scattered clouds
1725220800000,13.9,74,1017,5,288,71,Clouds,scattered clouds
1725224400000,12.9,77,1016,2.7,52,59,Clouds,scattered clouds
1725228000000,14.8,68,1011,2.4,197,51,Clouds,scattered clouds
1725231600000,12.8,75,1012,3.1,281,70,Clouds,scattered clouds
1725235200000,13.9,67,1012,2.2,107,58,Clouds,scattered clouds
1725238800000,14.9,76,1009,3.7,83,57,Clouds,scattered clouds
1725242400000,15.4,67,1014,4.1,261,62,Clouds,scattered clouds
1725246000000,17.5,66,1014,5,68,56,Clouds,scattered clouds
1725249600000,16,66,1010,4.6,124,52,Clouds,scattered clouds
1725253200000,17.9,69,1014,5.1,204,51,Clouds,scattered clouds
1725256800000,17.4,65,1009,4.9,58,43,Clouds,scattered clouds
1725260400000,18,64,1011,4.8,197,48,Clouds,scattered clouds
1725264000000,18.4,67,1017,5.2,8,66,Clouds,scattered clouds
1725267600000,16.6,68,1016,4.7,290,47,Clouds,scattered clouds
1725271200000,16.4,66,1009,6.3,333,62,Clouds,scattered clouds
1725274800000,16.7,66,1012,6.2,211,54,Clouds,scattered clouds
1725278400000,14.5,73,1017,5,259,68,Clouds,scattered clouds
1725282000000,11.9,79,1008,3.7,8,67,Clouds,scattered clouds
1725285600000,11.8,75,1016,4.2,135,55,Clouds,scattered clouds
