ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19.5,67,1018,4,243,50,Clouds,scattered clouds
1725152400000,20.9,64,1009,4.9,52,58,Clouds,scattered clouds
1725156000000,20.7,70,1014,4,272,60,Clouds,scattered clouds
1725159600000,23.5,61,1007,3.2,98,41,Clouds,scattered clouds
1725163200000,25,59,1007,2,197,44,Clouds,scattered clouds
1725166800000,26.8,58,1018,3.4,262,55,Clouds,scattered clouds
1725170400000,24.9,62,1009,3.2,220,57,Clouds,scattered clouds
1725174000000,26.4,54,1007,4,94,49,Clouds,scattered clouds
1725177600000,27.5,51,1012,3.4,115,43,Clouds,scattered clouds
1725181200000,25.1,56,1012,4.1,310,46,Clouds,scattered clouds
1725184800000,26.5,55,1007,5.7,245,32,Clouds,scattered clouds
1725188400000,24.7,57,1012,5.9,215,52,Clouds,scattered clouds
1725192000000,22.2,58,1014,5.5,107,54,Clouds,scattered clouds
1725195600000,22.5,66,1018,6.1,113,62,Clouds,scattered clouds
1725199200000,21.9,65,1013,5.8,339,51,Clouds,scattered clouds
1725202800000,18.7,67,1015,4.8,174,49,Clouds,scattered clouds
1725206400000,18.7,64,1010,5.9,185,52,Clouds,scattered clouds
1725210000000,16.1,74,1014,5.2,277,67,Clouds,scattered clouds
1725213600000,15.1,75,1008,5.5,259,62,Clouds,scattered clouds
1725217200000,15.2,70,1009,5.2,52,64,Clouds,scattered clouds
1725220800000,14.2,76,1017,4.7,268,60,Clouds,scattered clouds
1725224400000,13.5,72,1017,4.1,162,45,Clouds,scattered clouds
1725228000000,14.7,72,1007,2.5,197,54,Clouds,scattered clouds
1725231600000,14.5,76,1014,3.1,307,55,Clouds,scattered clouds
1725235200000,14.7,74,1009,2.8,220,67,Clouds,scattered clouds
1725238800000,15.9,74,1009,2.7,103,69,Clouds,scattered clouds
1725242400000,17.6,71,1016,4.7,23,45,Clouds,scattered clouds
1725246000000,16.7,66,1012,3.7,310,54,Clouds,scattered clouds
1725249600000,18.3,65,1007,5.5,245,40,Clouds,scattered clouds
1725253200000,17.5,73,1014,5.3,272,63,Clouds,scattered clouds
1725256800000,19.8,66,1007,5.3,98,44,Clouds,scattered clouds
1725260400000,18.9,67,1007,4.8,197,50,Clouds,scattered clouds
1725264000000,17.4,66,1013,5.8,343,63,Clouds,scattered clouds
1725267600000,17.9,67,1008,4.6,279,45,Clouds,scattered clouds
1725271200000,18.4,64,1007,5.6,94,57,Clouds,scattered clouds
1725274800000,15.3,65,1012,4.4,115,55,Clouds,scattered clouds
1725278400000,16,69,1013,4.4,264,47,Clouds,scattered clouds
1725282000000,15,65,1018,4.6,259,57,Clouds,scattered clouds
1725285600000,12.2,71,1012,5.1,215,64,Clouds,scattered clouds
1725289200000,12.5,72,1010,3.6,296,59,Clouds,scattered clouds
1725292800000,9.7,82,1018,4.1,113,74,Clouds,scattered clouds
1725296400000,10.4,79,1013,3.3,339,62,Clouds,scattered clouds
1725300000000,9,80,1018,2.2,132,65,Clouds,scattered clouds
1725303600000,8,77,1010,3.7,185,63,Clouds,scattered clouds
1725307200000,7.8,83,1016,4.4,23,54,Clouds,scattered clouds
1725310800000,6.9,85,1008,4.7,259,70,Clouds,scattered clouds
1725314400000,7.1,80,1009,5.2,52,72,Clouds,scattered clouds
1725318000000,7.8,85,1014,5.1,272,72,Clouds,scattered clouds
1725321600000,6.7,80,1017,5.6,162,51,Clouds,scattered clouds
1725325200000,7.2,81,1007,4.7,197,61,Clouds,scattered clouds
1725328800000,9.1,79,1018,6,262,72,Clouds,scattered clouds
1725332400000,8.7,81,1009,5.4,220,73,Clouds,scattered clouds
1725336000000,10.3,74,1007,5.7,94,65,Clouds,scattered clouds
1725339600000,10.5,71,1012,4.6,115,60,Clouds,scattered clouds
1725343200000,11.6,72,1012,4.6,310,59,Clouds,scattered clouds
1725346800000,12.4,72,1007,5.8,245,46,Clouds,scattered clouds
1725350400000,12.1,80,1014,5,272,68,Clouds,scattered clouds
1725354000000,9.2,73,1014,4.4,107,66,Clouds,scattered clouds
1725357600000,10.8,81,1018,4.5,113,73,Clouds,scattered clouds
1725361200000,9.2,76,1013,3.7,343,71,Clouds,scattered clouds
1725364800000,7.2,80,1008,2,279,55,Clouds,scattered clouds
1725368400000,7.2,80,1013,3.2,28,67,Clouds,scattered clouds
1725372000000,4.8,83,1012,2.7,156,61,Clouds,scattered clouds
1725375600000,4.6,83,1013,2.9,264,58,Clouds,scattered clouds
1725379200000,1.4,93,1012,4.2,74,79,Snow,light snow showers
1725382800000,2.5,83,1012,5.2,215,73,Clouds,scattered clouds
1725386400000,0.9,86,1010,4.5,296,70,Clouds,scattered clouds
1725390000000,-0.5,95,1013,5.9,57,71,Snow,light snow showers
1725393600000,-1,92,1013,5.6,339,72,Snow,light snow showers
1725397200000,-2.9,88,1013,5.6,70,79,Snow,light snow showers
1725400800000,-0.8,87,1010,6.2,185,71,Clouds,scattered clouds
1725404400000,-2.5,95,1016,6.3,23,64,Snow,light snow showers
1725408000000,-2.1,89,1012,4.8,310,72,Snow,light snow showers
1725411600000,-1.5,90,1009,6,52,80,Snow,light snow showers
1725415200000,-0.3,95,1014,5.3,272,80,Snow,light snow showers
1725418800000,-0.2,90,1007,4.6,98,63,Snow,light snow showers
1725422400000,-0.2,90,1007,3.6,197,69,Snow,light snow showers
1725426000000,0,87,1013,4.1,343,79,Clouds,overcast clouds
1725429600000,1.3,87,1008,2.4,279,60,Clouds,scattered clouds
1725433200000,1.6,84,1007,3,94,73,Clouds,scattered clouds
1725436800000,-0.1,84,1012,1.9,115,70,Clouds,scattered clouds
1725440400000,-0.3,87,1012,2.6,310,70,Clouds,scattered clouds
1725444000000,-1.4,85,1018,3.5,259,73,Clouds,scattered clouds
1725447600000,-1.6,88,1012,4.8,215,77,Snow,light snow showers
1725451200000,-4.1,89,1014,4.6,107,79,Snow,light snow showers
1725454800000,-3.6,97,1018,5.5,113,86,Snow,light snow showers
1725458400000,-6.1,97,1013,5.4,339,76,Snow,light snow showers
1725462000000,-6.7,95,1012,5.5,137,78,Snow,light snow showers
1725465600000,-10,97,1013,6.1,28,80,Snow,light snow showers
1725469200000,-9.4,97,1009,4.9,232,66,Snow,light snow showers
1725472800000,-10.8,97,1013,4.8,264,69,Snow,light snow showers
1725476400000,-11.7,97,1012,5.5,74,82,Snow,light snow showers
1725480000000,-11.6,97,1009,5.7,24,70,Snow,light snow showers
1725483600000,-12,97,1010,4.6,296,79,Snow,light snow showers
1725487200000,-11.9,97,1014,5.4,312,83,Snow,light snow showers
1725490800000,-11.2,97,1013,4.5,339,76,Snow,light snow showers
1725494400000,-12,97,1013,3.9,70,86,Snow,light snow showers
1725498000000,-11,97,1013,3.4,11,69,Snow,light snow showers
1725501600000,-12,97,1016,3.6,23,66,Snow,light snow showers
1725505200000,-11.4,97,1012,2.2,310,79,Snow,light snow showers
1725508800000,-10.2,97,1007,4,245,66,Snow,light snow showers
1725512400000,-10.3,97,1014,4.1,272,82,Snow,light snow showers
1725516000000,-10.1,96,1014,4.3,107,85,Snow,light snow showers
1725519600000,-9.5,97,1018,5.2,113,86,Snow,light snow showers
1725523200000,-10.3,97,1013,5.2,343,87,Snow,light snow showers
1725526800000,-11.2,97,1008,4.2,279,69,Snow,light snow showers
1725530400000,-11.6,97,1007,5.5,94,84,Snow,light snow showers
1725534000000,-11.7,97,1012,5,156,72,Snow,light snow showers
1725537600000,-12,97,1013,4.8,264,69,Snow,light snow showers
1725541200000,-12,97,1018,5.3,259,82,Snow,light snow showers
1725544800000,-12,97,1012,6.1,215,84,Snow,light snow showers
1725548400000,-12,97,1010,4.8,296,79,Snow,light snow showers
1725552000000,-12,97,1013,5.7,57,72,Snow,light snow showers
1725555600000,-12,97,1013,4.8,339,76,Snow,light snow showers
1725559200000,-12,97,1013,4.3,70,86,Snow,light snow showers
1725562800000,-12,97,1013,4.2,28,80,Snow,light snow showers
1725566400000,-12,97,1009,2.5,232,66,Snow,light snow showers
1725570000000,-12,97,1008,3.2,147,75,Snow,light snow showers
1725573600000,-12,97,1012,3,74,82,Snow,light snow showers
1725577200000,-12,97,1012,2.4,19,73,Snow,light snow showers
1725580800000,-12,97,1010,3.5,296,79,Snow,light snow showers
1725584400000,-12,97,1014,5.1,312,83,Snow,light snow showers
1725588000000,-12,97,1018,4.5,213,74,Snow,light snow showers
1725591600000,-10.7,97,1013,5.1,70,86,Snow,light snow showers
1725595200000,-10,97,1013,5.3,11,69,Snow,light snow showers
1725598800000,-9.1,97,1018,5.1,272,69,Snow,light snow showers
1725602400000,-9.5,97,1012,4.9,310,79,Snow,light snow showers
1725606000000,-9.5,95,1018,5.4,259,81,Snow,light snow showers
1725609600000,-9.2,97,1012,6.2,215,84,Snow,light snow showers
1725613200000,-11.6,97,1014,5.4,107,85,Snow,light snow showers
1725616800000,-12,97,1018,5.7,113,86,Snow,light snow showers
1725620400000,-12,97,1013,5.1,343,87,Snow,light snow showers
1725624000000,-12,97,1012,4.6,137,80,Snow,light snow showers
1725627600000,-12,97,1013,4.6,28,80,Snow,light snow showers
1725631200000,-12,97,1012,3.1,156,72,Snow,light snow showers
1725634800000,-12,97,1013,2.4,264,69,Snow,light snow showers
1725638400000,-12,97,1012,2.8,74,82,Snow,light snow showers
1725642000000,-12,97,1009,3.4,24,70,Snow,light snow showers
1725645600000,-12,97,1010,3.1,296,79,Snow,light snow showers
1725649200000,-12,97,1014,4.7,312,83,Snow,light snow showers
1725652800000,-12,97,1013,4.6,339,76,Snow,light snow showers
1725656400000,-12,97,1013,4.8,70,86,Snow,light snow showers
1725660000000,-12,97,1018,5.4,154,80,Snow,light snow showers
1725663600000,-12,97,1009,4.6,232,66,Snow,light snow showers
1725667200000,-12,97,1018,5.8,276,89,Snow,light snow showers
1725670800000,-12,97,1012,5.7,74,82,Snow,light snow showers
1725674400000,-11,97,1012,4.6,19,73,Snow,light snow showers
1725678000000,-10.7,97,1018,5.5,20,75,Snow,light snow showers
1725681600000,-10.5,97,1014,6.1,312,83,Snow,light snow showers
1725685200000,-9.7,97,1018,5,213,74,Snow,light snow showers
1725688800000,-11,97,1010,3.8,73,72,Snow,light snow showers
1725692400000,-8.9,97,1013,4.5,11,69,Snow,light snow showers
1725696000000,-9.5,95,1016,4.3,221,81,Snow,light snow showers
1725699600000,-11.6,97,1011,4.4,103,68,Snow,light snow showers
1725703200000,-12,97,1018,2.9,259,82,Snow,light snow showers
1725706800000,-12,97,1012,3.3,215,84,Snow,light snow showers
1725710400000,-12,97,1014,3.1,107,85,Snow,light snow showers
1725714000000,-12,97,1013,4.3,57,72,Snow,light snow showers
1725717600000,-12,97,1013,4.2,339,76,Snow,light snow showers
1725721200000,-12,97,1012,4.5,137,80,Snow,light snow showers
1725724800000,-12,97,1013,5.3,28,80,Snow,light snow showers
1725728400000,-12,97,1009,4.4,232,66,Snow,light snow showers
1725732000000,-12,97,1008,5.8,147,75,Snow,light snow showers
1725735600000,-12,97,1012,5.6,74,82,Snow,light snow showers
1725739200000,-12,97,1012,4.6,19,73,Snow,light snow showers
1725742800000,-12,97,1010,5.2,296,79,Snow,light snow showers
1725746400000,-12,97,1014,6.3,312,83,Snow,light snow showers
1725750000000,-12,97,1013,4.4,154,73,Snow,light snow showers
1725753600000,-12,97,1013,5.2,70,86,Snow,light snow showers
1725757200000,-12,97,1013,4.8,11,69,Snow,light snow showers
1725760800000,-11.5,97,1009,3.7,232,66,Snow,light snow showers
1725764400000,-10.9,97,1018,4.3,276,89,Snow,light snow showers
1725768000000,-9.7,97,1015,4.4,297,70,Snow,light snow showers
1725771600000,-8.8,97,1012,2.1,19,73,Snow,light snow showers
1725775200000,-9.8,97,1018,2.6,20,75,Snow,light snow showers
1725778800000,-8,97,1019,2.3,149,89,Snow,light snow showers
1725782400000,-9.9,97,1018,3.5,213,74,Snow,light snow showers
1725786000000,-8.5,97,1007,4.9,220,84,Snow,light snow showers
1725789600000,-10.6,97,1012,3.7,52,80,Snow,light snow showers
1725793200000,-11.4,97,1016,5,221,83,Snow,light snow showers
1725796800000,-12,97,1011,6,103,68,Snow,light snow showers
1725800400000,-12,97,1018,5.2,259,82,Snow,light snow showers
1725804000000,-12,97,1009,5.9,24,70,Snow,light snow showers
1725807600000,-12,97,1010,5.2,296,79,Snow,light snow showers
1725811200000,-12,97,1013,6.3,57,72,Snow,light snow showers
1725814800000,-12,97,1013,5.7,339,76,Snow,light snow showers
1725818400000,-12,97,1013,5.4,70,86,Snow,light snow showers
1725822000000,-12,97,1018,5.4,154,80,Snow,light snow showers
1725825600000,-12,97,1009,4,232,66,Snow,light snow showers
1725829200000,-12,97,1018,4.7,276,89,Snow,light snow showers
1725832800000,-12,97,1012,4,74,82,Snow,light snow showers
1725836400000,-12,97,1012,2.5,19,73,Snow,light snow showers
1725840000000,-12,97,1011,2.3,261,82,Snow,light snow showers
1725843600000,-12,97,1014,3.5,312,83,Snow,light snow showers
1725847200000,-12,97,1018,3,213,74,Snow,light snow showers
1725850800000,-11.3,97,1013,3.8,70,86,Snow,light snow showers
