ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.1,64,1017,3.8,148,60,Clouds,scattered clouds
1725152400000,18.1,62,1018,4.1,264,39,Clouds,scattered clouds
1725156000000,19.5,65,1011,4.5,195,48,Clouds,scattered clouds
1725159600000,21.5,60,1016,3.9,344,48,Clouds,scattered clouds
1725163200000,22.8,57,1013,2.2,309,42,Clouds,scattered clouds
1725166800000,22.7,60,1008,3.5,305,57,Clouds,scattered clouds
1725170400000,22.6,59,1015,3.6,126,53,Clouds,scattered clouds
1725174000000,23,64,1013,4.5,249,42,Clouds,scattered clouds
1725177600000,24.6,57,1014,5,26,38,Clouds,scattered clouds
1725181200000,22.6,59,1009,4.6,281,39,Clouds,scattered clouds
1725184800000,21.6,69,1019,4.1,257,67,Clouds,scattered clouds
1725188400000,22.1,68,1009,5.1,344,49,Clouds,scattered clouds
1725192000000,20,64,1012,5.6,273,48,Clouds,scattered clouds
1725195600000,20.1,59,1018,4.7,272,51,Clouds,scattered clouds
1725199200000,18.7,64,1008,6.5,57,50,Clouds,scattered clouds
1725202800000,17.5,70,1014,5.6,84,58,Clouds,scattered clouds
1725206400000,15.4,67,1012,5.6,135,55,Clouds,scattered clouds
1725210000000,15.7,67,1017,4.9,288,45,Clouds,scattered clouds
1725213600000,13.7,70,1012,5.2,34,54,Clouds,scattered clouds
1725217200000,12.4,69,1018,4.4,264,45,Clouds,scattered clouds
1725220800000,13.4,76,1008,4.1,210,64,Clouds,scattered clouds
1725224400000,13.1,73,1011,4.1,275,61,Clouds,scattered clouds
1725228000000,13.5,68,1013,2.7,309,50,Clouds,scattered clouds
1725231600000,12.2,75,1016,2.1,145,63,Clouds,scattered clouds
1725235200000,13.2,70,1015,3.2,126,62,Clouds,scattered clouds
1725238800000,13.4,74,1014,4.4,31,67,Clouds,scattered clouds
1725242400000,15.4,72,1010,4.2,143,48,Clouds,scattered clouds
1725246000000,17.1,65,1009,4.2,281,44,Clouds,scattered clouds
1725249600000,17.5,74,1019,3.8,257,71,Clouds,scattered clouds
1725253200000,17.9,67,1011,5.9,195,50,Clouds,scattered clouds
1725256800000,17.5,65,1016,6,344,51,Clouds,scattered clouds
1725260400000,17.4,63,1013,5,309,47,Clouds,scattered clouds
1725264000000,18.8,68,1017,5.1,196,59,Clouds,scattered clouds
1725267600000,16.1,65,1016,5.2,259,52,Clouds,scattered clouds
1725271200000,16.5,72,1013,6.1,249,48,Clouds,scattered clouds
1725274800000,16,67,1014,6,26,46,Clouds,scattered clouds
1725278400000,14.4,76,1007,4.9,54,71,Clouds,scattered clouds
1725282000000,12.2,74,1012,5.2,273,58,Clouds,scattered clouds
1725285600000,11.9,80,1009,4.2,344,59,Clouds,scattered clouds
1725289200000,10.2,82,1009,3.8,201,70,Clouds,scattered clouds
1725292800000,10.5,71,1018,2.7,272,60,Clouds,scattered clouds
1725296400000,9,76,1008,3.9,57,59,Clouds,scattered clouds
1725300000000,6.6,80,1016,2.4,250,75,Clouds,scattered clouds
1725303600000,5.1,79,1012,3.3,135,65,Clouds,scattered clouds
1725307200000,5.6,84,1010,3.8,143,58,Clouds,scattered clouds
1725310800000,6.9,78,1012,4.4,34,60,Clouds,scattered clouds
1725314400000,5.4,77,1018,4.4,264,52,Clouds,scattered clouds
1725318000000,6.4,81,1011,5.6,195,61,Clouds,scattered clouds
1725321600000,7.2,80,1011,5.6,275,66,Clouds,scattered clouds
1725325200000,6.9,76,1013,4.9,309,57,Clouds,scattered clouds
1725328800000,8.7,77,1008,6,305,70,Clouds,scattered clouds
1725332400000,9.1,75,1015,5.7,126,66,Clouds,scattered clouds
1725336000000,9,81,1013,6.2,249,55,Clouds,scattered clouds
1725339600000,10.8,73,1014,6.2,26,51,Clouds,scattered clouds
1725343200000,9.6,74,1009,5.1,281,52,Clouds,scattered clouds
1725346800000,9,84,1019,4.1,257,79,Clouds,overcast clouds
1725350400000,10.8,76,1011,5.6,195,57,Clouds,scattered clouds
1725354000000,10.6,75,1012,4.5,273,57,Clouds,scattered clouds
1725357600000,7.8,74,1018,3.1,272,63,Clouds,scattered clouds
1725361200000,8.2,81,1017,3,196,70,Clouds,scattered clouds
1725364800000,5.3,78,1016,2.6,259,62,Clouds,scattered clouds
1725368400000,5.5,87,1015,1.7,80,75,Clouds,scattered clouds
1725372000000,2.6,89,1009,2.1,265,76,Clouds,overcast clouds
1725375600000,3,89,1007,3.5,54,81,Clouds,overcast clouds
1725379200000,0,95,1012,4.2,58,76,Snow,light snow showers
1725382800000,-1.3,96,1009,4.3,344,71,Snow,light snow showers
1725386400000,-0.7,95,1009,4.7,201,80,Snow,light snow showers
1725390000000,-3.2,91,1018,4.5,240,71,Snow,light snow showers
1725393600000,-3.9,92,1008,6.3,57,72,Snow,light snow showers
1725397200000,-2.4,89,1014,5.9,260,64,Snow,light snow showers
1725400800000,-4.4,91,1012,5.8,135,74,Snow,light snow showers
1725404400000,-3,94,1010,5.8,143,66,Snow,light snow showers
1725408000000,-1.6,88,1009,5.3,281,62,Clouds,scattered clouds
1725411600000,-2.1,86,1018,5.2,264,59,Clouds,scattered clouds
1725415200000,-2.2,91,1011,5.8,195,69,Snow,light snow showers
1725418800000,-0.2,86,1016,5.4,344,68,Clouds,scattered clouds
1725422400000,0.2,84,1013,3.8,309,63,Clouds,scattered clouds
1725426000000,1.5,89,1017,3.4,196,76,Snow,light snow showers
1725429600000,0.4,84,1016,3,259,67,Clouds,scattered clouds
1725433200000,0.1,92,1013,3.5,249,64,Snow,light snow showers
1725436800000,-0.8,87,1014,3.5,26,62,Clouds,scattered clouds
1725440400000,0.5,85,1009,3.1,281,60,Clouds,scattered clouds
1725444000000,0.2,88,1012,4.2,273,70,Snow,light snow showers
1725447600000,-1.1,96,1009,3.9,344,71,Snow,light snow showers
1725451200000,-2.5,91,1012,4.7,273,69,Snow,light snow showers
1725454800000,-4.6,89,1018,4.1,272,74,Snow,light snow showers
1725458400000,-6.3,94,1008,6.1,57,74,Snow,light snow showers
1725462000000,-6.2,96,1009,5.8,163,73,Snow,light snow showers
1725465600000,-8.6,97,1015,4.6,80,84,Snow,light snow showers
1725469200000,-10.4,97,1010,4.8,153,84,Snow,light snow showers
1725472800000,-12,97,1007,5.4,54,88,Snow,light snow showers
1725476400000,-11.8,97,1012,5.5,58,78,Snow,light snow showers
1725480000000,-12,97,1013,4.7,205,68,Snow,light snow showers
1725483600000,-12,97,1009,4.8,201,82,Snow,light snow showers
1725487200000,-11.4,97,1008,3.8,90,69,Snow,light snow showers
1725490800000,-11.6,97,1008,5.1,57,76,Snow,light snow showers
1725494400000,-11.2,97,1014,4.1,260,70,Snow,light snow showers
1725498000000,-11.6,97,1009,2.3,297,67,Snow,light snow showers
1725501600000,-9.5,97,1010,3.1,143,68,Snow,light snow showers
1725505200000,-10,97,1009,2.7,281,70,Snow,light snow showers
1725508800000,-10.2,97,1019,2.4,257,89,Snow,light snow showers
1725512400000,-8.5,97,1011,4.6,195,74,Snow,light snow showers
1725516000000,-9.7,97,1012,4.3,273,74,Snow,light snow showers
1725519600000,-8.1,93,1018,3.8,272,78,Snow,light snow showers
1725523200000,-10.1,97,1017,4.5,196,83,Snow,light snow showers
1725526800000,-10.2,97,1016,4.9,259,77,Snow,light snow showers
1725530400000,-11.6,97,1013,6,249,68,Snow,light snow showers
1725534000000,-11.4,97,1009,4.5,265,82,Snow,light snow showers
1725537600000,-11.8,97,1007,5.4,54,88,Snow,light snow showers
1725541200000,-12,97,1012,6,273,77,Snow,light snow showers
1725544800000,-12,97,1009,5.2,344,72,Snow,light snow showers
1725548400000,-12,97,1009,5,201,82,Snow,light snow showers
1725552000000,-12,97,1018,4.3,240,75,Snow,light snow showers
1725555600000,-12,97,1008,5.5,57,76,Snow,light snow showers
1725559200000,-12,97,1014,4.5,260,70,Snow,light snow showers
1725562800000,-12,97,1015,2.8,80,84,Snow,light snow showers
1725566400000,-12,97,1010,2.5,153,84,Snow,light snow showers
1725570000000,-12,97,1009,3.2,92,89,Snow,light snow showers
1725573600000,-12,97,1012,3,58,78,Snow,light snow showers
1725577200000,-12,97,1010,3.4,227,66,Snow,light snow showers
1725580800000,-12,97,1009,3.7,201,82,Snow,light snow showers
1725584400000,-12,97,1008,3.4,90,69,Snow,light snow showers
1725588000000,-11.2,97,1017,4.2,329,66,Snow,light snow showers
1725591600000,-11.9,97,1014,5.3,260,70,Snow,light snow showers
1725595200000,-11.8,97,1009,4.2,297,67,Snow,light snow showers
1725598800000,-10.2,97,1007,5.9,156,75,Snow,light snow showers
1725602400000,-8.3,96,1009,5.4,281,69,Snow,light snow showers
1725606000000,-9.9,97,1012,6,273,77,Snow,light snow showers
1725609600000,-9.6,97,1009,5.3,344,72,Snow,light snow showers
1725613200000,-9.8,97,1012,5.5,273,74,Snow,light snow showers
1725616800000,-11.6,97,1018,4.3,272,81,Snow,light snow showers
1725620400000,-11.7,97,1017,4.4,196,83,Snow,light snow showers
1725624000000,-12,97,1009,4.9,163,74,Snow,light snow showers
1725627600000,-12,97,1015,3.1,80,84,Snow,light snow showers
1725631200000,-12,97,1009,2.6,265,82,Snow,light snow showers
1725634800000,-12,97,1007,3,54,88,Snow,light snow showers
1725638400000,-12,97,1012,2.8,58,78,Snow,light snow showers
1725642000000,-12,97,1013,2.5,205,68,Snow,light snow showers
1725645600000,-12,97,1009,3.3,201,82,Snow,light snow showers
1725649200000,-12,97,1008,3.1,90,69,Snow,light snow showers
1725652800000,-12,97,1008,5.2,57,76,Snow,light snow showers
1725656400000,-12,97,1014,5.1,260,70,Snow,light snow showers
1725660000000,-12,97,1014,4.4,354,86,Snow,light snow showers
1725663600000,-12,97,1010,4.5,153,84,Snow,light snow showers
1725667200000,-12,97,1008,5,114,89,Snow,light snow showers
1725670800000,-12,97,1012,5.7,58,78,Snow,light snow showers
1725674400000,-12,97,1010,5.6,227,66,Snow,light snow showers
