ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.7,72,1010,3.9,274,59,Clouds,scattered clouds
1725152400000,17.8,66,1013,3.8,102,59,Clouds,scattered clouds
1725156000000,20.5,67,1012,3.3,236,53,Clouds,scattered clouds
1725159600000,21.2,62,1008,4,309,53,Clouds,scattered clouds
1725163200000,21.3,67,1010,2.1,158,58,Clouds,scattered clouds
1725166800000,22.1,67,1012,3.1,25,56,Clouds,scattered clouds
1725170400000,24.2,60,1013,2.7,100,54,Clouds,scattered clouds
1725174000000,24.6,61,1016,4.5,18,56,Clouds,scattered clouds
1725177600000,23.3,61,1012,3.3,84,39,Clouds,scattered clouds
1725181200000,24.1,55,1017,4.6,146,32,Clouds,scattered clouds
1725184800000,22.6,56,1012,5.5,91,40,Clouds,scattered clouds
1725188400000,22.9,62,1018,5.5,34,48,Clouds,scattered clouds
1725192000000,20,68,1015,4.9,294,60,Clouds,scattered clouds
1725195600000,18.3,66,1011,4.9,210,62,Clouds,scattered clouds
1725199200000,18.4,68,1013,6.1,275,58,Clouds,scattered clouds
1725202800000,17,74,1015,6,26,66,Clouds,scattered clouds
1725206400000,14.5,71,1012,5.4,222,65,Clouds,scattered clouds
1725210000000,15.2,74,1010,5.1,81,68,Clouds,scattered clouds
1725213600000,15,68,1008,4,120,49,Clouds,scattered clouds
1725217200000,13.7,71,1013,4.1,102,63,Clouds,scattered clouds
1725220800000,11.9,75,1015,4.9,334,61,Clouds,scattered clouds
1725224400000,11.4,71,1017,4.4,145,60,Clouds,scattered clouds
1725228000000,13.9,76,1010,2.6,158,66,Clouds,scattered clouds
1725231600000,13.6,75,1009,2.8,345,65,Clouds,scattered clouds
1725235200000,13.5,73,1013,2.3,100,64,Clouds,scattered clouds
1725238800000,13.7,77,1014,3.7,306,57,Clouds,scattered clouds
1725242400000,14.8,67,1010,4,145,59,Clouds,scattered clouds
1725246000000,15.4,65,1017,4.3,146,40,Clouds,scattered clouds
1725249600000,15.4,65,1012,5.3,91,47,Clouds,scattered clouds
1725253200000,17.9,71,1012,4.7,236,55,Clouds,scattered clouds
1725256800000,17.5,66,1008,6.1,309,57,Clouds,scattered clouds
1725260400000,18,71,1010,4.9,158,62,Clouds,scattered clouds
1725264000000,18.2,68,1009,4.8,305,49,Clouds,scattered clouds
1725267600000,17.6,66,1016,6.4,354,43,Clouds,scattered clouds
1725271200000,16,71,1016,6.1,18,64,Clouds,scattered clouds
1725274800000,14.1,72,1012,4.3,84,47,Clouds,scattered clouds
1725278400000,12.9,76,1010,5.5,135,65,Clouds,scattered clouds
1725282000000,12.2,74,1014,4.7,288,67,Clouds,scattered clouds
1725285600000,9.8,78,1018,4.7,34,61,Clouds,scattered clouds
1725289200000,10.2,71,1011,3,264,52,Clouds,scattered clouds
1725292800000,7.4,79,1011,2.9,210,72,Clouds,scattered clouds
1725296400000,7,82,1013,3.5,275,69,Clouds,scattered clouds
1725300000000,6.7,86,1017,2.4,323,61,Clouds,scattered clouds
1725303600000,4.5,83,1012,3.2,222,75,Clouds,scattered clouds
1725307200000,6.2,78,1010,3.6,145,67,Clouds,scattered clouds
1725310800000,5.7,79,1008,3.2,120,58,Clouds,scattered clouds
1725314400000,5,81,1013,4.1,102,71,Clouds,scattered clouds
1725318000000,4.7,86,1012,4.5,236,68,Clouds,scattered clouds
1725321600000,6.2,77,1017,5.9,145,65,Clouds,scattered clouds
1725325200000,7.2,84,1010,4.8,158,72,Clouds,scattered clouds
1725328800000,7.7,84,1012,5.6,25,70,Clouds,scattered clouds
1725332400000,7.2,81,1013,4.8,100,70,Clouds,scattered clouds
1725336000000,9.5,79,1016,6.2,18,70,Clouds,scattered clouds
1725339600000,9,78,1012,4.4,84,52,Clouds,scattered clouds
1725343200000,8.2,74,1017,5.2,146,47,Clouds,scattered clouds
1725346800000,8.9,72,1012,5.6,91,54,Clouds,scattered clouds
