ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.9,65,1007,4,288,61,Clouds,scattered clouds
1725152400000,18.6,67,1014,3.4,294,46,Clouds,scattered clouds
1725156000000,19.7,67,1012,2.6,70,50,Clouds,scattered clouds
1725159600000,20.4,59,1017,3.6,259,52,Clouds,scattered clouds
1725163200000,23.3,64,1016,2.8,101,48,Clouds,scattered clouds
1725166800000,24.6,60,1017,2.8,277,36,Clouds,scattered clouds
1725170400000,25.9,58,1013,4.2,305,39,Clouds,scattered clouds
1725174000000,23.8,59,1007,4.8,129,46,Clouds,scattered clouds
1725177600000,24.4,66,1018,3.4,334,63,Clouds,scattered clouds
1725181200000,22.9,61,1011,5.1,336,58,Clouds,scattered clouds
1725184800000,22.8,63,1011,5.7,135,51,Clouds,scattered clouds
1725188400000,23.6,59,1010,5.7,338,41,Clouds,scattered clouds
1725192000000,20.4,64,1008,6.1,63,42,Clouds,scattered clouds
1725195600000,18.5,70,1011,4.6,237,54,Clouds,scattered clouds
1725199200000,18.6,66,1017,5.7,201,48,Clouds,scattered clouds
1725202800000,17.9,69,1008,5.7,352,60,Clouds,scattered clouds
1725206400000,15.1,70,1013,6.1,15,49,Clouds,scattered clouds
1725210000000,14.8,73,1010,4.8,274,66,Clouds,scattered clouds
1725213600000,13.6,73,1008,4.8,0,55,Clouds,scattered clouds
1725217200000,12.1,75,1014,3.8,294,53,Clouds,scattered clouds
1725220800000,13.7,71,1010,3.5,253,61,Clouds,scattered clouds
1725224400000,13.3,76,1016,2.7,48,59,Clouds,scattered clouds
1725228000000,12.7,77,1016,3.2,101,58,Clouds,scattered clouds
1725231600000,13.6,68,1010,1.6,15,60,Clouds,scattered clouds
1725235200000,13.7,72,1013,3.7,305,51,Clouds,scattered clouds
1725238800000,14,72,1018,3.9,168,54,Clouds,scattered clouds
1725242400000,15.2,70,1012,3.3,343,61,Clouds,scattered clouds
1725246000000,17,68,1011,4.8,336,64,Clouds,scattered clouds
1725249600000,17.7,69,1011,5.4,135,56,Clouds,scattered clouds
1725253200000,16.6,71,1012,4,70,53,Clouds,scattered clouds
1725256800000,16.7,63,1017,5.7,259,55,Clouds,scattered clouds
1725260400000,17.6,71,1016,5.5,101,53,Clouds,scattered clouds
1725264000000,18.1,68,1013,6.1,15,55,Clouds,scattered clouds
1725267600000,17.4,67,1019,6,60,57,Clouds,scattered clouds
1725271200000,16.3,68,1007,6.4,129,53,Clouds,scattered clouds
1725274800000,16.7,75,1018,4.4,334,71,Clouds,scattered clouds
1725278400000,13.8,67,1017,4.9,233,46,Clouds,scattered clouds
1725282000000,13.8,68,1015,5.4,148,65,Clouds,scattered clouds
1725285600000,12.2,73,1010,4.9,338,52,Clouds,scattered clouds
1725289200000,10.7,77,1014,3.7,178,74,Clouds,scattered clouds
1725292800000,8.8,81,1011,2.6,237,63,Clouds,scattered clouds
1725296400000,9,77,1017,3.2,201,58,Clouds,scattered clouds
1725300000000,7.6,84,1018,1.9,306,73,Clouds,scattered clouds
1725303600000,7.1,80,1013,3.8,15,57,Clouds,scattered clouds
1725307200000,6.3,80,1012,2.9,343,70,Clouds,scattered clouds
1725310800000,7,80,1008,4,0,61,Clouds,scattered clouds
1725314400000,5.7,83,1014,3.8,294,59,Clouds,scattered clouds
1725318000000,5,85,1012,3.8,70,64,Clouds,scattered clouds
1725321600000,6.5,84,1016,4.2,48,65,Clouds,scattered clouds
1725325200000,8.5,82,1016,5.4,101,62,Clouds,scattered clouds
1725328800000,9.3,78,1017,5.4,277,51,Clouds,scattered clouds
1725332400000,7.7,80,1013,6.3,305,57,Clouds,scattered clouds
1725336000000,10.4,75,1007,6.4,129,59,Clouds,scattered clouds
1725339600000,8.8,84,1018,4.6,334,78,Clouds,overcast clouds
1725343200000,9,78,1011,5.7,336,72,Clouds,scattered clouds
1725346800000,10.9,77,1011,5.7,135,62,Clouds,scattered clouds
1725350400000,9.5,79,1012,3.7,70,60,Clouds,scattered clouds
1725354000000,10.4,76,1008,5,63,52,Clouds,scattered clouds
1725357600000,8.9,81,1011,3,237,63,Clouds,scattered clouds
1725361200000,7.9,80,1013,4,15,65,Clouds,scattered clouds
1725364800000,6,81,1019,3.4,60,68,Clouds,scattered clouds
1725368400000,6.6,78,1009,2.5,157,60,Clouds,scattered clouds
1725372000000,2.6,83,1008,2.2,31,77,Clouds,overcast clouds
1725375600000,1.8,82,1017,3.4,233,57,Clouds,scattered clouds
1725379200000,-0.5,84,1016,4.6,208,61,Clouds,scattered clouds
1725382800000,-1,89,1010,5,338,64,Snow,light snow showers
1725386400000,0,90,1014,4.6,178,85,Snow,light snow showers
