ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.7,65,1013,4,77,58,Clouds,scattered clouds
1725152400000,19,70,1019,4.2,217,66,Clouds,scattered clouds
1725156000000,19,63,1012,3.2,123,45,Clouds,scattered clouds
1725159600000,21.5,59,1013,3.9,255,39,Clouds,scattered clouds
1725163200000,23.7,65,1008,2.5,335,62,Clouds,scattered clouds
1725166800000,25.2,57,1016,2.8,22,42,Clouds,scattered clouds
1725170400000,25.3,62,1018,3.6,122,60,Clouds,scattered clouds
1725174000000,25.4,63,1014,4.2,149,39,Clouds,scattered clouds
1725177600000,25.7,56,1014,4.4,349,50,Clouds,scattered clouds
1725181200000,24.3,57,1016,3.7,308,49,Clouds,scattered clouds
1725184800000,24.7,64,1012,5.9,230,41,Clouds,scattered clouds
1725188400000,23.5,61,1010,4.2,248,53,Clouds,scattered clouds
1725192000000,21.6,67,1012,4.4,309,55,Clouds,scattered clouds
1725195600000,19,66,1015,5.4,274,52,Clouds,scattered clouds
1725199200000,19.1,64,1015,4.6,105,42,Clouds,scattered clouds
1725202800000,17.8,67,1011,6,110,52,Clouds,scattered clouds
1725206400000,16.5,67,1017,4.9,310,52,Clouds,scattered clouds
1725210000000,17.1,68,1013,4.5,115,64,Clouds,scattered clouds
1725213600000,14.4,67,1009,5,309,64,Clouds,scattered clouds
1725217200000,14.9,75,1019,4.5,217,70,Clouds,scattered clouds
1725220800000,13.3,75,1014,3.2,340,52,Clouds,scattered clouds
1725224400000,14,72,1008,3.9,83,55,Clouds,scattered clouds
1725228000000,14.5,76,1008,2.9,335,70,Clouds,scattered clouds
1725231600000,13.1,79,1009,2.3,13,63,Clouds,scattered clouds
1725235200000,14.3,75,1018,3.2,122,71,Clouds,scattered clouds
1725238800000,15,70,1015,3,112,52,Clouds,scattered clouds
1725242400000,14.9,75,1018,3.9,0,61,Clouds,scattered clouds
1725246000000,16.4,66,1016,3.4,308,56,Clouds,scattered clouds
1725249600000,17.6,72,1012,5.6,230,48,Clouds,scattered clouds
1725253200000,17.4,65,1012,4.6,123,47,Clouds,scattered clouds
1725256800000,17.1,64,1013,6,255,43,Clouds,scattered clouds
1725260400000,19.3,70,1008,5.3,335,66,Clouds,scattered clouds
1725264000000,18.4,68,1009,5.2,322,47,Clouds,scattered clouds
1725267600000,17.9,64,1012,6.3,338,48,Clouds,scattered clouds
1725271200000,17.5,73,1014,5.8,149,46,Clouds,scattered clouds
1725274800000,14.4,70,1014,5.4,349,61,Clouds,scattered clouds
1725278400000,13.5,77,1016,5.3,147,57,Clouds,scattered clouds
1725282000000,14.5,71,1011,4.6,111,48,Clouds,scattered clouds
1725285600000,12.3,74,1010,3.4,248,64,Clouds,scattered clouds
1725289200000,9.4,77,1009,4,199,74,Clouds,scattered clouds
1725292800000,8,79,1015,3.4,274,62,Clouds,scattered clouds
1725296400000,8.8,76,1015,2.1,105,52,Clouds,scattered clouds
1725300000000,6.6,77,1010,1.9,271,58,Clouds,scattered clouds
1725303600000,7.2,78,1017,2.6,310,61,Clouds,scattered clouds
1725307200000,6.1,86,1018,3.5,0,69,Clouds,scattered clouds
1725310800000,4.2,79,1009,4.2,309,74,Clouds,scattered clouds
1725314400000,6.1,86,1019,4.5,217,78,Clouds,overcast clouds
1725318000000,5,80,1012,4.3,123,59,Clouds,scattered clouds
1725321600000,6.8,80,1008,5.4,83,62,Clouds,scattered clouds
1725325200000,8.3,83,1008,5.1,335,76,Clouds,overcast clouds
1725328800000,8.5,77,1016,5.4,22,58,Clouds,scattered clouds
1725332400000,7.6,83,1018,5.8,122,77,Clouds,overcast clouds
1725336000000,9.1,83,1014,5.9,149,54,Clouds,scattered clouds
1725339600000,9.1,76,1014,5.5,349,66,Clouds,scattered clouds
1725343200000,11.2,72,1016,4.3,308,61,Clouds,scattered clouds
1725346800000,10.4,81,1012,5.9,230,55,Clouds,scattered clouds
1725350400000,9.9,74,1012,4.2,123,54,Clouds,scattered clouds
1725354000000,8.7,82,1012,3.3,309,68,Clouds,scattered clouds
1725357600000,8.4,78,1015,3.8,274,62,Clouds,scattered clouds
1725361200000,8.3,80,1009,3.1,322,57,Clouds,scattered clouds
1725364800000,5.6,79,1012,3.7,338,60,Clouds,scattered clouds
1725368400000,5.2,88,1010,2.9,233,68,Clouds,scattered clouds
1725372000000,3.7,79,1013,2.3,128,60,Clouds,scattered clouds
1725375600000,2.7,90,1016,3.9,147,68,Clouds,scattered clouds
1725379200000,0.5,85,1018,3.9,150,77,Clouds,overcast clouds
1725382800000,0.5,88,1010,3.5,248,75,Snow,light snow showers
1725386400000,-0.6,89,1009,4.8,199,83,Snow,light snow showers
1725390000000,-2.9,92,1018,4.3,107,64,Snow,light snow showers
1725393600000,-2.8,90,1015,4.4,105,63,Snow,light snow showers
1725397200000,-3.7,95,1015,5.9,99,75,Snow,light snow showers
1725400800000,-2.2,90,1017,5.1,310,70,Snow,light snow showers
1725404400000,-1.3,95,1018,5.5,0,77,Snow,light snow showers
1725408000000,-1,87,1016,4.4,308,73,Clouds,scattered clouds
1725411600000,-2.1,96,1019,5.3,217,86,Snow,light snow showers
1725415200000,-0.2,86,1012,4.5,123,64,Clouds,scattered clouds
1725418800000,-0.7,85,1013,5.4,255,60,Clouds,scattered clouds
1725422400000,0.7,92,1008,4.1,335,84,Snow,light snow showers
1725426000000,0.5,89,1009,3.5,322,64,Snow,light snow showers
1725429600000,1.1,84,1012,4.1,338,64,Clouds,scattered clouds
1725433200000,2.3,91,1014,3.2,149,61,Rain,light rain
1725436800000,1.8,85,1014,2.8,349,73,Clouds,scattered clouds
1725440400000,0.7,85,1016,2.2,308,71,Clouds,scattered clouds
1725444000000,-0.5,88,1011,3.5,111,62,Snow,light snow showers
1725447600000,-1.1,90,1010,3.1,248,77,Snow,light snow showers
1725451200000,-3.1,97,1012,3.5,309,79,Snow,light snow showers
1725454800000,-5.1,95,1015,4.8,274,75,Snow,light snow showers
1725458400000,-4.4,92,1015,4.3,105,64,Snow,light snow showers
1725462000000,-6,93,1015,5.1,92,69,Snow,light snow showers
1725465600000,-8.7,97,1010,5.8,233,75,Snow,light snow showers
1725469200000,-10.7,97,1013,5.7,116,83,Snow,light snow showers
1725472800000,-12,97,1016,5.8,147,74,Snow,light snow showers
1725476400000,-10.2,97,1018,5.2,150,86,Snow,light snow showers
1725480000000,-11.2,97,1010,5.1,162,77,Snow,light snow showers
1725483600000,-12,97,1009,4.9,199,89,Snow,light snow showers
1725487200000,-12,97,1016,4.9,308,68,Snow,light snow showers
1725490800000,-12,97,1015,3.3,105,68,Snow,light snow showers
1725494400000,-12,97,1015,4.2,99,77,Snow,light snow showers
1725498000000,-11.8,97,1019,3.5,10,84,Snow,light snow showers
1725501600000,-9.4,97,1018,2.7,0,78,Snow,light snow showers
1725505200000,-10.7,97,1016,1.8,308,81,Snow,light snow showers
1725508800000,-9,97,1012,4.2,230,68,Snow,light snow showers
1725512400000,-9.7,97,1012,3.3,123,72,Snow,light snow showers
1725516000000,-8.8,97,1012,3.2,309,79,Snow,light snow showers
1725519600000,-8.1,97,1015,4.5,274,77,Snow,light snow showers
1725523200000,-10.1,97,1009,4.6,322,70,Snow,light snow showers
1725526800000,-10.1,97,1012,6,338,74,Snow,light snow showers
1725530400000,-10.9,97,1014,5.7,149,66,Snow,light snow showers
1725534000000,-12,97,1013,4.6,128,74,Snow,light snow showers
1725537600000,-12,97,1016,5.8,147,74,Snow,light snow showers
1725541200000,-12,97,1011,5.4,111,69,Snow,light snow showers
1725544800000,-12,97,1010,4.3,248,82,Snow,light snow showers
1725548400000,-12,97,1009,5.1,199,89,Snow,light snow showers
1725552000000,-12,97,1018,4,107,68,Snow,light snow showers
1725555600000,-12,97,1015,3.6,105,68,Snow,light snow showers
1725559200000,-12,97,1015,4.6,99,77,Snow,light snow showers
1725562800000,-12,97,1010,4,233,75,Snow,light snow showers
1725566400000,-12,97,1013,3.4,116,83,Snow,light snow showers
1725570000000,-12,97,1009,3.7,11,78,Snow,light snow showers
1725573600000,-12,97,1018,2.7,150,86,Snow,light snow showers
1725577200000,-12,97,1015,3.2,323,76,Snow,light snow showers
1725580800000,-12,97,1009,3.8,199,89,Snow,light snow showers
1725584400000,-12,97,1016,4.6,308,68,Snow,light snow showers
1725588000000,-12,97,1014,4.9,203,90,Snow,light snow showers
1725591600000,-12,97,1015,5.4,99,77,Snow,light snow showers
1725595200000,-9.9,96,1019,5.5,10,83,Snow,light snow showers
1725598800000,-9.8,97,1013,5.5,147,66,Snow,light snow showers
1725602400000,-11.1,97,1016,4.6,308,81,Snow,light snow showers
1725606000000,-9.1,97,1011,5.4,111,69,Snow,light snow showers
1725609600000,-10.7,97,1010,4.5,248,82,Snow,light snow showers
1725613200000,-10.2,97,1012,4.4,309,79,Snow,light snow showers
1725616800000,-10.2,97,1015,5,274,77,Snow,light snow showers
1725620400000,-11.8,97,1009,4.5,322,70,Snow,light snow showers
1725624000000,-12,97,1015,4.2,92,72,Snow,light snow showers
1725627600000,-12,97,1010,4.4,233,75,Snow,light snow showers
1725631200000,-12,97,1013,2.8,128,74,Snow,light snow showers
1725634800000,-12,97,1016,3.4,147,74,Snow,light snow showers
1725638400000,-12,97,1018,2.5,150,86,Snow,light snow showers
1725642000000,-12,97,1010,2.8,162,77,Snow,light snow showers
1725645600000,-12,97,1009,3.4,199,89,Snow,light snow showers
1725649200000,-12,97,1016,4.2,308,68,Snow,light snow showers
1725652800000,-12,97,1015,3.4,105,68,Snow,light snow showers
1725656400000,-12,97,1015,5.1,99,77,Snow,light snow showers
1725660000000,-12,97,1013,5.3,262,70,Snow,light snow showers
1725663600000,-12,97,1013,5.5,116,83,Snow,light snow showers
1725667200000,-12,97,1011,4.9,110,88,Snow,light snow showers
1725670800000,-12,97,1018,5.4,150,86,Snow,light snow showers
1725674400000,-11.6,97,1015,5.4,323,76,Snow,light snow showers
1725678000000,-10.7,97,1016,6.1,132,83,Snow,light snow showers
1725681600000,-11.4,97,1016,5.7,308,68,Snow,light snow showers
1725685200000,-10,97,1014,5.3,203,90,Snow,light snow showers
1725688800000,-10.3,95,1008,4,356,69,Snow,light snow showers
1725692400000,-8.8,95,1019,4.6,10,82,Snow,light snow showers
1725696000000,-10.4,97,1009,3.4,80,77,Snow,light snow showers
1725699600000,-9.3,97,1007,2.5,332,76,Snow,light snow showers
1725703200000,-12,97,1011,2.9,111,69,Snow,light snow showers
1725706800000,-11.9,97,1010,1.5,248,82,Snow,light snow showers
1725710400000,-12,97,1012,2,309,79,Snow,light snow showers
1725714000000,-12,97,1018,2.6,107,68,Snow,light snow showers
1725717600000,-12,97,1015,3.1,105,68,Snow,light snow showers
1725721200000,-12,97,1015,4.1,92,72,Snow,light snow showers
1725724800000,-12,97,1010,5,233,75,Snow,light snow showers
1725728400000,-12,97,1013,5.2,116,83,Snow,light snow showers
1725732000000,-12,97,1009,6.2,11,78,Snow,light snow showers
1725735600000,-12,97,1018,5.3,150,86,Snow,light snow showers
1725739200000,-12,97,1015,5.4,323,76,Snow,light snow showers
1725742800000,-12,97,1009,5.5,199,89,Snow,light snow showers
1725746400000,-12,97,1016,5.8,308,68,Snow,light snow showers
1725750000000,-12,97,1010,4.3,274,87,Snow,light snow showers
1725753600000,-12,97,1015,5.5,99,77,Snow,light snow showers
1725757200000,-12,97,1019,5,10,84,Snow,light snow showers
1725760800000,-12,97,1013,4.6,116,83,Snow,light snow showers
1725764400000,-12,97,1011,3.4,110,88,Snow,light snow showers
1725768000000,-11.6,97,1012,2.6,229,78,Snow,light snow showers
1725771600000,-8.8,96,1015,2.8,323,76,Snow,light snow showers
1725775200000,-9.2,97,1016,3.2,132,83,Snow,light snow showers
1725778800000,-10.8,97,1011,3,223,89,Snow,light snow showers
1725782400000,-11.2,97,1014,3.8,203,90,Snow,light snow showers
1725786000000,-9.8,97,1008,4.2,19,85,Snow,light snow showers
1725789600000,-10.6,97,1015,3.5,88,79,Snow,light snow showers
1725793200000,-12,97,1009,4.2,80,77,Snow,light snow showers
1725796800000,-12,97,1007,4.1,332,76,Snow,light snow showers
1725800400000,-12,97,1011,5.2,111,69,Snow,light snow showers
1725804000000,-12,97,1010,5.3,162,77,Snow,light snow showers
1725807600000,-12,97,1009,5.5,199,89,Snow,light snow showers
1725811200000,-12,97,1018,4.7,107,68,Snow,light snow showers
1725814800000,-12,97,1015,4.5,105,68,Snow,light snow showers
1725818400000,-12,97,1015,5.7,99,77,Snow,light snow showers
1725822000000,-12,97,1013,5.3,262,70,Snow,light snow showers
1725825600000,-12,97,1013,4.9,116,83,Snow,light snow showers
1725829200000,-12,97,1011,3.8,110,88,Snow,light snow showers
1725832800000,-12,97,1018,3.7,150,86,Snow,light snow showers
1725836400000,-12,97,1015,3.3,323,76,Snow,light snow showers
1725840000000,-12,97,1017,2.6,215,73,Snow,light snow showers
1725843600000,-12,97,1016,3,308,68,Snow,light snow showers
1725847200000,-11.7,97,1014,3.4,203,90,Snow,light snow showers
1725850800000,-10.7,97,1015,4.1,99,77,Snow,light snow showers
1725854400000,-9.4,95,1019,4.3,10,82,Snow,light snow showers
1725858000000,-10.8,97,1009,3.9,80,77,Snow,light snow showers
1725861600000,-10.2,97,1011,4.3,110,88,Snow,light snow showers
1725865200000,-7.9,97,1012,4.3,229,77,Snow,light snow showers
1725868800000,-8.9,97,1019,5,93,86,Snow,light snow showers
1725872400000,-11.1,97,1016,6.1,132,83,Snow,light snow showers
1725876000000,-11.9,97,1010,6.2,241,83,Snow,light snow showers
1725879600000,-12,97,1011,5.2,94,87,Snow,light snow showers
1725883200000,-12,97,1008,5.6,19,85,Snow,light snow showers
1725886800000,-12,97,1015,4.3,88,79,Snow,light snow showers
1725890400000,-12,97,1009,4.4,80,77,Snow,light snow showers
1725894000000,-12,97,1008,5,27,69,Snow,light snow showers
1725897600000,-12,97,1019,5,352,86,Snow,light snow showers
