ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,21.2,68,1011,4.1,354,45,Clouds,scattered clouds
1725152400000,22.7,57,1012,4,238,34,Clouds,scattered clouds
1725156000000,22.6,59,1007,2.8,293,40,Clouds,scattered clouds
1725159600000,25.7,56,1010,4,63,43,Clouds,scattered clouds
1725163200000,27.3,57,1010,2.9,168,41,Clouds,scattered clouds
1725166800000,28.6,60,1012,2.6,348,57,Clouds,scattered clouds
1725170400000,27,55,1009,4.1,139,45,Clouds,scattered clouds
1725174000000,29,53,1014,3.1,36,43,Clouds,scattered clouds
1725177600000,29.5,54,1011,3.9,61,46,Clouds,scattered clouds
1725181200000,27.2,54,1007,4.1,261,51,Clouds,scattered clouds
1725184800000,27.7,60,1011,4.4,230,58,Clouds,scattered clouds
1725188400000,24.8,56,1011,5.2,354,49,Clouds,scattered clouds
1725192000000,23.4,58,1015,4.6,0,36,Clouds,scattered clouds
1725195600000,22.8,65,1011,4.5,36,41,Clouds,scattered clouds
1725199200000,22.6,66,1014,5.2,81,48,Clouds,scattered clouds
1725202800000,22.2,68,1017,5.6,175,44,Clouds,scattered clouds
1725206400000,19.8,67,1011,4.5,283,49,Clouds,scattered clouds
1725210000000,18.8,70,1012,5.5,318,49,Clouds,scattered clouds
1725213600000,17.8,64,1012,3.8,298,58,Clouds,scattered clouds
1725217200000,17.6,63,1012,4.3,238,39,Clouds,scattered clouds
1725220800000,17,74,1016,4.6,101,60,Clouds,scattered clouds
1725224400000,15.6,75,1009,4.4,50,61,Clouds,scattered clouds
1725228000000,17.9,69,1010,3.3,168,50,Clouds,scattered clouds
1725231600000,16.4,65,1017,3.5,19,57,Clouds,scattered clouds
1725235200000,17.1,67,1009,3.7,139,55,Clouds,scattered clouds
1725238800000,17.4,68,1012,3.3,71,59,Clouds,scattered clouds
1725242400000,17.7,74,1009,3.8,80,53,Clouds,scattered clouds
1725246000000,18.6,64,1007,3.7,261,59,Clouds,scattered clouds
1725249600000,21.1,68,1011,4.1,230,64,Clouds,scattered clouds
1725253200000,22.1,59,1007,4.2,293,41,Clouds,scattered clouds
1725256800000,21.2,61,1010,6.1,63,48,Clouds,scattered clouds
1725260400000,22.3,63,1010,5.6,168,46,Clouds,scattered clouds
1725264000000,22.3,60,1012,5.1,327,42,Clouds,scattered clouds
1725267600000,19.8,64,1009,5.1,330,44,Clouds,scattered clouds
1725271200000,21.1,62,1014,4.7,36,50,Clouds,scattered clouds
1725274800000,19.5,66,1011,4.9,61,56,Clouds,scattered clouds
1725278400000,17,72,1013,4.9,144,66,Clouds,scattered clouds
1725282000000,17.6,64,1014,4.7,271,56,Clouds,scattered clouds
1725285600000,15.3,67,1011,4.3,354,58,Clouds,scattered clouds
1725289200000,14.6,69,1008,4.5,110,65,Clouds,scattered clouds
1725292800000,11.8,79,1011,2.5,36,52,Clouds,scattered clouds
1725296400000,11.2,80,1014,2.7,81,58,Clouds,scattered clouds
1725300000000,9.5,80,1017,3.1,112,72,Clouds,scattered clouds
1725303600000,11.1,77,1011,2.2,283,57,Clouds,scattered clouds
1725307200000,8.4,85,1009,3.4,80,62,Clouds,scattered clouds
1725310800000,8.9,74,1012,3,298,66,Clouds,scattered clouds
1725314400000,8,75,1012,4.3,238,48,Clouds,scattered clouds
1725318000000,7.8,76,1007,3.9,293,54,Clouds,scattered clouds
1725321600000,9.6,83,1009,5.9,50,66,Clouds,scattered clouds
1725325200000,10,78,1010,5.5,168,58,Clouds,scattered clouds
1725328800000,9.4,83,1012,5.2,348,76,Clouds,overcast clouds
1725332400000,10.3,75,1009,6.3,139,61,Clouds,scattered clouds
1725336000000,12.3,73,1014,4.8,36,59,Clouds,scattered clouds
1725339600000,11.7,76,1011,5,61,63,Clouds,scattered clouds
1725343200000,11.4,73,1007,4.6,261,66,Clouds,scattered clouds
1725346800000,13,77,1011,4.4,230,72,Clouds,scattered clouds
1725350400000,13.5,69,1007,3.8,293,49,Clouds,scattered clouds
1725354000000,10.9,73,1015,3.5,0,48,Clouds,scattered clouds
1725357600000,11.6,79,1011,2.9,36,52,Clouds,scattered clouds
1725361200000,8.7,76,1012,3,327,55,Clouds,scattered clouds
1725364800000,7.6,79,1009,2.5,330,56,Clouds,scattered clouds
1725368400000,7.2,81,1016,2.1,211,66,Clouds,scattered clouds
1725372000000,6.3,77,1009,2.5,159,71,Clouds,scattered clouds
1725375600000,5.4,86,1013,3.5,144,78,Clouds,overcast clouds
1725379200000,2.2,85,1009,4.2,135,67,Clouds,scattered clouds
1725382800000,2.3,83,1011,4.4,354,70,Clouds,scattered clouds
1725386400000,-0.4,87,1008,5.4,110,79,Clouds,overcast clouds
1725390000000,1.1,82,1014,5.8,343,71,Clouds,scattered clouds
1725393600000,-1.2,95,1014,5,81,70,Snow,light snow showers
1725397200000,-1.1,90,1007,6.2,86,68,Snow,light snow showers
