ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.3,64,1013,3.6,122,46,Clouds,scattered clouds
1725152400000,19.2,69,1010,4.8,83,47,Clouds,scattered clouds
1725156000000,21.5,60,1015,3.3,146,57,Clouds,scattered clouds
1725159600000,22.1,67,1011,3.7,184,61,Clouds,scattered clouds
1725163200000,24.2,63,1009,2.7,294,40,Clouds,scattered clouds
1725166800000,24.3,55,1015,2.1,164,55,Clouds,scattered clouds
1725170400000,25.7,55,1018,4.1,204,39,Clouds,scattered clouds
1725174000000,24.6,64,1009,3.5,83,62,Clouds,scattered clouds
1725177600000,26.7,51,1013,3.7,333,50,Clouds,scattered clouds
1725181200000,24.3,60,1008,4.5,2,57,Clouds,scattered clouds
1725184800000,23.8,56,1017,4.3,294,33,Clouds,scattered clouds
1725188400000,23.9,64,1016,4.5,73,49,Clouds,scattered clouds
1725192000000,21.7,68,1010,6.1,58,65,Clouds,scattered clouds
1725195600000,19.8,68,1012,6.3,169,47,Clouds,scattered clouds
1725199200000,19.9,64,1012,5.2,349,54,Clouds,scattered clouds
1725202800000,18.5,62,1012,5,354,51,Clouds,scattered clouds
1725206400000,16.4,66,1016,4.6,278,66,Clouds,scattered clouds
1725210000000,15.4,70,1008,5,187,54,Clouds,scattered clouds
1725213600000,14,71,1008,5.5,305,68,Clouds,scattered clouds
1725217200000,15.7,73,1010,5.2,83,50,Clouds,scattered clouds
1725220800000,14.3,73,1015,3.5,304,60,Clouds,scattered clouds
1725224400000,12.7,77,1014,2.7,88,55,Clouds,scattered clouds
1725228000000,15.1,74,1009,3.1,294,49,Clouds,scattered clouds
1725231600000,12.8,73,1010,1.8,303,52,Clouds,scattered clouds
1725235200000,13.2,70,1018,3.7,204,51,Clouds,scattered clouds
1725238800000,16.5,68,1014,3.1,82,59,Clouds,scattered clouds
1725242400000,15.2,73,1010,4.4,316,60,Clouds,scattered clouds
1725246000000,18.1,67,1008,4.2,2,62,Clouds,scattered clouds
1725249600000,18.7,62,1017,4,294,38,Clouds,scattered clouds
1725253200000,17.8,64,1015,4.7,146,60,Clouds,scattered clouds
1725256800000,17.6,72,1011,5.8,184,65,Clouds,scattered clouds
1725260400000,19,70,1009,5.4,294,45,Clouds,scattered clouds
1725264000000,18.8,68,1017,4.7,162,60,Clouds,scattered clouds
1725267600000,18.2,70,1008,5.1,111,63,Clouds,scattered clouds
1725271200000,17.3,73,1009,5.1,83,69,Clouds,scattered clouds
1725274800000,16.1,64,1013,4.7,333,60,Clouds,scattered clouds
1725278400000,14.3,69,1009,5.9,122,53,Clouds,scattered clouds
1725282000000,13.3,79,1014,4.4,124,75,Clouds,scattered clouds
1725285600000,11.9,79,1016,3.6,73,60,Clouds,scattered clouds
1725289200000,12.6,78,1011,3.4,83,57,Clouds,scattered clouds
1725292800000,10.5,79,1012,4.3,169,55,Clouds,scattered clouds
1725296400000,8.7,78,1012,2.7,349,65,Clouds,scattered clouds
1725300000000,6.8,80,1015,2.1,51,53,Clouds,scattered clouds
