ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.6,68,1010,4.1,130,59,Clouds,scattered clouds
1725152400000,16.4,74,1010,3.1,53,53,Clouds,scattered clouds
1725156000000,17.1,72,1012,4.6,264,63,Clouds,scattered clouds
1725159600000,18.1,66,1017,2.6,17,47,Clouds,scattered clouds
1725163200000,19.9,67,1017,2.9,322,56,Clouds,scattered clouds
1725166800000,19.9,65,1014,2.5,175,58,Clouds,scattered clouds
1725170400000,22.2,64,1009,3.3,22,55,Clouds,scattered clouds
1725174000000,21,60,1013,3.7,186,49,Clouds,scattered clouds
1725177600000,21.6,63,1018,4.6,49,62,Clouds,scattered clouds
1725181200000,22.2,67,1012,4.3,314,52,Clouds,scattered clouds
1725184800000,20.4,59,1010,5.7,127,51,Clouds,scattered clouds
1725188400000,20.6,60,1013,4.5,80,49,Clouds,scattered clouds
1725192000000,19.3,70,1007,5.3,156,50,Clouds,scattered clouds
1725195600000,17.4,70,1014,5,54,68,Clouds,scattered clouds
1725199200000,15.7,69,1014,6.2,50,61,Clouds,scattered clouds
1725202800000,15.5,75,1016,5.8,219,66,Clouds,scattered clouds
1725206400000,14.7,69,1010,5.7,162,61,Clouds,scattered clouds
1725210000000,13.5,76,1011,5.4,14,68,Clouds,scattered clouds
1725213600000,11.4,80,1014,4.3,101,64,Clouds,scattered clouds
1725217200000,10,82,1010,3.4,53,60,Clouds,scattered clouds
1725220800000,9.8,75,1013,4.8,249,68,Clouds,scattered clouds
1725224400000,11.4,77,1007,4.3,306,62,Clouds,scattered clouds
1725228000000,10.4,79,1017,3.3,322,65,Clouds,scattered clouds
1725231600000,11.1,72,1010,2.6,98,65,Clouds,scattered clouds
1725235200000,10.3,78,1009,2.9,22,66,Clouds,scattered clouds
1725238800000,12.1,78,1014,3.7,84,54,Clouds,scattered clouds
1725242400000,14,68,1008,4.9,45,64,Clouds,scattered clouds
1725246000000,14.6,76,1012,3.9,314,60,Clouds,scattered clouds
1725249600000,15.2,65,1010,5.4,127,56,Clouds,scattered clouds
1725253200000,14.7,75,1012,6,264,65,Clouds,scattered clouds
1725256800000,16.4,68,1017,4.7,17,49,Clouds,scattered clouds
1725260400000,15.4,73,1017,5.7,322,60,Clouds,scattered clouds
1725264000000,15.2,74,1013,4.8,122,53,Clouds,scattered clouds
1725267600000,16.3,64,1011,5.1,279,52,Clouds,scattered clouds
1725271200000,13.5,69,1013,5.3,186,57,Clouds,scattered clouds
1725274800000,14.1,72,1018,5.6,49,69,Clouds,scattered clouds
1725278400000,11.2,81,1017,4.3,112,57,Clouds,scattered clouds
1725282000000,10.5,70,1014,5.2,128,55,Clouds,scattered clouds
1725285600000,8.7,74,1013,3.6,80,61,Clouds,scattered clouds
1725289200000,8.6,81,1017,3.4,339,74,Clouds,scattered clouds
1725292800000,8.3,81,1014,3,54,76,Clouds,overcast clouds
1725296400000,6.7,80,1014,3.6,50,70,Clouds,scattered clouds
1725300000000,4.1,89,1014,1.8,45,74,Clouds,scattered clouds
1725303600000,2.9,83,1010,3.4,162,72,Clouds,scattered clouds
1725307200000,4.3,80,1008,4.5,45,73,Clouds,scattered clouds
1725310800000,4.6,89,1014,3.5,101,71,Clouds,scattered clouds
1725314400000,2.4,91,1010,3.4,53,67,Rain,light rain
1725318000000,3.8,88,1012,5.7,264,76,Clouds,overcast clouds
1725321600000,4.7,85,1007,5.8,306,68,Clouds,scattered clouds
1725325200000,4.8,85,1017,5.5,322,70,Clouds,scattered clouds
1725328800000,4.5,83,1014,5.1,175,73,Clouds,scattered clouds
1725332400000,6.3,83,1009,5.4,22,70,Clouds,scattered clouds
1725336000000,7.1,77,1013,5.4,186,63,Clouds,scattered clouds
1725339600000,7.9,80,1018,5.7,49,75,Clouds,scattered clouds
1725343200000,8.7,83,1012,4.8,314,65,Clouds,scattered clouds
1725346800000,7.2,74,1010,5.7,127,64,Clouds,scattered clouds
1725350400000,6.3,85,1012,5.6,264,74,Clouds,scattered clouds
1725354000000,6.7,86,1007,4.2,156,62,Clouds,scattered clouds
1725357600000,7.5,82,1014,3.4,54,77,Clouds,overcast clouds
1725361200000,4.8,87,1013,2.7,122,63,Clouds,scattered clouds
1725364800000,4.3,79,1011,2.5,279,64,Clouds,scattered clouds
1725368400000,3.3,79,1015,2.9,322,67,Clouds,scattered clouds
1725372000000,0.1,88,1019,4,46,76,Clouds,overcast clouds
1725375600000,-0.5,95,1017,2.8,112,69,Snow,light snow showers
1725379200000,-0.7,87,1019,3.6,323,78,Clouds,overcast clouds
1725382800000,-3,88,1013,3.7,80,72,Snow,light snow showers
1725386400000,-2.7,94,1017,4.3,339,85,Snow,light snow showers
1725390000000,-5,97,1016,4.2,122,74,Snow,light snow showers
1725393600000,-6.1,96,1014,6,50,82,Snow,light snow showers
1725397200000,-4.4,97,1010,5.7,86,82,Snow,light snow showers
1725400800000,-4.2,92,1010,5.9,162,79,Snow,light snow showers
1725404400000,-6,92,1008,6.4,45,83,Snow,light snow showers
1725408000000,-4,97,1012,5,314,76,Snow,light snow showers
1725411600000,-4.7,97,1010,4.2,53,72,Snow,light snow showers
1725415200000,-4.8,97,1012,5.9,264,83,Snow,light snow showers
1725418800000,-4,92,1017,4.1,17,68,Snow,light snow showers
1725422400000,-1.7,93,1017,4.5,322,76,Snow,light snow showers
1725426000000,-2.9,96,1013,3.1,122,70,Snow,light snow showers
1725429600000,-2.8,87,1011,3,279,71,Clouds,scattered clouds
1725433200000,-1.2,87,1013,2.7,186,71,Clouds,scattered clouds
1725436800000,-3.2,93,1018,3,49,86,Snow,light snow showers
1725440400000,-3.9,97,1012,2.8,314,76,Snow,light snow showers
1725444000000,-3,87,1014,4.2,128,68,Clouds,scattered clouds
1725447600000,-4.2,90,1013,3.4,80,73,Snow,light snow showers
1725451200000,-6.3,97,1007,4.4,156,72,Snow,light snow showers
1725454800000,-6.4,97,1014,4.4,54,89,Snow,light snow showers
1725458400000,-9,97,1014,5.8,50,83,Snow,light snow showers
1725462000000,-11,97,1012,6,317,72,Snow,light snow showers
1725465600000,-11,96,1015,5.8,322,81,Snow,light snow showers
1725469200000,-12,97,1012,5.1,135,66,Snow,light snow showers
1725472800000,-12,97,1017,4.7,112,71,Snow,light snow showers
1725476400000,-12,97,1019,4.9,323,86,Snow,light snow showers
1725480000000,-12,97,1012,4.8,82,79,Snow,light snow showers
1725483600000,-12,97,1017,4.4,339,87,Snow,light snow showers
