ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.4,71,1008,3.5,280,63,Clouds,scattered clouds
1725152400000,16.6,67,1012,3.4,256,48,Clouds,scattered clouds
1725156000000,17.3,67,1011,2.8,303,58,Clouds,scattered clouds
1725159600000,20.3,65,1007,3.4,79,40,Clouds,scattered clouds
1725163200000,19.8,63,1018,3.6,155,62,Clouds,scattered clouds
1725166800000,22,64,1019,2.8,42,57,Clouds,scattered clouds
1725170400000,23.6,55,1019,3.9,95,46,Clouds,scattered clouds
1725174000000,21.9,64,1016,4.3,310,45,Clouds,scattered clouds
1725177600000,24.3,65,1007,3.9,110,46,Clouds,scattered clouds
1725181200000,22.7,64,1017,4.7,55,44,Clouds,scattered clouds
1725184800000,22.5,57,1015,5.9,29,52,Clouds,scattered clouds
1725188400000,20.4,66,1009,5.1,72,42,Clouds,scattered clouds
1725192000000,19.7,67,1008,5.6,118,57,Clouds,scattered clouds
1725195600000,19.3,71,1008,4.8,299,60,Clouds,scattered clouds
1725199200000,15.9,74,1017,6.1,316,47,Clouds,scattered clouds
1725202800000,15.5,68,1016,6.2,298,64,Clouds,scattered clouds
1725206400000,14.5,72,1016,5.6,254,48,Clouds,scattered clouds
1725210000000,13.8,73,1010,4.8,147,67,Clouds,scattered clouds
1725213600000,12.9,69,1018,4.6,206,56,Clouds,scattered clouds
1725217200000,11.3,74,1012,3.8,256,53,Clouds,scattered clouds
1725220800000,12.1,75,1015,4.3,357,55,Clouds,scattered clouds
1725224400000,11.7,71,1007,4.1,340,67,Clouds,scattered clouds
1725228000000,12.7,72,1018,4,155,69,Clouds,scattered clouds
1725231600000,12.1,76,1014,1.8,262,53,Clouds,scattered clouds
1725235200000,11.8,69,1019,3.5,95,57,Clouds,scattered clouds
1725238800000,13.5,73,1016,4.4,245,53,Clouds,scattered clouds
1725242400000,12.4,70,1012,4.5,235,59,Clouds,scattered clouds
1725246000000,15.7,73,1017,4.4,55,50,Clouds,scattered clouds
1725249600000,16.7,64,1015,5.7,29,58,Clouds,scattered clouds
1725253200000,14.5,70,1011,4.2,303,60,Clouds,scattered clouds
1725256800000,14.8,71,1007,5.5,79,46,Clouds,scattered clouds
1725260400000,17.5,66,1018,6.4,155,65,Clouds,scattered clouds
1725264000000,16.2,74,1017,5.5,38,49,Clouds,scattered clouds
1725267600000,14.9,71,1008,5.4,337,56,Clouds,scattered clouds
1725271200000,14.8,73,1016,5.9,310,51,Clouds,scattered clouds
1725274800000,12.5,79,1007,4.9,110,58,Clouds,scattered clouds
1725278400000,13.2,74,1017,5.6,81,62,Clouds,scattered clouds
1725282000000,11.7,77,1017,4.6,107,66,Clouds,scattered clouds
1725285600000,10.5,78,1009,4.2,72,51,Clouds,scattered clouds
1725289200000,9.1,75,1010,3,168,49,Clouds,scattered clouds
1725292800000,7.4,86,1008,2.8,299,71,Clouds,scattered clouds
1725296400000,6.1,85,1017,3.6,316,57,Clouds,scattered clouds
1725300000000,5.5,79,1010,1.5,39,70,Clouds,scattered clouds
1725303600000,5.9,83,1016,3.3,254,57,Clouds,scattered clouds
1725307200000,5.5,78,1012,4.1,235,65,Clouds,scattered clouds
1725310800000,4.1,80,1018,3.8,206,65,Clouds,scattered clouds
1725314400000,5.5,81,1012,3.8,256,59,Clouds,scattered clouds
1725318000000,4.5,82,1011,3.9,303,70,Clouds,scattered clouds
1725321600000,4.3,80,1007,5.6,340,75,Clouds,scattered clouds
1725325200000,6.6,79,1018,6.2,155,75,Clouds,scattered clouds
1725328800000,5.5,84,1019,5.3,42,73,Clouds,scattered clouds
1725332400000,7.2,75,1019,6,95,62,Clouds,scattered clouds
