ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.1,62,1017,4,343,40,Clouds,scattered clouds
1725152400000,17.9,70,1010,4,91,57,Clouds,scattered clouds
1725156000000,19.9,69,1009,4.3,34,45,Clouds,scattered clouds
1725159600000,22.1,59,1012,2.3,70,57,Clouds,scattered clouds
1725163200000,22,59,1017,1.8,210,37,Clouds,scattered clouds
1725166800000,22.3,57,1012,3.3,101,51,Clouds,scattered clouds
1725170400000,23.9,60,1010,4.1,354,50,Clouds,scattered clouds
1725174000000,25.8,56,1008,4.1,145,41,Clouds,scattered clouds
1725177600000,24.1,66,1010,4.5,129,61,Clouds,scattered clouds
1725181200000,24.3,56,1009,3.8,135,51,Clouds,scattered clouds
1725184800000,23.8,65,1011,5.3,336,60,Clouds,scattered clouds
1725188400000,21.8,63,1011,5.6,148,43,Clouds,scattered clouds
1725192000000,20.3,62,1016,5.7,264,42,Clouds,scattered clouds
1725195600000,20.3,66,1008,5,63,64,Clouds,scattered clouds
1725199200000,18.2,68,1009,4.5,344,49,Clouds,scattered clouds
1725202800000,18.4,66,1015,4.6,315,58,Clouds,scattered clouds
1725206400000,15.8,71,1014,4.9,306,57,Clouds,scattered clouds
1725210000000,14.1,68,1011,4.6,145,43,Clouds,scattered clouds
1725213600000,15.2,76,1019,5.3,274,63,Clouds,scattered clouds
1725217200000,14.8,74,1010,4.4,91,60,Clouds,scattered clouds
1725220800000,12.3,70,1010,4.6,287,58,Clouds,scattered clouds
1725224400000,13.5,74,1015,4.1,309,57,Clouds,scattered clouds
1725228000000,12.5,71,1017,2.2,210,46,Clouds,scattered clouds
1725231600000,12.1,71,1017,2,25,60,Clouds,scattered clouds
1725235200000,12.8,73,1010,3.7,354,61,Clouds,scattered clouds
1725238800000,15.3,67,1018,2.7,305,65,Clouds,scattered clouds
1725242400000,14.4,75,1012,3.2,84,63,Clouds,scattered clouds
1725246000000,15.1,67,1009,3.5,135,60,Clouds,scattered clouds
1725249600000,17.3,72,1011,5,336,66,Clouds,scattered clouds
1725253200000,16.1,73,1009,5.7,34,49,Clouds,scattered clouds
1725256800000,16.3,66,1012,4.4,70,62,Clouds,scattered clouds
1725260400000,18.2,64,1017,4.5,210,41,Clouds,scattered clouds
1725264000000,17.8,63,1018,5.3,275,47,Clouds,scattered clouds
1725267600000,16.5,66,1013,6.4,15,52,Clouds,scattered clouds
1725271200000,17.1,66,1008,5.7,145,49,Clouds,scattered clouds
1725274800000,15.1,77,1010,5.5,129,70,Clouds,scattered clouds
1725278400000,13.3,79,1009,5.1,31,63,Clouds,scattered clouds
1725282000000,13.5,76,1017,3.9,143,51,Clouds,scattered clouds
1725285600000,11.9,75,1011,4.7,148,53,Clouds,scattered clouds
1725289200000,11.5,73,1010,4.9,257,69,Clouds,scattered clouds
1725292800000,8.9,79,1008,3,63,75,Clouds,scattered clouds
1725296400000,7.4,81,1009,2,344,60,Clouds,scattered clouds
1725300000000,5.8,86,1010,3.3,100,68,Clouds,scattered clouds
1725303600000,6.5,82,1014,2.7,306,66,Clouds,scattered clouds
1725307200000,7,84,1012,2.8,84,70,Clouds,scattered clouds
1725310800000,6.4,87,1019,4.5,274,72,Clouds,scattered clouds
1725314400000,6.4,84,1010,4.3,91,68,Clouds,scattered clouds
1725318000000,6,86,1009,5.5,34,59,Clouds,scattered clouds
1725321600000,6.2,82,1015,5.6,309,64,Clouds,scattered clouds
1725325200000,8.3,76,1017,4.4,210,50,Clouds,scattered clouds
1725328800000,8,74,1012,5.8,101,65,Clouds,scattered clouds
1725332400000,8.1,79,1010,6.2,354,65,Clouds,scattered clouds
1725336000000,9.7,75,1008,5.8,145,56,Clouds,scattered clouds
1725339600000,9.6,83,1010,5.6,129,75,Clouds,scattered clouds
1725343200000,9,74,1009,4.4,135,66,Clouds,scattered clouds
1725346800000,10.1,81,1011,5.3,336,73,Clouds,scattered clouds
1725350400000,9.6,81,1009,5.4,34,55,Clouds,scattered clouds
1725354000000,10.7,74,1016,4.6,264,51,Clouds,scattered clouds
1725357600000,9.5,79,1008,3.4,63,74,Clouds,scattered clouds
1725361200000,7.4,76,1018,3.2,275,57,Clouds,scattered clouds
1725364800000,7.8,76,1013,3.8,15,61,Clouds,scattered clouds
1725368400000,5.1,81,1016,3.4,305,69,Clouds,scattered clouds
1725372000000,5.2,85,1013,3.7,126,73,Clouds,scattered clouds
1725375600000,2.1,92,1009,3.6,31,74,Rain,light rain
1725379200000,1.6,86,1011,3.9,26,74,Clouds,scattered clouds
1725382800000,0.7,89,1011,4.8,148,64,Snow,light snow showers
1725386400000,-1.2,89,1010,5.7,257,81,Snow,light snow showers
1725390000000,-0.8,87,1012,5.6,195,68,Clouds,scattered clouds
1725393600000,-1.6,92,1009,4.3,344,68,Snow,light snow showers
1725397200000,-2.8,91,1009,6.4,272,78,Snow,light snow showers
1725400800000,-1.4,91,1014,5.1,306,74,Snow,light snow showers
1725404400000,-1.5,94,1012,4.8,84,78,Snow,light snow showers
1725408000000,-2.5,88,1009,4.5,135,77,Snow,light snow showers
1725411600000,-0.2,92,1010,5.2,91,75,Snow,light snow showers
1725415200000,0.8,92,1009,5.7,34,64,Snow,light snow showers
1725418800000,-0.6,86,1012,3.8,70,78,Clouds,overcast clouds
1725422400000,1.4,84,1017,3.3,210,57,Clouds,scattered clouds
1725426000000,0.1,85,1018,3.6,275,64,Clouds,scattered clouds
1725429600000,1.9,83,1013,4.2,15,66,Clouds,scattered clouds
1725433200000,2.6,84,1008,3.1,145,63,Clouds,scattered clouds
1725436800000,0.7,94,1010,2.9,129,84,Snow,light snow showers
1725440400000,1.2,84,1009,2.3,135,73,Clouds,scattered clouds
1725444000000,-0.9,93,1017,2.9,143,65,Snow,light snow showers
1725447600000,-0.3,90,1011,4.5,148,65,Snow,light snow showers
1725451200000,-3.3,91,1016,4.8,264,64,Snow,light snow showers
1725454800000,-4.9,96,1008,4.3,63,88,Snow,light snow showers
1725458400000,-4.5,95,1009,4.1,344,71,Snow,light snow showers
1725462000000,-7.9,95,1011,4.7,309,73,Snow,light snow showers
1725465600000,-8.1,97,1016,6.2,305,81,Snow,light snow showers
1725469200000,-10.6,97,1018,5.8,259,76,Snow,light snow showers
1725472800000,-10.2,97,1009,5.5,31,78,Snow,light snow showers
1725476400000,-10.5,97,1011,5.3,26,84,Snow,light snow showers
1725480000000,-12,97,1011,5.7,281,82,Snow,light snow showers
1725483600000,-12,97,1010,5.8,257,88,Snow,light snow showers
1725487200000,-11.6,97,1018,4.2,344,78,Snow,light snow showers
1725490800000,-12,97,1009,3.2,344,72,Snow,light snow showers
1725494400000,-10.7,97,1009,4.7,272,82,Snow,light snow showers
