ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,19,69,1018,5.2,235,62,Clouds,scattered clouds
1725152400000,17.9,71,1014,3.6,330,55,Clouds,scattered clouds
1725156000000,18.8,72,1012,3.4,334,54,Clouds,scattered clouds
1725159600000,20.3,62,1016,3.5,303,53,Clouds,scattered clouds
1725163200000,22.3,64,1010,2.5,125,56,Clouds,scattered clouds
1725166800000,23.8,66,1017,2,155,62,Clouds,scattered clouds
1725170400000,23.4,63,1012,4.3,109,38,Clouds,scattered clouds
1725174000000,23.4,55,1012,2.9,277,47,Clouds,scattered clouds
1725177600000,24,60,1008,4.7,310,43,Clouds,scattered clouds
1725181200000,24.7,63,1010,3.7,49,54,Clouds,scattered clouds
1725184800000,21.6,66,1017,4.6,55,58,Clouds,scattered clouds
1725188400000,20.9,64,1010,4.9,107,58,Clouds,scattered clouds
1725192000000,21.4,60,1012,6.3,4,40,Clouds,scattered clouds
1725195600000,19,62,1010,6.2,118,47,Clouds,scattered clouds
1725199200000,16.5,68,1008,4.7,337,44,Clouds,scattered clouds
1725202800000,15.2,74,1019,5.8,229,49,Clouds,scattered clouds
1725206400000,15.2,68,1011,5.6,39,62,Clouds,scattered clouds
1725210000000,13.4,68,1008,5.1,126,53,Clouds,scattered clouds
1725213600000,13.1,73,1008,5.6,147,59,Clouds,scattered clouds
1725217200000,13.1,77,1014,3.9,330,59,Clouds,scattered clouds
1725220800000,11.4,73,1010,4.9,188,62,Clouds,scattered clouds
1725224400000,11.6,79,1011,2.6,87,75,Clouds,scattered clouds
1725228000000,10.4,78,1010,2.9,125,67,Clouds,scattered clouds
1725231600000,11.2,74,1018,2.6,284,51,Clouds,scattered clouds
1725235200000,12.1,76,1012,3.9,109,49,Clouds,scattered clouds
1725238800000,14.4,69,1011,2.5,95,62,Clouds,scattered clouds
1725242400000,14.4,68,1019,4.3,6,55,Clouds,scattered clouds
1725246000000,14.9,75,1010,3.3,49,63,Clouds,scattered clouds
1725249600000,14.6,74,1017,4.4,55,65,Clouds,scattered clouds
1725253200000,15.7,76,1012,4.8,334,57,Clouds,scattered clouds
1725256800000,16.5,67,1016,5.6,303,57,Clouds,scattered clouds
1725260400000,16.9,70,1010,5.2,125,61,Clouds,scattered clouds
1725264000000,16.1,75,1015,4.7,134,59,Clouds,scattered clouds
1725267600000,15.4,69,1017,6.4,38,65,Clouds,scattered clouds
1725271200000,14.7,65,1012,4.5,277,55,Clouds,scattered clouds
1725274800000,13.6,72,1008,5.7,310,52,Clouds,scattered clouds
1725278400000,14.3,76,1019,5.5,141,66,Clouds,scattered clouds
1725282000000,12.9,76,1008,5.4,83,58,Clouds,scattered clouds
1725285600000,10.8,76,1010,4,107,68,Clouds,scattered clouds
1725289200000,7.8,76,1012,3.7,348,70,Clouds,scattered clouds
1725292800000,6.6,77,1010,4.2,118,59,Clouds,scattered clouds
1725296400000,5.6,81,1008,2.2,337,55,Clouds,scattered clouds
1725300000000,4.3,85,1016,2.4,279,67,Clouds,scattered clouds
1725303600000,3.3,82,1011,3.3,39,73,Clouds,scattered clouds
1725307200000,5.3,79,1019,3.9,6,63,Clouds,scattered clouds
1725310800000,4.7,83,1008,4.8,147,67,Clouds,scattered clouds
1725314400000,4.8,87,1014,3.9,330,67,Clouds,scattered clouds
1725318000000,3.9,90,1012,4.6,334,69,Clouds,scattered clouds
1725321600000,4.6,87,1011,4.1,87,82,Clouds,overcast clouds
1725325200000,4.8,85,1010,5.1,125,72,Clouds,scattered clouds
1725328800000,5.1,88,1017,4.6,155,80,Clouds,overcast clouds
1725332400000,6.8,83,1012,6.4,109,54,Clouds,scattered clouds
1725336000000,5.7,76,1012,4.5,277,64,Clouds,scattered clouds
1725339600000,6.6,81,1008,5.8,310,59,Clouds,scattered clouds
