ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.9,71,1008,4.7,225,50,Clouds,scattered clouds
1725152400000,17.8,62,1013,3.9,239,50,Clouds,scattered clouds
1725156000000,20.5,65,1016,3.3,49,58,Clouds,scattered clouds
1725159600000,20,64,1014,2.6,109,53,Clouds,scattered clouds
1725163200000,23,62,1010,2.1,237,48,Clouds,scattered clouds
1725166800000,24.4,64,1016,2.7,262,55,Clouds,scattered clouds
1725170400000,23.8,61,1015,3.9,195,54,Clouds,scattered clouds
1725174000000,25.8,63,1012,3.5,96,47,Clouds,scattered clouds
1725177600000,24.2,64,1008,4.4,299,49,Clouds,scattered clouds
1725181200000,25.6,59,1012,3.7,275,46,Clouds,scattered clouds
1725184800000,23.5,58,1018,4.2,90,52,Clouds,scattered clouds
1725188400000,22.6,61,1013,5.1,13,43,Clouds,scattered clouds
1725192000000,21.8,67,1009,5.9,297,47,Clouds,scattered clouds
1725195600000,19.9,68,1018,4.7,77,47,Clouds,scattered clouds
1725199200000,18.9,62,1011,5.2,301,44,Clouds,scattered clouds
1725202800000,18.2,63,1010,5.1,61,41,Clouds,scattered clouds
1725206400000,15.5,76,1019,5.2,1,68,Clouds,scattered clouds
1725210000000,14.3,66,1013,4.7,118,47,Clouds,scattered clouds
1725213600000,14.7,68,1008,5.7,146,49,Clouds,scattered clouds
1725217200000,12.9,68,1013,4.3,239,55,Clouds,scattered clouds
1725220800000,13.7,68,1011,4.5,263,52,Clouds,scattered clouds
1725224400000,12.5,69,1010,2.9,254,52,Clouds,scattered clouds
1725228000000,13.8,73,1010,2.5,237,57,Clouds,scattered clouds
1725231600000,15,70,1011,2.6,128,59,Clouds,scattered clouds
1725235200000,15.5,71,1015,3.5,195,62,Clouds,scattered clouds
1725238800000,13.8,77,1009,3.6,330,71,Clouds,scattered clouds
1725242400000,16.8,69,1011,4,251,65,Clouds,scattered clouds
1725246000000,17.1,69,1012,3.4,275,54,Clouds,scattered clouds
1725249600000,16.9,66,1018,3.9,90,58,Clouds,scattered clouds
1725253200000,18.8,67,1016,4.6,49,60,Clouds,scattered clouds
1725256800000,16.8,67,1014,4.7,109,56,Clouds,scattered clouds
1725260400000,18.1,68,1010,4.8,237,53,Clouds,scattered clouds
1725264000000,17.2,72,1014,5.5,267,61,Clouds,scattered clouds
1725267600000,19.1,71,1010,5.7,57,58,Clouds,scattered clouds
1725271200000,17.7,72,1012,5.1,96,55,Clouds,scattered clouds
1725274800000,16.2,73,1008,5.4,299,57,Clouds,scattered clouds
1725278400000,15.1,67,1009,5.5,261,52,Clouds,scattered clouds
1725282000000,12.1,72,1019,5.7,111,68,Clouds,scattered clouds
1725285600000,12.9,73,1013,4.2,13,53,Clouds,scattered clouds
1725289200000,9.6,79,1010,4.6,220,60,Clouds,scattered clouds
1725292800000,9.8,80,1018,2.7,77,57,Clouds,scattered clouds
1725296400000,8.6,74,1011,2.7,301,53,Clouds,scattered clouds
1725300000000,6.9,80,1011,2.2,333,66,Clouds,scattered clouds
1725303600000,5.7,87,1019,2.9,1,78,Clouds,overcast clouds
1725307200000,4.8,83,1011,3.6,251,76,Clouds,overcast clouds
1725310800000,4.4,81,1008,4.9,146,58,Clouds,scattered clouds
1725314400000,5.5,77,1013,4.2,239,62,Clouds,scattered clouds
1725318000000,6.1,83,1016,4.4,49,72,Clouds,scattered clouds
1725321600000,5.2,78,1010,4.4,254,59,Clouds,scattered clouds
1725325200000,6.2,82,1010,4.7,237,64,Clouds,scattered clouds
1725328800000,6.5,86,1016,5.2,262,72,Clouds,scattered clouds
1725332400000,8.2,80,1015,6,195,69,Clouds,scattered clouds
1725336000000,7.5,85,1012,5.2,96,65,Clouds,scattered clouds
1725339600000,9.8,81,1008,5.6,299,63,Clouds,scattered clouds
1725343200000,9,79,1012,4.3,275,62,Clouds,scattered clouds
1725346800000,9.9,74,1018,4.2,90,65,Clouds,scattered clouds
1725350400000,7.8,81,1016,4.3,49,71,Clouds,scattered clouds
1725354000000,9.1,82,1009,4.8,297,59,Clouds,scattered clouds
1725357600000,8.1,82,1018,3.1,77,59,Clouds,scattered clouds
1725361200000,7,85,1014,3.4,267,71,Clouds,scattered clouds
1725364800000,6.6,86,1010,3.2,57,70,Clouds,scattered clouds
1725368400000,3.7,87,1019,1.7,202,75,Clouds,scattered clouds
1725372000000,4,89,1013,2.1,246,68,Clouds,scattered clouds
1725375600000,1,84,1009,4.1,261,66,Clouds,scattered clouds
1725379200000,1.6,91,1008,4.8,81,74,Snow,light snow showers
