ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.7,65,1011,3.8,54,53,Clouds,scattered clouds
1725152400000,18.5,69,1016,3.9,122,51,Clouds,scattered clouds
1725156000000,18.3,69,1015,3.7,317,48,Clouds,scattered clouds
1725159600000,21.8,68,1018,2.6,322,46,Clouds,scattered clouds
1725163200000,23.1,56,1007,2.8,46,55,Clouds,scattered clouds
1725166800000,23.6,62,1015,3.1,112,46,Clouds,scattered clouds
1725170400000,23.9,57,1009,2.7,128,35,Clouds,scattered clouds
1725174000000,25.1,55,1009,3.8,82,52,Clouds,scattered clouds
1725177600000,25.4,60,1015,5.2,339,42,Clouds,scattered clouds
1725181200000,24.8,54,1008,4.8,122,44,Clouds,scattered clouds
1725184800000,22.6,58,1009,5.3,50,35,Clouds,scattered clouds
1725188400000,20.8,69,1018,4.3,86,52,Clouds,scattered clouds
1725192000000,20.7,61,1010,6,184,38,Clouds,scattered clouds
1725195600000,18.5,71,1017,4.5,135,53,Clouds,scattered clouds
1725199200000,17.9,72,1018,5.3,308,64,Clouds,scattered clouds
1725202800000,17.3,64,1009,5.9,53,60,Clouds,scattered clouds
1725206400000,14.8,74,1016,6.2,264,47,Clouds,scattered clouds
1725210000000,14.8,71,1013,5.8,119,47,Clouds,scattered clouds
1725213600000,15.1,66,1008,5.7,322,65,Clouds,scattered clouds
1725217200000,14.2,75,1016,4.2,122,55,Clouds,scattered clouds
1725220800000,13.6,74,1014,3.5,22,69,Clouds,scattered clouds
1725224400000,12.5,75,1014,2.7,186,52,Clouds,scattered clouds
1725228000000,11.9,69,1007,3.2,46,66,Clouds,scattered clouds
1725231600000,13.5,78,1019,3.1,314,52,Clouds,scattered clouds
1725235200000,13.5,69,1009,2.2,128,45,Clouds,scattered clouds
1725238800000,15.6,67,1009,3.3,80,57,Clouds,scattered clouds
1725242400000,14.4,76,1018,3.3,156,67,Clouds,scattered clouds
1725246000000,16.8,64,1008,4.5,122,52,Clouds,scattered clouds
1725249600000,15.6,66,1009,5,50,41,Clouds,scattered clouds
1725253200000,16.7,71,1015,5.1,317,50,Clouds,scattered clouds
1725256800000,16.5,74,1018,4.8,322,51,Clouds,scattered clouds
1725260400000,17.9,62,1007,5.6,46,60,Clouds,scattered clouds
1725264000000,18.5,66,1012,4.8,164,43,Clouds,scattered clouds
1725267600000,17.4,70,1015,6.2,323,44,Clouds,scattered clouds
1725271200000,15.4,67,1009,5.4,82,61,Clouds,scattered clouds
1725274800000,14.2,74,1015,6.2,339,52,Clouds,scattered clouds
1725278400000,14.8,67,1009,4.6,320,50,Clouds,scattered clouds
