ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.8,63,1018,4.8,258,41,Clouds,scattered clouds
1725152400000,19.8,62,1019,3.6,73,51,Clouds,scattered clouds
1725156000000,19.7,67,1011,3.5,83,44,Clouds,scattered clouds
1725159600000,22,69,1007,3.4,325,64,Clouds,scattered clouds
1725163200000,24.2,60,1008,2.7,349,38,Clouds,scattered clouds
1725166800000,24.4,60,1014,3.7,247,53,Clouds,scattered clouds
1725170400000,24,63,1010,2.8,226,52,Clouds,scattered clouds
1725174000000,24.9,62,1011,3.8,26,46,Clouds,scattered clouds
1725177600000,25.2,53,1012,3.3,213,51,Clouds,scattered clouds
1725181200000,23.4,62,1018,4,87,56,Clouds,scattered clouds
1725184800000,23.6,66,1012,5,261,60,Clouds,scattered clouds
1725188400000,23.7,65,1011,6.2,136,44,Clouds,scattered clouds
1725192000000,20.3,62,1019,5.6,334,41,Clouds,scattered clouds
1725195600000,20.6,62,1018,5.9,159,61,Clouds,scattered clouds
1725199200000,19.4,65,1017,4.5,128,46,Clouds,scattered clouds
1725202800000,17,64,1017,5.3,82,57,Clouds,scattered clouds
1725206400000,17.2,72,1009,4.9,333,59,Clouds,scattered clouds
1725210000000,15.4,65,1009,5.1,2,41,Clouds,scattered clouds
1725213600000,15.9,74,1013,5.1,294,62,Clouds,scattered clouds
1725217200000,13.2,70,1019,4,73,58,Clouds,scattered clouds
1725220800000,14.3,70,1011,4.8,184,58,Clouds,scattered clouds
1725224400000,12.4,70,1015,3.6,169,54,Clouds,scattered clouds
1725228000000,13.7,72,1008,3.1,349,48,Clouds,scattered clouds
1725231600000,12.7,70,1011,3.5,111,60,Clouds,scattered clouds
1725235200000,14.9,74,1010,2.3,226,61,Clouds,scattered clouds
1725238800000,16.2,75,1016,4.3,347,72,Clouds,scattered clouds
1725242400000,16.4,68,1010,4.6,122,58,Clouds,scattered clouds
1725246000000,15.8,71,1018,3.7,87,63,Clouds,scattered clouds
1725249600000,16.2,75,1012,4.7,261,67,Clouds,scattered clouds
1725253200000,18.5,68,1011,4.9,83,45,Clouds,scattered clouds
1725256800000,19.4,72,1007,5.5,325,67,Clouds,scattered clouds
1725260400000,17.2,68,1008,5.4,349,45,Clouds,scattered clouds
1725264000000,17.6,68,1014,5.4,120,51,Clouds,scattered clouds
1725267600000,17.3,66,1019,5,0,53,Clouds,scattered clouds
1725271200000,16.6,72,1011,5.4,26,54,Clouds,scattered clouds
1725274800000,14.9,66,1012,4.3,213,61,Clouds,scattered clouds
1725278400000,15.8,71,1017,4.8,347,57,Clouds,scattered clouds
1725282000000,13.8,75,1012,3.9,120,50,Clouds,scattered clouds
1725285600000,12.7,78,1011,5.3,136,55,Clouds,scattered clouds
1725289200000,12,69,1008,3,287,65,Clouds,scattered clouds
1725292800000,9.1,76,1018,3.9,159,72,Clouds,scattered clouds
1725296400000,7.3,79,1017,2,128,58,Clouds,scattered clouds
1725300000000,6.2,79,1011,2.9,83,62,Clouds,scattered clouds
1725303600000,5.3,87,1009,2.6,333,70,Clouds,scattered clouds
1725307200000,5.5,82,1010,4.2,122,68,Clouds,scattered clouds
1725310800000,4.2,89,1013,4.3,294,73,Clouds,scattered clouds
1725314400000,6,79,1019,4,73,65,Clouds,scattered clouds
1725318000000,4.7,85,1011,4.6,83,58,Clouds,scattered clouds
1725321600000,6,78,1015,5.1,169,60,Clouds,scattered clouds
1725325200000,7.6,80,1008,5.3,349,54,Clouds,scattered clouds
1725328800000,7.2,81,1014,6.3,247,70,Clouds,scattered clouds
1725332400000,9.1,81,1010,4.9,226,67,Clouds,scattered clouds
1725336000000,9.5,81,1011,5.4,26,61,Clouds,scattered clouds
1725339600000,9.3,72,1012,4.4,213,66,Clouds,scattered clouds
1725343200000,9.1,79,1018,4.6,87,69,Clouds,scattered clouds
1725346800000,10.2,82,1012,5,261,73,Clouds,scattered clouds
