ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,17.3,65,1015,4.5,15,49,Clouds,scattered clouds
1725152400000,17.4,70,1016,3.4,145,50,Clouds,scattered clouds
1725156000000,18.8,72,1019,3.4,126,45,Clouds,scattered clouds
1725159600000,20.7,60,1018,2.5,31,50,Clouds,scattered clouds
1725163200000,22.8,62,1014,2.4,143,50,Clouds,scattered clouds
1725166800000,22.4,64,1009,3.7,148,44,Clouds,scattered clouds
1725170400000,22.3,68,1015,4,264,55,Clouds,scattered clouds
1725174000000,23.5,65,1015,3.2,195,51,Clouds,scattered clouds
1725177600000,25.1,55,1007,4.6,344,36,Clouds,scattered clouds
1725181200000,22.9,59,1010,4,309,57,Clouds,scattered clouds
1725184800000,22.8,60,1012,4,305,36,Clouds,scattered clouds
1725188400000,22,66,1018,5,259,62,Clouds,scattered clouds
1725192000000,18.8,62,1017,5.5,249,44,Clouds,scattered clouds
1725195600000,18.5,70,1014,4.9,26,45,Clouds,scattered clouds
1725199200000,18.5,67,1008,4.6,54,43,Clouds,scattered clouds
1725202800000,16.3,68,1019,5.9,309,58,Clouds,scattered clouds
1725206400000,16.5,68,1009,5.7,210,66,Clouds,scattered clouds
1725210000000,13.9,74,1008,5.9,305,56,Clouds,scattered clouds
1725213600000,12.4,80,1017,4.3,354,75,Clouds,scattered clouds
1725217200000,13.7,75,1016,3.8,145,54,Clouds,scattered clouds
1725220800000,13.5,74,1010,4.9,84,69,Clouds,scattered clouds
1725224400000,11.3,72,1014,3.2,135,57,Clouds,scattered clouds
1725228000000,13,73,1014,2.9,143,59,Clouds,scattered clouds
1725231600000,12,69,1017,2.5,34,49,Clouds,scattered clouds
1725235200000,11.8,80,1015,3.6,264,65,Clouds,scattered clouds
1725238800000,12.7,73,1017,3.9,63,53,Clouds,scattered clouds
1725242400000,15.3,74,1019,3.8,275,53,Clouds,scattered clouds
1725246000000,14.4,69,1010,3.7,309,65,Clouds,scattered clouds
1725249600000,15,69,1012,3.7,305,43,Clouds,scattered clouds
1725253200000,17.1,74,1019,4.8,126,47,Clouds,scattered clouds
1725256800000,15.7,66,1018,4.6,31,55,Clouds,scattered clouds
1725260400000,15.6,70,1014,5.2,143,57,Clouds,scattered clouds
1725264000000,17.2,69,1017,6.4,281,62,Clouds,scattered clouds
1725267600000,16.6,69,1017,4.6,257,64,Clouds,scattered clouds
1725271200000,15,75,1015,4.8,195,59,Clouds,scattered clouds
1725274800000,15.4,67,1007,5.6,344,45,Clouds,scattered clouds
1725278400000,13.2,68,1013,4.5,272,66,Clouds,scattered clouds
1725282000000,11.3,76,1017,4.1,196,72,Clouds,scattered clouds
1725285600000,11.3,78,1018,4.2,259,72,Clouds,scattered clouds
1725289200000,9.8,80,1010,3.3,80,57,Clouds,scattered clouds
1725292800000,9.5,81,1014,2.9,26,53,Clouds,scattered clouds
1725296400000,6.9,81,1008,2.1,54,54,Clouds,scattered clouds
1725300000000,5.5,79,1018,3.1,294,52,Clouds,scattered clouds
1725303600000,4.3,83,1009,3.4,210,78,Clouds,overcast clouds
1725307200000,5.2,86,1019,3.5,275,62,Clouds,scattered clouds
1725310800000,6,87,1017,3.5,354,81,Clouds,overcast clouds
1725314400000,5.7,84,1016,3.8,145,61,Clouds,scattered clouds
1725318000000,5.9,88,1019,4.5,126,58,Clouds,scattered clouds
1725321600000,5.6,79,1014,4.7,135,62,Clouds,scattered clouds
1725325200000,6,82,1014,5.1,143,66,Clouds,scattered clouds
1725328800000,8.2,81,1009,6.2,148,57,Clouds,scattered clouds
1725332400000,7.9,85,1015,6.1,264,69,Clouds,scattered clouds
1725336000000,8.5,83,1015,4.8,195,65,Clouds,scattered clouds
1725339600000,9.4,74,1007,5.7,344,51,Clouds,scattered clouds
1725343200000,9.2,75,1010,4.6,309,70,Clouds,scattered clouds
1725346800000,8.3,77,1012,4,305,50,Clouds,scattered clouds
1725350400000,9.2,84,1019,4.5,126,55,Clouds,scattered clouds
1725354000000,8.4,75,1017,4.4,249,54,Clouds,scattered clouds
1725357600000,9.2,82,1014,3.3,26,53,Clouds,scattered clouds
1725361200000,7.8,80,1017,4.3,281,71,Clouds,scattered clouds
1725364800000,5.5,83,1017,2,257,75,Clouds,scattered clouds
1725368400000,5.8,83,1010,2.7,344,55,Clouds,scattered clouds
1725372000000,3,87,1008,3.2,273,60,Clouds,scattered clouds
1725375600000,3.2,80,1013,3,272,76,Clouds,overcast clouds
1725379200000,0.1,89,1009,3.1,57,66,Snow,light snow showers
1725382800000,-0.4,92,1018,4.3,259,84,Snow,light snow showers
1725386400000,-1,93,1010,4.2,80,67,Snow,light snow showers
1725390000000,-2.6,91,1016,5.6,265,74,Snow,light snow showers
1725393600000,-2,92,1008,4.4,54,63,Snow,light snow showers
1725397200000,-2.5,92,1014,6.1,58,63,Snow,light snow showers
1725400800000,-3.5,92,1009,5.9,210,85,Snow,light snow showers
1725404400000,-1.8,95,1019,5.4,275,69,Snow,light snow showers
1725408000000,-2.7,90,1010,4.7,309,82,Snow,light snow showers
1725411600000,-2.7,94,1016,4.6,145,69,Snow,light snow showers
1725415200000,-0.3,95,1019,4.7,126,64,Snow,light snow showers
1725418800000,0.6,84,1018,4,31,69,Clouds,scattered clouds
1725422400000,-0.8,90,1014,4,143,72,Snow,light snow showers
1725426000000,1,89,1017,4.7,281,77,Snow,light snow showers
1725429600000,-0.5,90,1017,2.4,257,80,Snow,light snow showers
1725433200000,1.1,92,1015,2.2,195,72,Snow,light snow showers
1725436800000,1.5,83,1007,3,344,59,Clouds,scattered clouds
1725440400000,-0.6,87,1010,2.5,309,80,Clouds,overcast clouds
1725444000000,-1.8,92,1017,3.1,196,85,Snow,light snow showers
1725447600000,-2.9,96,1018,3.9,259,86,Snow,light snow showers
1725451200000,-2.6,88,1017,4.6,249,64,Clouds,scattered clouds
1725454800000,-5.7,97,1014,4.2,26,66,Snow,light snow showers
1725458400000,-7.3,97,1008,4.3,54,67,Snow,light snow showers
1725462000000,-6.9,94,1011,5.7,273,68,Snow,light snow showers
1725465600000,-10.3,97,1010,5.5,344,66,Snow,light snow showers
1725469200000,-10.4,97,1017,4.9,201,84,Snow,light snow showers
1725472800000,-12,97,1013,4.9,272,90,Snow,light snow showers
1725476400000,-12,97,1009,4.5,57,73,Snow,light snow showers
1725480000000,-12,97,1008,5.1,163,80,Snow,light snow showers
1725483600000,-12,97,1010,4.3,80,70,Snow,light snow showers
1725487200000,-12,97,1017,5.5,153,88,Snow,light snow showers
1725490800000,-12,97,1008,3.3,54,67,Snow,light snow showers
1725494400000,-12,97,1014,4.4,58,67,Snow,light snow showers
1725498000000,-10.9,97,1014,3.3,227,85,Snow,light snow showers
1725501600000,-11.6,97,1019,2.7,275,71,Snow,light snow showers
1725505200000,-11.5,97,1010,2.1,309,87,Snow,light snow showers
1725508800000,-9.2,97,1012,2.3,305,66,Snow,light snow showers
1725512400000,-8.4,97,1019,3.5,126,65,Snow,light snow showers
