ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,16.9,71,1016,3.5,21,47,Clouds,scattered clouds
1725152400000,17.9,64,1010,4.7,111,39,Clouds,scattered clouds
1725156000000,18.2,72,1018,3.4,174,50,Clouds,scattered clouds
1725159600000,20.1,64,1012,2.7,314,61,Clouds,scattered clouds
1725163200000,21.1,62,1011,3.4,327,60,Clouds,scattered clouds
1725166800000,21.3,57,1007,3.8,123,37,Clouds,scattered clouds
1725170400000,22.4,57,1008,3,173,57,Clouds,scattered clouds
1725174000000,24,62,1014,4.7,266,48,Clouds,scattered clouds
1725177600000,23,67,1019,4.4,122,46,Clouds,scattered clouds
1725181200000,23.7,59,1011,4.5,229,35,Clouds,scattered clouds
1725184800000,21.6,62,1012,5.1,179,50,Clouds,scattered clouds
1725188400000,20.8,68,1017,6.1,205,65,Clouds,scattered clouds
1725192000000,18.2,66,1012,6.1,163,47,Clouds,scattered clouds
1725195600000,17.4,66,1011,5.9,76,45,Clouds,scattered clouds
1725199200000,17,63,1008,6.5,295,56,Clouds,scattered clouds
1725202800000,16,75,1018,4.6,87,52,Clouds,scattered clouds
1725206400000,14.2,70,1011,5.8,274,51,Clouds,scattered clouds
1725210000000,12.3,72,1011,4.4,107,55,Clouds,scattered clouds
1725213600000,13.2,70,1009,4.7,98,67,Clouds,scattered clouds
1725217200000,12.4,71,1010,5.1,111,45,Clouds,scattered clouds
1725220800000,12.3,74,1013,3.5,200,53,Clouds,scattered clouds
1725224400000,11.8,80,1019,3.7,300,67,Clouds,scattered clouds
1725228000000,11.6,73,1011,3.8,327,70,Clouds,scattered clouds
1725231600000,12.8,75,1015,2.9,66,51,Clouds,scattered clouds
1725235200000,11.7,70,1008,2.6,173,68,Clouds,scattered clouds
1725238800000,12,76,1014,2.6,55,54,Clouds,scattered clouds
1725242400000,14.1,69,1010,3,334,65,Clouds,scattered clouds
1725246000000,14.3,70,1011,4.2,229,44,Clouds,scattered clouds
1725249600000,15.4,69,1012,4.9,179,56,Clouds,scattered clouds
