ts,temp,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_desc
1725148800000,18.4,65,1010,3.5,132,60,Clouds,scattered clouds
1725152400000,19,66,1008,4.4,185,58,Clouds,scattered clouds
1725156000000,20,71,1009,3.8,99,56,Clouds,scattered clouds
1725159600000,22.5,66,1009,3.9,155,60,Clouds,scattered clouds
1725163200000,24.1,61,1008,2.2,161,60,Clouds,scattered clouds
1725166800000,23.6,61,1010,2.2,339,42,Clouds,scattered clouds
1725170400000,24.1,54,1016,3.8,286,41,Clouds,scattered clouds
1725174000000,25.1,62,1009,3.4,332,45,Clouds,scattered clouds
1725177600000,26.3,59,1014,4.2,196,44,Clouds,scattered clouds
1725181200000,25.8,57,1014,4.2,278,38,Clouds,scattered clouds
1725184800000,24.4,61,1017,5.7,60,48,Clouds,scattered clouds
1725188400000,23,61,1009,4.9,356,53,Clouds,scattered clouds
1725192000000,20.9,59,1018,4.6,110,39,Clouds,scattered clouds
1725195600000,21.1,69,1011,5.9,78,59,Clouds,scattered clouds
1725199200000,19.7,71,1007,4.7,95,67,Clouds,scattered clouds
1725202800000,18.5,61,1014,5.1,156,38,Clouds,scattered clouds
1725206400000,16.7,73,1017,4.8,245,69,Clouds,scattered clouds
1725210000000,17,64,1010,5.6,155,45,Clouds,scattered clouds
1725213600000,14.9,67,1015,4.1,111,57,Clouds,scattered clouds
1725217200000,15.5,71,1008,4.7,185,61,Clouds,scattered clouds
1725220800000,13.4,68,1010,4,96,48,Clouds,scattered clouds
1725224400000,12.9,72,1017,3.4,302,52,Clouds,scattered clouds
1725228000000,13.5,74,1008,2.6,161,70,Clouds,scattered clouds
1725231600000,12.8,73,1017,2.4,241,54,Clouds,scattered clouds
1725235200000,14.5,66,1016,3.4,286,51,Clouds,scattered clouds
1725238800000,16.6,70,1008,3.7,199,56,Clouds,scattered clouds
1725242400000,17.4,68,1011,3,243,48,Clouds,scattered clouds
1725246000000,15.8,69,1014,3.9,278,48,Clouds,scattered clouds
1725249600000,19,68,1017,5.4,60,53,Clouds,scattered clouds
1725253200000,19,72,1009,5.2,99,57,Clouds,scattered clouds
1725256800000,18.6,71,1009,6,155,63,Clouds,scattered clouds
1725260400000,19.7,66,1008,5,161,64,Clouds,scattered clouds
1725264000000,18.2,66,1008,6.3,311,46,Clouds,scattered clouds
1725267600000,19.2,70,1017,5.7,17,62,Clouds,scattered clouds
1725271200000,17.9,70,1009,5,332,52,Clouds,scattered clouds
1725274800000,17,70,1014,5.2,196,53,Clouds,scattered clouds
1725278400000,15.2,68,1014,5.7,14,66,Clouds,scattered clouds
1725282000000,15.9,67,1010,5.1,316,55,Clouds,scattered clouds
1725285600000,12.3,73,1009,4,356,64,Clouds,scattered clouds
1725289200000,11.1,77,1017,3.8,159,64,Clouds,scattered clouds
1725292800000,9.8,83,1011,3.9,78,70,Clouds,scattered clouds
1725296400000,8.9,84,1007,2.2,95,78,Clouds,overcast clouds
1725300000000,9.7,80,1013,1.6,130,71,Clouds,scattered clouds
1725303600000,6.2,86,1017,2.5,245,79,Clouds,overcast clouds
1725307200000,8.3,79,1011,2.6,243,57,Clouds,scattered clouds
1725310800000,6.9,76,1015,3.3,111,65,Clouds,scattered clouds
1725314400000,6.5,81,1008,4.7,185,70,Clouds,scattered clouds
1725318000000,8.3,85,1009,4.9,99,67,Clouds,scattered clouds
1725321600000,8.3,78,1017,4.9,302,57,Clouds,scattered clouds
1725325200000,9.3,79,1008,4.8,161,74,Clouds,scattered clouds
1725328800000,7.6,80,1010,4.8,339,58,Clouds,scattered clouds
1725332400000,8.9,73,1016,6,286,56,Clouds,scattered clouds
1725336000000,10.9,79,1009,5.1,332,59,Clouds,scattered clouds
